frequency,raw
20.00,10.31
20.20,10.30
20.40,10.30
20.61,10.29
20.81,10.29
21.02,10.28
21.23,10.27
21.44,10.27
21.66,10.26
21.87,10.25
22.09,10.24
22.31,10.23
22.54,10.23
22.76,10.22
22.99,10.21
23.22,10.20
23.45,10.19
23.69,10.18
23.92,10.17
24.16,10.16
24.40,10.14
24.65,10.13
24.89,10.12
25.14,10.10
25.39,10.09
25.65,10.08
25.91,10.06
26.16,10.05
26.43,10.03
26.69,10.01
26.96,10.00
27.23,9.98
27.50,9.96
27.77,9.95
28.05,9.93
28.33,9.91
28.62,9.89
28.90,9.87
29.19,9.85
29.48,9.83
29.78,9.81
30.08,9.79
30.38,9.77
30.68,9.75
30.99,9.72
31.30,9.70
31.61,9.68
31.93,9.66
32.24,9.63
32.57,9.61
32.89,9.58
33.22,9.56
33.55,9.53
33.89,9.51
34.23,9.48
34.57,9.46
34.92,9.43
35.27,9.40
35.62,9.38
35.97,9.35
36.33,9.32
36.70,9.29
37.06,9.26
37.43,9.24
37.81,9.21
38.19,9.18
38.57,9.14
38.95,9.11
39.34,9.08
39.74,9.05
40.14,9.02
40.54,8.99
40.94,8.95
41.35,8.92
41.76,8.89
42.18,8.86
42.60,8.82
43.03,8.79
43.46,8.76
43.90,8.72
44.33,8.69
44.78,8.65
45.23,8.62
45.68,8.58
46.13,8.54
46.60,8.51
47.06,8.47
47.53,8.43
48.01,8.40
48.49,8.36
48.97,8.32
49.46,8.28
49.96,8.24
50.46,8.21
50.96,8.17
51.47,8.13
51.99,8.09
52.51,8.05
53.03,8.01
53.56,7.97
54.10,7.93
54.64,7.89
55.18,7.84
55.74,7.80
56.29,7.76
56.86,7.72
57.42,7.68
58.00,7.63
58.58,7.59
59.16,7.55
59.76,7.51
60.35,7.46
60.96,7.42
61.57,7.38
62.18,7.33
62.80,7.29
63.43,7.24
64.07,7.20
64.71,7.16
65.35,7.11
66.01,7.07
66.67,7.02
67.33,6.98
68.01,6.93
68.69,6.88
69.37,6.84
70.07,6.79
