frequency,raw
20.00,7.09
20.20,7.09
20.40,7.09
20.61,7.09
20.81,7.09
21.02,7.09
21.23,7.09
21.44,7.09
21.66,7.09
21.87,7.08
22.09,7.08
22.31,7.08
22.54,7.07
22.76,7.07
22.99,7.06
23.22,7.06
23.45,7.05
23.69,7.05
23.92,7.04
24.16,7.03
24.40,7.03
24.65,7.02
24.89,7.02
25.14,7.01
25.39,7.00
25.65,7.00
25.91,6.99
26.16,6.98
26.43,6.97
26.69,6.96
26.96,6.96
27.23,6.95
27.50,6.94
27.77,6.93
28.05,6.92
28.33,6.91
28.62,6.90
28.90,6.89
29.19,6.88
29.48,6.88
29.78,6.87
30.08,6.86
30.38,6.85
30.68,6.83
30.99,6.82
31.30,6.81
31.61,6.80
31.93,6.79
32.24,6.78
32.57,6.77
32.89,6.75
33.22,6.74
33.55,6.73
33.89,6.71
34.23,6.70
34.57,6.69
34.92,6.67
35.27,6.65
35.62,6.64
35.97,6.62
36.33,6.60
36.70,6.59
37.06,6.58
37.43,6.56
37.81,6.55
38.19,6.53
38.57,6.52
38.95,6.50
39.34,6.48
39.74,6.47
40.14,6.45
40.54,6.43
40.94,6.41
41.35,6.39
41.76,6.37
42.18,6.35
42.60,6.33
43.03,6.31
43.46,6.29
43.90,6.27
44.33,6.25
44.78,6.23
45.23,6.21
45.68,6.19
46.13,6.17
46.60,6.15
47.06,6.12
47.53,6.10
48.01,6.08
48.49,6.06
48.97,6.03
49.46,6.01
49.96,5.99
50.46,5.96
50.96,5.94
51.47,5.92
51.99,5.89
52.51,5.87
53.03,5.84
53.56,5.82
54.10,5.79
54.64,5.76
55.18,5.74
55.74,5.71
56.29,5.68
56.86,5.66
57.42,5.63
58.00,5.60
58.58,5.57
59.16,5.54
59.76,5.52
60.35,5.49
60.96,5.46
61.57,5.43
62.18,5.40
62.80,5.37
63.43,5.34
64.07,5.31
64.71,5.28
65.35,5.24
66.01,5.21
66.67,5.18
67.33,5.15
68.01,5.12
68.69,5.09
69.37,5.05
70.07,5.02
70.77,4.99
71.48,4.96
72.19,4.92
72.91,4.89
73.64,4.85
74.38,4.82
75.12,4.78
75.87,4.75
76.63,4.72
77.40,4.68
78.17,4.65
78.95,4.61
79.74,4.58
80.54,4.54
81.35,4.51
82.16,4.47
82.98,4.43
83.81,4.39
84.65,4.36
85.50,4.32
86.35,4.28
87.22,4.24
88.09,4.20
88.97,4.16
89.86,4.13
90.76,4.09
91.66,4.05
92.58,4.01
93.51,3.97
94.44,3.93
95.39,3.89
96.34,3.85
97.30,3.81
98.28,3.77
99.26,3.73
100.25,3.69
101.25,3.65
102.27,3.61
103.29,3.57
104.32,3.53
105.37,3.49
106.42,3.45
107.48,3.41
108.56,3.36
109.64,3.32
110.74,3.28
111.85,3.24
112.97,3.20
114.10,3.15
