frequency,raw
20.00,10.55
20.20,10.56
20.40,10.57
20.61,10.57
20.81,10.57
21.02,10.57
21.23,10.57
21.44,10.57
21.66,10.57
21.87,10.57
22.09,10.57
22.31,10.57
22.54,10.57
22.76,10.57
22.99,10.57
23.22,10.57
23.45,10.57
23.69,10.57
23.92,10.57
24.16,10.56
24.40,10.56
24.65,10.56
24.89,10.55
25.14,10.55
25.39,10.54
25.65,10.54
25.91,10.53
26.16,10.52
26.43,10.51
26.69,10.50
26.96,10.49
27.23,10.49
27.50,10.48
27.77,10.47
28.05,10.46
28.33,10.45
28.62,10.45
28.90,10.43
29.19,10.42
29.48,10.41
29.78,10.40
30.08,10.38
30.38,10.37
30.68,10.36
30.99,10.35
31.30,10.33
31.61,10.32
31.93,10.30
32.24,10.28
32.57,10.27
32.89,10.25
33.22,10.24
33.55,10.22
33.89,10.21
34.23,10.19
34.57,10.17
34.92,10.15
35.27,10.13
35.62,10.11
35.97,10.10
36.33,10.08
36.70,10.07
37.06,10.05
37.43,10.03
37.81,10.01
38.19,9.99
38.57,9.97
38.95,9.96
39.34,9.93
39.74,9.91
40.14,9.88
40.54,9.85
40.94,9.83
41.35,9.80
41.76,9.78
42.18,9.75
42.60,9.71
43.03,9.68
43.46,9.64
43.90,9.62
44.33,9.60
44.78,9.58
45.23,9.55
45.68,9.52
46.13,9.49
46.60,9.46
47.06,9.43
47.53,9.41
48.01,9.38
48.49,9.35
48.97,9.32
49.46,9.28
49.96,9.25
50.46,9.22
50.96,9.18
51.47,9.15
51.99,9.12
52.51,9.09
53.03,9.05
53.56,9.02
54.10,8.98
54.64,8.95
55.18,8.91
55.74,8.88
56.29,8.84
56.86,8.81
57.42,8.77
58.00,8.73
58.58,8.69
59.16,8.66
59.76,8.62
60.35,8.58
60.96,8.54
61.57,8.50
62.18,8.46
62.80,8.42
63.43,8.38
64.07,8.34
64.71,8.29
65.35,8.25
66.01,8.21
66.67,8.17
67.33,8.13
68.01,8.09
68.69,8.05
69.37,8.01
70.07,7.96
70.77,7.92
71.48,7.87
72.19,7.83
72.91,7.79
73.64,7.74
74.38,7.70
75.12,7.66
75.87,7.61
76.63,7.57
77.40,7.52
78.17,7.47
78.95,7.42
79.74,7.38
80.54,7.34
81.35,7.29
82.16,7.24
82.98,7.19
83.81,7.15
84.65,7.10
85.50,7.05
86.35,7.00
87.22,6.96
88.09,6.91
88.97,6.86
89.86,6.81
90.76,6.76
91.66,6.72
92.58,6.66
93.51,6.61
94.44,6.55
95.39,6.50
96.34,6.46
97.30,6.41
98.28,6.35
99.26,6.30
100.25,6.26
101.25,6.21
102.27,6.15
103.29,6.10
104.32,6.05
105.37,5.99
106.42,5.94
107.48,5.89
108.56,5.84
109.64,5.78
110.74,5.73
111.85,5.67
112.97,5.62
114.10,5.58
115.24,5.52
116.39,5.47
117.55,5.41
118.73,5.36
119.92,5.33
121.12,5.27
122.33,5.21
123.55,5.15
124.79,5.10
126.03,5.04
127.29,4.99
128.57,4.94
129.85,4.88
131.15,4.83
132.46,4.78
133.79,4.72
135.12,4.67
136.48,4.62
137.84,4.56
139.22,4.50
140.61,4.46
142.02,4.40
143.44,4.35
144.87,4.29
146.32,4.24
147.78,4.19
149.26,4.13
150.75,4.08
152.26,4.02
153.78,3.97
155.32,3.92
156.88,3.87
158.44,3.81
160.03,3.76
161.63,3.72
163.24,3.66
164.88,3.61
166.53,3.55
168.19,3.50
169.87,3.45
171.57,3.40
173.29,3.35
175.02,3.29
176.77,3.24
178.54,3.19
180.32,3.15
182.13,3.09
183.95,3.04
185.79,2.99
187.65,2.94
189.52,2.89
191.42,2.83
193.33,2.79
195.27,2.74
197.22,2.69
199.19,2.63
201.18,2.60
203.19,2.54
205.23,2.49
207.28,2.44
209.35,2.40
211.44,2.35
213.56,2.30
215.69,2.26
217.85,2.20
220.03,2.16
222.23,2.11
224.45,2.07
226.70,2.02
228.96,1.97
231.25,1.92
233.57,1.88
235.90,1.84
238.26,1.79
240.64,1.74
243.05,1.70
245.48,1.66
247.93,1.62
250.41,1.57
252.92,1.53
255.45,1.48
258.00,1.44
260.58,1.39
263.19,1.34
265.82,1.31
268.48,1.26
271.16,1.22
273.87,1.18
276.61,1.14
279.38,1.10
282.17,1.06
284.99,1.02
287.84,0.98
290.72,0.94
293.63,0.90
296.57,0.87
299.53,0.83
302.53,0.80
305.55,0.76
308.61,0.72
311.69,0.68
314.81,0.65
317.96,0.62
321.14,0.58
324.35,0.54
327.59,0.51
330.87,0.48
334.18,0.45
337.52,0.41
340.90,0.37
344.30,0.35
347.75,0.33
351.23,0.28
354.74,0.25
358.28,0.23
361.87,0.20
365.49,0.17
369.14,0.14
372.83,0.11
376.56,0.08
380.33,0.05
384.13,0.03
387.97,-0.00
391.85,-0.02
395.77,-0.05
399.73,-0.08
403.72,-0.10
407.76,-0.13
411.84,-0.16
415.96,-0.19
420.12,-0.21
424.32,-0.23
428.56,-0.26
432.85,-0.29
437.18,-0.32
441.55,-0.34
445.96,-0.36
450.42,-0.39
454.93,-0.41
459.48,-0.42
464.07,-0.45
468.71,-0.47
473.40,-0.48
478.13,-0.50
482.91,-0.52
487.74,-0.54
492.62,-0.56
497.55,-0.57
502.52,-0.59
507.55,-0.60
512.62,-0.62
517.75,-0.64
522.93,-0.65
528.16,-0.67
533.44,-0.69
538.77,-0.70
544.16,-0.72
549.60,-0.73
555.10,-0.74
560.65,-0.75
566.25,-0.77
571.92,-0.78
577.64,-0.80
583.41,-0.80
589.25,-0.82
595.14,-0.82
601.09,-0.83
607.10,-0.85
613.17,-0.86
619.30,-0.86
625.50,-0.87
631.75,-0.87
638.07,-0.87
644.45,-0.88
650.89,-0.88
657.40,-0.89
663.98,-0.89
670.62,-0.89
677.32,-0.90
684.10,-0.89
690.94,-0.90
697.85,-0.90
704.83,-0.89
711.87,-0.89
718.99,-0.89
726.18,-0.89
733.44,-0.88
740.78,-0.87
748.19,-0.86
755.67,-0.85
763.23,-0.84
770.86,-0.83
778.57,-0.81
786.35,-0.80
794.22,-0.78
802.16,-0.76
810.18,-0.74
818.28,-0.72
826.46,-0.69
834.73,-0.67
843.08,-0.64
851.51,-0.61
860.02,-0.59
868.62,-0.54
877.31,-0.51
886.08,-0.46
894.94,-0.42
903.89,-0.36
912.93,-0.32
922.06,-0.25
931.28,-0.20
940.59,-0.13
950.00,-0.07
959.50,-0.01
969.09,0.02
978.78,-0.02
988.57,-0.07
998.46,-0.02
1008.44,0.09
1018.53,0.20
1028.71,0.26
1039.00,0.29
1049.39,0.31
1059.88,0.39
1070.48,0.49
1081.19,0.58
1092.00,0.68
1102.92,0.78
