frequency,raw
20.00,9.16
20.20,9.16
20.40,9.16
20.61,9.15
20.81,9.15
21.02,9.14
21.23,9.14
21.44,9.13
21.66,9.13
21.87,9.12
22.09,9.12
22.31,9.12
22.54,9.11
22.76,9.11
22.99,9.11
23.22,9.10
23.45,9.10
23.69,9.09
23.92,9.08
24.16,9.08
24.40,9.07
24.65,9.07
24.89,9.06
25.14,9.06
25.39,9.05
25.65,9.04
25.91,9.03
26.16,9.02
26.43,9.01
26.69,9.00
26.96,8.99
27.23,8.98
27.50,8.97
27.77,8.96
28.05,8.95
28.33,8.94
28.62,8.93
28.90,8.92
29.19,8.91
29.48,8.90
29.78,8.89
30.08,8.88
30.38,8.86
30.68,8.85
30.99,8.84
31.30,8.83
31.61,8.82
31.93,8.80
32.24,8.79
32.57,8.78
32.89,8.76
33.22,8.75
33.55,8.73
33.89,8.72
34.23,8.70
34.57,8.69
34.92,8.67
35.27,8.66
35.62,8.64
35.97,8.63
36.33,8.61
36.70,8.59
37.06,8.58
37.43,8.56
37.81,8.54
38.19,8.53
38.57,8.51
38.95,8.50
39.34,8.48
39.74,8.46
40.14,8.44
40.54,8.42
40.94,8.40
41.35,8.38
41.76,8.37
42.18,8.35
42.60,8.33
43.03,8.31
43.46,8.28
43.90,8.26
44.33,8.24
44.78,8.22
45.23,8.20
45.68,8.17
46.13,8.15
46.60,8.13
47.06,8.11
47.53,8.08
48.01,8.06
48.49,8.03
48.97,8.01
49.46,7.98
49.96,7.96
50.46,7.93
50.96,7.91
51.47,7.88
51.99,7.85
52.51,7.82
53.03,7.80
53.56,7.77
54.10,7.74
54.64,7.71
55.18,7.68
55.74,7.65
56.29,7.62
56.86,7.59
57.42,7.56
58.00,7.53
58.58,7.50
59.16,7.47
59.76,7.44
60.35,7.40
60.96,7.37
61.57,7.34
62.18,7.30
62.80,7.27
63.43,7.23
64.07,7.20
64.71,7.16
65.35,7.12
66.01,7.09
66.67,7.05
67.33,7.01
68.01,6.98
68.69,6.94
69.37,6.90
70.07,6.86
70.77,6.82
71.48,6.78
72.19,6.73
72.91,6.69
73.64,6.65
74.38,6.61
75.12,6.56
75.87,6.52
76.63,6.48
77.40,6.43
78.17,6.38
78.95,6.34
79.74,6.29
80.54,6.24
81.35,6.20
82.16,6.15
