frequency,raw
20.00,8.60
20.20,8.60
20.40,8.60
20.61,8.59
20.81,8.59
21.02,8.59
21.23,8.58
21.44,8.58
21.66,8.57
21.87,8.56
22.09,8.56
22.31,8.55
22.54,8.55
22.76,8.54
22.99,8.53
23.22,8.53
23.45,8.52
23.69,8.51
23.92,8.50
24.16,8.49
24.40,8.48
24.65,8.47
24.89,8.46
25.14,8.44
25.39,8.43
25.65,8.42
25.91,8.40
26.16,8.39
26.43,8.38
26.69,8.36
26.96,8.34
27.23,8.33
27.50,8.31
27.77,8.29
28.05,8.28
28.33,8.26
28.62,8.24
28.90,8.23
29.19,8.21
29.48,8.19
29.78,8.17
30.08,8.15
30.38,8.13
30.68,8.12
30.99,8.10
31.30,8.07
31.61,8.05
31.93,8.03
32.24,8.01
32.57,7.98
32.89,7.96
33.22,7.93
33.55,7.91
33.89,7.88
34.23,7.86
34.57,7.83
34.92,7.80
35.27,7.78
35.62,7.75
35.97,7.72
36.33,7.69
36.70,7.67
37.06,7.64
37.43,7.61
37.81,7.58
38.19,7.55
38.57,7.52
38.95,7.48
39.34,7.45
39.74,7.42
40.14,7.39
40.54,7.36
40.94,7.33
41.35,7.29
41.76,7.26
42.18,7.23
42.60,7.19
43.03,7.16
43.46,7.13
43.90,7.09
44.33,7.05
44.78,7.02
45.23,6.98
45.68,6.95
46.13,6.91
46.60,6.87
47.06,6.84
47.53,6.80
48.01,6.76
48.49,6.72
48.97,6.68
49.46,6.64
49.96,6.60
50.46,6.56
50.96,6.52
51.47,6.48
51.99,6.44
52.51,6.39
53.03,6.35
53.56,6.31
54.10,6.27
54.64,6.22
55.18,6.18
55.74,6.14
56.29,6.09
56.86,6.05
57.42,6.00
58.00,5.96
58.58,5.91
59.16,5.87
59.76,5.82
60.35,5.78
60.96,5.73
61.57,5.69
62.18,5.64
62.80,5.59
63.43,5.55
64.07,5.50
64.71,5.45
65.35,5.40
66.01,5.36
66.67,5.31
67.33,5.26
68.01,5.21
68.69,5.17
69.37,5.12
70.07,5.07
70.77,5.02
71.48,4.97
72.19,4.92
72.91,4.87
73.64,4.82
74.38,4.77
75.12,4.72
75.87,4.67
76.63,4.62
77.40,4.57
78.17,4.51
78.95,4.46
79.74,4.41
80.54,4.36
81.35,4.31
82.16,4.26
82.98,4.21
83.81,4.15
84.65,4.10
85.50,4.05
86.35,4.00
87.22,3.95
88.09,3.89
88.97,3.84
89.86,3.79
90.76,3.74
91.66,3.68
92.58,3.63
93.51,3.58
94.44,3.52
95.39,3.47
96.34,3.42
97.30,3.37
98.28,3.32
99.26,3.26
100.25,3.21
101.25,3.16
102.27,3.11
103.29,3.05
104.32,3.00
105.37,2.95
106.42,2.90
107.48,2.85
108.56,2.79
109.64,2.74
110.74,2.69
