frequency,raw
20.00,9.57
20.20,9.57
20.40,9.58
20.61,9.58
20.81,9.59
21.02,9.59
21.23,9.60
21.44,9.60
21.66,9.61
21.87,9.61
22.09,9.62
22.31,9.62
22.54,9.63
22.76,9.63
22.99,9.63
23.22,9.63
23.45,9.63
23.69,9.64
23.92,9.63
24.16,9.63
24.40,9.63
24.65,9.63
24.89,9.63
25.14,9.62
25.39,9.62
25.65,9.61
25.91,9.61
26.16,9.60
26.43,9.60
26.69,9.59
26.96,9.59
27.23,9.58
27.50,9.57
27.77,9.56
28.05,9.56
28.33,9.55
28.62,9.54
28.90,9.53
29.19,9.52
29.48,9.51
29.78,9.51
30.08,9.50
30.38,9.48
30.68,9.47
30.99,9.46
31.30,9.45
31.61,9.44
31.93,9.42
32.24,9.41
32.57,9.40
32.89,9.38
33.22,9.37
33.55,9.36
33.89,9.34
34.23,9.33
34.57,9.31
34.92,9.30
35.27,9.28
35.62,9.26
35.97,9.25
36.33,9.23
36.70,9.21
37.06,9.19
37.43,9.16
37.81,9.14
38.19,9.12
38.57,9.10
38.95,9.08
39.34,9.05
39.74,9.03
40.14,9.01
40.54,8.98
40.94,8.96
41.35,8.93
41.76,8.91
42.18,8.88
42.60,8.86
43.03,8.83
43.46,8.80
43.90,8.78
44.33,8.75
44.78,8.72
45.23,8.69
45.68,8.67
46.13,8.64
46.60,8.61
47.06,8.57
47.53,8.54
48.01,8.51
48.49,8.48
48.97,8.44
49.46,8.41
49.96,8.38
50.46,8.34
50.96,8.31
51.47,8.27
51.99,8.23
52.51,8.20
53.03,8.16
53.56,8.12
54.10,8.09
54.64,8.05
55.18,8.02
55.74,7.98
56.29,7.94
56.86,7.90
57.42,7.87
58.00,7.83
58.58,7.79
59.16,7.75
59.76,7.71
60.35,7.66
60.96,7.62
61.57,7.58
62.18,7.53
62.80,7.49
63.43,7.45
64.07,7.40
64.71,7.36
65.35,7.31
66.01,7.26
66.67,7.22
67.33,7.17
68.01,7.12
68.69,7.08
69.37,7.03
70.07,6.98
70.77,6.94
71.48,6.89
72.19,6.84
72.91,6.79
73.64,6.74
74.38,6.69
75.12,6.64
75.87,6.59
76.63,6.54
77.40,6.49
78.17,6.43
78.95,6.38
79.74,6.33
80.54,6.27
81.35,6.22
82.16,6.16
82.98,6.11
83.81,6.05
84.65,5.99
85.50,5.94
86.35,5.88
87.22,5.83
88.09,5.77
88.97,5.71
89.86,5.65
90.76,5.60
91.66,5.54
92.58,5.48
93.51,5.42
94.44,5.36
95.39,5.30
96.34,5.24
97.30,5.18
98.28,5.12
99.26,5.06
100.25,4.99
101.25,4.93
102.27,4.87
103.29,4.80
104.32,4.74
105.37,4.67
106.42,4.61
107.48,4.54
108.56,4.48
109.64,4.41
110.74,4.34
111.85,4.28
112.97,4.21
114.10,4.14
115.24,4.07
116.39,4.01
117.55,3.94
118.73,3.87
119.92,3.80
121.12,3.73
122.33,3.66
123.55,3.59
124.79,3.52
126.03,3.45
127.29,3.38
128.57,3.31
129.85,3.23
131.15,3.16
132.46,3.09
133.79,3.02
135.12,2.94
136.48,2.87
137.84,2.80
139.22,2.72
140.61,2.65
142.02,2.58
143.44,2.51
144.87,2.44
146.32,2.37
147.78,2.29
149.26,2.22
150.75,2.15
152.26,2.07
153.78,1.99
155.32,1.92
156.88,1.84
158.44,1.76
160.03,1.68
161.63,1.61
163.24,1.53
164.88,1.46
166.53,1.38
168.19,1.31
169.87,1.23
171.57,1.16
173.29,1.09
175.02,1.02
176.77,0.94
178.54,0.87
180.32,0.80
182.13,0.72
183.95,0.65
185.79,0.57
187.65,0.50
189.52,0.43
191.42,0.36
193.33,0.29
195.27,0.22
197.22,0.15
199.19,0.08
201.18,0.02
203.19,-0.04
205.23,-0.11
207.28,-0.17
209.35,-0.23
211.44,-0.29
213.56,-0.35
215.69,-0.41
217.85,-0.47
220.03,-0.52
222.23,-0.58
224.45,-0.63
226.70,-0.68
228.96,-0.73
231.25,-0.77
233.57,-0.82
235.90,-0.86
238.26,-0.89
240.64,-0.92
243.05,-0.95
245.48,-0.98
247.93,-1.00
250.41,-1.03
252.92,-1.04
255.45,-1.06
258.00,-1.07
260.58,-1.08
263.19,-1.09
265.82,-1.09
268.48,-1.09
271.16,-1.09
273.87,-1.09
276.61,-1.09
279.38,-1.08
282.17,-1.07
284.99,-1.06
287.84,-1.04
290.72,-1.02
293.63,-1.00
296.57,-0.97
299.53,-0.95
302.53,-0.92
305.55,-0.88
308.61,-0.85
311.69,-0.81
314.81,-0.78
317.96,-0.74
321.14,-0.70
324.35,-0.66
327.59,-0.63
330.87,-0.59
334.18,-0.55
337.52,-0.51
340.90,-0.47
344.30,-0.43
347.75,-0.39
351.23,-0.35
354.74,-0.32
358.28,-0.28
361.87,-0.24
365.49,-0.21
369.14,-0.18
372.83,-0.14
376.56,-0.11
380.33,-0.09
384.13,-0.06
387.97,-0.03
391.85,-0.01
395.77,0.02
399.73,0.04
403.72,0.06
407.76,0.08
411.84,0.09
415.96,0.11
420.12,0.12
424.32,0.13
428.56,0.14
432.85,0.15
437.18,0.16
441.55,0.17
445.96,0.17
450.42,0.17
454.93,0.17
459.48,0.17
464.07,0.17
468.71,0.16
473.40,0.16
478.13,0.15
482.91,0.14
487.74,0.13
492.62,0.12
497.55,0.11
502.52,0.09
507.55,0.08
512.62,0.07
517.75,0.06
522.93,0.04
528.16,0.03
533.44,0.02
538.77,0.00
544.16,-0.01
549.60,-0.03
555.10,-0.04
560.65,-0.06
566.25,-0.08
571.92,-0.09
577.64,-0.11
583.41,-0.14
589.25,-0.16
595.14,-0.18
601.09,-0.21
607.10,-0.23
613.17,-0.25
619.30,-0.27
625.50,-0.29
631.75,-0.31
638.07,-0.33
644.45,-0.34
650.89,-0.36
657.40,-0.38
663.98,-0.40
670.62,-0.41
677.32,-0.43
684.10,-0.44
690.94,-0.46
697.85,-0.47
704.83,-0.49
711.87,-0.50
718.99,-0.52
726.18,-0.53
733.44,-0.54
740.78,-0.56
748.19,-0.57
755.67,-0.58
763.23,-0.58
770.86,-0.59
778.57,-0.59
786.35,-0.60
794.22,-0.60
802.16,-0.60
810.18,-0.60
818.28,-0.60
826.46,-0.60
834.73,-0.59
843.08,-0.58
851.51,-0.57
860.02,-0.56
868.62,-0.54
877.31,-0.52
886.08,-0.50
894.94,-0.47
903.89,-0.45
912.93,-0.42
922.06,-0.39
931.28,-0.36
940.59,-0.33
950.00,-0.29
959.50,-0.24
969.09,-0.19
978.78,-0.14
988.57,-0.08
998.46,-0.01
1008.44,0.06
1018.53,0.12
1028.71,0.18
1039.00,0.25
1049.39,0.33
1059.88,0.41
1070.48,0.49
1081.19,0.58
1092.00,0.66
1102.92,0.74
1113.95,0.82
1125.09,0.89
1136.34,0.97
1147.70,1.05
1159.18,1.12
1170.77,1.20
1182.48,1.27
1194.30,1.35
1206.25,1.42
1218.31,1.50
1230.49,1.57
1242.80,1.64
1255.22,1.72
1267.78,1.79
1280.45,1.86
1293.26,1.92
1306.19,1.99
1319.25,2.05
1332.45,2.11
1345.77,2.18
1359.23,2.24
1372.82,2.29
1386.55,2.35
1400.41,2.41
1414.42,2.46
1428.56,2.51
1442.85,2.56
1457.28,2.62
1471.85,2.67
1486.57,2.72
1501.43,2.77
1516.45,2.82
1531.61,2.87
1546.93,2.91
1562.40,2.96
1578.02,3.01
1593.80,3.06
1609.74,3.11
1625.84,3.16
1642.10,3.21
1658.52,3.26
1675.10,3.31
1691.85,3.35
1708.77,3.40
1725.86,3.45
1743.12,3.50
1760.55,3.56
1778.15,3.61
1795.94,3.66
1813.90,3.71
1832.03,3.77
1850.36,3.82
1868.86,3.88
1887.55,3.93
1906.42,3.99
1925.49,4.05
1944.74,4.11
1964.19,4.17
1983.83,4.23
2003.67,4.29
2023.71,4.35
2043.94,4.41
2064.38,4.47
2085.03,4.54
2105.88,4.60
2126.94,4.67
2148.20,4.73
2169.69,4.79
2191.38,4.86
2213.30,4.92
2235.43,4.99
2257.78,5.05
2280.36,5.12
2303.17,5.19
2326.20,5.25
2349.46,5.32
2372.95,5.39
2396.68,5.46
2420.65,5.52
2444.86,5.59
2469.31,5.66
2494.00,5.73
2518.94,5.80
2544.13,5.87
2569.57,5.94
2595.27,6.01
2621.22,6.08
2647.43,6.15
2673.90,6.22
2700.64,6.29
2727.65,6.36
2754.93,6.43
2782.48,6.50
2810.30,6.57
2838.40,6.64
2866.79,6.71
2895.46,6.78
2924.41,6.85
2953.65,6.92
2983.19,6.99
3013.02,7.07
3043.15,7.14
3073.58,7.21
3104.32,7.28
3135.36,7.35
3166.72,7.42
3198.38,7.49
3230.37,7.56
3262.67,7.62
3295.30,7.69
3328.25,7.75
3361.53,7.81
3395.15,7.87
3429.10,7.93
3463.39,7.98
3498.03,8.03
3533.01,8.08
3568.34,8.12
3604.02,8.16
3640.06,8.19
3676.46,8.21
3713.22,8.24
3750.36,8.25
3787.86,8.26
3825.74,8.26
3864.00,8.26
3902.64,8.24
3941.66,8.22
3981.08,8.19
4020.89,8.15
4061.10,8.10
4101.71,8.04
4142.73,7.97
4184.15,7.89
4226.00,7.79
4268.26,7.69
4310.94,7.57
4354.05,7.45
4397.59,7.31
4441.56,7.17
4485.98,7.01
4530.84,6.84
4576.15,6.67
4621.91,6.49
4668.13,6.30
4714.81,6.10
4761.96,5.89
4809.58,5.68
4857.67,5.46
4906.25,5.24
4955.31,5.01
5004.87,4.77
5054.91,4.53
5105.46,4.29
5156.52,4.04
5208.08,3.80
5260.16,3.55
5312.77,3.30
5365.89,3.06
5419.55,2.83
5473.75,2.61
5528.49,2.40
5583.77,2.19
5639.61,1.98
5696.00,1.77
5752.96,1.55
5810.49,1.34
5868.60,1.13
5927.28,0.92
5986.56,0.71
6046.42,0.51
6106.89,0.32
6167.96,0.14
6229.64,-0.04
6291.93,-0.21
6354.85,-0.36
6418.40,-0.51
6482.58,-0.65
6547.41,-0.78
6612.88,-0.90
6679.01,-1.01
6745.80,-1.11
6813.26,-1.20
6881.39,-1.27
6950.21,-1.33
7019.71,-1.38
7089.91,-1.41
7160.81,-1.43
7232.41,-1.43
7304.74,-1.41
7377.79,-1.38
7451.56,-1.33
7526.08,-1.27
7601.34,-1.19
7677.35,-1.09
7754.13,-0.98
7831.67,-0.84
7909.98,-0.69
7989.08,-0.53
8068.98,-0.34
8149.67,-0.15
8231.16,0.06
8313.47,0.28
8396.61,0.50
8480.57,0.72
8565.38,0.93
8651.03,1.13
8737.54,1.31
8824.92,1.45
8913.17,1.55
9002.30,1.63
9092.32,1.64
9183.25,1.61
9275.08,1.55
9367.83,1.45
9461.51,1.31
9556.12,1.15
9651.68,0.96
9748.20,0.76
9845.68,0.54
9944.14,0.31
10043.58,0.06
10144.02,-0.20
10245.46,-0.47
10347.91,-0.74
10451.39,-1.02
10555.91,-1.28
10661.46,-1.52
10768.08,-1.75
10875.76,-1.94
10984.52,-2.08
11094.36,-2.20
11205.31,-2.27
11317.36,-2.26
11430.53,-2.22
11544.84,-2.08
11660.29,-1.88
11776.89,-1.64
11894.66,-1.27
12013.60,-0.89
12133.74,-0.45
12255.08,0.01
12377.63,0.46
12501.41,0.88
12626.42,1.17
12752.68,1.32
12880.21,1.20
13009.01,0.95
13139.10,0.69
13270.49,0.05
13403.20,-0.70
13537.23,-1.66
13672.60,-2.71
13809.33,-3.83
13947.42,-5.03
14086.90,-6.25
14227.77,-7.46
14370.04,-8.63
14513.74,-9.73
14658.88,-10.68
14805.47,-11.55
14953.52,-12.30
15103.06,-12.95
15254.09,-13.55
15406.63,-14.07
15560.70,-14.55
15716.30,-15.01
15873.47,-15.44
16032.20,-15.85
16192.52,-16.26
16354.45,-16.67
16517.99,-17.07
16683.17,-17.48
16850.01,-17.90
17018.51,-18.33
17188.69,-18.79
17360.58,-19.27
17534.18,-19.77
17709.53,-20.30
17886.62,-20.86
18065.49,-21.44
18246.14,-22.04
18428.60,-22.65
18612.89,-23.24
18799.02,-23.78
18987.01,-24.24
19176.88,-24.67
19368.65,-25.15
19562.33,-25.72
19757.96,-26.42
19955.54,-27.33
