frequency,raw
20.00,8.72
20.20,8.72
20.40,8.72
20.61,8.72
20.81,8.71
21.02,8.71
21.23,8.71
21.44,8.71
21.66,8.71
21.87,8.71
22.09,8.70
22.31,8.70
22.54,8.70
22.76,8.70
22.99,8.70
23.22,8.70
23.45,8.69
23.69,8.69
23.92,8.68
24.16,8.67
24.40,8.67
24.65,8.66
24.89,8.66
25.14,8.65
25.39,8.64
25.65,8.64
25.91,8.64
26.16,8.63
26.43,8.63
26.69,8.62
26.96,8.62
27.23,8.61
27.50,8.61
27.77,8.60
28.05,8.59
28.33,8.59
28.62,8.58
28.90,8.57
29.19,8.56
29.48,8.55
29.78,8.54
30.08,8.53
30.38,8.52
30.68,8.51
30.99,8.49
31.30,8.48
31.61,8.47
31.93,8.46
32.24,8.45
32.57,8.44
32.89,8.42
33.22,8.41
33.55,8.40
33.89,8.39
34.23,8.37
34.57,8.36
34.92,8.35
35.27,8.34
35.62,8.32
35.97,8.31
36.33,8.30
36.70,8.29
37.06,8.27
37.43,8.26
37.81,8.24
38.19,8.22
38.57,8.20
38.95,8.18
39.34,8.17
39.74,8.15
40.14,8.13
40.54,8.11
40.94,8.09
41.35,8.07
41.76,8.04
42.18,8.02
42.60,8.00
43.03,7.98
43.46,7.96
43.90,7.94
44.33,7.92
44.78,7.90
45.23,7.88
45.68,7.86
46.13,7.84
46.60,7.82
47.06,7.80
47.53,7.78
48.01,7.76
48.49,7.73
48.97,7.71
49.46,7.68
49.96,7.65
50.46,7.63
50.96,7.60
51.47,7.58
51.99,7.56
52.51,7.53
53.03,7.51
53.56,7.48
54.10,7.45
54.64,7.42
55.18,7.40
55.74,7.37
56.29,7.34
56.86,7.31
57.42,7.29
58.00,7.26
58.58,7.23
59.16,7.19
59.76,7.16
60.35,7.13
60.96,7.10
61.57,7.07
62.18,7.04
62.80,7.01
63.43,6.98
64.07,6.95
64.71,6.92
65.35,6.88
66.01,6.85
66.67,6.82
67.33,6.79
68.01,6.76
68.69,6.73
69.37,6.70
70.07,6.66
70.77,6.62
71.48,6.59
72.19,6.55
72.91,6.51
73.64,6.47
74.38,6.44
75.12,6.40
75.87,6.36
76.63,6.33
77.40,6.29
78.17,6.25
78.95,6.22
79.74,6.18
80.54,6.14
81.35,6.10
82.16,6.07
82.98,6.03
83.81,5.99
84.65,5.95
85.50,5.91
86.35,5.87
87.22,5.83
88.09,5.79
88.97,5.75
89.86,5.71
90.76,5.67
91.66,5.63
92.58,5.59
93.51,5.55
94.44,5.51
95.39,5.46
96.34,5.42
97.30,5.38
98.28,5.33
99.26,5.29
100.25,5.24
101.25,5.20
102.27,5.16
103.29,5.11
104.32,5.07
105.37,5.03
106.42,4.98
107.48,4.94
108.56,4.89
109.64,4.84
110.74,4.80
111.85,4.75
112.97,4.71
114.10,4.66
115.24,4.62
116.39,4.58
117.55,4.53
118.73,4.49
119.92,4.44
121.12,4.40
122.33,4.35
123.55,4.31
124.79,4.26
126.03,4.21
127.29,4.17
128.57,4.12
129.85,4.08
131.15,4.03
132.46,3.98
133.79,3.94
135.12,3.89
136.48,3.85
137.84,3.80
139.22,3.75
140.61,3.71
142.02,3.66
143.44,3.62
144.87,3.57
146.32,3.52
147.78,3.48
149.26,3.43
150.75,3.38
152.26,3.34
153.78,3.29
155.32,3.25
156.88,3.20
158.44,3.15
160.03,3.10
161.63,3.05
163.24,3.00
164.88,2.96
166.53,2.91
168.19,2.87
169.87,2.83
171.57,2.78
173.29,2.74
175.02,2.69
176.77,2.65
178.54,2.60
180.32,2.56
182.13,2.51
183.95,2.47
185.79,2.43
187.65,2.38
189.52,2.34
191.42,2.29
193.33,2.25
195.27,2.20
197.22,2.16
199.19,2.11
201.18,2.07
203.19,2.03
205.23,1.98
207.28,1.94
209.35,1.90
211.44,1.86
213.56,1.81
215.69,1.77
217.85,1.73
220.03,1.68
222.23,1.64
224.45,1.60
226.70,1.56
228.96,1.52
231.25,1.48
233.57,1.44
235.90,1.39
238.26,1.35
240.64,1.31
243.05,1.27
245.48,1.23
247.93,1.19
250.41,1.15
252.92,1.12
255.45,1.08
258.00,1.04
260.58,1.00
263.19,0.96
265.82,0.93
268.48,0.89
271.16,0.85
273.87,0.81
276.61,0.78
279.38,0.74
282.17,0.70
284.99,0.67
287.84,0.63
290.72,0.60
293.63,0.56
296.57,0.53
299.53,0.49
302.53,0.46
305.55,0.42
308.61,0.39
311.69,0.36
314.81,0.32
317.96,0.29
321.14,0.26
324.35,0.23
327.59,0.19
330.87,0.16
334.18,0.13
337.52,0.10
340.90,0.07
344.30,0.04
347.75,0.01
351.23,-0.02
354.74,-0.05
358.28,-0.07
361.87,-0.10
365.49,-0.13
369.14,-0.16
372.83,-0.18
376.56,-0.21
380.33,-0.24
384.13,-0.27
387.97,-0.29
391.85,-0.32
395.77,-0.34
399.73,-0.37
403.72,-0.39
407.76,-0.42
411.84,-0.44
415.96,-0.47
