frequency,raw
20.00,8.41
20.20,8.40
20.40,8.39
20.61,8.38
20.81,8.37
21.02,8.36
21.23,8.34
21.44,8.33
21.66,8.32
21.87,8.30
22.09,8.29
22.31,8.27
22.54,8.26
22.76,8.24
22.99,8.23
23.22,8.22
23.45,8.21
23.69,8.20
23.92,8.18
24.16,8.17
24.40,8.16
24.65,8.14
24.89,8.13
25.14,8.11
25.39,8.09
25.65,8.07
25.91,8.05
26.16,8.03
26.43,8.02
26.69,8.00
26.96,7.98
27.23,7.96
27.50,7.94
27.77,7.92
28.05,7.90
28.33,7.88
28.62,7.86
28.90,7.84
29.19,7.82
29.48,7.80
29.78,7.77
30.08,7.75
30.38,7.73
30.68,7.71
30.99,7.68
31.30,7.66
31.61,7.63
31.93,7.61
32.24,7.58
32.57,7.56
32.89,7.53
33.22,7.51
33.55,7.48
33.89,7.46
34.23,7.43
34.57,7.40
34.92,7.37
35.27,7.35
35.62,7.32
35.97,7.29
36.33,7.26
36.70,7.23
37.06,7.21
37.43,7.18
37.81,7.15
38.19,7.12
38.57,7.09
38.95,7.06
39.34,7.03
39.74,7.00
40.14,6.96
40.54,6.93
40.94,6.90
41.35,6.86
41.76,6.82
42.18,6.78
42.60,6.75
43.03,6.71
43.46,6.68
43.90,6.65
44.33,6.62
44.78,6.59
45.23,6.55
45.68,6.52
46.13,6.48
46.60,6.44
47.06,6.41
47.53,6.37
48.01,6.33
48.49,6.29
48.97,6.26
49.46,6.22
49.96,6.18
50.46,6.14
50.96,6.10
51.47,6.06
51.99,6.02
52.51,5.98
53.03,5.94
53.56,5.89
54.10,5.85
54.64,5.81
55.18,5.76
55.74,5.72
56.29,5.68
56.86,5.63
57.42,5.59
58.00,5.54
58.58,5.50
59.16,5.46
59.76,5.41
60.35,5.37
60.96,5.32
61.57,5.28
62.18,5.23
62.80,5.18
63.43,5.14
64.07,5.09
64.71,5.04
65.35,4.99
66.01,4.95
66.67,4.90
67.33,4.85
68.01,4.80
68.69,4.75
69.37,4.71
70.07,4.66
70.77,4.61
71.48,4.56
72.19,4.51
72.91,4.45
73.64,4.40
74.38,4.35
75.12,4.30
75.87,4.25
76.63,4.20
77.40,4.15
78.17,4.09
78.95,4.04
79.74,3.99
80.54,3.94
81.35,3.88
82.16,3.83
82.98,3.77
83.81,3.72
84.65,3.67
85.50,3.61
86.35,3.56
87.22,3.50
88.09,3.45
88.97,3.40
89.86,3.34
90.76,3.29
91.66,3.23
92.58,3.18
93.51,3.12
94.44,3.07
95.39,3.01
96.34,2.96
97.30,2.90
98.28,2.84
99.26,2.79
100.25,2.73
101.25,2.67
102.27,2.61
103.29,2.56
104.32,2.50
105.37,2.44
106.42,2.39
107.48,2.33
108.56,2.27
109.64,2.22
110.74,2.16
111.85,2.11
112.97,2.05
114.10,2.00
115.24,1.94
116.39,1.88
117.55,1.83
118.73,1.77
119.92,1.71
121.12,1.66
122.33,1.60
123.55,1.54
124.79,1.49
126.03,1.43
127.29,1.38
128.57,1.32
129.85,1.26
131.15,1.21
132.46,1.15
133.79,1.10
135.12,1.04
136.48,0.99
137.84,0.93
139.22,0.88
140.61,0.82
142.02,0.77
143.44,0.72
144.87,0.66
146.32,0.61
147.78,0.56
149.26,0.50
150.75,0.45
152.26,0.40
153.78,0.35
155.32,0.30
156.88,0.24
158.44,0.19
160.03,0.14
161.63,0.09
163.24,0.04
164.88,-0.01
166.53,-0.05
168.19,-0.10
169.87,-0.15
171.57,-0.20
173.29,-0.25
175.02,-0.30
176.77,-0.34
178.54,-0.39
180.32,-0.44
182.13,-0.48
183.95,-0.53
185.79,-0.57
187.65,-0.61
189.52,-0.66
191.42,-0.70
193.33,-0.74
195.27,-0.78
197.22,-0.82
