frequency,raw
20.00,4.39
20.20,4.38
20.40,4.37
20.61,4.37
20.81,4.36
21.02,4.35
21.23,4.34
21.44,4.33
21.66,4.32
21.87,4.31
22.09,4.30
22.31,4.29
22.54,4.28
22.76,4.27
22.99,4.26
23.22,4.25
23.45,4.24
23.69,4.23
23.92,4.22
24.16,4.21
24.40,4.20
24.65,4.20
24.89,4.19
25.14,4.18
25.39,4.17
25.65,4.15
25.91,4.14
26.16,4.13
26.43,4.12
26.69,4.11
26.96,4.09
27.23,4.08
27.50,4.06
27.77,4.04
28.05,4.02
28.33,4.00
28.62,3.99
28.90,3.97
29.19,3.95
29.48,3.93
29.78,3.91
30.08,3.89
30.38,3.87
30.68,3.85
30.99,3.83
31.30,3.80
31.61,3.78
31.93,3.76
32.24,3.74
32.57,3.72
32.89,3.70
33.22,3.67
33.55,3.65
33.89,3.62
34.23,3.60
34.57,3.57
34.92,3.54
35.27,3.52
35.62,3.49
35.97,3.46
36.33,3.43
36.70,3.40
37.06,3.37
37.43,3.34
37.81,3.31
38.19,3.28
38.57,3.25
38.95,3.22
39.34,3.19
39.74,3.16
40.14,3.13
40.54,3.10
40.94,3.06
41.35,3.03
41.76,3.00
42.18,2.96
42.60,2.93
43.03,2.89
43.46,2.85
43.90,2.81
44.33,2.78
44.78,2.74
45.23,2.70
45.68,2.66
46.13,2.62
46.60,2.58
47.06,2.54
47.53,2.50
48.01,2.46
48.49,2.42
48.97,2.37
49.46,2.33
49.96,2.29
50.46,2.25
50.96,2.20
51.47,2.16
51.99,2.11
52.51,2.07
53.03,2.02
53.56,1.97
54.10,1.92
54.64,1.88
55.18,1.83
55.74,1.78
56.29,1.73
56.86,1.68
57.42,1.63
58.00,1.58
58.58,1.53
59.16,1.47
59.76,1.42
60.35,1.37
60.96,1.32
61.57,1.26
62.18,1.21
62.80,1.15
63.43,1.10
64.07,1.04
64.71,0.98
65.35,0.93
66.01,0.87
66.67,0.82
67.33,0.76
68.01,0.70
68.69,0.64
69.37,0.58
70.07,0.52
70.77,0.47
71.48,0.41
72.19,0.35
72.91,0.29
73.64,0.23
74.38,0.17
75.12,0.11
75.87,0.05
76.63,-0.01
77.40,-0.07
78.17,-0.14
78.95,-0.20
79.74,-0.26
80.54,-0.32
81.35,-0.38
82.16,-0.44
82.98,-0.50
83.81,-0.56
84.65,-0.62
85.50,-0.68
86.35,-0.74
87.22,-0.80
88.09,-0.86
88.97,-0.92
89.86,-0.98
90.76,-1.04
91.66,-1.09
92.58,-1.15
93.51,-1.21
94.44,-1.27
95.39,-1.32
96.34,-1.38
97.30,-1.43
98.28,-1.48
99.26,-1.54
100.25,-1.59
101.25,-1.64
102.27,-1.70
103.29,-1.75
104.32,-1.80
105.37,-1.84
106.42,-1.89
107.48,-1.94
108.56,-1.98
109.64,-2.02
110.74,-2.07
111.85,-2.11
112.97,-2.15
114.10,-2.19
115.24,-2.23
116.39,-2.27
117.55,-2.30
118.73,-2.34
119.92,-2.37
121.12,-2.40
122.33,-2.44
123.55,-2.47
124.79,-2.50
126.03,-2.53
127.29,-2.55
128.57,-2.58
129.85,-2.60
131.15,-2.62
132.46,-2.64
133.79,-2.66
135.12,-2.68
136.48,-2.70
137.84,-2.71
139.22,-2.73
140.61,-2.74
142.02,-2.75
143.44,-2.77
144.87,-2.78
146.32,-2.78
147.78,-2.79
149.26,-2.80
150.75,-2.80
152.26,-2.81
153.78,-2.81
155.32,-2.81
156.88,-2.81
158.44,-2.81
160.03,-2.80
161.63,-2.80
163.24,-2.80
164.88,-2.79
166.53,-2.79
168.19,-2.79
169.87,-2.79
171.57,-2.78
173.29,-2.78
175.02,-2.77
176.77,-2.76
178.54,-2.75
180.32,-2.74
182.13,-2.73
183.95,-2.72
185.79,-2.71
187.65,-2.70
189.52,-2.68
191.42,-2.67
193.33,-2.66
195.27,-2.65
197.22,-2.63
199.19,-2.62
201.18,-2.61
203.19,-2.59
205.23,-2.58
207.28,-2.56
209.35,-2.55
211.44,-2.53
213.56,-2.51
215.69,-2.50
217.85,-2.48
220.03,-2.47
222.23,-2.45
224.45,-2.44
226.70,-2.42
228.96,-2.40
231.25,-2.39
233.57,-2.37
235.90,-2.36
238.26,-2.34
240.64,-2.32
243.05,-2.31
245.48,-2.29
247.93,-2.28
250.41,-2.26
252.92,-2.24
255.45,-2.23
258.00,-2.21
260.58,-2.20
263.19,-2.18
265.82,-2.17
268.48,-2.15
271.16,-2.14
273.87,-2.12
276.61,-2.11
279.38,-2.10
282.17,-2.08
284.99,-2.07
287.84,-2.05
290.72,-2.04
293.63,-2.03
296.57,-2.01
299.53,-2.00
302.53,-1.98
305.55,-1.97
308.61,-1.96
311.69,-1.94
314.81,-1.93
317.96,-1.92
321.14,-1.90
324.35,-1.89
327.59,-1.88
330.87,-1.87
334.18,-1.86
337.52,-1.84
340.90,-1.83
344.30,-1.82
347.75,-1.81
351.23,-1.80
354.74,-1.78
358.28,-1.77
361.87,-1.76
365.49,-1.75
369.14,-1.74
372.83,-1.73
376.56,-1.72
380.33,-1.71
384.13,-1.70
387.97,-1.69
391.85,-1.67
395.77,-1.66
399.73,-1.65
403.72,-1.64
407.76,-1.63
411.84,-1.62
415.96,-1.61
420.12,-1.60
424.32,-1.59
428.56,-1.58
432.85,-1.57
437.18,-1.55
441.55,-1.54
445.96,-1.53
450.42,-1.52
454.93,-1.51
459.48,-1.50
464.07,-1.49
468.71,-1.48
473.40,-1.47
478.13,-1.46
482.91,-1.45
487.74,-1.45
492.62,-1.44
497.55,-1.43
502.52,-1.43
507.55,-1.42
512.62,-1.42
517.75,-1.41
522.93,-1.41
528.16,-1.41
533.44,-1.41
538.77,-1.40
544.16,-1.40
549.60,-1.40
555.10,-1.40
560.65,-1.40
566.25,-1.40
571.92,-1.40
577.64,-1.39
583.41,-1.39
589.25,-1.39
595.14,-1.39
601.09,-1.39
607.10,-1.39
613.17,-1.39
619.30,-1.39
625.50,-1.39
631.75,-1.38
638.07,-1.38
644.45,-1.38
650.89,-1.38
657.40,-1.38
663.98,-1.38
670.62,-1.37
677.32,-1.37
684.10,-1.37
690.94,-1.36
697.85,-1.36
704.83,-1.36
711.87,-1.35
718.99,-1.34
726.18,-1.34
733.44,-1.33
740.78,-1.32
748.19,-1.31
755.67,-1.30
763.23,-1.28
770.86,-1.27
778.57,-1.25
786.35,-1.23
794.22,-1.21
802.16,-1.19
810.18,-1.17
818.28,-1.14
826.46,-1.11
834.73,-1.08
843.08,-1.05
851.51,-1.01
860.02,-0.97
868.62,-0.93
877.31,-0.89
886.08,-0.84
894.94,-0.79
903.89,-0.73
912.93,-0.68
922.06,-0.62
931.28,-0.55
940.59,-0.48
950.00,-0.41
959.50,-0.34
969.09,-0.26
978.78,-0.18
988.57,-0.10
998.46,-0.01
1008.44,0.08
1018.53,0.17
1028.71,0.26
1039.00,0.36
1049.39,0.46
1059.88,0.56
1070.48,0.66
1081.19,0.76
1092.00,0.86
1102.92,0.97
1113.95,1.07
1125.09,1.18
1136.34,1.28
1147.70,1.38
1159.18,1.49
1170.77,1.59
1182.48,1.69
1194.30,1.79
1206.25,1.88
1218.31,1.98
1230.49,2.07
1242.80,2.16
1255.22,2.24
1267.78,2.33
1280.45,2.41
1293.26,2.49
1306.19,2.57
1319.25,2.64
1332.45,2.71
1345.77,2.78
1359.23,2.85
1372.82,2.91
1386.55,2.98
1400.41,3.04
1414.42,3.09
1428.56,3.15
1442.85,3.20
1457.28,3.26
1471.85,3.31
1486.57,3.36
1501.43,3.40
1516.45,3.45
1531.61,3.50
1546.93,3.54
1562.40,3.59
1578.02,3.63
1593.80,3.67
1609.74,3.71
1625.84,3.75
1642.10,3.79
1658.52,3.83
1675.10,3.87
1691.85,3.92
1708.77,3.96
1725.86,4.00
1743.12,4.04
1760.55,4.08
1778.15,4.12
1795.94,4.16
1813.90,4.20
1832.03,4.25
1850.36,4.29
1868.86,4.34
1887.55,4.38
1906.42,4.43
1925.49,4.48
1944.74,4.53
1964.19,4.58
1983.83,4.63
2003.67,4.68
2023.71,4.73
2043.94,4.79
2064.38,4.84
2085.03,4.90
2105.88,4.96
2126.94,5.02
2148.20,5.08
2169.69,5.14
2191.38,5.20
2213.30,5.26
2235.43,5.32
2257.78,5.38
2280.36,5.44
2303.17,5.49
2326.20,5.55
2349.46,5.60
2372.95,5.65
2396.68,5.69
2420.65,5.73
2444.86,5.77
2469.31,5.80
2494.00,5.83
2518.94,5.85
2544.13,5.86
2569.57,5.87
2595.27,5.87
2621.22,5.87
2647.43,5.86
2673.90,5.84
2700.64,5.82
2727.65,5.79
2754.93,5.75
2782.48,5.70
2810.30,5.66
2838.40,5.60
2866.79,5.54
2895.46,5.48
2924.41,5.41
2953.65,5.34
2983.19,5.27
3013.02,5.19
3043.15,5.11
3073.58,5.03
3104.32,4.95
3135.36,4.87
3166.72,4.80
3198.38,4.72
3230.37,4.64
3262.67,4.56
3295.30,4.49
3328.25,4.41
3361.53,4.34
3395.15,4.27
3429.10,4.21
3463.39,4.14
3498.03,4.08
3533.01,4.03
3568.34,3.98
3604.02,3.93
3640.06,3.88
3676.46,3.84
3713.22,3.80
3750.36,3.76
3787.86,3.73
3825.74,3.70
3864.00,3.67
3902.64,3.65
3941.66,3.63
3981.08,3.60
4020.89,3.58
4061.10,3.56
4101.71,3.53
4142.73,3.50
4184.15,3.46
4226.00,3.41
4268.26,3.36
4310.94,3.31
4354.05,3.24
4397.59,3.17
4441.56,3.10
4485.98,3.01
4530.84,2.93
4576.15,2.84
4621.91,2.74
4668.13,2.64
4714.81,2.53
4761.96,2.42
4809.58,2.30
4857.67,2.17
4906.25,2.04
4955.31,1.90
5004.87,1.76
5054.91,1.63
5105.46,1.50
5156.52,1.37
5208.08,1.26
5260.16,1.18
5312.77,1.11
5365.89,1.06
5419.55,1.05
5473.75,1.06
5528.49,1.09
5583.77,1.13
5639.61,1.18
5696.00,1.22
5752.96,1.23
5810.49,1.24
5868.60,1.20
5927.28,1.14
5986.56,1.04
6046.42,0.92
6106.89,0.77
6167.96,0.61
6229.64,0.43
6291.93,0.25
6354.85,0.08
6418.40,-0.08
6482.58,-0.23
6547.41,-0.35
6612.88,-0.45
6679.01,-0.51
6745.80,-0.55
6813.26,-0.56
6881.39,-0.56
6950.21,-0.54
7019.71,-0.50
7089.91,-0.45
7160.81,-0.36
7232.41,-0.25
7304.74,-0.11
7377.79,0.05
7451.56,0.21
7526.08,0.36
7601.34,0.49
7677.35,0.59
7754.13,0.67
7831.67,0.69
7909.98,0.67
7989.08,0.59
8068.98,0.44
8149.67,0.25
8231.16,0.00
8313.47,-0.30
8396.61,-0.63
8480.57,-0.99
8565.38,-1.35
8651.03,-1.69
8737.54,-2.01
8824.92,-2.25
8913.17,-2.40
9002.30,-2.52
9092.32,-2.51
9183.25,-2.46
9275.08,-2.39
9367.83,-2.31
9461.51,-2.25
9556.12,-2.21
9651.68,-2.18
9748.20,-2.15
9845.68,-2.11
9944.14,-2.03
10043.58,-1.91
10144.02,-1.74
10245.46,-1.49
10347.91,-1.19
10451.39,-0.83
10555.91,-0.40
10661.46,0.07
10768.08,0.56
10875.76,1.07
10984.52,1.54
11094.36,1.96
11205.31,2.31
11317.36,2.50
11430.53,2.60
11544.84,2.55
11660.29,2.38
11776.89,2.17
11894.66,1.86
12013.60,1.55
12133.74,1.21
12255.08,0.85
12377.63,0.47
12501.41,0.07
12626.42,-0.33
12752.68,-0.75
12880.21,-1.19
13009.01,-1.65
13139.10,-2.10
13270.49,-2.63
13403.20,-3.18
13537.23,-3.79
13672.60,-4.45
13809.33,-5.14
13947.42,-5.87
14086.90,-6.61
14227.77,-7.36
14370.04,-8.11
14513.74,-8.84
14658.88,-9.53
14805.47,-10.19
14953.52,-10.79
15103.06,-11.31
15254.09,-11.78
15406.63,-12.11
15560.70,-12.38
15716.30,-12.56
15873.47,-12.61
16032.20,-12.59
16192.52,-12.45
16354.45,-12.19
16517.99,-11.85
16683.17,-11.36
16850.01,-10.77
17018.51,-10.10
17188.69,-9.30
17360.58,-8.43
