frequency,raw
20.00,5.17
20.20,5.22
20.40,5.26
20.61,5.30
20.81,5.35
21.02,5.39
21.23,5.43
21.44,5.48
21.66,5.53
21.87,5.58
22.09,5.63
22.31,5.67
22.54,5.71
22.76,5.75
22.99,5.79
23.22,5.83
23.45,5.87
23.69,5.91
23.92,5.95
24.16,5.99
24.40,6.03
24.65,6.07
24.89,6.11
25.14,6.15
25.39,6.19
25.65,6.24
25.91,6.27
26.16,6.31
26.43,6.35
26.69,6.38
26.96,6.41
27.23,6.44
27.50,6.47
27.77,6.49
28.05,6.51
28.33,6.54
28.62,6.56
28.90,6.58
29.19,6.61
29.48,6.63
29.78,6.65
30.08,6.67
30.38,6.69
30.68,6.71
30.99,6.73
31.30,6.74
31.61,6.76
31.93,6.77
32.24,6.78
32.57,6.79
32.89,6.81
33.22,6.82
33.55,6.84
33.89,6.85
34.23,6.87
34.57,6.88
34.92,6.90
35.27,6.91
35.62,6.92
35.97,6.93
36.33,6.93
36.70,6.94
37.06,6.95
37.43,6.95
37.81,6.96
38.19,6.97
38.57,6.97
38.95,6.98
39.34,6.98
39.74,6.98
40.14,6.98
40.54,6.98
40.94,6.98
41.35,6.98
41.76,6.98
42.18,6.98
42.60,6.98
43.03,6.98
43.46,6.98
43.90,6.98
44.33,6.97
44.78,6.97
45.23,6.96
45.68,6.96
46.13,6.95
46.60,6.95
47.06,6.94
47.53,6.93
48.01,6.92
48.49,6.91
48.97,6.90
49.46,6.89
49.96,6.88
50.46,6.87
50.96,6.86
51.47,6.85
51.99,6.83
52.51,6.82
53.03,6.80
53.56,6.79
54.10,6.77
54.64,6.76
55.18,6.74
55.74,6.72
56.29,6.71
56.86,6.69
57.42,6.67
58.00,6.65
58.58,6.63
59.16,6.61
59.76,6.59
60.35,6.56
60.96,6.54
61.57,6.52
62.18,6.50
62.80,6.47
63.43,6.45
64.07,6.42
64.71,6.40
65.35,6.38
66.01,6.35
66.67,6.32
67.33,6.30
68.01,6.27
68.69,6.24
69.37,6.22
70.07,6.19
70.77,6.16
71.48,6.13
72.19,6.10
72.91,6.07
73.64,6.03
74.38,6.00
75.12,5.97
75.87,5.94
76.63,5.91
77.40,5.87
78.17,5.84
78.95,5.81
79.74,5.77
80.54,5.74
81.35,5.70
82.16,5.67
82.98,5.63
83.81,5.59
84.65,5.56
85.50,5.52
86.35,5.48
87.22,5.44
88.09,5.41
88.97,5.37
89.86,5.33
90.76,5.29
91.66,5.25
92.58,5.22
93.51,5.17
94.44,5.13
95.39,5.09
96.34,5.05
97.30,5.01
98.28,4.96
99.26,4.92
100.25,4.88
101.25,4.84
102.27,4.79
103.29,4.75
104.32,4.71
105.37,4.67
106.42,4.62
107.48,4.58
108.56,4.54
109.64,4.49
110.74,4.45
111.85,4.40
112.97,4.36
114.10,4.31
115.24,4.27
116.39,4.22
117.55,4.17
118.73,4.13
119.92,4.08
121.12,4.04
122.33,3.99
123.55,3.94
124.79,3.89
126.03,3.85
127.29,3.80
128.57,3.75
129.85,3.70
131.15,3.65
132.46,3.61
133.79,3.56
135.12,3.51
136.48,3.46
137.84,3.41
139.22,3.36
140.61,3.31
142.02,3.26
143.44,3.21
144.87,3.16
146.32,3.11
147.78,3.06
149.26,3.01
150.75,2.96
152.26,2.90
153.78,2.85
155.32,2.80
156.88,2.74
158.44,2.69
160.03,2.63
161.63,2.58
163.24,2.52
164.88,2.47
166.53,2.41
168.19,2.36
169.87,2.31
171.57,2.27
173.29,2.22
175.02,2.18
176.77,2.14
178.54,2.10
180.32,2.07
182.13,2.04
183.95,2.01
185.79,1.99
187.65,1.96
189.52,1.94
191.42,1.91
193.33,1.89
195.27,1.86
197.22,1.82
199.19,1.78
201.18,1.74
203.19,1.70
205.23,1.65
207.28,1.61
209.35,1.56
211.44,1.51
213.56,1.46
215.69,1.42
217.85,1.37
220.03,1.32
222.23,1.28
224.45,1.23
226.70,1.18
228.96,1.14
231.25,1.09
233.57,1.05
235.90,1.00
238.26,0.96
240.64,0.92
243.05,0.87
245.48,0.83
247.93,0.79
250.41,0.74
252.92,0.70
255.45,0.66
258.00,0.62
260.58,0.58
263.19,0.53
265.82,0.49
268.48,0.45
271.16,0.41
273.87,0.37
276.61,0.33
279.38,0.29
282.17,0.25
284.99,0.22
287.84,0.18
290.72,0.14
293.63,0.10
296.57,0.06
299.53,0.03
302.53,-0.01
305.55,-0.04
308.61,-0.08
311.69,-0.12
314.81,-0.15
317.96,-0.19
321.14,-0.22
324.35,-0.26
327.59,-0.29
330.87,-0.32
334.18,-0.36
337.52,-0.39
340.90,-0.42
344.30,-0.45
347.75,-0.48
351.23,-0.51
354.74,-0.54
358.28,-0.57
361.87,-0.60
365.49,-0.63
369.14,-0.66
372.83,-0.68
376.56,-0.71
380.33,-0.74
384.13,-0.77
387.97,-0.80
391.85,-0.82
395.77,-0.85
399.73,-0.87
403.72,-0.90
407.76,-0.92
411.84,-0.95
415.96,-0.97
420.12,-1.00
424.32,-1.02
428.56,-1.04
432.85,-1.07
437.18,-1.09
441.55,-1.11
445.96,-1.13
450.42,-1.15
454.93,-1.17
459.48,-1.19
464.07,-1.21
468.71,-1.23
473.40,-1.25
478.13,-1.27
482.91,-1.28
487.74,-1.30
492.62,-1.32
497.55,-1.33
502.52,-1.35
507.55,-1.36
512.62,-1.38
517.75,-1.39
522.93,-1.40
528.16,-1.41
533.44,-1.43
538.77,-1.44
544.16,-1.45
549.60,-1.45
555.10,-1.46
560.65,-1.47
566.25,-1.48
571.92,-1.49
577.64,-1.49
583.41,-1.50
589.25,-1.51
595.14,-1.51
601.09,-1.52
607.10,-1.52
613.17,-1.52
619.30,-1.53
625.50,-1.53
631.75,-1.53
638.07,-1.53
644.45,-1.53
650.89,-1.53
657.40,-1.52
663.98,-1.52
670.62,-1.51
677.32,-1.50
684.10,-1.50
690.94,-1.49
697.85,-1.48
704.83,-1.47
711.87,-1.46
718.99,-1.44
726.18,-1.43
733.44,-1.41
740.78,-1.39
748.19,-1.38
755.67,-1.36
763.23,-1.33
770.86,-1.31
778.57,-1.29
786.35,-1.26
794.22,-1.23
802.16,-1.20
810.18,-1.17
818.28,-1.14
826.46,-1.10
834.73,-1.06
843.08,-1.02
851.51,-0.98
860.02,-0.94
868.62,-0.89
877.31,-0.85
886.08,-0.79
894.94,-0.74
903.89,-0.69
912.93,-0.63
922.06,-0.57
931.28,-0.51
940.59,-0.44
950.00,-0.38
959.50,-0.31
969.09,-0.24
978.78,-0.16
988.57,-0.09
998.46,-0.01
1008.44,0.07
1018.53,0.15
1028.71,0.23
1039.00,0.31
1049.39,0.39
1059.88,0.48
1070.48,0.57
1081.19,0.65
1092.00,0.74
1102.92,0.83
1113.95,0.92
1125.09,1.01
1136.34,1.10
