frequency,raw
20.00,7.95
20.20,8.02
20.40,8.09
20.61,8.17
20.81,8.24
21.02,8.32
21.23,8.39
21.44,8.47
21.66,8.55
21.87,8.63
22.09,8.71
22.31,8.78
22.54,8.86
22.76,8.93
22.99,9.00
23.22,9.07
23.45,9.14
23.69,9.21
23.92,9.28
24.16,9.34
24.40,9.41
24.65,9.47
24.89,9.54
25.14,9.60
25.39,9.66
25.65,9.73
25.91,9.79
26.16,9.85
26.43,9.91
26.69,9.97
26.96,10.03
27.23,10.08
27.50,10.14
27.77,10.20
28.05,10.25
28.33,10.30
28.62,10.35
28.90,10.41
29.19,10.46
29.48,10.50
29.78,10.55
30.08,10.60
30.38,10.64
30.68,10.69
30.99,10.73
31.30,10.78
31.61,10.82
31.93,10.86
32.24,10.90
32.57,10.94
32.89,10.98
33.22,11.02
33.55,11.06
33.89,11.10
34.23,11.13
34.57,11.17
34.92,11.20
35.27,11.24
35.62,11.27
35.97,11.30
36.33,11.33
36.70,11.36
37.06,11.39
37.43,11.42
37.81,11.45
38.19,11.47
38.57,11.50
38.95,11.52
39.34,11.55
39.74,11.57
40.14,11.59
40.54,11.61
40.94,11.63
41.35,11.65
41.76,11.67
42.18,11.69
42.60,11.71
43.03,11.73
43.46,11.74
43.90,11.76
44.33,11.77
44.78,11.79
45.23,11.80
45.68,11.81
46.13,11.83
46.60,11.84
47.06,11.85
47.53,11.86
48.01,11.87
48.49,11.88
48.97,11.89
49.46,11.89
49.96,11.90
50.46,11.90
50.96,11.91
51.47,11.91
51.99,11.91
52.51,11.92
53.03,11.92
53.56,11.92
54.10,11.92
54.64,11.92
55.18,11.92
55.74,11.91
56.29,11.91
56.86,11.91
57.42,11.90
58.00,11.90
58.58,11.89
59.16,11.89
59.76,11.88
60.35,11.88
60.96,11.87
61.57,11.86
62.18,11.85
62.80,11.84
63.43,11.83
64.07,11.82
64.71,11.81
65.35,11.80
66.01,11.78
66.67,11.77
67.33,11.76
68.01,11.74
68.69,11.73
69.37,11.71
70.07,11.69
70.77,11.68
71.48,11.66
72.19,11.64
72.91,11.62
73.64,11.60
74.38,11.58
75.12,11.56
75.87,11.54
76.63,11.52
77.40,11.49
78.17,11.47
78.95,11.45
79.74,11.42
80.54,11.40
81.35,11.37
82.16,11.34
82.98,11.32
83.81,11.29
84.65,11.26
85.50,11.23
86.35,11.20
87.22,11.17
88.09,11.14
88.97,11.11
89.86,11.08
90.76,11.05
91.66,11.01
92.58,10.98
93.51,10.95
94.44,10.91
95.39,10.88
96.34,10.84
97.30,10.80
98.28,10.77
99.26,10.73
100.25,10.69
101.25,10.65
102.27,10.61
103.29,10.57
104.32,10.53
105.37,10.49
106.42,10.45
107.48,10.41
108.56,10.36
109.64,10.32
110.74,10.28
111.85,10.23
112.97,10.19
114.10,10.14
115.24,10.10
116.39,10.05
117.55,10.00
118.73,9.95
119.92,9.90
121.12,9.85
122.33,9.80
123.55,9.75
124.79,9.70
126.03,9.65
127.29,9.60
128.57,9.55
129.85,9.49
131.15,9.44
132.46,9.38
133.79,9.33
135.12,9.27
136.48,9.22
137.84,9.16
139.22,9.11
140.61,9.05
142.02,8.99
143.44,8.93
144.87,8.87
146.32,8.81
147.78,8.75
149.26,8.69
150.75,8.63
152.26,8.57
153.78,8.51
155.32,8.45
156.88,8.38
158.44,8.32
160.03,8.26
161.63,8.19
163.24,8.13
164.88,8.06
166.53,8.00
168.19,7.93
169.87,7.86
171.57,7.80
173.29,7.73
175.02,7.66
176.77,7.59
178.54,7.52
180.32,7.45
182.13,7.38
183.95,7.31
185.79,7.24
187.65,7.17
189.52,7.10
191.42,7.03
193.33,6.96
195.27,6.89
197.22,6.81
199.19,6.74
201.18,6.66
203.19,6.58
205.23,6.51
207.28,6.44
209.35,6.36
211.44,6.29
213.56,6.22
215.69,6.15
217.85,6.07
220.03,6.00
222.23,5.93
224.45,5.85
226.70,5.77
228.96,5.70
231.25,5.62
233.57,5.54
235.90,5.46
238.26,5.38
240.64,5.31
243.05,5.23
245.48,5.15
247.93,5.07
250.41,5.00
252.92,4.92
255.45,4.84
258.00,4.77
260.58,4.69
263.19,4.61
265.82,4.53
268.48,4.46
271.16,4.38
273.87,4.30
276.61,4.22
279.38,4.15
282.17,4.07
284.99,3.99
287.84,3.92
290.72,3.84
293.63,3.76
296.57,3.69
299.53,3.61
302.53,3.54
305.55,3.46
308.61,3.39
311.69,3.31
314.81,3.24
317.96,3.16
321.14,3.09
324.35,3.02
327.59,2.94
330.87,2.87
334.18,2.80
337.52,2.72
340.90,2.65
344.30,2.58
347.75,2.51
351.23,2.44
354.74,2.37
358.28,2.30
361.87,2.23
365.49,2.16
369.14,2.09
372.83,2.02
376.56,1.96
380.33,1.89
384.13,1.82
387.97,1.76
391.85,1.69
395.77,1.63
399.73,1.56
403.72,1.50
407.76,1.43
411.84,1.37
415.96,1.31
420.12,1.25
424.32,1.19
428.56,1.13
432.85,1.07
437.18,1.01
441.55,0.95
445.96,0.89
450.42,0.84
454.93,0.78
459.48,0.73
464.07,0.67
468.71,0.62
473.40,0.57
478.13,0.52
482.91,0.47
487.74,0.42
492.62,0.37
497.55,0.32
502.52,0.27
507.55,0.22
512.62,0.18
517.75,0.13
522.93,0.08
528.16,0.04
533.44,-0.00
538.77,-0.04
544.16,-0.09
549.60,-0.13
555.10,-0.17
560.65,-0.21
566.25,-0.24
571.92,-0.28
577.64,-0.32
583.41,-0.35
589.25,-0.38
595.14,-0.42
601.09,-0.45
607.10,-0.48
613.17,-0.51
619.30,-0.54
625.50,-0.57
631.75,-0.59
638.07,-0.62
644.45,-0.64
650.89,-0.67
657.40,-0.69
663.98,-0.71
670.62,-0.73
677.32,-0.75
684.10,-0.77
690.94,-0.78
697.85,-0.80
704.83,-0.81
711.87,-0.82
718.99,-0.83
726.18,-0.84
733.44,-0.85
740.78,-0.85
748.19,-0.86
755.67,-0.86
763.23,-0.86
770.86,-0.86
778.57,-0.86
786.35,-0.85
794.22,-0.85
802.16,-0.84
810.18,-0.83
818.28,-0.82
826.46,-0.80
834.73,-0.78
843.08,-0.77
851.51,-0.75
860.02,-0.72
868.62,-0.69
877.31,-0.66
886.08,-0.63
894.94,-0.59
903.89,-0.55
912.93,-0.51
922.06,-0.47
931.28,-0.42
940.59,-0.37
950.00,-0.32
959.50,-0.26
969.09,-0.20
978.78,-0.14
988.57,-0.08
998.46,-0.01
1008.44,0.06
1018.53,0.13
1028.71,0.21
1039.00,0.28
1049.39,0.36
1059.88,0.44
1070.48,0.53
1081.19,0.62
1092.00,0.71
1102.92,0.80
1113.95,0.89
1125.09,0.99
1136.34,1.10
1147.70,1.20
1159.18,1.31
1170.77,1.42
1182.48,1.54
1194.30,1.67
1206.25,1.79
1218.31,1.92
1230.49,2.06
1242.80,2.20
1255.22,2.35
1267.78,2.52
1280.45,2.68
1293.26,2.86
1306.19,3.04
1319.25,3.22
1332.45,3.41
1345.77,3.60
1359.23,3.79
1372.82,3.96
1386.55,4.14
1400.41,4.31
1414.42,4.45
1428.56,4.58
1442.85,4.72
1457.28,4.83
1471.85,4.92
1486.57,5.01
1501.43,5.10
1516.45,5.16
1531.61,5.22
1546.93,5.28
1562.40,5.34
1578.02,5.39
1593.80,5.45
1609.74,5.51
1625.84,5.58
1642.10,5.64
1658.52,5.72
1675.10,5.80
1691.85,5.88
1708.77,5.97
1725.86,6.07
1743.12,6.17
1760.55,6.28
1778.15,6.40
1795.94,6.52
1813.90,6.65
1832.03,6.78
1850.36,6.92
1868.86,7.07
1887.55,7.21
1906.42,7.37
1925.49,7.53
1944.74,7.69
1964.19,7.85
1983.83,8.02
2003.67,8.19
2023.71,8.37
2043.94,8.55
2064.38,8.73
2085.03,8.91
2105.88,9.10
2126.94,9.29
2148.20,9.48
2169.69,9.67
2191.38,9.86
2213.30,10.06
2235.43,10.25
2257.78,10.44
2280.36,10.63
2303.17,10.83
2326.20,11.02
2349.46,11.21
2372.95,11.39
2396.68,11.58
2420.65,11.76
2444.86,11.93
2469.31,12.10
2494.00,12.26
2518.94,12.40
2544.13,12.54
2569.57,12.68
2595.27,12.79
2621.22,12.88
2647.43,12.97
2673.90,13.02
2700.64,13.06
2727.65,13.09
2754.93,13.07
2782.48,13.05
2810.30,13.01
2838.40,12.93
2866.79,12.84
2895.46,12.76
2924.41,12.63
2953.65,12.49
2983.19,12.35
3013.02,12.20
3043.15,12.03
3073.58,11.86
3104.32,11.68
3135.36,11.49
3166.72,11.31
3198.38,11.13
3230.37,10.95
3262.67,10.78
3295.30,10.61
3328.25,10.44
3361.53,10.28
3395.15,10.13
3429.10,9.98
3463.39,9.84
3498.03,9.70
3533.01,9.56
3568.34,9.42
3604.02,9.29
3640.06,9.15
3676.46,9.02
3713.22,8.89
3750.36,8.76
3787.86,8.64
3825.74,8.51
3864.00,8.39
3902.64,8.26
3941.66,8.14
3981.08,8.02
4020.89,7.90
4061.10,7.78
4101.71,7.66
4142.73,7.55
4184.15,7.44
4226.00,7.33
4268.26,7.23
4310.94,7.13
4354.05,7.04
4397.59,6.96
4441.56,6.90
4485.98,6.83
4530.84,6.80
4576.15,6.79
4621.91,6.78
4668.13,6.82
4714.81,6.86
4761.96,6.92
4809.58,7.02
4857.67,7.12
4906.25,7.25
4955.31,7.39
5004.87,7.54
5054.91,7.72
5105.46,7.90
5156.52,8.08
5208.08,8.28
5260.16,8.48
5312.77,8.68
5365.89,8.87
5419.55,9.07
5473.75,9.25
5528.49,9.41
5583.77,9.58
5639.61,9.74
5696.00,9.89
5752.96,10.04
5810.49,10.21
5868.60,10.41
5927.28,10.62
5986.56,10.83
6046.42,11.09
6106.89,11.36
6167.96,11.64
6229.64,11.91
6291.93,12.18
6354.85,12.32
6418.40,12.45
6482.58,12.57
6547.41,12.48
6612.88,12.31
6679.01,12.14
6745.80,11.78
6813.26,11.33
6881.39,10.89
6950.21,10.36
7019.71,9.80
7089.91,9.25
7160.81,8.72
7232.41,8.21
7304.74,7.70
7377.79,7.28
7451.56,6.86
7526.08,6.49
7601.34,6.20
