frequency,raw
20.00,7.47
20.20,7.49
20.40,7.51
20.61,7.53
20.81,7.54
21.02,7.56
21.23,7.58
21.44,7.60
21.66,7.62
21.87,7.65
22.09,7.66
22.31,7.68
22.54,7.70
22.76,7.71
22.99,7.73
23.22,7.74
23.45,7.75
23.69,7.76
23.92,7.77
24.16,7.78
24.40,7.79
24.65,7.80
24.89,7.81
25.14,7.82
25.39,7.82
25.65,7.83
25.91,7.83
26.16,7.84
26.43,7.84
26.69,7.85
26.96,7.85
27.23,7.85
27.50,7.85
27.77,7.85
28.05,7.84
28.33,7.84
28.62,7.83
28.90,7.83
29.19,7.83
29.48,7.83
29.78,7.82
30.08,7.82
30.38,7.82
30.68,7.81
30.99,7.80
31.30,7.79
31.61,7.78
31.93,7.77
32.24,7.76
32.57,7.75
32.89,7.73
33.22,7.71
33.55,7.69
33.89,7.68
34.23,7.66
34.57,7.64
34.92,7.63
35.27,7.61
35.62,7.60
35.97,7.59
36.33,7.58
36.70,7.56
37.06,7.55
37.43,7.53
37.81,7.51
38.19,7.48
38.57,7.46
38.95,7.43
39.34,7.41
39.74,7.39
40.14,7.37
40.54,7.34
40.94,7.32
41.35,7.30
41.76,7.27
42.18,7.25
42.60,7.22
43.03,7.18
43.46,7.14
43.90,7.10
44.33,7.06
44.78,7.03
45.23,6.99
45.68,6.96
46.13,6.93
46.60,6.89
47.06,6.85
47.53,6.82
48.01,6.78
48.49,6.75
48.97,6.71
49.46,6.68
49.96,6.64
50.46,6.61
50.96,6.57
51.47,6.54
51.99,6.50
52.51,6.46
53.03,6.42
53.56,6.38
54.10,6.33
54.64,6.28
55.18,6.24
55.74,6.20
56.29,6.16
56.86,6.12
57.42,6.07
58.00,6.03
58.58,5.98
59.16,5.94
59.76,5.89
60.35,5.84
60.96,5.80
61.57,5.76
62.18,5.71
62.80,5.66
63.43,5.61
64.07,5.57
64.71,5.52
65.35,5.47
66.01,5.42
66.67,5.37
67.33,5.32
68.01,5.27
68.69,5.22
69.37,5.17
70.07,5.12
70.77,5.07
71.48,5.02
72.19,4.96
72.91,4.91
73.64,4.86
74.38,4.81
75.12,4.76
75.87,4.70
76.63,4.65
77.40,4.60
78.17,4.54
78.95,4.49
79.74,4.44
80.54,4.38
81.35,4.33
82.16,4.27
82.98,4.22
83.81,4.16
84.65,4.11
85.50,4.05
86.35,4.00
87.22,3.94
88.09,3.89
88.97,3.83
89.86,3.78
90.76,3.72
91.66,3.66
92.58,3.61
93.51,3.55
94.44,3.50
95.39,3.44
96.34,3.38
97.30,3.33
98.28,3.27
99.26,3.21
100.25,3.16
101.25,3.10
102.27,3.04
103.29,2.99
104.32,2.93
105.37,2.87
106.42,2.82
107.48,2.76
108.56,2.70
109.64,2.64
110.74,2.59
111.85,2.53
112.97,2.47
114.10,2.42
115.24,2.36
116.39,2.30
117.55,2.24
118.73,2.19
119.92,2.13
121.12,2.07
122.33,2.01
123.55,1.95
124.79,1.90
126.03,1.84
127.29,1.78
128.57,1.72
129.85,1.67
131.15,1.61
132.46,1.55
133.79,1.50
135.12,1.44
136.48,1.38
137.84,1.33
139.22,1.27
140.61,1.22
142.02,1.17
143.44,1.11
144.87,1.06
146.32,1.01
147.78,0.96
149.26,0.91
150.75,0.86
152.26,0.81
153.78,0.76
155.32,0.71
156.88,0.67
158.44,0.62
160.03,0.58
161.63,0.55
163.24,0.52
164.88,0.49
166.53,0.47
168.19,0.46
169.87,0.44
171.57,0.42
173.29,0.40
175.02,0.37
176.77,0.33
178.54,0.29
180.32,0.24
182.13,0.19
183.95,0.14
185.79,0.09
187.65,0.04
189.52,-0.01
191.42,-0.06
193.33,-0.11
195.27,-0.16
197.22,-0.21
199.19,-0.26
201.18,-0.30
203.19,-0.35
205.23,-0.40
207.28,-0.44
209.35,-0.48
211.44,-0.53
213.56,-0.57
215.69,-0.61
217.85,-0.66
220.03,-0.70
222.23,-0.74
224.45,-0.78
226.70,-0.82
228.96,-0.86
231.25,-0.90
233.57,-0.93
235.90,-0.97
238.26,-1.00
240.64,-1.04
243.05,-1.08
245.48,-1.11
247.93,-1.15
250.41,-1.18
252.92,-1.22
255.45,-1.25
258.00,-1.28
260.58,-1.31
263.19,-1.34
265.82,-1.38
268.48,-1.41
271.16,-1.44
273.87,-1.47
276.61,-1.50
279.38,-1.53
282.17,-1.55
284.99,-1.58
287.84,-1.61
290.72,-1.64
293.63,-1.66
296.57,-1.69
299.53,-1.71
302.53,-1.74
305.55,-1.76
308.61,-1.79
311.69,-1.81
314.81,-1.83
317.96,-1.85
321.14,-1.87
324.35,-1.90
327.59,-1.92
330.87,-1.93
334.18,-1.95
337.52,-1.97
340.90,-1.99
344.30,-2.01
347.75,-2.03
351.23,-2.04
354.74,-2.06
358.28,-2.08
361.87,-2.09
365.49,-2.11
369.14,-2.12
372.83,-2.14
376.56,-2.15
380.33,-2.17
384.13,-2.18
387.97,-2.19
391.85,-2.21
395.77,-2.22
399.73,-2.23
403.72,-2.24
407.76,-2.25
411.84,-2.26
415.96,-2.27
420.12,-2.28
424.32,-2.29
428.56,-2.30
432.85,-2.30
437.18,-2.31
441.55,-2.32
445.96,-2.33
450.42,-2.33
454.93,-2.34
459.48,-2.34
464.07,-2.35
468.71,-2.35
473.40,-2.35
478.13,-2.35
482.91,-2.35
487.74,-2.35
492.62,-2.35
497.55,-2.35
502.52,-2.34
507.55,-2.34
512.62,-2.33
517.75,-2.32
522.93,-2.31
528.16,-2.30
533.44,-2.28
538.77,-2.27
544.16,-2.26
549.60,-2.25
555.10,-2.24
560.65,-2.23
566.25,-2.22
571.92,-2.21
577.64,-2.20
583.41,-2.19
589.25,-2.18
595.14,-2.17
601.09,-2.16
607.10,-2.15
613.17,-2.14
619.30,-2.13
625.50,-2.12
631.75,-2.10
638.07,-2.09
644.45,-2.07
650.89,-2.06
657.40,-2.04
663.98,-2.02
670.62,-2.01
677.32,-1.99
684.10,-1.97
690.94,-1.94
697.85,-1.92
704.83,-1.89
711.87,-1.87
718.99,-1.83
726.18,-1.80
733.44,-1.77
740.78,-1.74
748.19,-1.70
755.67,-1.68
763.23,-1.66
770.86,-1.65
778.57,-1.62
786.35,-1.60
794.22,-1.57
802.16,-1.55
810.18,-1.51
818.28,-1.47
826.46,-1.43
834.73,-1.38
843.08,-1.33
851.51,-1.28
860.02,-1.22
868.62,-1.16
877.31,-1.10
886.08,-1.03
894.94,-0.96
903.89,-0.88
912.93,-0.80
922.06,-0.72
931.28,-0.64
940.59,-0.56
950.00,-0.47
959.50,-0.38
969.09,-0.29
978.78,-0.20
988.57,-0.11
998.46,-0.01
1008.44,0.08
1018.53,0.18
1028.71,0.27
1039.00,0.37
1049.39,0.47
1059.88,0.57
1070.48,0.67
1081.19,0.77
1092.00,0.86
1102.92,0.96
1113.95,1.06
1125.09,1.16
1136.34,1.25
1147.70,1.35
1159.18,1.45
1170.77,1.54
1182.48,1.63
1194.30,1.73
1206.25,1.82
1218.31,1.91
1230.49,2.00
1242.80,2.08
1255.22,2.17
1267.78,2.26
1280.45,2.34
1293.26,2.43
1306.19,2.51
1319.25,2.59
1332.45,2.68
1345.77,2.76
1359.23,2.84
1372.82,2.92
1386.55,3.00
1400.41,3.08
1414.42,3.17
1428.56,3.25
1442.85,3.33
1457.28,3.41
1471.85,3.49
1486.57,3.57
1501.43,3.65
1516.45,3.73
1531.61,3.81
1546.93,3.89
1562.40,3.98
1578.02,4.06
1593.80,4.15
1609.74,4.24
1625.84,4.33
1642.10,4.42
1658.52,4.51
1675.10,4.60
1691.85,4.69
1708.77,4.78
1725.86,4.88
1743.12,4.97
1760.55,5.07
1778.15,5.16
1795.94,5.26
1813.90,5.35
1832.03,5.45
1850.36,5.54
1868.86,5.64
1887.55,5.74
1906.42,5.83
1925.49,5.93
1944.74,6.03
1964.19,6.12
1983.83,6.22
2003.67,6.31
2023.71,6.40
2043.94,6.49
2064.38,6.57
2085.03,6.66
2105.88,6.74
2126.94,6.82
2148.20,6.89
2169.69,6.97
2191.38,7.04
2213.30,7.10
2235.43,7.17
2257.78,7.22
2280.36,7.27
2303.17,7.32
2326.20,7.36
2349.46,7.40
2372.95,7.43
2396.68,7.45
2420.65,7.48
2444.86,7.50
2469.31,7.51
2494.00,7.52
2518.94,7.52
2544.13,7.51
2569.57,7.51
2595.27,7.48
2621.22,7.45
2647.43,7.42
2673.90,7.37
2700.64,7.32
2727.65,7.27
2754.93,7.21
2782.48,7.14
2810.30,7.08
2838.40,7.00
2866.79,6.92
2895.46,6.84
2924.41,6.76
2953.65,6.67
2983.19,6.58
3013.02,6.49
3043.15,6.39
3073.58,6.30
3104.32,6.20
3135.36,6.09
3166.72,5.99
3198.38,5.89
3230.37,5.78
3262.67,5.69
3295.30,5.62
3328.25,5.54
3361.53,5.50
3395.15,5.50
