frequency,raw
20.00,5.99
20.20,6.05
20.40,6.11
20.61,6.16
20.81,6.22
21.02,6.28
21.23,6.34
21.44,6.37
21.66,6.41
21.87,6.44
22.09,6.46
22.31,6.48
22.54,6.51
22.76,6.53
22.99,6.56
23.22,6.58
23.45,6.60
23.69,6.62
23.92,6.63
24.16,6.64
24.40,6.64
24.65,6.65
24.89,6.65
25.14,6.66
25.39,6.66
25.65,6.67
25.91,6.67
26.16,6.68
26.43,6.69
26.69,6.70
26.96,6.72
27.23,6.73
27.50,6.76
27.77,6.79
28.05,6.81
28.33,6.83
28.62,6.84
28.90,6.86
29.19,6.86
29.48,6.86
29.78,6.85
30.08,6.84
30.38,6.83
30.68,6.82
30.99,6.81
31.30,6.81
31.61,6.81
31.93,6.81
32.24,6.81
32.57,6.80
32.89,6.80
33.22,6.81
33.55,6.81
33.89,6.81
34.23,6.82
34.57,6.82
34.92,6.81
35.27,6.79
35.62,6.78
35.97,6.76
36.33,6.73
36.70,6.72
37.06,6.70
37.43,6.69
37.81,6.69
38.19,6.68
38.57,6.68
38.95,6.67
39.34,6.66
39.74,6.65
40.14,6.64
40.54,6.64
40.94,6.64
41.35,6.63
41.76,6.61
42.18,6.59
42.60,6.57
43.03,6.54
43.46,6.50
43.90,6.47
44.33,6.44
44.78,6.41
45.23,6.38
45.68,6.36
46.13,6.34
46.60,6.32
47.06,6.30
47.53,6.27
48.01,6.25
48.49,6.23
48.97,6.20
49.46,6.17
49.96,6.14
50.46,6.12
50.96,6.09
51.47,6.06
51.99,6.03
52.51,6.00
53.03,5.97
53.56,5.94
54.10,5.90
54.64,5.86
55.18,5.82
55.74,5.78
56.29,5.74
56.86,5.71
57.42,5.68
58.00,5.65
58.58,5.62
59.16,5.60
59.76,5.57
60.35,5.54
60.96,5.50
61.57,5.46
62.18,5.42
62.80,5.38
63.43,5.34
64.07,5.30
64.71,5.26
65.35,5.22
66.01,5.18
66.67,5.15
67.33,5.12
68.01,5.08
68.69,5.05
69.37,5.01
70.07,4.96
70.77,4.92
71.48,4.87
72.19,4.82
72.91,4.78
73.64,4.73
74.38,4.69
75.12,4.64
75.87,4.60
76.63,4.56
77.40,4.52
78.17,4.48
78.95,4.43
79.74,4.39
80.54,4.35
81.35,4.30
82.16,4.25
82.98,4.21
83.81,4.16
84.65,4.12
85.50,4.08
86.35,4.03
87.22,3.99
88.09,3.94
88.97,3.89
89.86,3.84
90.76,3.79
91.66,3.74
92.58,3.68
93.51,3.63
94.44,3.58
95.39,3.53
96.34,3.48
97.30,3.43
98.28,3.39
99.26,3.34
100.25,3.30
101.25,3.26
102.27,3.22
103.29,3.18
104.32,3.14
105.37,3.10
106.42,3.05
107.48,3.01
108.56,2.96
109.64,2.92
110.74,2.87
111.85,2.82
112.97,2.77
114.10,2.73
115.24,2.68
116.39,2.63
117.55,2.58
118.73,2.53
119.92,2.48
121.12,2.43
122.33,2.38
123.55,2.34
124.79,2.29
126.03,2.24
127.29,2.19
128.57,2.15
129.85,2.10
131.15,2.05
132.46,2.00
133.79,1.95
135.12,1.91
136.48,1.86
137.84,1.81
139.22,1.76
140.61,1.71
142.02,1.67
143.44,1.62
144.87,1.57
146.32,1.53
147.78,1.48
149.26,1.44
150.75,1.39
152.26,1.35
153.78,1.30
155.32,1.25
156.88,1.21
158.44,1.16
160.03,1.11
161.63,1.07
163.24,1.02
164.88,0.98
166.53,0.94
168.19,0.89
169.87,0.85
171.57,0.81
173.29,0.77
175.02,0.72
176.77,0.68
178.54,0.64
180.32,0.60
182.13,0.55
183.95,0.51
185.79,0.47
187.65,0.43
189.52,0.39
191.42,0.36
193.33,0.32
195.27,0.28
197.22,0.25
199.19,0.21
201.18,0.18
203.19,0.14
205.23,0.10
207.28,0.07
209.35,0.03
211.44,-0.00
213.56,-0.04
215.69,-0.07
217.85,-0.11
220.03,-0.14
222.23,-0.18
224.45,-0.21
226.70,-0.25
228.96,-0.28
231.25,-0.31
233.57,-0.35
235.90,-0.38
238.26,-0.41
240.64,-0.44
243.05,-0.47
245.48,-0.50
247.93,-0.53
250.41,-0.57
252.92,-0.60
255.45,-0.63
258.00,-0.66
260.58,-0.68
263.19,-0.71
265.82,-0.73
268.48,-0.76
271.16,-0.78
273.87,-0.80
276.61,-0.83
279.38,-0.85
282.17,-0.87
284.99,-0.89
287.84,-0.91
290.72,-0.93
293.63,-0.95
296.57,-0.97
299.53,-0.99
302.53,-1.02
305.55,-1.04
308.61,-1.06
311.69,-1.07
314.81,-1.09
317.96,-1.11
321.14,-1.12
324.35,-1.14
327.59,-1.15
330.87,-1.16
334.18,-1.18
337.52,-1.19
340.90,-1.21
344.30,-1.23
347.75,-1.24
351.23,-1.25
354.74,-1.27
358.28,-1.28
361.87,-1.29
365.49,-1.30
369.14,-1.30
372.83,-1.31
376.56,-1.32
380.33,-1.33
384.13,-1.33
387.97,-1.34
391.85,-1.35
395.77,-1.35
399.73,-1.36
403.72,-1.36
407.76,-1.37
411.84,-1.37
415.96,-1.38
420.12,-1.38
424.32,-1.39
428.56,-1.39
432.85,-1.39
437.18,-1.40
441.55,-1.40
445.96,-1.40
450.42,-1.40
454.93,-1.41
459.48,-1.41
464.07,-1.42
468.71,-1.42
473.40,-1.43
478.13,-1.43
482.91,-1.43
487.74,-1.43
492.62,-1.43
497.55,-1.43
502.52,-1.43
507.55,-1.43
512.62,-1.44
517.75,-1.44
522.93,-1.44
528.16,-1.44
533.44,-1.44
538.77,-1.44
544.16,-1.43
549.60,-1.43
555.10,-1.42
560.65,-1.42
566.25,-1.42
571.92,-1.41
577.64,-1.41
583.41,-1.40
589.25,-1.40
595.14,-1.39
601.09,-1.39
607.10,-1.39
613.17,-1.39
619.30,-1.39
625.50,-1.39
631.75,-1.39
638.07,-1.38
644.45,-1.38
650.89,-1.37
657.40,-1.36
663.98,-1.35
670.62,-1.35
677.32,-1.34
684.10,-1.33
690.94,-1.33
697.85,-1.32
704.83,-1.31
711.87,-1.31
718.99,-1.30
726.18,-1.29
733.44,-1.28
740.78,-1.26
748.19,-1.25
755.67,-1.24
763.23,-1.22
770.86,-1.20
778.57,-1.18
786.35,-1.15
794.22,-1.13
802.16,-1.10
810.18,-1.07
818.28,-1.03
826.46,-1.00
834.73,-0.97
843.08,-0.93
851.51,-0.90
860.02,-0.86
868.62,-0.82
877.31,-0.78
886.08,-0.73
894.94,-0.68
903.89,-0.63
912.93,-0.58
922.06,-0.52
931.28,-0.47
940.59,-0.41
950.00,-0.35
959.50,-0.28
969.09,-0.22
978.78,-0.15
988.57,-0.08
998.46,-0.01
1008.44,0.06
1018.53,0.14
1028.71,0.21
1039.00,0.29
1049.39,0.37
1059.88,0.45
1070.48,0.53
1081.19,0.61
1092.00,0.68
1102.92,0.76
1113.95,0.84
1125.09,0.92
1136.34,0.99
1147.70,1.07
1159.18,1.15
1170.77,1.22
1182.48,1.30
1194.30,1.37
1206.25,1.44
1218.31,1.51
1230.49,1.58
1242.80,1.64
1255.22,1.71
1267.78,1.77
1280.45,1.84
1293.26,1.90
1306.19,1.96
1319.25,2.02
1332.45,2.07
1345.77,2.13
1359.23,2.18
1372.82,2.24
1386.55,2.29
1400.41,2.34
1414.42,2.39
1428.56,2.43
1442.85,2.48
1457.28,2.53
1471.85,2.57
1486.57,2.62
1501.43,2.67
1516.45,2.71
1531.61,2.76
1546.93,2.80
1562.40,2.85
1578.02,2.89
1593.80,2.94
1609.74,2.98
1625.84,3.02
1642.10,3.07
1658.52,3.11
1675.10,3.15
1691.85,3.20
1708.77,3.24
1725.86,3.27
1743.12,3.31
1760.55,3.34
1778.15,3.38
1795.94,3.41
1813.90,3.43
1832.03,3.46
1850.36,3.48
1868.86,3.50
1887.55,3.51
1906.42,3.53
1925.49,3.53
1944.74,3.53
1964.19,3.53
1983.83,3.52
2003.67,3.51
2023.71,3.49
2043.94,3.48
2064.38,3.45
2085.03,3.42
2105.88,3.39
2126.94,3.35
2148.20,3.30
2169.69,3.26
2191.38,3.21
2213.30,3.16
2235.43,3.11
2257.78,3.05
2280.36,2.99
2303.17,2.93
2326.20,2.86
2349.46,2.79
2372.95,2.72
2396.68,2.66
2420.65,2.59
2444.86,2.53
2469.31,2.47
2494.00,2.41
2518.94,2.35
2544.13,2.30
2569.57,2.25
2595.27,2.21
2621.22,2.18
2647.43,2.14
2673.90,2.13
2700.64,2.12
2727.65,2.12
2754.93,2.14
2782.48,2.15
2810.30,2.18
2838.40,2.23
2866.79,2.28
2895.46,2.32
2924.41,2.39
2953.65,2.46
2983.19,2.53
3013.02,2.61
3043.15,2.69
3073.58,2.77
3104.32,2.84
3135.36,2.92
3166.72,2.97
3198.38,3.00
3230.37,3.04
3262.67,3.05
3295.30,3.02
3328.25,2.99
3361.53,2.94
3395.15,2.84
3429.10,2.74
3463.39,2.63
3498.03,2.48
3533.01,2.33
3568.34,2.17
3604.02,2.00
3640.06,1.83
3676.46,1.66
3713.22,1.48
3750.36,1.31
3787.86,1.17
3825.74,1.02
3864.00,0.88
3902.64,0.78
3941.66,0.70
3981.08,0.61
4020.89,0.57
4061.10,0.57
4101.71,0.56
4142.73,0.61
4184.15,0.71
4226.00,0.80
4268.26,0.92
4310.94,1.08
4354.05,1.25
4397.59,1.42
4441.56,1.61
4485.98,1.79
4530.84,1.94
4576.15,2.09
4621.91,2.23
4668.13,2.29
4714.81,2.36
4761.96,2.39
4809.58,2.35
4857.67,2.32
4906.25,2.21
4955.31,2.08
5004.87,1.94
5054.91,1.73
5105.46,1.53
5156.52,1.32
5208.08,1.07
5260.16,0.81
5312.77,0.56
5365.89,0.29
5419.55,0.02
5473.75,-0.24
5528.49,-0.49
5583.77,-0.73
5639.61,-0.94
5696.00,-1.13
5752.96,-1.33
5810.49,-1.50
5868.60,-1.60
5927.28,-1.69
5986.56,-1.79
6046.42,-1.81
6106.89,-1.82
6167.96,-1.80
6229.64,-1.74
6291.93,-1.67
6354.85,-1.54
6418.40,-1.40
6482.58,-1.26
6547.41,-1.08
6612.88,-0.87
6679.01,-0.67
6745.80,-0.43
