frequency,raw
20.00,6.48
20.20,6.49
20.40,6.50
20.61,6.51
20.81,6.52
21.02,6.53
21.23,6.54
21.44,6.54
21.66,6.55
21.87,6.56
22.09,6.56
22.31,6.56
22.54,6.57
22.76,6.58
22.99,6.58
23.22,6.59
23.45,6.59
23.69,6.60
23.92,6.60
24.16,6.61
24.40,6.61
24.65,6.62
24.89,6.62
25.14,6.63
25.39,6.63
25.65,6.64
25.91,6.64
26.16,6.65
26.43,6.65
26.69,6.66
26.96,6.66
27.23,6.66
27.50,6.67
27.77,6.67
28.05,6.67
28.33,6.67
28.62,6.68
28.90,6.68
29.19,6.68
29.48,6.68
29.78,6.69
30.08,6.69
30.38,6.69
30.68,6.69
30.99,6.70
31.30,6.70
31.61,6.70
31.93,6.70
32.24,6.70
32.57,6.70
32.89,6.70
33.22,6.70
33.55,6.70
33.89,6.70
34.23,6.70
34.57,6.70
34.92,6.70
35.27,6.70
35.62,6.70
35.97,6.71
36.33,6.71
36.70,6.71
37.06,6.71
37.43,6.71
37.81,6.71
38.19,6.71
38.57,6.71
38.95,6.71
39.34,6.70
39.74,6.70
40.14,6.70
40.54,6.70
40.94,6.69
41.35,6.69
41.76,6.69
42.18,6.69
42.60,6.69
43.03,6.68
43.46,6.68
43.90,6.67
44.33,6.67
44.78,6.66
45.23,6.66
45.68,6.65
46.13,6.65
46.60,6.64
47.06,6.63
47.53,6.63
48.01,6.62
48.49,6.62
48.97,6.61
49.46,6.60
49.96,6.59
50.46,6.59
50.96,6.58
51.47,6.57
51.99,6.57
52.51,6.56
53.03,6.55
53.56,6.54
54.10,6.53
54.64,6.52
55.18,6.52
55.74,6.51
56.29,6.50
56.86,6.49
57.42,6.48
58.00,6.47
58.58,6.46
59.16,6.45
59.76,6.44
60.35,6.42
60.96,6.41
61.57,6.40
62.18,6.39
62.80,6.37
63.43,6.36
64.07,6.35
64.71,6.33
65.35,6.32
66.01,6.30
66.67,6.29
67.33,6.28
68.01,6.26
68.69,6.24
69.37,6.22
70.07,6.20
70.77,6.18
71.48,6.17
72.19,6.15
72.91,6.14
73.64,6.12
74.38,6.11
75.12,6.09
75.87,6.07
76.63,6.05
77.40,6.03
78.17,6.01
78.95,5.99
79.74,5.97
80.54,5.95
81.35,5.93
82.16,5.91
82.98,5.89
83.81,5.87
84.65,5.85
85.50,5.82
86.35,5.80
87.22,5.78
88.09,5.75
88.97,5.73
89.86,5.71
90.76,5.68
91.66,5.66
92.58,5.63
93.51,5.60
94.44,5.58
95.39,5.55
96.34,5.53
97.30,5.50
98.28,5.47
99.26,5.44
100.25,5.42
101.25,5.39
102.27,5.36
103.29,5.33
104.32,5.30
105.37,5.27
106.42,5.24
107.48,5.21
108.56,5.18
109.64,5.15
110.74,5.12
111.85,5.09
112.97,5.05
114.10,5.02
115.24,4.99
116.39,4.95
117.55,4.92
118.73,4.88
119.92,4.85
121.12,4.81
122.33,4.78
123.55,4.75
124.79,4.71
126.03,4.68
127.29,4.64
128.57,4.60
129.85,4.57
131.15,4.53
132.46,4.49
133.79,4.46
135.12,4.42
136.48,4.38
137.84,4.34
139.22,4.30
140.61,4.26
142.02,4.22
143.44,4.18
144.87,4.14
146.32,4.10
147.78,4.06
149.26,4.02
150.75,3.98
152.26,3.94
153.78,3.89
155.32,3.85
156.88,3.81
158.44,3.77
160.03,3.73
161.63,3.68
163.24,3.64
164.88,3.59
166.53,3.55
168.19,3.50
169.87,3.46
171.57,3.41
173.29,3.37
175.02,3.32
176.77,3.28
178.54,3.23
180.32,3.18
182.13,3.14
183.95,3.09
185.79,3.04
187.65,3.00
189.52,2.95
191.42,2.90
193.33,2.86
195.27,2.81
197.22,2.76
199.19,2.71
201.18,2.67
203.19,2.62
205.23,2.58
207.28,2.54
209.35,2.51
211.44,2.48
213.56,2.45
215.69,2.42
217.85,2.40
220.03,2.37
222.23,2.33
224.45,2.30
226.70,2.25
228.96,2.21
231.25,2.16
233.57,2.12
235.90,2.07
238.26,2.03
240.64,1.98
243.05,1.93
245.48,1.89
247.93,1.84
250.41,1.80
252.92,1.76
255.45,1.71
258.00,1.67
260.58,1.62
263.19,1.57
265.82,1.53
268.48,1.48
