frequency,raw
20.00,9.45
20.20,9.49
20.40,9.53
20.61,9.57
20.81,9.61
21.02,9.65
21.23,9.69
21.44,9.74
21.66,9.78
21.87,9.82
22.09,9.86
22.31,9.90
22.54,9.94
22.76,9.98
22.99,10.02
23.22,10.06
23.45,10.09
23.69,10.13
23.92,10.17
24.16,10.20
24.40,10.24
24.65,10.27
24.89,10.30
25.14,10.34
25.39,10.37
25.65,10.40
25.91,10.43
26.16,10.46
26.43,10.49
26.69,10.52
26.96,10.55
27.23,10.58
27.50,10.60
27.77,10.63
28.05,10.66
28.33,10.68
28.62,10.71
28.90,10.73
29.19,10.75
29.48,10.78
29.78,10.80
30.08,10.82
30.38,10.84
30.68,10.86
30.99,10.88
31.30,10.90
31.61,10.92
31.93,10.93
32.24,10.95
32.57,10.97
32.89,10.98
33.22,11.00
33.55,11.01
33.89,11.03
34.23,11.04
34.57,11.05
34.92,11.07
35.27,11.08
35.62,11.09
35.97,11.10
36.33,11.11
36.70,11.12
37.06,11.13
37.43,11.13
37.81,11.14
38.19,11.15
38.57,11.15
38.95,11.16
39.34,11.16
39.74,11.17
40.14,11.17
40.54,11.18
40.94,11.18
41.35,11.18
41.76,11.18
42.18,11.18
42.60,11.18
43.03,11.18
43.46,11.18
43.90,11.18
44.33,11.18
44.78,11.17
45.23,11.17
45.68,11.17
46.13,11.16
46.60,11.16
47.06,11.15
47.53,11.15
48.01,11.14
48.49,11.13
48.97,11.12
49.46,11.11
49.96,11.11
50.46,11.10
50.96,11.09
51.47,11.08
51.99,11.06
52.51,11.05
53.03,11.04
53.56,11.03
54.10,11.02
54.64,11.00
55.18,10.99
55.74,10.97
56.29,10.95
56.86,10.94
57.42,10.92
58.00,10.90
58.58,10.89
59.16,10.87
59.76,10.85
60.35,10.83
60.96,10.81
61.57,10.79
62.18,10.77
62.80,10.75
63.43,10.73
64.07,10.70
64.71,10.68
65.35,10.66
66.01,10.63
66.67,10.61
67.33,10.59
68.01,10.56
68.69,10.53
69.37,10.51
70.07,10.48
70.77,10.45
71.48,10.42
72.19,10.39
72.91,10.37
73.64,10.34
74.38,10.30
75.12,10.27
