frequency,raw
20.00,6.61
20.20,6.65
20.40,6.69
20.61,6.74
20.81,6.78
21.02,6.83
21.23,6.87
21.44,6.92
21.66,6.97
21.87,7.02
22.09,7.06
22.31,7.11
22.54,7.16
22.76,7.20
22.99,7.25
23.22,7.29
23.45,7.33
23.69,7.37
23.92,7.41
24.16,7.45
24.40,7.49
24.65,7.53
24.89,7.56
25.14,7.60
25.39,7.63
25.65,7.67
25.91,7.70
26.16,7.73
26.43,7.76
26.69,7.79
26.96,7.82
27.23,7.85
27.50,7.88
27.77,7.91
28.05,7.93
28.33,7.96
28.62,7.99
28.90,8.02
29.19,8.04
29.48,8.07
29.78,8.09
30.08,8.12
30.38,8.14
30.68,8.16
30.99,8.18
31.30,8.20
31.61,8.22
31.93,8.23
32.24,8.25
32.57,8.27
32.89,8.28
33.22,8.30
33.55,8.31
33.89,8.33
34.23,8.34
34.57,8.35
34.92,8.36
35.27,8.37
35.62,8.39
35.97,8.39
36.33,8.40
36.70,8.41
37.06,8.42
37.43,8.43
37.81,8.43
38.19,8.44
38.57,8.44
38.95,8.45
39.34,8.45
39.74,8.46
40.14,8.46
40.54,8.46
40.94,8.46
41.35,8.46
41.76,8.46
42.18,8.46
42.60,8.46
43.03,8.45
43.46,8.45
43.90,8.45
44.33,8.44
44.78,8.44
45.23,8.44
45.68,8.43
46.13,8.43
46.60,8.42
47.06,8.41
47.53,8.40
48.01,8.39
48.49,8.38
48.97,8.37
49.46,8.36
49.96,8.35
50.46,8.34
50.96,8.33
51.47,8.31
51.99,8.30
52.51,8.28
53.03,8.27
53.56,8.25
54.10,8.24
54.64,8.22
55.18,8.21
55.74,8.19
56.29,8.18
56.86,8.16
57.42,8.14
58.00,8.12
58.58,8.10
59.16,8.08
59.76,8.06
60.35,8.04
60.96,8.02
61.57,7.99
62.18,7.97
62.80,7.94
63.43,7.92
64.07,7.89
64.71,7.87
65.35,7.85
66.01,7.82
66.67,7.79
67.33,7.76
68.01,7.73
68.69,7.70
69.37,7.67
70.07,7.64
70.77,7.61
71.48,7.58
72.19,7.55
72.91,7.52
73.64,7.49
74.38,7.46
75.12,7.43
75.87,7.40
76.63,7.37
77.40,7.33
78.17,7.29
78.95,7.25
79.74,7.21
80.54,7.18
81.35,7.15
82.16,7.11
82.98,7.09
83.81,7.06
84.65,7.03
85.50,7.00
86.35,6.95
87.22,6.91
88.09,6.87
88.97,6.82
89.86,6.78
90.76,6.74
91.66,6.70
92.58,6.66
93.51,6.62
94.44,6.58
95.39,6.53
96.34,6.49
97.30,6.44
98.28,6.39
99.26,6.34
100.25,6.30
101.25,6.26
102.27,6.21
103.29,6.17
104.32,6.12
105.37,6.08
106.42,6.03
107.48,5.99
108.56,5.94
109.64,5.89
110.74,5.85
111.85,5.80
112.97,5.75
114.10,5.70
115.24,5.65
116.39,5.60
117.55,5.55
118.73,5.50
119.92,5.45
121.12,5.40
122.33,5.35
123.55,5.30
124.79,5.25
126.03,5.20
127.29,5.15
128.57,5.10
129.85,5.05
131.15,4.99
132.46,4.94
133.79,4.89
135.12,4.84
136.48,4.79
137.84,4.73
139.22,4.68
140.61,4.62
142.02,4.57
143.44,4.51
144.87,4.46
146.32,4.41
147.78,4.35
149.26,4.30
150.75,4.24
152.26,4.19
153.78,4.14
155.32,4.08
156.88,4.03
158.44,3.97
160.03,3.91
161.63,3.86
163.24,3.80
164.88,3.74
166.53,3.69
168.19,3.63
169.87,3.57
171.57,3.52
173.29,3.46
175.02,3.40
176.77,3.34
178.54,3.28
180.32,3.22
182.13,3.16
183.95,3.10
185.79,3.04
187.65,2.98
189.52,2.92
191.42,2.88
193.33,2.84
195.27,2.80
197.22,2.77
199.19,2.73
201.18,2.69
203.19,2.64
205.23,2.60
207.28,2.54
209.35,2.49
211.44,2.43
213.56,2.37
215.69,2.31
217.85,2.25
220.03,2.19
222.23,2.13
224.45,2.07
226.70,2.02
228.96,1.96
231.25,1.90
233.57,1.85
235.90,1.80
238.26,1.74
240.64,1.69
243.05,1.64
245.48,1.59
247.93,1.54
250.41,1.49
252.92,1.44
255.45,1.39
258.00,1.34
260.58,1.29
263.19,1.24
265.82,1.19
268.48,1.14
271.16,1.09
273.87,1.04
276.61,0.99
279.38,0.94
282.17,0.89
284.99,0.84
287.84,0.79
290.72,0.74
293.63,0.69
