frequency,raw
20.00,3.14
20.20,3.18
20.40,3.23
20.61,3.27
20.81,3.32
21.02,3.36
21.23,3.40
21.44,3.44
21.66,3.48
21.87,3.52
22.09,3.55
22.31,3.59
22.54,3.62
22.76,3.65
22.99,3.69
23.22,3.72
23.45,3.76
23.69,3.79
23.92,3.82
24.16,3.85
24.40,3.88
24.65,3.91
24.89,3.94
25.14,3.97
25.39,4.00
25.65,4.02
25.91,4.05
26.16,4.08
26.43,4.10
26.69,4.13
26.96,4.15
27.23,4.17
27.50,4.19
27.77,4.21
28.05,4.23
28.33,4.25
28.62,4.27
28.90,4.29
29.19,4.30
29.48,4.32
29.78,4.34
30.08,4.35
30.38,4.37
30.68,4.38
30.99,4.39
31.30,4.40
31.61,4.41
31.93,4.42
32.24,4.43
32.57,4.44
32.89,4.45
33.22,4.46
33.55,4.47
33.89,4.47
34.23,4.48
34.57,4.48
34.92,4.49
35.27,4.49
35.62,4.50
35.97,4.50
36.33,4.50
36.70,4.50
37.06,4.50
37.43,4.50
37.81,4.49
38.19,4.49
38.57,4.49
38.95,4.49
39.34,4.48
39.74,4.48
40.14,4.47
40.54,4.47
40.94,4.46
41.35,4.45
41.76,4.44
42.18,4.43
42.60,4.42
43.03,4.42
43.46,4.41
43.90,4.40
44.33,4.38
44.78,4.37
45.23,4.35
45.68,4.34
46.13,4.33
46.60,4.31
47.06,4.30
47.53,4.28
48.01,4.26
48.49,4.24
48.97,4.22
49.46,4.21
49.96,4.19
50.46,4.17
50.96,4.15
51.47,4.12
51.99,4.10
52.51,4.08
53.03,4.05
53.56,4.03
54.10,4.01
54.64,3.98
55.18,3.96
55.74,3.93
56.29,3.90
56.86,3.87
57.42,3.85
58.00,3.82
58.58,3.79
59.16,3.76
59.76,3.73
60.35,3.70
60.96,3.67
61.57,3.64
62.18,3.60
62.80,3.57
63.43,3.54
64.07,3.50
64.71,3.47
65.35,3.44
66.01,3.40
66.67,3.36
67.33,3.33
68.01,3.29
68.69,3.25
69.37,3.21
70.07,3.18
70.77,3.14
71.48,3.10
72.19,3.06
72.91,3.03
73.64,2.99
74.38,2.94
75.12,2.90
75.87,2.86
76.63,2.82
77.40,2.78
78.17,2.74
78.95,2.69
79.74,2.65
80.54,2.61
81.35,2.56
82.16,2.52
82.98,2.47
83.81,2.43
84.65,2.38
85.50,2.34
86.35,2.29
87.22,2.24
88.09,2.19
88.97,2.15
89.86,2.10
90.76,2.05
91.66,2.00
92.58,1.95
93.51,1.91
94.44,1.86
95.39,1.81
96.34,1.76
97.30,1.71
98.28,1.66
99.26,1.61
100.25,1.56
101.25,1.51
102.27,1.46
103.29,1.41
104.32,1.36
105.37,1.31
106.42,1.26
107.48,1.21
108.56,1.15
109.64,1.10
110.74,1.05
111.85,0.99
112.97,0.94
114.10,0.89
115.24,0.83
116.39,0.78
117.55,0.73
118.73,0.67
119.92,0.62
121.12,0.57
122.33,0.51
123.55,0.46
124.79,0.41
126.03,0.35
127.29,0.30
128.57,0.24
129.85,0.19
131.15,0.14
132.46,0.08
133.79,0.03
135.12,-0.02
136.48,-0.08
137.84,-0.13
139.22,-0.18
140.61,-0.24
142.02,-0.29
143.44,-0.35
144.87,-0.40
146.32,-0.46
147.78,-0.51
149.26,-0.57
150.75,-0.62
152.26,-0.67
153.78,-0.72
155.32,-0.78
156.88,-0.83
158.44,-0.88
160.03,-0.93
161.63,-0.98
163.24,-1.04
164.88,-1.09
166.53,-1.14
168.19,-1.20
169.87,-1.25
171.57,-1.31
173.29,-1.36
175.02,-1.41
176.77,-1.46
178.54,-1.51
180.32,-1.56
182.13,-1.61
183.95,-1.66
185.79,-1.70
187.65,-1.73
189.52,-1.77
191.42,-1.81
193.33,-1.84
195.27,-1.87
197.22,-1.91
199.19,-1.95
201.18,-2.00
203.19,-2.04
205.23,-2.09
207.28,-2.14
209.35,-2.19
211.44,-2.24
213.56,-2.29
215.69,-2.33
217.85,-2.38
220.03,-2.42
222.23,-2.47
224.45,-2.51
226.70,-2.55
228.96,-2.59
