frequency,raw
20.00,2.62
20.20,2.69
20.40,2.76
20.61,2.83
20.81,2.90
21.02,2.97
21.23,3.04
21.44,3.11
21.66,3.19
21.87,3.26
22.09,3.33
22.31,3.40
22.54,3.47
22.76,3.54
22.99,3.60
23.22,3.66
23.45,3.73
23.69,3.79
23.92,3.85
24.16,3.91
24.40,3.97
24.65,4.03
24.89,4.09
25.14,4.15
25.39,4.21
25.65,4.27
25.91,4.33
26.16,4.39
26.43,4.44
26.69,4.50
26.96,4.55
27.23,4.60
27.50,4.66
27.77,4.71
28.05,4.76
28.33,4.81
28.62,4.86
28.90,4.91
29.19,4.95
29.48,5.00
29.78,5.05
30.08,5.09
30.38,5.14
30.68,5.19
30.99,5.23
31.30,5.27
31.61,5.32
31.93,5.36
32.24,5.40
32.57,5.44
32.89,5.48
33.22,5.52
33.55,5.56
33.89,5.60
34.23,5.64
34.57,5.67
34.92,5.71
35.27,5.75
35.62,5.78
35.97,5.82
36.33,5.85
36.70,5.89
37.06,5.92
37.43,5.95
37.81,5.99
38.19,6.02
38.57,6.05
38.95,6.08
39.34,6.11
39.74,6.14
40.14,6.17
40.54,6.20
40.94,6.22
41.35,6.25
41.76,6.28
42.18,6.30
42.60,6.33
43.03,6.35
43.46,6.38
43.90,6.40
44.33,6.43
44.78,6.45
45.23,6.47
45.68,6.50
46.13,6.52
46.60,6.54
47.06,6.56
47.53,6.58
48.01,6.60
48.49,6.62
48.97,6.64
49.46,6.66
49.96,6.68
50.46,6.70
50.96,6.72
51.47,6.74
51.99,6.75
52.51,6.77
53.03,6.79
53.56,6.80
54.10,6.82
54.64,6.83
55.18,6.85
55.74,6.86
56.29,6.87
56.86,6.89
57.42,6.90
58.00,6.91
58.58,6.93
59.16,6.94
59.76,6.95
60.35,6.96
60.96,6.97
61.57,6.98
62.18,7.00
62.80,7.01
63.43,7.01
64.07,7.02
64.71,7.03
65.35,7.04
66.01,7.05
66.67,7.06
67.33,7.06
68.01,7.07
68.69,7.08
69.37,7.09
70.07,7.09
70.77,7.10
71.48,7.10
72.19,7.11
72.91,7.11
73.64,7.12
74.38,7.12
75.12,7.13
75.87,7.13
76.63,7.13
77.40,7.14
78.17,7.14
78.95,7.14
79.74,7.15
80.54,7.15
81.35,7.15
82.16,7.15
82.98,7.15
83.81,7.15
84.65,7.15
85.50,7.15
86.35,7.15
87.22,7.15
88.09,7.15
88.97,7.15
89.86,7.15
90.76,7.15
91.66,7.15
92.58,7.14
93.51,7.14
94.44,7.14
95.39,7.14
96.34,7.13
97.30,7.13
98.28,7.12
99.26,7.12
100.25,7.11
101.25,7.11
102.27,7.10
103.29,7.10
104.32,7.09
105.37,7.09
106.42,7.08
107.48,7.07
108.56,7.07
109.64,7.06
110.74,7.05
111.85,7.05
112.97,7.04
114.10,7.03
115.24,7.02
116.39,7.01
117.55,7.00
118.73,6.99
119.92,6.98
121.12,6.97
122.33,6.96
123.55,6.94
124.79,6.93
126.03,6.92
127.29,6.91
128.57,6.89
129.85,6.88
131.15,6.87
132.46,6.86
133.79,6.84
135.12,6.83
136.48,6.81
137.84,6.80
139.22,6.78
140.61,6.77
142.02,6.75
143.44,6.74
144.87,6.72
146.32,6.70
147.78,6.68
149.26,6.67
150.75,6.65
152.26,6.63
153.78,6.61
155.32,6.59
156.88,6.57
158.44,6.55
160.03,6.52
161.63,6.50
163.24,6.48
164.88,6.45
166.53,6.42
168.19,6.40
169.87,6.37
171.57,6.34
173.29,6.32
175.02,6.29
176.77,6.27
178.54,6.24
180.32,6.22
182.13,6.21
183.95,6.19
185.79,6.17
187.65,6.15
189.52,6.14
191.42,6.11
193.33,6.09
195.27,6.06
197.22,6.03
199.19,6.01
201.18,5.98
203.19,5.95
205.23,5.92
207.28,5.90
209.35,5.87
211.44,5.85
213.56,5.82
215.69,5.80
217.85,5.77
220.03,5.74
222.23,5.72
224.45,5.69
226.70,5.66
228.96,5.63
231.25,5.60
233.57,5.56
235.90,5.53
238.26,5.50
240.64,5.46
243.05,5.43
245.48,5.39
247.93,5.35
250.41,5.32
252.92,5.28
255.45,5.24
258.00,5.20
260.58,5.16
263.19,5.13
265.82,5.09
268.48,5.05
271.16,5.01
273.87,4.97
276.61,4.93
279.38,4.89
282.17,4.85
284.99,4.81
287.84,4.76
290.72,4.72
293.63,4.68
296.57,4.64
299.53,4.60
302.53,4.55
305.55,4.51
308.61,4.47
311.69,4.42
314.81,4.38
317.96,4.33
321.14,4.29
324.35,4.24
327.59,4.19
330.87,4.15
334.18,4.10
337.52,4.05
340.90,4.00
344.30,3.96
347.75,3.91
351.23,3.86
354.74,3.81
358.28,3.76
361.87,3.72
365.49,3.67
369.14,3.62
372.83,3.57
376.56,3.52
380.33,3.48
384.13,3.43
387.97,3.38
391.85,3.33
395.77,3.28
399.73,3.23
403.72,3.18
407.76,3.13
411.84,3.07
415.96,3.02
420.12,2.97
424.32,2.92
428.56,2.86
432.85,2.81
437.18,2.76
441.55,2.70
445.96,2.65
450.42,2.59
454.93,2.54
459.48,2.48
464.07,2.43
468.71,2.37
473.40,2.32
478.13,2.26
482.91,2.21
487.74,2.15
492.62,2.09
497.55,2.04
502.52,1.98
507.55,1.92
512.62,1.86
517.75,1.81
522.93,1.75
528.16,1.69
533.44,1.63
538.77,1.58
544.16,1.52
549.60,1.46
555.10,1.40
560.65,1.34
566.25,1.29
571.92,1.23
577.64,1.17
583.41,1.11
589.25,1.05
595.14,1.00
601.09,0.94
607.10,0.88
613.17,0.82
619.30,0.76
625.50,0.71
631.75,0.65
638.07,0.59
644.45,0.53
650.89,0.47
657.40,0.41
663.98,0.35
670.62,0.29
677.32,0.23
684.10,0.17
690.94,0.11
697.85,0.05
704.83,-0.01
711.87,-0.07
718.99,-0.13
726.18,-0.18
733.44,-0.24
740.78,-0.30
748.19,-0.35
755.67,-0.40
763.23,-0.45
770.86,-0.51
778.57,-0.55
786.35,-0.60
794.22,-0.64
802.16,-0.69
810.18,-0.72
818.28,-0.76
826.46,-0.80
834.73,-0.82
843.08,-0.85
851.51,-0.88
860.02,-0.89
868.62,-0.90
877.31,-0.90
886.08,-0.89
894.94,-0.88
903.89,-0.86
912.93,-0.82
922.06,-0.78
931.28,-0.72
940.59,-0.65
950.00,-0.58
959.50,-0.48
969.09,-0.38
978.78,-0.27
988.57,-0.14
998.46,-0.02
1008.44,0.11
1018.53,0.25
1028.71,0.39
1039.00,0.53
1049.39,0.67
1059.88,0.81
1070.48,0.94
1081.19,1.07
1092.00,1.19
1102.92,1.31
1113.95,1.42
1125.09,1.53
1136.34,1.63
1147.70,1.73
1159.18,1.81
1170.77,1.90
1182.48,1.98
1194.30,2.06
1206.25,2.13
1218.31,2.20
1230.49,2.27
1242.80,2.34
1255.22,2.40
1267.78,2.46
1280.45,2.52
1293.26,2.57
1306.19,2.63
1319.25,2.68
1332.45,2.73
1345.77,2.78
1359.23,2.84
1372.82,2.89
1386.55,2.94
1400.41,2.99
1414.42,3.04
1428.56,3.09
1442.85,3.14
1457.28,3.19
1471.85,3.24
1486.57,3.29
1501.43,3.34
1516.45,3.40
1531.61,3.46
1546.93,3.51
1562.40,3.57
1578.02,3.63
1593.80,3.69
1609.74,3.75
1625.84,3.81
1642.10,3.88
1658.52,3.94
1675.10,4.01
1691.85,4.08
1708.77,4.15
1725.86,4.23
1743.12,4.31
1760.55,4.39
1778.15,4.47
1795.94,4.55
1813.90,4.64
1832.03,4.72
1850.36,4.81
1868.86,4.91
1887.55,5.00
1906.42,5.10
1925.49,5.20
1944.74,5.31
1964.19,5.41
1983.83,5.52
2003.67,5.63
2023.71,5.75
2043.94,5.86
2064.38,5.98
2085.03,6.10
2105.88,6.22
2126.94,6.35
2148.20,6.47
2169.69,6.60
2191.38,6.73
2213.30,6.86
2235.43,6.99
2257.78,7.12
2280.36,7.25
2303.17,7.39
2326.20,7.52
2349.46,7.65
2372.95,7.78
2396.68,7.91
2420.65,8.04
2444.86,8.16
2469.31,8.28
2494.00,8.40
2518.94,8.51
2544.13,8.62
2569.57,8.73
2595.27,8.83
2621.22,8.92
2647.43,9.02
2673.90,9.09
2700.64,9.17
2727.65,9.24
2754.93,9.30
2782.48,9.35
2810.30,9.40
2838.40,9.43
2866.79,9.47
2895.46,9.50
2924.41,9.52
2953.65,9.53
2983.19,9.54
3013.02,9.55
3043.15,9.55
3073.58,9.55
3104.32,9.54
3135.36,9.54
3166.72,9.53
3198.38,9.52
3230.37,9.51
3262.67,9.50
3295.30,9.50
3328.25,9.49
3361.53,9.49
3395.15,9.50
3429.10,9.50
3463.39,9.51
3498.03,9.53
3533.01,9.56
3568.34,9.58
3604.02,9.62
3640.06,9.65
3676.46,9.69
3713.22,9.73
3750.36,9.77
3787.86,9.82
3825.74,9.87
3864.00,9.92
3902.64,10.01
3941.66,10.11
3981.08,10.22
4020.89,10.32
4061.10,10.42
4101.71,10.52
4142.73,10.58
4184.15,10.62
4226.00,10.65
4268.26,10.64
4310.94,10.58
4354.05,10.52
4397.59,10.39
4441.56,10.22
4485.98,10.05
4530.84,9.83
4576.15,9.58
4621.91,9.33
4668.13,9.07
4714.81,8.80
4761.96,8.56
4809.58,8.37
4857.67,8.18
4906.25,8.04
4955.31,7.93
5004.87,7.82
5054.91,7.72
5105.46,7.62
5156.52,7.51
5208.08,7.34
5260.16,7.16
5312.77,6.97
5365.89,6.73
5419.55,6.49
5473.75,6.24
5528.49,5.98
5583.77,5.73
5639.61,5.50
5696.00,5.28
5752.96,5.06
5810.49,4.86
5868.60,4.69
5927.28,4.53
5986.56,4.37
6046.42,4.24
6106.89,4.13
6167.96,4.02
6229.64,3.96
6291.93,3.89
6354.85,3.88
6418.40,3.88
6482.58,3.88
6547.41,3.95
6612.88,4.04
6679.01,4.12
6745.80,4.28
6813.26,4.48
6881.39,4.67
6950.21,4.95
7019.71,5.27
7089.91,5.59
7160.81,6.04
7232.41,6.51
7304.74,7.00
7377.79,7.65
7451.56,8.30
7526.08,9.00
7601.34,9.77
7677.35,10.54
7754.13,11.30
7831.67,11.83
7909.98,12.35
7989.08,12.88
8068.98,12.81
8149.67,12.66
8231.16,12.50
8313.47,11.87
8396.61,11.10
8480.57,10.33
8565.38,9.42
8651.03,8.48
8737.54,7.53
8824.92,6.70
8913.17,5.88
9002.30,5.07
9092.32,4.45
9183.25,3.84
9275.08,3.27
9367.83,2.83
9461.51,2.39
9556.12,2.04
9651.68,1.74
9748.20,1.45
9845.68,1.27
9944.14,1.09
10043.58,0.96
10144.02,0.88
10245.46,0.80
10347.91,0.74
10451.39,0.72
10555.91,0.69
10661.46,0.65
10768.08,0.60
10875.76,0.55
10984.52,0.41
11094.36,0.24
11205.31,0.07
11317.36,-0.28
11430.53,-0.63
