frequency,raw
20.00,5.83
20.20,5.87
20.40,5.91
20.61,5.94
20.81,5.98
21.02,6.02
21.23,6.05
21.44,6.09
21.66,6.13
21.87,6.17
22.09,6.21
22.31,6.25
22.54,6.29
22.76,6.32
22.99,6.36
23.22,6.39
23.45,6.42
23.69,6.45
23.92,6.48
24.16,6.51
24.40,6.53
24.65,6.56
24.89,6.59
25.14,6.62
25.39,6.65
25.65,6.67
25.91,6.70
26.16,6.72
26.43,6.75
26.69,6.77
26.96,6.79
27.23,6.81
27.50,6.83
27.77,6.85
28.05,6.87
28.33,6.88
28.62,6.90
28.90,6.92
29.19,6.93
29.48,6.94
29.78,6.96
30.08,6.97
30.38,6.98
30.68,6.99
30.99,7.00
31.30,7.01
31.61,7.02
31.93,7.03
32.24,7.03
32.57,7.04
32.89,7.05
33.22,7.05
33.55,7.06
33.89,7.06
34.23,7.07
34.57,7.07
34.92,7.07
35.27,7.07
35.62,7.07
35.97,7.07
36.33,7.07
36.70,7.07
37.06,7.07
37.43,7.07
37.81,7.06
38.19,7.05
38.57,7.05
38.95,7.04
39.34,7.04
39.74,7.03
40.14,7.02
40.54,7.02
40.94,7.01
41.35,7.00
41.76,6.99
42.18,6.98
42.60,6.97
43.03,6.95
43.46,6.94
43.90,6.93
44.33,6.91
44.78,6.90
45.23,6.88
45.68,6.87
46.13,6.86
46.60,6.84
47.06,6.82
47.53,6.81
48.01,6.79
48.49,6.77
48.97,6.75
49.46,6.73
49.96,6.71
50.46,6.68
50.96,6.66
51.47,6.64
51.99,6.61
52.51,6.59
53.03,6.57
53.56,6.54
54.10,6.52
54.64,6.49
55.18,6.47
55.74,6.44
56.29,6.41
56.86,6.39
57.42,6.36
58.00,6.33
58.58,6.30
59.16,6.27
59.76,6.24
60.35,6.21
60.96,6.18
61.57,6.15
62.18,6.12
62.80,6.09
63.43,6.06
64.07,6.03
64.71,5.99
65.35,5.96
66.01,5.93
66.67,5.89
67.33,5.86
68.01,5.82
68.69,5.79
69.37,5.75
70.07,5.71
70.77,5.68
71.48,5.64
72.19,5.61
72.91,5.57
73.64,5.53
74.38,5.50
75.12,5.46
75.87,5.42
76.63,5.38
77.40,5.34
78.17,5.30
78.95,5.26
79.74,5.22
80.54,5.18
81.35,5.14
82.16,5.10
82.98,5.06
83.81,5.02
84.65,4.98
85.50,4.94
86.35,4.90
87.22,4.86
88.09,4.81
88.97,4.77
89.86,4.73
90.76,4.69
91.66,4.64
92.58,4.60
93.51,4.56
94.44,4.51
95.39,4.47
96.34,4.43
97.30,4.39
98.28,4.34
99.26,4.30
100.25,4.25
101.25,4.21
102.27,4.17
103.29,4.12
104.32,4.08
105.37,4.04
106.42,3.99
107.48,3.95
108.56,3.90
109.64,3.86
110.74,3.81
111.85,3.76
112.97,3.72
114.10,3.68
115.24,3.63
116.39,3.59
117.55,3.54
118.73,3.50
119.92,3.45
121.12,3.41
122.33,3.36
123.55,3.32
124.79,3.27
126.03,3.23
127.29,3.18
128.57,3.14
129.85,3.09
131.15,3.05
132.46,3.00
133.79,2.96
135.12,2.91
136.48,2.87
137.84,2.83
139.22,2.78
140.61,2.74
142.02,2.69
143.44,2.65
144.87,2.60
146.32,2.56
147.78,2.51
149.26,2.47
150.75,2.42
152.26,2.38
153.78,2.34
155.32,2.29
156.88,2.25
158.44,2.21
160.03,2.17
161.63,2.12
163.24,2.08
164.88,2.04
166.53,2.00
168.19,1.96
169.87,1.91
171.57,1.87
173.29,1.83
175.02,1.79
176.77,1.75
178.54,1.71
180.32,1.67
182.13,1.63
183.95,1.59
185.79,1.56
187.65,1.52
189.52,1.49
191.42,1.45
193.33,1.41
195.27,1.37
197.22,1.34
199.19,1.30
201.18,1.26
203.19,1.22
205.23,1.18
207.28,1.15
209.35,1.11
211.44,1.07
213.56,1.03
215.69,1.00
217.85,0.96
220.03,0.93
222.23,0.90
224.45,0.86
226.70,0.84
228.96,0.81
231.25,0.78
233.57,0.76
235.90,0.74
238.26,0.72
240.64,0.69
243.05,0.67
245.48,0.64
247.93,0.60
250.41,0.57
252.92,0.54
255.45,0.51
258.00,0.48
260.58,0.45
263.19,0.42
