frequency,raw
20.00,-2.54
20.20,-2.43
20.40,-2.33
20.61,-2.22
20.81,-2.11
21.02,-2.00
21.23,-1.90
21.44,-1.79
21.66,-1.69
21.87,-1.58
22.09,-1.48
22.31,-1.38
22.54,-1.28
22.76,-1.18
22.99,-1.08
23.22,-0.98
23.45,-0.89
23.69,-0.79
23.92,-0.70
24.16,-0.60
24.40,-0.51
24.65,-0.41
24.89,-0.32
25.14,-0.23
25.39,-0.14
25.65,-0.05
25.91,0.04
26.16,0.13
26.43,0.22
26.69,0.30
26.96,0.39
27.23,0.47
27.50,0.55
27.77,0.64
28.05,0.72
28.33,0.80
28.62,0.88
28.90,0.96
29.19,1.04
29.48,1.11
29.78,1.19
30.08,1.27
30.38,1.34
30.68,1.42
30.99,1.49
31.30,1.56
31.61,1.63
31.93,1.70
32.24,1.78
32.57,1.85
32.89,1.91
33.22,1.98
33.55,2.05
33.89,2.12
34.23,2.18
34.57,2.25
34.92,2.31
35.27,2.37
35.62,2.44
35.97,2.50
36.33,2.56
36.70,2.62
37.06,2.68
37.43,2.73
37.81,2.79
38.19,2.85
38.57,2.90
38.95,2.96
39.34,3.01
39.74,3.07
40.14,3.12
40.54,3.17
40.94,3.22
41.35,3.28
41.76,3.33
42.18,3.38
42.60,3.43
43.03,3.47
43.46,3.52
43.90,3.56
44.33,3.61
44.78,3.65
45.23,3.70
45.68,3.74
46.13,3.78
46.60,3.83
47.06,3.87
47.53,3.91
48.01,3.95
48.49,3.99
48.97,4.03
49.46,4.06
49.96,4.10
50.46,4.14
50.96,4.18
51.47,4.21
51.99,4.25
52.51,4.28
53.03,4.31
53.56,4.35
54.10,4.38
54.64,4.41
55.18,4.44
55.74,4.47
56.29,4.50
56.86,4.53
57.42,4.56
58.00,4.59
58.58,4.61
59.16,4.64
59.76,4.67
60.35,4.69
60.96,4.72
61.57,4.74
62.18,4.77
62.80,4.79
63.43,4.82
64.07,4.84
64.71,4.86
65.35,4.88
66.01,4.90
66.67,4.92
67.33,4.94
68.01,4.96
68.69,4.98
69.37,5.00
70.07,5.02
70.77,5.03
71.48,5.05
72.19,5.06
72.91,5.08
73.64,5.09
74.38,5.11
75.12,5.12
75.87,5.14
76.63,5.15
77.40,5.16
78.17,5.17
78.95,5.19
79.74,5.20
80.54,5.21
81.35,5.22
82.16,5.23
82.98,5.24
83.81,5.25
84.65,5.25
85.50,5.26
86.35,5.27
87.22,5.28
88.09,5.28
88.97,5.29
89.86,5.29
90.76,5.30
91.66,5.30
92.58,5.31
93.51,5.31
94.44,5.32
95.39,5.32
96.34,5.32
97.30,5.32
98.28,5.32
99.26,5.32
100.25,5.33
101.25,5.33
102.27,5.33
103.29,5.33
104.32,5.32
105.37,5.32
106.42,5.32
107.48,5.32
108.56,5.32
109.64,5.31
110.74,5.31
111.85,5.30
112.97,5.30
114.10,5.29
115.24,5.29
116.39,5.28
117.55,5.28
118.73,5.27
119.92,5.26
121.12,5.26
122.33,5.25
123.55,5.24
124.79,5.23
126.03,5.22
127.29,5.21
128.57,5.20
129.85,5.19
131.15,5.18
132.46,5.17
133.79,5.16
135.12,5.14
136.48,5.13
137.84,5.12
139.22,5.10
140.61,5.09
142.02,5.07
143.44,5.06
144.87,5.04
146.32,5.03
147.78,5.01
149.26,4.99
150.75,4.98
152.26,4.96
153.78,4.94
155.32,4.92
156.88,4.90
158.44,4.88
160.03,4.86
161.63,4.83
163.24,4.81
164.88,4.78
166.53,4.76
168.19,4.73
169.87,4.71
171.57,4.69
173.29,4.66
175.02,4.64
176.77,4.63
178.54,4.61
180.32,4.59
182.13,4.58
183.95,4.56
185.79,4.55
187.65,4.53
189.52,4.51
191.42,4.49
193.33,4.47
195.27,4.45
197.22,4.43
199.19,4.40
201.18,4.38
203.19,4.35
205.23,4.33
207.28,4.30
209.35,4.27
211.44,4.25
213.56,4.22
215.69,4.19
217.85,4.16
220.03,4.13
222.23,4.10
224.45,4.07
226.70,4.04
228.96,4.01
231.25,3.98
233.57,3.95
235.90,3.92
238.26,3.89
240.64,3.85
243.05,3.82
245.48,3.79
247.93,3.75
250.41,3.72
252.92,3.68
255.45,3.65
258.00,3.62
260.58,3.58
263.19,3.54
265.82,3.51
268.48,3.47
271.16,3.43
273.87,3.40
276.61,3.36
279.38,3.32
282.17,3.29
284.99,3.25
287.84,3.21
290.72,3.17
293.63,3.13
296.57,3.09
299.53,3.05
302.53,3.01
305.55,2.97
308.61,2.93
311.69,2.89
314.81,2.85
317.96,2.81
321.14,2.77
324.35,2.73
327.59,2.69
330.87,2.65
334.18,2.60
337.52,2.56
340.90,2.52
344.30,2.48
347.75,2.44
351.23,2.40
354.74,2.35
358.28,2.31
361.87,2.27
365.49,2.23
369.14,2.18
372.83,2.14
376.56,2.10
380.33,2.05
384.13,2.01
387.97,1.97
391.85,1.92
395.77,1.88
399.73,1.84
403.72,1.79
407.76,1.75
411.84,1.71
415.96,1.66
420.12,1.62
424.32,1.58
428.56,1.53
432.85,1.49
437.18,1.44
441.55,1.40
445.96,1.36
450.42,1.31
454.93,1.27
459.48,1.22
464.07,1.18
468.71,1.14
473.40,1.10
478.13,1.05
482.91,1.01
487.74,0.97
492.62,0.93
497.55,0.88
502.52,0.84
507.55,0.80
512.62,0.76
517.75,0.72
522.93,0.67
528.16,0.63
533.44,0.59
538.77,0.55
544.16,0.51
549.60,0.47
555.10,0.43
560.65,0.39
566.25,0.35
571.92,0.31
577.64,0.27
583.41,0.23
589.25,0.20
595.14,0.16
601.09,0.12
607.10,0.08
613.17,0.05
619.30,0.01
625.50,-0.02
631.75,-0.06
638.07,-0.09
644.45,-0.12
650.89,-0.16
657.40,-0.19
663.98,-0.22
670.62,-0.25
677.32,-0.28
684.10,-0.31
690.94,-0.34
697.85,-0.36
704.83,-0.39
711.87,-0.41
718.99,-0.43
726.18,-0.46
733.44,-0.48
740.78,-0.50
748.19,-0.52
755.67,-0.53
763.23,-0.55
770.86,-0.56
778.57,-0.57
786.35,-0.58
794.22,-0.59
802.16,-0.60
810.18,-0.60
818.28,-0.60
826.46,-0.60
834.73,-0.60
843.08,-0.59
851.51,-0.58
860.02,-0.57
868.62,-0.56
877.31,-0.54
886.08,-0.52
894.94,-0.50
903.89,-0.48
912.93,-0.45
922.06,-0.42
931.28,-0.38
940.59,-0.34
950.00,-0.29
959.50,-0.24
969.09,-0.18
978.78,-0.13
988.57,-0.07
998.46,-0.01
1008.44,0.05
1018.53,0.12
1028.71,0.19
1039.00,0.26
1049.39,0.33
1059.88,0.40
1070.48,0.45
1081.19,0.50
1092.00,0.54
1102.92,0.52
1113.95,0.51
1125.09,0.51
1136.34,0.52
1147.70,0.54
1159.18,0.61
1170.77,0.70
1182.48,0.80
1194.30,0.90
1206.25,1.00
1218.31,1.10
1230.49,1.19
1242.80,1.27
1255.22,1.36
1267.78,1.44
1280.45,1.52
1293.26,1.60
1306.19,1.67
1319.25,1.75
1332.45,1.83
1345.77,1.90
1359.23,1.97
1372.82,2.05
1386.55,2.12
1400.41,2.19
1414.42,2.27
1428.56,2.34
1442.85,2.42
1457.28,2.49
1471.85,2.56
1486.57,2.64
1501.43,2.71
1516.45,2.79
1531.61,2.87
1546.93,2.94
1562.40,3.02
1578.02,3.10
1593.80,3.18
1609.74,3.26
1625.84,3.35
1642.10,3.43
1658.52,3.51
1675.10,3.60
1691.85,3.68
1708.77,3.77
1725.86,3.86
1743.12,3.95
1760.55,4.04
1778.15,4.13
1795.94,4.22
1813.90,4.32
1832.03,4.41
1850.36,4.51
1868.86,4.61
1887.55,4.70
1906.42,4.80
1925.49,4.90
1944.74,4.99
1964.19,5.09
1983.83,5.19
2003.67,5.28
2023.71,5.38
2043.94,5.47
2064.38,5.56
2085.03,5.65
2105.88,5.74
2126.94,5.83
2148.20,5.91
2169.69,5.99
2191.38,6.06
2213.30,6.13
2235.43,6.20
2257.78,6.26
2280.36,6.31
2303.17,6.36
2326.20,6.40
2349.46,6.44
2372.95,6.47
2396.68,6.49
2420.65,6.51
2444.86,6.52
2469.31,6.53
2494.00,6.53
2518.94,6.51
2544.13,6.50
2569.57,6.48
2595.27,6.45
2621.22,6.41
2647.43,6.38
2673.90,6.33
2700.64,6.28
2727.65,6.23
2754.93,6.18
2782.48,6.12
2810.30,6.07
2838.40,6.01
2866.79,5.96
2895.46,5.90
2924.41,5.85
2953.65,5.80
2983.19,5.75
3013.02,5.70
3043.15,5.64
3073.58,5.59
3104.32,5.53
3135.36,5.48
3166.72,5.42
3198.38,5.36
3230.37,5.30
3262.67,5.25
3295.30,5.20
3328.25,5.15
3361.53,5.11
3395.15,5.07
3429.10,5.04
3463.39,5.01
3498.03,4.98
3533.01,4.96
3568.34,4.94
3604.02,4.93
3640.06,4.91
3676.46,4.90
3713.22,4.89
3750.36,4.87
3787.86,4.86
3825.74,4.84
3864.00,4.83
3902.64,4.80
3941.66,4.78
3981.08,4.75
4020.89,4.73
4061.10,4.69
4101.71,4.66
4142.73,4.64
4184.15,4.62
4226.00,4.60
4268.26,4.59
4310.94,4.60
4354.05,4.61
4397.59,4.64
4441.56,4.68
4485.98,4.73
4530.84,4.78
4576.15,4.83
4621.91,4.88
4668.13,4.92
4714.81,4.96
4761.96,4.98
4809.58,4.98
4857.67,4.98
4906.25,4.94
4955.31,4.88
5004.87,4.82
5054.91,4.69
5105.46,4.56
5156.52,4.42
5208.08,4.20
5260.16,3.99
5312.77,3.77
5365.89,3.53
5419.55,3.29
5473.75,3.07
5528.49,2.88
5583.77,2.68
5639.61,2.49
5696.00,2.31
5752.96,2.12
5810.49,1.96
5868.60,1.85
5927.28,1.75
5986.56,1.65
6046.42,1.63
6106.89,1.62
6167.96,1.65
6229.64,1.74
6291.93,1.83
6354.85,2.01
6418.40,2.20
6482.58,2.39
6547.41,2.60
6612.88,2.82
6679.01,3.04
6745.80,3.25
6813.26,3.44
6881.39,3.64
6950.21,3.84
7019.71,4.03
7089.91,4.22
7160.81,4.47
7232.41,4.73
7304.74,4.99
7377.79,5.37
7451.56,5.75
7526.08,6.19
7601.34,6.72
7677.35,7.26
7754.13,7.80
7831.67,8.37
7909.98,8.94
7989.08,9.50
8068.98,9.78
8149.67,10.01
8231.16,10.23
8313.47,10.00
8396.61,9.62
8480.57,9.24
8565.38,8.50
8651.03,7.66
8737.54,6.82
8824.92,5.87
8913.17,4.91
9002.30,3.95
9092.32,3.09
9183.25,2.22
9275.08,1.39
9367.83,0.67
9461.51,-0.05
9556.12,-0.68
9651.68,-1.26
9748.20,-1.84
9845.68,-2.26
9944.14,-2.67
10043.58,-3.01
10144.02,-3.23
10245.46,-3.46
10347.91,-3.61
10451.39,-3.67
10555.91,-3.74
10661.46,-3.72
10768.08,-3.64
10875.76,-3.56
10984.52,-3.34
11094.36,-3.07
11205.31,-2.80
11317.36,-2.35
11430.53,-1.91
11544.84,-1.44
11660.29,-0.94
11776.89,-0.45
11894.66,-0.12
12013.60,0.16
12133.74,0.44
12255.08,0.53
12377.63,0.39
12501.41,0.24
12626.42,-0.22
12752.68,-0.69
12880.21,-1.23
13009.01,-1.83
13139.10,-2.42
13270.49,-3.01
13403.20,-3.59
13537.23,-4.18
13672.60,-4.77
13809.33,-5.38
13947.42,-5.99
14086.90,-6.66
14227.77,-7.37
14370.04,-8.09
14513.74,-8.80
14658.88,-9.42
14805.47,-10.04
14953.52,-10.66
15103.06,-10.85
15254.09,-10.84
15406.63,-10.84
15560.70,-10.84
15716.30,-10.85
15873.47,-10.86
16032.20,-11.05
16192.52,-11.94
16354.45,-12.82
16517.99,-13.69
16683.17,-14.53
16850.01,-15.37
17018.51,-16.09
17188.69,-15.92
17360.58,-15.75
17534.18,-15.57
17709.53,-15.33
17886.62,-15.09
18065.49,-14.85
18246.14,-14.63
18428.60,-14.40
18612.89,-14.33
18799.02,-14.37
18987.01,-14.40
19176.88,-14.74
19368.65,-15.09
19562.33,-15.47
19757.96,-15.89
19955.54,-16.32
