frequency,raw
20.00,5.43
20.20,5.48
20.40,5.54
20.61,5.59
20.81,5.65
21.02,5.70
21.23,5.76
21.44,5.81
21.66,5.86
21.87,5.91
22.09,5.96
22.31,6.02
22.54,6.06
22.76,6.11
22.99,6.16
23.22,6.21
23.45,6.26
23.69,6.30
23.92,6.35
24.16,6.40
24.40,6.44
24.65,6.48
24.89,6.53
25.14,6.57
25.39,6.61
25.65,6.65
25.91,6.69
26.16,6.73
26.43,6.77
26.69,6.81
26.96,6.85
27.23,6.89
27.50,6.93
27.77,6.96
28.05,7.00
28.33,7.03
28.62,7.07
28.90,7.10
29.19,7.13
29.48,7.17
29.78,7.20
30.08,7.23
30.38,7.26
30.68,7.29
30.99,7.32
31.30,7.35
31.61,7.38
31.93,7.41
32.24,7.43
32.57,7.46
32.89,7.49
33.22,7.52
33.55,7.54
33.89,7.57
34.23,7.59
34.57,7.61
34.92,7.64
35.27,7.66
35.62,7.68
35.97,7.70
36.33,7.73
36.70,7.75
37.06,7.77
37.43,7.79
37.81,7.80
38.19,7.82
38.57,7.84
38.95,7.86
39.34,7.88
39.74,7.89
40.14,7.91
40.54,7.92
40.94,7.94
41.35,7.95
41.76,7.97
42.18,7.98
42.60,7.99
43.03,8.01
43.46,8.02
43.90,8.03
44.33,8.04
44.78,8.05
45.23,8.07
45.68,8.08
46.13,8.08
46.60,8.09
47.06,8.10
47.53,8.11
48.01,8.12
48.49,8.13
48.97,8.13
49.46,8.14
49.96,8.15
50.46,8.15
50.96,8.16
51.47,8.16
51.99,8.17
52.51,8.17
53.03,8.17
53.56,8.18
54.10,8.18
54.64,8.18
55.18,8.19
55.74,8.19
56.29,8.19
56.86,8.19
57.42,8.19
58.00,8.19
58.58,8.19
59.16,8.19
59.76,8.19
60.35,8.19
60.96,8.19
61.57,8.19
62.18,8.18
62.80,8.18
63.43,8.18
64.07,8.17
64.71,8.17
65.35,8.16
66.01,8.16
66.67,8.16
67.33,8.15
68.01,8.14
68.69,8.14
69.37,8.13
70.07,8.12
70.77,8.12
71.48,8.11
72.19,8.11
72.91,8.10
73.64,8.09
74.38,8.09
75.12,8.08
75.87,8.07
76.63,8.06
77.40,8.05
78.17,8.03
78.95,8.02
79.74,8.01
80.54,8.00
81.35,7.99
82.16,7.98
82.98,7.96
83.81,7.95
84.65,7.94
85.50,7.92
86.35,7.91
87.22,7.90
88.09,7.88
88.97,7.87
89.86,7.85
90.76,7.84
91.66,7.82
92.58,7.81
93.51,7.79
94.44,7.78
95.39,7.76
96.34,7.74
97.30,7.72
98.28,7.71
99.26,7.69
100.25,7.67
101.25,7.65
102.27,7.63
103.29,7.61
104.32,7.59
105.37,7.58
106.42,7.56
107.48,7.53
108.56,7.51
109.64,7.49
110.74,7.47
111.85,7.45
112.97,7.43
114.10,7.41
115.24,7.38
116.39,7.36
