frequency,raw
20.00,2.08
20.20,2.12
20.40,2.16
20.61,2.20
20.81,2.24
21.02,2.28
21.23,2.32
21.44,2.36
21.66,2.40
21.87,2.45
22.09,2.49
22.31,2.53
22.54,2.57
22.76,2.62
22.99,2.66
23.22,2.69
23.45,2.73
23.69,2.77
23.92,2.80
24.16,2.84
24.40,2.87
24.65,2.91
24.89,2.94
25.14,2.98
25.39,3.01
25.65,3.05
25.91,3.08
26.16,3.11
26.43,3.14
26.69,3.17
26.96,3.20
27.23,3.23
27.50,3.26
27.77,3.30
28.05,3.33
28.33,3.36
28.62,3.39
28.90,3.42
29.19,3.44
29.48,3.46
29.78,3.49
30.08,3.51
30.38,3.54
30.68,3.56
30.99,3.59
31.30,3.62
31.61,3.65
31.93,3.68
32.24,3.71
32.57,3.73
32.89,3.75
33.22,3.77
33.55,3.79
33.89,3.80
34.23,3.81
34.57,3.83
34.92,3.84
35.27,3.85
35.62,3.87
35.97,3.89
36.33,3.91
36.70,3.93
37.06,3.95
37.43,3.97
37.81,3.99
38.19,4.01
38.57,4.03
38.95,4.04
39.34,4.06
39.74,4.08
40.14,4.10
40.54,4.12
40.94,4.14
41.35,4.15
41.76,4.17
42.18,4.18
42.60,4.19
43.03,4.20
43.46,4.21
43.90,4.22
44.33,4.23
44.78,4.24
45.23,4.26
45.68,4.27
46.13,4.28
46.60,4.29
47.06,4.30
47.53,4.31
48.01,4.32
48.49,4.33
48.97,4.34
49.46,4.35
49.96,4.36
50.46,4.36
50.96,4.37
51.47,4.37
51.99,4.38
52.51,4.39
53.03,4.40
53.56,4.40
54.10,4.41
54.64,4.41
55.18,4.42
55.74,4.43
56.29,4.43
56.86,4.44
57.42,4.44
58.00,4.45
58.58,4.45
59.16,4.45
59.76,4.46
60.35,4.46
60.96,4.46
61.57,4.46
62.18,4.47
62.80,4.47
63.43,4.47
64.07,4.47
64.71,4.47
65.35,4.48
66.01,4.48
66.67,4.48
67.33,4.48
68.01,4.48
68.69,4.48
69.37,4.48
70.07,4.48
70.77,4.48
71.48,4.48
72.19,4.48
72.91,4.48
73.64,4.48
74.38,4.48
75.12,4.48
75.87,4.47
76.63,4.47
77.40,4.47
78.17,4.46
78.95,4.46
79.74,4.46
80.54,4.45
81.35,4.45
82.16,4.45
82.98,4.44
83.81,4.44
84.65,4.44
85.50,4.43
86.35,4.43
87.22,4.42
88.09,4.42
88.97,4.41
89.86,4.41
90.76,4.40
91.66,4.39
92.58,4.39
93.51,4.38
94.44,4.37
95.39,4.37
96.34,4.36
97.30,4.35
98.28,4.34
99.26,4.34
100.25,4.33
101.25,4.32
102.27,4.31
103.29,4.30
104.32,4.29
105.37,4.28
106.42,4.27
107.48,4.26
108.56,4.25
109.64,4.24
110.74,4.23
111.85,4.22
112.97,4.21
114.10,4.20
115.24,4.19
116.39,4.18
117.55,4.17
118.73,4.15
119.92,4.14
121.12,4.13
122.33,4.12
123.55,4.10
124.79,4.09
126.03,4.07
127.29,4.06
128.57,4.05
129.85,4.03
131.15,4.02
132.46,4.00
133.79,3.99
135.12,3.97
136.48,3.96
137.84,3.94
139.22,3.93
140.61,3.91
142.02,3.89
143.44,3.87
144.87,3.86
146.32,3.84
147.78,3.82
149.26,3.80
150.75,3.78
152.26,3.76
153.78,3.74
155.32,3.72
156.88,3.70
158.44,3.68
160.03,3.66
161.63,3.64
163.24,3.62
164.88,3.60
166.53,3.58
168.19,3.55
169.87,3.53
171.57,3.51
173.29,3.48
175.02,3.46
176.77,3.44
178.54,3.41
180.32,3.39
182.13,3.36
183.95,3.33
185.79,3.31
187.65,3.28
189.52,3.25
191.42,3.22
193.33,3.20
195.27,3.17
197.22,3.14
199.19,3.12
201.18,3.09
203.19,3.07
205.23,3.04
207.28,3.02
209.35,3.00
211.44,2.99
213.56,2.97
215.69,2.95
217.85,2.93
220.03,2.91
222.23,2.88
224.45,2.86
226.70,2.83
228.96,2.80
231.25,2.77
233.57,2.74
235.90,2.71
238.26,2.68
240.64,2.65
243.05,2.62
245.48,2.59
247.93,2.55
250.41,2.52
252.92,2.49
255.45,2.45
258.00,2.42
260.58,2.39
263.19,2.36
265.82,2.32
268.48,2.29
271.16,2.26
273.87,2.22
276.61,2.19
279.38,2.15
282.17,2.12
284.99,2.08
287.84,2.05
290.72,2.01
293.63,1.98
296.57,1.94
299.53,1.90
302.53,1.87
305.55,1.83
308.61,1.79
311.69,1.76
314.81,1.72
317.96,1.68
321.14,1.64
324.35,1.60
327.59,1.57
330.87,1.53
334.18,1.49
337.52,1.45
340.90,1.41
344.30,1.38
347.75,1.34
351.23,1.30
354.74,1.26
358.28,1.23
361.87,1.19
365.49,1.15
369.14,1.12
372.83,1.08
376.56,1.04
380.33,1.00
384.13,0.97
387.97,0.93
391.85,0.89
395.77,0.85
399.73,0.82
403.72,0.78
407.76,0.74
411.84,0.71
415.96,0.67
420.12,0.63
424.32,0.60
428.56,0.56
432.85,0.52
437.18,0.49
441.55,0.45
445.96,0.41
450.42,0.37
454.93,0.34
459.48,0.30
464.07,0.26
468.71,0.23
473.40,0.19
478.13,0.16
482.91,0.12
487.74,0.09
492.62,0.05
497.55,0.02
502.52,-0.02
507.55,-0.05
512.62,-0.08
517.75,-0.12
522.93,-0.15
528.16,-0.18
533.44,-0.22
538.77,-0.25
544.16,-0.28
549.60,-0.31
555.10,-0.34
560.65,-0.37
566.25,-0.40
571.92,-0.43
577.64,-0.46
583.41,-0.48
589.25,-0.51
595.14,-0.54
601.09,-0.56
