frequency,raw
20.00,11.05
20.20,11.05
20.40,11.05
20.61,11.05
20.81,11.05
21.02,11.04
21.23,11.04
21.44,11.04
21.66,11.03
21.87,11.03
22.09,11.03
22.31,11.03
22.54,11.02
22.76,11.02
22.99,11.01
23.22,11.00
23.45,10.99
23.69,10.97
23.92,10.95
24.16,10.93
24.40,10.91
24.65,10.89
24.89,10.87
25.14,10.85
25.39,10.82
25.65,10.80
25.91,10.78
26.16,10.77
26.43,10.75
26.69,10.74
26.96,10.72
27.23,10.70
27.50,10.68
27.77,10.65
28.05,10.63
28.33,10.60
28.62,10.56
28.90,10.53
29.19,10.50
29.48,10.47
29.78,10.44
30.08,10.41
30.38,10.38
30.68,10.35
30.99,10.33
31.30,10.32
31.61,10.30
31.93,10.27
32.24,10.24
32.57,10.21
32.89,10.17
33.22,10.13
33.55,10.10
33.89,10.06
34.23,10.02
34.57,9.99
34.92,9.94
35.27,9.90
35.62,9.85
35.97,9.81
36.33,9.76
36.70,9.71
37.06,9.67
37.43,9.63
37.81,9.58
38.19,9.53
38.57,9.49
38.95,9.44
39.34,9.38
39.74,9.33
40.14,9.28
40.54,9.24
40.94,9.19
41.35,9.14
41.76,9.10
42.18,9.05
42.60,8.99
43.03,8.94
43.46,8.88
43.90,8.82
44.33,8.76
44.78,8.70
45.23,8.64
45.68,8.58
46.13,8.52
46.60,8.46
47.06,8.40
47.53,8.35
48.01,8.29
48.49,8.24
48.97,8.18
49.46,8.13
49.96,8.07
50.46,8.01
50.96,7.95
51.47,7.88
51.99,7.81
52.51,7.75
53.03,7.68
53.56,7.62
54.10,7.56
54.64,7.50
55.18,7.43
55.74,7.37
56.29,7.29
56.86,7.22
57.42,7.14
58.00,7.07
58.58,7.00
59.16,6.93
59.76,6.86
60.35,6.79
60.96,6.73
61.57,6.67
62.18,6.61
62.80,6.55
63.43,6.48
64.07,6.40
64.71,6.32
65.35,6.25
66.01,6.17
66.67,6.09
67.33,6.02
68.01,5.96
68.69,5.89
69.37,5.83
70.07,5.76
70.77,5.70
71.48,5.63
72.19,5.57
72.91,5.50
73.64,5.43
74.38,5.36
75.12,5.29
75.87,5.22
76.63,5.15
77.40,5.09
78.17,5.02
78.95,4.95
79.74,4.88
80.54,4.82
81.35,4.75
82.16,4.68
82.98,4.62
83.81,4.55
84.65,4.49
85.50,4.42
86.35,4.36
87.22,4.29
88.09,4.23
88.97,4.17
89.86,4.10
90.76,4.04
91.66,3.98
92.58,3.92
93.51,3.86
94.44,3.80
95.39,3.74
96.34,3.68
