frequency,raw
20.00,-1.36
20.20,-1.30
20.40,-1.24
20.61,-1.17
20.81,-1.11
21.02,-1.05
21.23,-0.99
21.44,-0.92
21.66,-0.86
21.87,-0.79
22.09,-0.73
22.31,-0.67
22.54,-0.61
22.76,-0.55
22.99,-0.49
23.22,-0.43
23.45,-0.37
23.69,-0.31
23.92,-0.25
24.16,-0.19
24.40,-0.14
24.65,-0.09
24.89,-0.03
25.14,0.02
25.39,0.07
25.65,0.13
25.91,0.18
26.16,0.23
26.43,0.28
26.69,0.33
26.96,0.38
27.23,0.43
27.50,0.47
27.77,0.52
28.05,0.56
28.33,0.61
28.62,0.66
28.90,0.70
29.19,0.75
29.48,0.79
29.78,0.83
30.08,0.87
30.38,0.91
30.68,0.95
30.99,0.98
31.30,1.02
31.61,1.05
31.93,1.09
32.24,1.12
32.57,1.16
32.89,1.19
33.22,1.23
33.55,1.26
33.89,1.30
34.23,1.33
34.57,1.36
34.92,1.39
35.27,1.42
35.62,1.44
35.97,1.47
36.33,1.49
36.70,1.52
37.06,1.54
37.43,1.57
37.81,1.60
38.19,1.62
38.57,1.65
38.95,1.67
39.34,1.70
39.74,1.72
40.14,1.74
40.54,1.77
40.94,1.79
41.35,1.81
41.76,1.82
42.18,1.84
42.60,1.86
43.03,1.88
43.46,1.89
43.90,1.91
44.33,1.93
44.78,1.94
45.23,1.96
45.68,1.98
46.13,1.99
46.60,2.00
47.06,2.02
47.53,2.03
48.01,2.04
48.49,2.05
48.97,2.06
49.46,2.07
49.96,2.08
50.46,2.09
50.96,2.10
51.47,2.11
51.99,2.12
52.51,2.13
53.03,2.13
53.56,2.14
54.10,2.15
54.64,2.15
55.18,2.16
55.74,2.16
56.29,2.17
56.86,2.17
57.42,2.18
58.00,2.18
58.58,2.18
59.16,2.18
59.76,2.19
60.35,2.19
60.96,2.19
61.57,2.19
62.18,2.19
62.80,2.19
63.43,2.19
64.07,2.19
64.71,2.18
65.35,2.18
66.01,2.18
66.67,2.18
67.33,2.18
68.01,2.17
68.69,2.17
69.37,2.16
70.07,2.16
70.77,2.15
71.48,2.15
72.19,2.14
72.91,2.14
73.64,2.13
74.38,2.12
75.12,2.12
75.87,2.11
76.63,2.10
77.40,2.09
78.17,2.09
78.95,2.08
79.74,2.07
80.54,2.06
81.35,2.05
82.16,2.04
82.98,2.03
83.81,2.02
84.65,2.01
85.50,1.99
86.35,1.98
87.22,1.97
88.09,1.96
88.97,1.94
89.86,1.93
90.76,1.92
91.66,1.90
92.58,1.89
93.51,1.88
94.44,1.86
95.39,1.85
96.34,1.83
97.30,1.81
98.28,1.80
99.26,1.78
100.25,1.77
101.25,1.75
102.27,1.73
103.29,1.72
104.32,1.70
105.37,1.68
106.42,1.66
107.48,1.64
108.56,1.63
109.64,1.61
110.74,1.59
111.85,1.57
112.97,1.55
114.10,1.53
115.24,1.51
116.39,1.49
117.55,1.47
118.73,1.45
119.92,1.43
121.12,1.40
122.33,1.38
123.55,1.36
124.79,1.34
126.03,1.32
127.29,1.29
128.57,1.27
129.85,1.24
131.15,1.22
132.46,1.19
133.79,1.16
135.12,1.13
136.48,1.10
137.84,1.07
139.22,1.04
140.61,1.01
142.02,0.98
143.44,0.95
144.87,0.93
146.32,0.93
147.78,0.93
149.26,0.93
150.75,0.93
152.26,0.94
153.78,0.94
155.32,0.94
156.88,0.92
158.44,0.91
160.03,0.89
161.63,0.87
163.24,0.84
164.88,0.82
166.53,0.80
168.19,0.77
169.87,0.75
171.57,0.73
173.29,0.70
175.02,0.68
176.77,0.66
178.54,0.63
180.32,0.61
182.13,0.59
183.95,0.56
185.79,0.54
187.65,0.52
189.52,0.49
191.42,0.47
193.33,0.45
195.27,0.43
197.22,0.40
199.19,0.38
201.18,0.36
203.19,0.34
205.23,0.32
207.28,0.29
209.35,0.27
211.44,0.25
213.56,0.23
215.69,0.21
217.85,0.19
220.03,0.17
222.23,0.15
224.45,0.13
226.70,0.11
228.96,0.08
231.25,0.06
233.57,0.04
235.90,0.02
238.26,0.00
240.64,-0.01
243.05,-0.03
245.48,-0.05
247.93,-0.07
250.41,-0.09
252.92,-0.11
255.45,-0.13
258.00,-0.15
260.58,-0.16
263.19,-0.18
265.82,-0.20
268.48,-0.22
271.16,-0.23
273.87,-0.25
276.61,-0.27
279.38,-0.29
282.17,-0.30
284.99,-0.32
287.84,-0.33
290.72,-0.35
293.63,-0.37
296.57,-0.38
299.53,-0.40
302.53,-0.41
305.55,-0.43
308.61,-0.44
311.69,-0.46
314.81,-0.47
317.96,-0.49
321.14,-0.50
324.35,-0.51
327.59,-0.53
330.87,-0.54
334.18,-0.55
337.52,-0.57
340.90,-0.58
344.30,-0.59
347.75,-0.61
351.23,-0.62
354.74,-0.63
358.28,-0.64
361.87,-0.65
365.49,-0.67
369.14,-0.68
372.83,-0.69
376.56,-0.70
380.33,-0.71
384.13,-0.72
387.97,-0.73
391.85,-0.74
395.77,-0.75
399.73,-0.76
403.72,-0.78
407.76,-0.79
411.84,-0.80
415.96,-0.81
420.12,-0.81
424.32,-0.82
428.56,-0.83
432.85,-0.84
437.18,-0.85
441.55,-0.86
445.96,-0.87
450.42,-0.88
454.93,-0.89
459.48,-0.90
464.07,-0.91
468.71,-0.92
473.40,-0.92
478.13,-0.93
482.91,-0.94
487.74,-0.95
492.62,-0.96
497.55,-0.96
502.52,-0.97
507.55,-0.98
512.62,-0.98
517.75,-0.99
522.93,-1.00
528.16,-1.01
533.44,-1.01
538.77,-1.02
544.16,-1.02
549.60,-1.03
555.10,-1.03
560.65,-1.04
566.25,-1.04
571.92,-1.05
577.64,-1.05
583.41,-1.05
589.25,-1.05
595.14,-1.06
601.09,-1.06
607.10,-1.06
613.17,-1.06
619.30,-1.06
625.50,-1.06
631.75,-1.06
638.07,-1.06
644.45,-1.06
650.89,-1.06
657.40,-1.06
663.98,-1.06
670.62,-1.06
677.32,-1.05
684.10,-1.05
690.94,-1.05
697.85,-1.04
704.83,-1.04
711.87,-1.03
718.99,-1.02
726.18,-1.02
733.44,-1.01
740.78,-1.00
748.19,-0.99
755.67,-0.98
763.23,-0.97
770.86,-0.95
778.57,-0.94
786.35,-0.92
794.22,-0.90
802.16,-0.89
810.18,-0.86
818.28,-0.84
826.46,-0.82
834.73,-0.79
843.08,-0.77
851.51,-0.74
860.02,-0.71
868.62,-0.68
877.31,-0.64
886.08,-0.60
894.94,-0.57
903.89,-0.53
912.93,-0.48
922.06,-0.44
931.28,-0.39
940.59,-0.34
950.00,-0.30
959.50,-0.24
969.09,-0.19
978.78,-0.13
988.57,-0.07
998.46,-0.01
1008.44,0.05
1018.53,0.12
1028.71,0.18
1039.00,0.24
1049.39,0.30
1059.88,0.36
1070.48,0.40
1081.19,0.45
1092.00,0.49
1102.92,0.54
1113.95,0.60
1125.09,0.66
1136.34,0.73
1147.70,0.81
1159.18,0.88
1170.77,0.96
1182.48,1.03
1194.30,1.11
1206.25,1.18
1218.31,1.25
1230.49,1.32
1242.80,1.39
1255.22,1.46
1267.78,1.53
1280.45,1.60
1293.26,1.67
1306.19,1.74
1319.25,1.81
1332.45,1.88
1345.77,1.95
1359.23,2.02
1372.82,2.09
1386.55,2.17
1400.41,2.24
1414.42,2.32
1428.56,2.39
1442.85,2.47
1457.28,2.55
1471.85,2.63
1486.57,2.71
1501.43,2.79
1516.45,2.87
1531.61,2.96
1546.93,3.04
1562.40,3.13
1578.02,3.22
1593.80,3.31
1609.74,3.41
1625.84,3.50
1642.10,3.60
1658.52,3.70
1675.10,3.80
1691.85,3.91
1708.77,4.02
1725.86,4.13
1743.12,4.25
1760.55,4.37
1778.15,4.49
1795.94,4.61
1813.90,4.73
1832.03,4.86
1850.36,4.98
1868.86,5.11
1887.55,5.24
1906.42,5.36
1925.49,5.49
1944.74,5.61
1964.19,5.74
1983.83,5.86
2003.67,5.98
2023.71,6.10
2043.94,6.22
2064.38,6.34
2085.03,6.44
2105.88,6.55
2126.94,6.65
2148.20,6.74
2169.69,6.83
2191.38,6.90
2213.30,6.96
2235.43,7.03
2257.78,7.07
2280.36,7.10
2303.17,7.12
2326.20,7.13
2349.46,7.13
2372.95,7.12
2396.68,7.10
2420.65,7.09
2444.86,7.05
2469.31,7.00
2494.00,6.96
2518.94,6.88
2544.13,6.80
2569.57,6.71
2595.27,6.62
2621.22,6.52
2647.43,6.43
2673.90,6.33
2700.64,6.24
2727.65,6.14
2754.93,6.03
2782.48,5.92
2810.30,5.80
2838.40,5.66
2866.79,5.51
2895.46,5.37
2924.41,5.21
2953.65,5.04
2983.19,4.87
3013.02,4.71
3043.15,4.54
3073.58,4.38
3104.32,4.25
3135.36,4.11
3166.72,4.00
3198.38,3.90
3230.37,3.80
3262.67,3.71
3295.30,3.63
3328.25,3.55
3361.53,3.46
3395.15,3.38
3429.10,3.30
3463.39,3.23
3498.03,3.16
3533.01,3.10
3568.34,3.05
3604.02,3.00
3640.06,2.96
3676.46,2.94
3713.22,2.93
3750.36,2.93
3787.86,2.95
3825.74,2.97
3864.00,2.99
3902.64,3.00
3941.66,3.01
3981.08,3.02
4020.89,3.04
4061.10,3.07
4101.71,3.10
4142.73,3.18
4184.15,3.30
4226.00,3.41
4268.26,3.55
4310.94,3.70
4354.05,3.85
4397.59,4.02
4441.56,4.19
4485.98,4.37
4530.84,4.55
4576.15,4.73
4621.91,4.91
4668.13,5.08
4714.81,5.24
4761.96,5.39
4809.58,5.50
4857.67,5.61
4906.25,5.65
4955.31,5.67
5004.87,5.68
5054.91,5.59
5105.46,5.50
5156.52,5.39
5208.08,5.19
5260.16,4.99
5312.77,4.78
5365.89,4.52
5419.55,4.27
5473.75,4.01
5528.49,3.74
5583.77,3.48
5639.61,3.23
5696.00,2.99
5752.96,2.75
5810.49,2.52
5868.60,2.33
5927.28,2.14
5986.56,1.95
6046.42,1.80
6106.89,1.66
6167.96,1.53
6229.64,1.44
6291.93,1.34
6354.85,1.28
6418.40,1.22
6482.58,1.17
6547.41,1.13
6612.88,1.10
6679.01,1.07
6745.80,1.06
6813.26,1.06
6881.39,1.05
6950.21,1.09
7019.71,1.14
7089.91,1.19
7160.81,1.35
7232.41,1.52
7304.74,1.70
7377.79,2.05
7451.56,2.41
7526.08,2.82
7601.34,3.34
7677.35,3.87
7754.13,4.39
7831.67,4.81
7909.98,5.24
7989.08,5.66
8068.98,5.67
8149.67,5.60
8231.16,5.54
8313.47,5.12
8396.61,4.60
8480.57,4.07
8565.38,3.49
8651.03,2.89
