frequency,raw
20.00,6.08
20.20,6.12
20.40,6.17
20.61,6.21
20.81,6.25
21.02,6.30
21.23,6.34
21.44,6.38
21.66,6.42
21.87,6.46
22.09,6.50
22.31,6.54
22.54,6.58
22.76,6.62
22.99,6.65
23.22,6.69
23.45,6.73
23.69,6.76
23.92,6.79
24.16,6.82
24.40,6.85
24.65,6.87
24.89,6.90
25.14,6.92
25.39,6.95
25.65,6.97
25.91,7.00
26.16,7.02
26.43,7.05
26.69,7.08
26.96,7.11
27.23,7.13
27.50,7.16
27.77,7.18
28.05,7.21
28.33,7.23
28.62,7.25
28.90,7.27
29.19,7.29
29.48,7.30
29.78,7.32
30.08,7.34
30.38,7.35
30.68,7.37
30.99,7.38
31.30,7.40
31.61,7.41
31.93,7.42
32.24,7.43
32.57,7.44
32.89,7.45
33.22,7.45
33.55,7.46
33.89,7.47
34.23,7.47
34.57,7.48
34.92,7.49
35.27,7.49
35.62,7.50
35.97,7.50
36.33,7.51
36.70,7.51
37.06,7.51
37.43,7.52
37.81,7.52
38.19,7.51
38.57,7.51
38.95,7.51
39.34,7.51
39.74,7.51
40.14,7.51
40.54,7.50
40.94,7.49
41.35,7.48
41.76,7.48
42.18,7.47
42.60,7.47
43.03,7.46
43.46,7.45
43.90,7.44
44.33,7.43
44.78,7.42
45.23,7.40
45.68,7.39
46.13,7.38
46.60,7.37
47.06,7.36
47.53,7.34
48.01,7.33
48.49,7.31
48.97,7.30
49.46,7.28
49.96,7.26
50.46,7.24
50.96,7.22
51.47,7.20
51.99,7.18
52.51,7.16
53.03,7.14
53.56,7.12
54.10,7.09
54.64,7.07
55.18,7.05
55.74,7.02
56.29,7.00
56.86,6.97
57.42,6.95
58.00,6.92
58.58,6.89
59.16,6.86
59.76,6.84
60.35,6.81
60.96,6.78
61.57,6.75
62.18,6.73
62.80,6.70
63.43,6.67
64.07,6.64
64.71,6.61
65.35,6.58
66.01,6.54
66.67,6.51
67.33,6.48
68.01,6.44
68.69,6.41
69.37,6.38
70.07,6.34
70.77,6.30
71.48,6.27
72.19,6.23
72.91,6.20
73.64,6.16
74.38,6.12
75.12,6.09
75.87,6.05
76.63,6.01
77.40,5.97
78.17,5.93
78.95,5.89
79.74,5.85
80.54,5.81
81.35,5.77
82.16,5.73
82.98,5.69
83.81,5.64
84.65,5.60
85.50,5.56
86.35,5.52
87.22,5.47
88.09,5.43
88.97,5.39
89.86,5.34
90.76,5.30
91.66,5.25
92.58,5.20
93.51,5.16
94.44,5.11
95.39,5.06
96.34,5.01
97.30,4.96
98.28,4.91
99.26,4.87
100.25,4.82
101.25,4.77
102.27,4.72
103.29,4.66
104.32,4.61
105.37,4.56
106.42,4.51
107.48,4.45
108.56,4.40
109.64,4.35
110.74,4.30
111.85,4.24
112.97,4.19
114.10,4.14
115.24,4.08
116.39,4.03
117.55,3.97
118.73,3.92
119.92,3.86
121.12,3.81
122.33,3.75
123.55,3.69
124.79,3.63
126.03,3.57
127.29,3.51
128.57,3.45
129.85,3.38
131.15,3.32
132.46,3.25
133.79,3.18
135.12,3.12
136.48,3.06
137.84,3.01
139.22,2.96
140.61,2.94
142.02,2.93
143.44,2.93
144.87,2.93
146.32,2.93
147.78,2.93
149.26,2.93
150.75,2.91
152.26,2.87
153.78,2.83
155.32,2.78
156.88,2.73
158.44,2.67
160.03,2.61
161.63,2.55
163.24,2.49
164.88,2.43
166.53,2.37
168.19,2.31
169.87,2.25
171.57,2.20
173.29,2.15
175.02,2.09
176.77,2.05
178.54,2.00
180.32,1.96
182.13,1.92
183.95,1.88
185.79,1.84
187.65,1.81
189.52,1.77
191.42,1.73
193.33,1.70
195.27,1.66
197.22,1.62
199.19,1.58
201.18,1.53
203.19,1.49
205.23,1.44
207.28,1.39
209.35,1.34
211.44,1.29
213.56,1.24
215.69,1.19
217.85,1.13
220.03,1.08
222.23,1.03
224.45,0.99
226.70,0.94
228.96,0.89
231.25,0.84
233.57,0.80
235.90,0.75
238.26,0.71
240.64,0.66
243.05,0.62
245.48,0.58
247.93,0.54
250.41,0.49
252.92,0.45
255.45,0.41
258.00,0.37
260.58,0.33
263.19,0.29
265.82,0.25
268.48,0.21
271.16,0.16
273.87,0.12
276.61,0.08
279.38,0.04
282.17,-0.00
284.99,-0.04
287.84,-0.08
290.72,-0.12
293.63,-0.16
296.57,-0.20
299.53,-0.24
302.53,-0.27
305.55,-0.31
308.61,-0.35
311.69,-0.39
314.81,-0.42
317.96,-0.46
321.14,-0.50
324.35,-0.53
327.59,-0.56
330.87,-0.60
334.18,-0.63
337.52,-0.67
340.90,-0.70
344.30,-0.73
347.75,-0.77
351.23,-0.80
354.74,-0.83
358.28,-0.86
361.87,-0.89
365.49,-0.92
369.14,-0.95
372.83,-0.98
376.56,-1.01
380.33,-1.03
384.13,-1.06
387.97,-1.09
391.85,-1.11
395.77,-1.14
399.73,-1.17
403.72,-1.19
407.76,-1.22
411.84,-1.25
415.96,-1.27
420.12,-1.30
424.32,-1.32
428.56,-1.35
432.85,-1.37
437.18,-1.39
441.55,-1.41
445.96,-1.43
450.42,-1.45
454.93,-1.47
459.48,-1.49
464.07,-1.50
468.71,-1.52
473.40,-1.53
478.13,-1.55
482.91,-1.56
487.74,-1.58
492.62,-1.59
497.55,-1.60
502.52,-1.61
507.55,-1.63
512.62,-1.64
517.75,-1.65
522.93,-1.66
528.16,-1.67
533.44,-1.68
538.77,-1.69
544.16,-1.70
549.60,-1.71
555.10,-1.71
560.65,-1.72
566.25,-1.73
571.92,-1.73
577.64,-1.73
583.41,-1.74
589.25,-1.74
595.14,-1.74
601.09,-1.75
607.10,-1.75
613.17,-1.75
619.30,-1.75
625.50,-1.74
631.75,-1.74
638.07,-1.74
644.45,-1.73
650.89,-1.73
657.40,-1.72
663.98,-1.71
670.62,-1.71
677.32,-1.69
684.10,-1.68
690.94,-1.67
697.85,-1.66
704.83,-1.64
711.87,-1.62
718.99,-1.61
726.18,-1.59
733.44,-1.57
740.78,-1.55
748.19,-1.52
755.67,-1.50
763.23,-1.47
770.86,-1.45
778.57,-1.42
786.35,-1.38
794.22,-1.35
802.16,-1.32
810.18,-1.28
818.28,-1.24
826.46,-1.20
834.73,-1.16
843.08,-1.12
851.51,-1.07
860.02,-1.02
868.62,-0.98
877.31,-0.92
886.08,-0.87
894.94,-0.81
903.89,-0.75
912.93,-0.69
922.06,-0.62
931.28,-0.55
940.59,-0.48
950.00,-0.41
959.50,-0.33
969.09,-0.25
978.78,-0.18
988.57,-0.09
998.46,-0.01
1008.44,0.07
1018.53,0.16
1028.71,0.25
1039.00,0.34
1049.39,0.43
1059.88,0.52
1070.48,0.61
1081.19,0.70
1092.00,0.80
1102.92,0.89
1113.95,0.99
1125.09,1.08
1136.34,1.18
1147.70,1.28
1159.18,1.37
1170.77,1.46
1182.48,1.55
1194.30,1.63
1206.25,1.71
1218.31,1.79
1230.49,1.86
1242.80,1.93
1255.22,2.00
1267.78,2.07
1280.45,2.13
1293.26,2.20
1306.19,2.27
1319.25,2.34
