frequency,raw
20.00,5.59
20.20,5.63
20.40,5.66
20.61,5.69
20.81,5.72
21.02,5.76
21.23,5.79
21.44,5.84
21.66,5.89
21.87,5.94
22.09,6.00
22.31,6.05
22.54,6.09
22.76,6.13
22.99,6.16
23.22,6.19
23.45,6.21
23.69,6.24
23.92,6.27
24.16,6.29
24.40,6.32
24.65,6.35
24.89,6.38
25.14,6.41
25.39,6.45
25.65,6.48
25.91,6.51
26.16,6.54
26.43,6.57
26.69,6.60
26.96,6.63
27.23,6.66
27.50,6.67
27.77,6.69
28.05,6.71
28.33,6.73
28.62,6.75
28.90,6.77
29.19,6.79
29.48,6.82
29.78,6.84
30.08,6.86
30.38,6.88
30.68,6.91
30.99,6.92
31.30,6.94
31.61,6.95
31.93,6.97
32.24,6.99
32.57,7.01
32.89,7.04
33.22,7.06
33.55,7.08
33.89,7.09
34.23,7.10
34.57,7.10
34.92,7.11
35.27,7.11
35.62,7.12
35.97,7.13
36.33,7.14
36.70,7.15
37.06,7.16
37.43,7.17
37.81,7.17
38.19,7.18
38.57,7.19
38.95,7.20
39.34,7.21
39.74,7.22
40.14,7.23
40.54,7.22
40.94,7.22
41.35,7.22
41.76,7.22
42.18,7.22
42.60,7.22
43.03,7.23
43.46,7.23
43.90,7.24
44.33,7.24
44.78,7.24
45.23,7.24
45.68,7.23
46.13,7.23
46.60,7.22
47.06,7.21
47.53,7.20
48.01,7.19
48.49,7.19
48.97,7.18
49.46,7.17
49.96,7.16
50.46,7.15
50.96,7.15
51.47,7.14
51.99,7.13
52.51,7.13
53.03,7.12
53.56,7.11
54.10,7.11
54.64,7.10
55.18,7.09
55.74,7.07
56.29,7.06
56.86,7.04
57.42,7.02
58.00,7.00
58.58,6.98
59.16,6.97
59.76,6.96
60.35,6.94
60.96,6.92
61.57,6.91
62.18,6.88
62.80,6.86
63.43,6.84
64.07,6.82
64.71,6.80
65.35,6.78
66.01,6.76
66.67,6.74
67.33,6.71
68.01,6.69
68.69,6.66
69.37,6.63
70.07,6.61
70.77,6.58
71.48,6.55
72.19,6.53
72.91,6.50
73.64,6.47
74.38,6.44
75.12,6.41
75.87,6.38
76.63,6.35
77.40,6.32
78.17,6.29
78.95,6.25
79.74,6.22
80.54,6.19
81.35,6.15
82.16,6.11
82.98,6.08
83.81,6.04
84.65,6.00
85.50,5.96
86.35,5.92
87.22,5.89
88.09,5.84
88.97,5.80
89.86,5.76
90.76,5.72
91.66,5.67
92.58,5.63
93.51,5.59
94.44,5.54
95.39,5.50
96.34,5.45
97.30,5.41
98.28,5.36
99.26,5.31
100.25,5.26
101.25,5.21
102.27,5.17
103.29,5.12
104.32,5.07
105.37,5.01
106.42,4.96
107.48,4.91
108.56,4.85
109.64,4.80
110.74,4.74
111.85,4.68
112.97,4.63
114.10,4.57
115.24,4.51
116.39,4.45
117.55,4.40
118.73,4.34
119.92,4.28
121.12,4.22
122.33,4.17
123.55,4.11
124.79,4.05
126.03,3.99
127.29,3.93
128.57,3.87
129.85,3.80
131.15,3.74
132.46,3.68
133.79,3.61
135.12,3.55
136.48,3.49
137.84,3.42
139.22,3.35
140.61,3.29
142.02,3.22
143.44,3.15
144.87,3.08
146.32,3.01
147.78,2.95
149.26,2.88
150.75,2.81
152.26,2.74
153.78,2.67
155.32,2.61
156.88,2.54
158.44,2.47
160.03,2.40
161.63,2.33
163.24,2.26
164.88,2.19
166.53,2.12
168.19,2.05
169.87,1.98
171.57,1.92
173.29,1.85
175.02,1.78
176.77,1.72
178.54,1.66
180.32,1.59
182.13,1.53
183.95,1.47
185.79,1.41
187.65,1.35
189.52,1.28
191.42,1.22
193.33,1.16
195.27,1.10
197.22,1.05
199.19,0.99
201.18,0.93
203.19,0.88
205.23,0.82
207.28,0.77
209.35,0.72
211.44,0.67
213.56,0.62
215.69,0.57
217.85,0.52
220.03,0.48
222.23,0.44
224.45,0.39
226.70,0.35
228.96,0.31
231.25,0.28
