frequency,raw
20.00,7.50
20.20,7.54
20.40,7.57
20.61,7.61
20.81,7.64
21.02,7.67
21.23,7.71
21.44,7.74
21.66,7.78
21.87,7.81
22.09,7.85
22.31,7.88
22.54,7.91
22.76,7.94
22.99,7.97
23.22,8.00
23.45,8.03
23.69,8.05
23.92,8.08
24.16,8.11
24.40,8.13
24.65,8.15
24.89,8.18
25.14,8.20
25.39,8.22
25.65,8.24
25.91,8.27
26.16,8.28
26.43,8.30
26.69,8.32
26.96,8.34
27.23,8.36
27.50,8.37
27.77,8.39
28.05,8.40
28.33,8.41
28.62,8.43
28.90,8.44
29.19,8.45
29.48,8.46
29.78,8.47
30.08,8.48
30.38,8.49
30.68,8.50
30.99,8.51
31.30,8.51
31.61,8.52
31.93,8.52
32.24,8.52
32.57,8.53
32.89,8.53
33.22,8.53
33.55,8.54
33.89,8.54
34.23,8.54
34.57,8.54
34.92,8.54
35.27,8.54
35.62,8.53
35.97,8.53
36.33,8.53
36.70,8.52
37.06,8.52
37.43,8.51
37.81,8.51
38.19,8.50
38.57,8.49
38.95,8.48
39.34,8.47
39.74,8.47
40.14,8.45
40.54,8.44
40.94,8.43
41.35,8.42
41.76,8.40
42.18,8.39
42.60,8.38
43.03,8.36
43.46,8.35
43.90,8.33
44.33,8.32
44.78,8.30
45.23,8.28
45.68,8.26
46.13,8.24
46.60,8.22
47.06,8.21
47.53,8.19
48.01,8.16
48.49,8.14
48.97,8.12
49.46,8.10
49.96,8.07
50.46,8.05
50.96,8.03
51.47,8.00
51.99,7.98
52.51,7.95
53.03,7.92
53.56,7.90
54.10,7.87
54.64,7.84
55.18,7.81
55.74,7.78
56.29,7.76
56.86,7.72
57.42,7.69
58.00,7.66
58.58,7.63
59.16,7.60
59.76,7.57
60.35,7.53
60.96,7.50
61.57,7.46
62.18,7.43
62.80,7.40
63.43,7.37
64.07,7.33
64.71,7.30
65.35,7.26
66.01,7.22
66.67,7.18
67.33,7.13
68.01,7.10
68.69,7.06
69.37,7.02
70.07,6.98
70.77,6.94
71.48,6.91
72.19,6.87
72.91,6.83
73.64,6.79
74.38,6.74
75.12,6.70
75.87,6.66
76.63,6.62
77.40,6.58
