frequency,raw
20.00,7.33
20.20,7.36
20.40,7.38
20.61,7.40
20.81,7.43
21.02,7.45
21.23,7.47
21.44,7.50
21.66,7.52
21.87,7.53
22.09,7.53
22.31,7.53
22.54,7.51
22.76,7.49
22.99,7.47
23.22,7.45
23.45,7.44
23.69,7.42
23.92,7.42
24.16,7.42
24.40,7.42
24.65,7.43
24.89,7.44
25.14,7.45
25.39,7.45
25.65,7.45
25.91,7.44
26.16,7.42
26.43,7.40
26.69,7.38
26.96,7.35
27.23,7.33
27.50,7.31
27.77,7.29
28.05,7.27
28.33,7.25
28.62,7.23
28.90,7.21
29.19,7.19
29.48,7.16
29.78,7.13
30.08,7.10
30.38,7.08
30.68,7.05
30.99,7.03
31.30,7.02
31.61,7.00
31.93,6.97
32.24,6.95
32.57,6.93
32.89,6.88
33.22,6.84
33.55,6.80
33.89,6.76
34.23,6.71
34.57,6.67
34.92,6.63
35.27,6.59
35.62,6.54
35.97,6.50
36.33,6.46
36.70,6.42
37.06,6.37
37.43,6.32
37.81,6.27
38.19,6.21
38.57,6.15
38.95,6.10
39.34,6.05
39.74,6.00
40.14,5.94
40.54,5.89
40.94,5.83
41.35,5.78
41.76,5.72
42.18,5.66
42.60,5.60
43.03,5.54
43.46,5.48
43.90,5.42
44.33,5.37
44.78,5.31
45.23,5.25
45.68,5.19
46.13,5.14
46.60,5.07
47.06,5.00
47.53,4.93
48.01,4.86
48.49,4.79
48.97,4.72
49.46,4.66
49.96,4.59
50.46,4.53
50.96,4.46
51.47,4.39
51.99,4.32
52.51,4.24
53.03,4.17
53.56,4.09
54.10,4.02
54.64,3.95
55.18,3.88
55.74,3.81
56.29,3.74
56.86,3.66
57.42,3.59
58.00,3.52
58.58,3.44
59.16,3.37
59.76,3.29
60.35,3.21
60.96,3.13
61.57,3.06
62.18,2.98
62.80,2.90
63.43,2.83
64.07,2.75
64.71,2.68
65.35,2.61
66.01,2.53
66.67,2.46
67.33,2.38
68.01,2.30
68.69,2.23
69.37,2.15
70.07,2.07
70.77,1.99
71.48,1.92
72.19,1.84
72.91,1.77
73.64,1.70
74.38,1.63
75.12,1.56
75.87,1.48
76.63,1.41
77.40,1.34
78.17,1.27
78.95,1.19
79.74,1.12
80.54,1.05
81.35,0.98
82.16,0.91
82.98,0.84
83.81,0.78
84.65,0.71
85.50,0.64
86.35,0.57
87.22,0.51
88.09,0.44
88.97,0.37
89.86,0.30
90.76,0.23
91.66,0.17
92.58,0.10
93.51,0.04
94.44,-0.02
95.39,-0.08
96.34,-0.14
97.30,-0.20
98.28,-0.26
99.26,-0.33
100.25,-0.39
101.25,-0.45
102.27,-0.50
103.29,-0.56
104.32,-0.62
105.37,-0.68
106.42,-0.73
107.48,-0.79
108.56,-0.84
109.64,-0.90
110.74,-0.95
111.85,-1.01
112.97,-1.06
114.10,-1.11
115.24,-1.15
116.39,-1.20
117.55,-1.25
118.73,-1.29
119.92,-1.33
121.12,-1.37
122.33,-1.42
123.55,-1.46
124.79,-1.50
126.03,-1.54
127.29,-1.57
128.57,-1.61
129.85,-1.65
