frequency,raw
20.00,12.20
20.20,12.23
20.40,12.26
20.61,12.29
20.81,12.32
21.02,12.35
21.23,12.38
21.44,12.42
21.66,12.45
21.87,12.48
22.09,12.51
22.31,12.54
22.54,12.57
22.76,12.59
22.99,12.62
23.22,12.64
23.45,12.67
23.69,12.69
23.92,12.71
24.16,12.73
24.40,12.75
24.65,12.77
24.89,12.79
25.14,12.81
25.39,12.82
25.65,12.84
25.91,12.86
26.16,12.87
26.43,12.88
26.69,12.90
26.96,12.91
27.23,12.92
27.50,12.93
27.77,12.93
28.05,12.94
28.33,12.95
28.62,12.95
28.90,12.96
29.19,12.96
29.48,12.97
29.78,12.97
30.08,12.97
30.38,12.97
30.68,12.97
30.99,12.97
31.30,12.97
31.61,12.97
31.93,12.96
32.24,12.96
32.57,12.95
32.89,12.94
33.22,12.94
33.55,12.93
33.89,12.92
34.23,12.91
34.57,12.90
34.92,12.88
35.27,12.87
35.62,12.86
35.97,12.84
36.33,12.83
36.70,12.81
37.06,12.79
37.43,12.77
37.81,12.75
38.19,12.73
38.57,12.71
38.95,12.69
39.34,12.67
39.74,12.65
40.14,12.62
40.54,12.59
40.94,12.57
41.35,12.54
41.76,12.51
42.18,12.48
42.60,12.45
43.03,12.42
43.46,12.38
43.90,12.35
44.33,12.31
44.78,12.28
45.23,12.24
45.68,12.20
46.13,12.17
46.60,12.13
47.06,12.09
47.53,12.05
48.01,12.00
48.49,11.96
48.97,11.92
49.46,11.87
49.96,11.82
50.46,11.78
50.96,11.73
51.47,11.68
51.99,11.63
52.51,11.58
53.03,11.52
53.56,11.47
54.10,11.42
54.64,11.36
55.18,11.30
55.74,11.25
56.29,11.19
56.86,11.13
57.42,11.07
58.00,11.00
58.58,10.94
59.16,10.88
59.76,10.81
60.35,10.75
60.96,10.68
61.57,10.61
62.18,10.54
62.80,10.47
63.43,10.40
64.07,10.32
64.71,10.25
65.35,10.17
66.01,10.10
66.67,10.02
67.33,9.94
68.01,9.86
68.69,9.78
69.37,9.70
70.07,9.62
70.77,9.53
71.48,9.45
72.19,9.36
72.91,9.27
73.64,9.18
74.38,9.09
75.12,9.00
75.87,8.91
76.63,8.81
77.40,8.72
78.17,8.62
78.95,8.53
79.74,8.43
80.54,8.33
81.35,8.23
82.16,8.13
82.98,8.02
83.81,7.92
84.65,7.81
85.50,7.71
86.35,7.60
87.22,7.49
88.09,7.38
88.97,7.27
89.86,7.16
90.76,7.04
91.66,6.93
92.58,6.82
93.51,6.70
94.44,6.58
95.39,6.46
96.34,6.34
97.30,6.22
98.28,6.10
99.26,5.98
100.25,5.85
101.25,5.73
102.27,5.60
103.29,5.48
104.32,5.35
105.37,5.22
106.42,5.09
107.48,4.96
108.56,4.83
109.64,4.70
110.74,4.57
111.85,4.44
112.97,4.30
114.10,4.17
115.24,4.03
116.39,3.90
117.55,3.76
118.73,3.63
119.92,3.49
121.12,3.36
122.33,3.22
123.55,3.08
124.79,2.94
126.03,2.81
127.29,2.67
128.57,2.53
129.85,2.39
131.15,2.25
132.46,2.12
133.79,1.98
135.12,1.84
136.48,1.71
137.84,1.57
139.22,1.43
140.61,1.30
142.02,1.18
143.44,1.05
144.87,0.93
146.32,0.82
147.78,0.71
149.26,0.60
150.75,0.50
152.26,0.39
153.78,0.29
155.32,0.18
156.88,0.08
158.44,-0.03
160.03,-0.13
161.63,-0.23
163.24,-0.33
164.88,-0.44
166.53,-0.53
168.19,-0.62
169.87,-0.71
171.57,-0.80
173.29,-0.88
175.02,-0.96
176.77,-1.02
178.54,-1.09
180.32,-1.15
182.13,-1.19
183.95,-1.23
185.79,-1.26
187.65,-1.30
189.52,-1.33
191.42,-1.37
193.33,-1.41
195.27,-1.45
197.22,-1.49
199.19,-1.52
201.18,-1.55
203.19,-1.58
205.23,-1.61
207.28,-1.63
209.35,-1.66
211.44,-1.68
213.56,-1.69
215.69,-1.71
217.85,-1.73
220.03,-1.74
222.23,-1.75
224.45,-1.77
226.70,-1.78
228.96,-1.79
231.25,-1.79
233.57,-1.80
235.90,-1.80
238.26,-1.81
240.64,-1.81
243.05,-1.81
245.48,-1.81
247.93,-1.81
250.41,-1.81
252.92,-1.80
255.45,-1.80
258.00,-1.79
260.58,-1.79
263.19,-1.78
265.82,-1.77
268.48,-1.76
271.16,-1.75
273.87,-1.74
276.61,-1.73
279.38,-1.72
282.17,-1.71
284.99,-1.70
287.84,-1.69
290.72,-1.68
293.63,-1.67
296.57,-1.66
299.53,-1.66
302.53,-1.65
305.55,-1.64
308.61,-1.63
311.69,-1.62
314.81,-1.61
317.96,-1.60
321.14,-1.60
324.35,-1.59
327.59,-1.58
330.87,-1.57
334.18,-1.56
337.52,-1.55
340.90,-1.54
344.30,-1.53
347.75,-1.52
351.23,-1.51
354.74,-1.50
358.28,-1.48
361.87,-1.47
365.49,-1.46
369.14,-1.45
372.83,-1.44
376.56,-1.43
380.33,-1.42
384.13,-1.41
387.97,-1.40
391.85,-1.39
395.77,-1.38
399.73,-1.37
403.72,-1.36
407.76,-1.35
411.84,-1.34
415.96,-1.33
420.12,-1.32
424.32,-1.31
428.56,-1.30
432.85,-1.28
437.18,-1.27
441.55,-1.26
445.96,-1.25
450.42,-1.23
454.93,-1.22
459.48,-1.21
464.07,-1.20
468.71,-1.20
473.40,-1.19
478.13,-1.18
482.91,-1.17
487.74,-1.17
492.62,-1.16
497.55,-1.16
502.52,-1.15
507.55,-1.15
512.62,-1.14
517.75,-1.14
522.93,-1.13
528.16,-1.13
533.44,-1.13
538.77,-1.12
544.16,-1.12
549.60,-1.12
555.10,-1.11
560.65,-1.11
566.25,-1.11
571.92,-1.11
577.64,-1.10
583.41,-1.10
589.25,-1.10
595.14,-1.10
601.09,-1.10
607.10,-1.10
613.17,-1.10
619.30,-1.09
625.50,-1.09
631.75,-1.09
638.07,-1.09
644.45,-1.09
650.89,-1.08
657.40,-1.08
663.98,-1.08
670.62,-1.08
677.32,-1.07
684.10,-1.07
690.94,-1.07
697.85,-1.06
704.83,-1.06
711.87,-1.05
718.99,-1.04
726.18,-1.04
733.44,-1.03
740.78,-1.02
748.19,-1.01
755.67,-1.00
763.23,-0.99
770.86,-0.97
778.57,-0.96
786.35,-0.94
794.22,-0.93
802.16,-0.91
810.18,-0.89
818.28,-0.86
826.46,-0.84
834.73,-0.81
843.08,-0.79
851.51,-0.76
860.02,-0.73
868.62,-0.69
877.31,-0.66
886.08,-0.62
894.94,-0.58
903.89,-0.54
912.93,-0.50
922.06,-0.45
931.28,-0.40
940.59,-0.35
950.00,-0.30
959.50,-0.24
969.09,-0.19
978.78,-0.13
988.57,-0.07
998.46,-0.01
1008.44,0.05
1018.53,0.12
1028.71,0.18
1039.00,0.25
1049.39,0.32
1059.88,0.39
1070.48,0.46
1081.19,0.53
1092.00,0.60
1102.92,0.67
1113.95,0.74
1125.09,0.81
1136.34,0.88
1147.70,0.95
1159.18,1.02
1170.77,1.09
1182.48,1.15
1194.30,1.22
1206.25,1.29
1218.31,1.35
1230.49,1.42
1242.80,1.48
1255.22,1.54
1267.78,1.60
1280.45,1.66
1293.26,1.72
1306.19,1.78
1319.25,1.84
1332.45,1.90
1345.77,1.96
1359.23,2.02
1372.82,2.09
1386.55,2.15
1400.41,2.21
1414.42,2.28
1428.56,2.34
1442.85,2.40
1457.28,2.47
1471.85,2.53
1486.57,2.60
1501.43,2.67
1516.45,2.74
1531.61,2.80
1546.93,2.87
1562.40,2.94
1578.02,3.01
1593.80,3.08
1609.74,3.15
1625.84,3.22
1642.10,3.29
1658.52,3.36
1675.10,3.42
1691.85,3.49
1708.77,3.56
1725.86,3.63
1743.12,3.70
1760.55,3.77
1778.15,3.83
1795.94,3.90
1813.90,3.97
1832.03,4.04
1850.36,4.11
1868.86,4.18
1887.55,4.25
1906.42,4.32
1925.49,4.39
1944.74,4.46
1964.19,4.54
1983.83,4.61
2003.67,4.69
2023.71,4.76
2043.94,4.84
2064.38,4.92
2085.03,5.00
2105.88,5.08
2126.94,5.16
2148.20,5.25
2169.69,5.34
2191.38,5.43
2213.30,5.52
2235.43,5.61
2257.78,5.70
2280.36,5.80
2303.17,5.89
2326.20,5.99
2349.46,6.09
2372.95,6.19
2396.68,6.29
2420.65,6.40
2444.86,6.50
2469.31,6.61
2494.00,6.71
2518.94,6.82
2544.13,6.92
2569.57,7.03
2595.27,7.13
2621.22,7.23
2647.43,7.34
2673.90,7.44
2700.64,7.54
2727.65,7.64
2754.93,7.73
2782.48,7.83
2810.30,7.92
2838.40,8.01
2866.79,8.10
2895.46,8.19
2924.41,8.27
2953.65,8.35
2983.19,8.43
3013.02,8.50
3043.15,8.57
3073.58,8.64
3104.32,8.69
3135.36,8.75
3166.72,8.80
3198.38,8.84
3230.37,8.88
3262.67,8.91
3295.30,8.94
3328.25,8.96
3361.53,8.97
3395.15,8.98
3429.10,8.99
3463.39,8.98
3498.03,8.97
3533.01,8.96
3568.34,8.94
3604.02,8.91
3640.06,8.88
3676.46,8.83
3713.22,8.78
3750.36,8.73
3787.86,8.67
3825.74,8.60
3864.00,8.54
3902.64,8.46
3941.66,8.38
3981.08,8.30
4020.89,8.21
4061.10,8.11
4101.71,8.02
4142.73,7.91
4184.15,7.80
4226.00,7.69
4268.26,7.57
4310.94,7.45
4354.05,7.33
4397.59,7.20
4441.56,7.06
4485.98,6.93
4530.84,6.79
4576.15,6.65
4621.91,6.50
4668.13,6.36
4714.81,6.21
4761.96,6.06
4809.58,5.91
4857.67,5.76
4906.25,5.61
4955.31,5.45
5004.87,5.30
5054.91,5.14
5105.46,4.99
5156.52,4.84
5208.08,4.69
5260.16,4.54
5312.77,4.39
5365.89,4.25
5419.55,4.11
5473.75,3.97
5528.49,3.85
5583.77,3.72
5639.61,3.61
5696.00,3.50
5752.96,3.39
5810.49,3.29
5868.60,3.21
5927.28,3.13
5986.56,3.05
6046.42,2.99
6106.89,2.95
6167.96,2.91
6229.64,2.89
6291.93,2.87
6354.85,2.89
6418.40,2.91
6482.58,2.94
6547.41,3.00
6612.88,3.08
6679.01,3.16
6745.80,3.27
6813.26,3.41
6881.39,3.54
6950.21,3.69
7019.71,3.85
7089.91,4.01
7160.81,4.17
7232.41,4.34
7304.74,4.50
7377.79,4.68
7451.56,4.85
7526.08,5.06
7601.34,5.32
7677.35,5.59
7754.13,5.84
7831.67,6.06
7909.98,6.27
7989.08,6.48
8068.98,6.38
8149.67,6.22
8231.16,6.07
8313.47,5.60
8396.61,5.03
8480.57,4.47
8565.38,3.74
8651.03,2.97
8737.54,2.20
8824.92,1.44
8913.17,0.67
9002.30,-0.09
9092.32,-0.76
9183.25,-1.44
9275.08,-2.08
9367.83,-2.65
9461.51,-3.21
9556.12,-3.71
9651.68,-4.17
9748.20,-4.63
9845.68,-4.99
9944.14,-5.36
10043.58,-5.68
10144.02,-5.95
10245.46,-6.22
10347.91,-6.45
10451.39,-6.63
10555.91,-6.82
10661.46,-6.96
10768.08,-7.06
10875.76,-7.17
10984.52,-7.22
11094.36,-7.25
11205.31,-7.27
