frequency,raw
20.00,0.86
20.20,0.93
20.40,1.00
20.61,1.07
20.81,1.13
21.02,1.20
21.23,1.27
21.44,1.34
21.66,1.41
21.87,1.47
22.09,1.53
22.31,1.59
22.54,1.65
22.76,1.71
22.99,1.77
23.22,1.82
23.45,1.88
23.69,1.94
23.92,2.00
24.16,2.05
24.40,2.11
24.65,2.16
24.89,2.21
25.14,2.26
25.39,2.31
25.65,2.35
25.91,2.40
26.16,2.45
26.43,2.50
26.69,2.55
26.96,2.61
27.23,2.66
27.50,2.70
27.77,2.75
28.05,2.79
28.33,2.83
28.62,2.87
28.90,2.91
29.19,2.96
29.48,3.00
29.78,3.04
30.08,3.08
30.38,3.12
30.68,3.16
30.99,3.19
31.30,3.23
31.61,3.26
31.93,3.30
32.24,3.33
32.57,3.36
32.89,3.39
33.22,3.43
33.55,3.46
33.89,3.49
34.23,3.51
34.57,3.54
34.92,3.57
35.27,3.60
35.62,3.62
35.97,3.65
36.33,3.67
36.70,3.69
37.06,3.71
37.43,3.74
37.81,3.76
38.19,3.78
38.57,3.80
38.95,3.82
39.34,3.84
39.74,3.86
40.14,3.88
40.54,3.90
40.94,3.92
41.35,3.94
41.76,3.95
42.18,3.97
42.60,3.98
43.03,4.00
43.46,4.01
43.90,4.02
44.33,4.04
44.78,4.05
45.23,4.06
45.68,4.07
46.13,4.08
46.60,4.09
47.06,4.09
47.53,4.10
48.01,4.11
48.49,4.12
48.97,4.12
49.46,4.13
49.96,4.14
50.46,4.14
50.96,4.14
51.47,4.15
51.99,4.15
52.51,4.15
53.03,4.15
53.56,4.15
54.10,4.15
54.64,4.15
55.18,4.15
55.74,4.15
56.29,4.15
56.86,4.14
57.42,4.14
58.00,4.14
58.58,4.14
59.16,4.13
59.76,4.13
60.35,4.13
60.96,4.12
61.57,4.11
62.18,4.10
62.80,4.09
63.43,4.08
64.07,4.07
64.71,4.06
65.35,4.05
66.01,4.04
66.67,4.03
67.33,4.02
68.01,4.01
68.69,3.99
69.37,3.98
70.07,3.97
70.77,3.95
71.48,3.94
72.19,3.92
72.91,3.91
73.64,3.89
74.38,3.88
75.12,3.86
75.87,3.84
76.63,3.82
77.40,3.80
78.17,3.79
78.95,3.77
79.74,3.75
80.54,3.72
81.35,3.70
82.16,3.68
82.98,3.66
83.81,3.64
84.65,3.62
85.50,3.60
86.35,3.57
87.22,3.55
88.09,3.53
88.97,3.50
89.86,3.48
90.76,3.46
91.66,3.43
92.58,3.40
93.51,3.38
94.44,3.35
95.39,3.33
96.34,3.30
97.30,3.27
98.28,3.24
99.26,3.22
100.25,3.19
101.25,3.16
102.27,3.13
103.29,3.10
104.32,3.07
105.37,3.04
106.42,3.01
107.48,2.98
108.56,2.95
109.64,2.92
110.74,2.88
111.85,2.85
112.97,2.82
114.10,2.79
115.24,2.75
116.39,2.72
117.55,2.69
118.73,2.65
119.92,2.62
121.12,2.58
122.33,2.54
123.55,2.51
124.79,2.47
126.03,2.44
127.29,2.40
128.57,2.36
129.85,2.32
131.15,2.29
132.46,2.25
133.79,2.21
135.12,2.17
136.48,2.13
137.84,2.10
139.22,2.06
140.61,2.02
142.02,1.98
143.44,1.94
144.87,1.90
146.32,1.86
147.78,1.81
149.26,1.77
150.75,1.73
152.26,1.68
153.78,1.64
155.32,1.59
156.88,1.54
158.44,1.49
160.03,1.45
161.63,1.41
163.24,1.37
164.88,1.33
166.53,1.30
168.19,1.28
169.87,1.25
171.57,1.25
173.29,1.24
175.02,1.23
176.77,1.22
178.54,1.21
180.32,1.19
182.13,1.17
183.95,1.14
185.79,1.11
187.65,1.07
189.52,1.04
191.42,1.00
193.33,0.96
195.27,0.92
197.22,0.87
199.19,0.83
201.18,0.79
203.19,0.75
205.23,0.71
207.28,0.67
209.35,0.63
211.44,0.59
213.56,0.56
215.69,0.52
217.85,0.48
220.03,0.44
222.23,0.40
224.45,0.36
226.70,0.32
228.96,0.29
231.25,0.25
233.57,0.21
235.90,0.17
238.26,0.14
240.64,0.10
243.05,0.06
245.48,0.03
247.93,-0.01
250.41,-0.04
252.92,-0.08
255.45,-0.11
258.00,-0.15
260.58,-0.18
263.19,-0.22
265.82,-0.25
268.48,-0.29
271.16,-0.32
273.87,-0.35
276.61,-0.39
279.38,-0.42
282.17,-0.45
284.99,-0.48
287.84,-0.51
290.72,-0.54
293.63,-0.57
296.57,-0.60
299.53,-0.63
302.53,-0.66
305.55,-0.68
308.61,-0.71
311.69,-0.73
314.81,-0.75
317.96,-0.78
321.14,-0.80
324.35,-0.82
327.59,-0.85
330.87,-0.87
334.18,-0.90
337.52,-0.92
340.90,-0.95
344.30,-0.97
347.75,-1.00
351.23,-1.02
354.74,-1.05
358.28,-1.07
361.87,-1.09
365.49,-1.12
369.14,-1.14
372.83,-1.16
376.56,-1.18
380.33,-1.20
384.13,-1.22
387.97,-1.24
391.85,-1.26
395.77,-1.28
399.73,-1.30
403.72,-1.32
407.76,-1.34
411.84,-1.36
415.96,-1.37
420.12,-1.39
424.32,-1.41
428.56,-1.42
432.85,-1.44
437.18,-1.45
441.55,-1.47
445.96,-1.48
450.42,-1.50
454.93,-1.51
459.48,-1.52
464.07,-1.53
468.71,-1.55
473.40,-1.56
478.13,-1.57
482.91,-1.58
487.74,-1.59
492.62,-1.60
497.55,-1.61
502.52,-1.61
507.55,-1.62
512.62,-1.63
517.75,-1.63
522.93,-1.64
528.16,-1.65
533.44,-1.65
538.77,-1.65
544.16,-1.66
549.60,-1.66
555.10,-1.66
560.65,-1.67
566.25,-1.67
571.92,-1.67
577.64,-1.67
583.41,-1.67
589.25,-1.67
595.14,-1.66
601.09,-1.66
607.10,-1.66
613.17,-1.65
619.30,-1.65
625.50,-1.64
631.75,-1.64
638.07,-1.63
644.45,-1.62
650.89,-1.61
657.40,-1.60
663.98,-1.59
670.62,-1.58
677.32,-1.57
684.10,-1.56
690.94,-1.54
697.85,-1.53
704.83,-1.51
711.87,-1.49
718.99,-1.47
726.18,-1.45
733.44,-1.43
740.78,-1.41
748.19,-1.39
755.67,-1.36
763.23,-1.33
770.86,-1.31
778.57,-1.28
786.35,-1.25
794.22,-1.22
802.16,-1.18
810.18,-1.15
818.28,-1.11
826.46,-1.07
834.73,-1.03
843.08,-0.99
851.51,-0.95
860.02,-0.90
868.62,-0.86
877.31,-0.81
886.08,-0.75
894.94,-0.70
903.89,-0.65
912.93,-0.59
922.06,-0.53
931.28,-0.47
940.59,-0.41
950.00,-0.35
959.50,-0.28
969.09,-0.22
978.78,-0.15
988.57,-0.08
998.46,-0.01
1008.44,0.06
1018.53,0.13
1028.71,0.21
1039.00,0.28
1049.39,0.35
1059.88,0.43
1070.48,0.51
1081.19,0.58
1092.00,0.66
1102.92,0.73
1113.95,0.81
1125.09,0.89
1136.34,0.96
1147.70,1.04
1159.18,1.12
