frequency,raw
20.00,12.20
20.20,12.19
20.40,12.19
20.61,12.19
20.81,12.19
21.02,12.19
21.23,12.19
21.44,12.19
21.66,12.19
21.87,12.19
22.09,12.19
22.31,12.19
22.54,12.19
22.76,12.18
22.99,12.18
23.22,12.18
23.45,12.18
23.69,12.18
23.92,12.18
24.16,12.17
24.40,12.17
24.65,12.16
24.89,12.15
25.14,12.14
25.39,12.13
25.65,12.12
25.91,12.11
26.16,12.11
26.43,12.10
26.69,12.09
26.96,12.08
27.23,12.07
27.50,12.06
27.77,12.05
28.05,12.04
28.33,12.02
28.62,12.01
28.90,12.00
29.19,11.99
29.48,11.98
29.78,11.97
30.08,11.96
30.38,11.95
30.68,11.94
30.99,11.92
31.30,11.91
31.61,11.89
31.93,11.87
32.24,11.86
32.57,11.84
32.89,11.82
33.22,11.80
33.55,11.78
33.89,11.76
34.23,11.74
34.57,11.72
34.92,11.70
35.27,11.68
35.62,11.66
35.97,11.64
36.33,11.63
36.70,11.61
37.06,11.58
37.43,11.56
37.81,11.54
38.19,11.52
38.57,11.50
38.95,11.48
39.34,11.46
39.74,11.44
40.14,11.41
40.54,11.39
40.94,11.37
41.35,11.34
41.76,11.32
42.18,11.29
42.60,11.26
43.03,11.24
43.46,11.21
43.90,11.18
44.33,11.15
44.78,11.13
45.23,11.10
45.68,11.07
46.13,11.04
46.60,11.01
47.06,10.98
47.53,10.95
48.01,10.92
48.49,10.89
48.97,10.86
49.46,10.83
49.96,10.79
50.46,10.76
50.96,10.72
51.47,10.69
51.99,10.66
52.51,10.62
53.03,10.59
53.56,10.56
54.10,10.52
54.64,10.49
55.18,10.45
55.74,10.42
56.29,10.38
56.86,10.34
57.42,10.31
58.00,10.27
58.58,10.23
59.16,10.19
59.76,10.15
60.35,10.11
60.96,10.07
61.57,10.03
62.18,9.98
62.80,9.94
63.43,9.90
64.07,9.86
64.71,9.82
65.35,9.77
66.01,9.73
66.67,9.69
67.33,9.65
68.01,9.60
68.69,9.56
69.37,9.51
70.07,9.47
70.77,9.42
71.48,9.38
72.19,9.33
72.91,9.28
73.64,9.24
74.38,9.19
75.12,9.15
75.87,9.10
76.63,9.05
77.40,9.01
78.17,8.96
78.95,8.91
79.74,8.87
80.54,8.82
81.35,8.77
82.16,8.72
82.98,8.66
83.81,8.61
84.65,8.56
85.50,8.51
86.35,8.45
87.22,8.40
88.09,8.35
88.97,8.31
89.86,8.26
90.76,8.20
91.66,8.15
92.58,8.10
93.51,8.04
94.44,7.99
95.39,7.93
96.34,7.87
97.30,7.82
98.28,7.76
99.26,7.70
100.25,7.65
101.25,7.59
102.27,7.53
103.29,7.48
104.32,7.42
105.37,7.36
106.42,7.31
107.48,7.25
108.56,7.19
109.64,7.13
110.74,7.08
111.85,7.02
112.97,6.96
114.10,6.90
115.24,6.84
116.39,6.77
117.55,6.70
118.73,6.64
119.92,6.58
121.12,6.52
122.33,6.46
123.55,6.40
124.79,6.34
126.03,6.29
127.29,6.23
128.57,6.17
129.85,6.11
131.15,6.05
132.46,5.99
133.79,5.94
135.12,5.88
136.48,5.82
137.84,5.76
139.22,5.70
140.61,5.64
142.02,5.58
143.44,5.51
144.87,5.45
146.32,5.39
147.78,5.33
149.26,5.27
150.75,5.21
152.26,5.16
153.78,5.10
155.32,5.05
156.88,4.99
158.44,4.94
160.03,4.89
161.63,4.84
163.24,4.78
164.88,4.73
166.53,4.67
168.19,4.61
169.87,4.55
171.57,4.50
173.29,4.44
175.02,4.38
176.77,4.32
178.54,4.26
180.32,4.20
182.13,4.14
183.95,4.08
185.79,4.02
187.65,3.96
189.52,3.90
191.42,3.84
193.33,3.78
195.27,3.72
197.22,3.66
199.19,3.60
201.18,3.54
203.19,3.48
205.23,3.43
207.28,3.37
209.35,3.31
211.44,3.25
213.56,3.19
215.69,3.13
217.85,3.07
220.03,3.01
222.23,2.95
224.45,2.89
226.70,2.83
228.96,2.78
231.25,2.72
233.57,2.66
235.90,2.60
238.26,2.54
240.64,2.48
243.05,2.42
245.48,2.37
247.93,2.31
250.41,2.25
252.92,2.19
255.45,2.14
258.00,2.08
260.58,2.02
263.19,1.97
265.82,1.91
268.48,1.85
271.16,1.80
273.87,1.74
276.61,1.69
279.38,1.63
282.17,1.58
284.99,1.53
287.84,1.47
290.72,1.42
293.63,1.37
296.57,1.31
299.53,1.26
302.53,1.21
305.55,1.15
308.61,1.10
311.69,1.05
314.81,1.00
317.96,0.95
321.14,0.90
324.35,0.84
327.59,0.80
330.87,0.75
334.18,0.70
337.52,0.65
340.90,0.60
344.30,0.55
347.75,0.51
351.23,0.46
354.74,0.41
358.28,0.37
361.87,0.32
365.49,0.28
369.14,0.23
372.83,0.19
376.56,0.14
380.33,0.10
384.13,0.06
387.97,0.01
391.85,-0.03
395.77,-0.07
399.73,-0.11
403.72,-0.15
407.76,-0.19
411.84,-0.24
415.96,-0.28
420.12,-0.32
424.32,-0.36
428.56,-0.39
432.85,-0.43
