frequency,raw
20.00,6.08
20.20,6.11
20.40,6.15
20.61,6.19
20.81,6.23
21.02,6.27
21.23,6.31
21.44,6.35
21.66,6.40
21.87,6.44
22.09,6.48
22.31,6.53
22.54,6.57
22.76,6.61
22.99,6.65
23.22,6.68
23.45,6.72
23.69,6.76
23.92,6.79
24.16,6.83
24.40,6.87
24.65,6.90
24.89,6.93
25.14,6.96
25.39,6.99
25.65,7.02
25.91,7.05
26.16,7.08
26.43,7.11
26.69,7.14
26.96,7.17
27.23,7.20
27.50,7.23
27.77,7.26
28.05,7.28
28.33,7.30
28.62,7.32
28.90,7.35
29.19,7.37
29.48,7.39
29.78,7.41
30.08,7.43
30.38,7.45
30.68,7.47
30.99,7.49
31.30,7.51
31.61,7.52
31.93,7.54
32.24,7.56
32.57,7.57
32.89,7.58
33.22,7.59
33.55,7.60
33.89,7.61
34.23,7.62
34.57,7.63
34.92,7.64
35.27,7.65
35.62,7.66
35.97,7.67
36.33,7.68
36.70,7.69
37.06,7.70
37.43,7.71
37.81,7.72
38.19,7.72
38.57,7.73
38.95,7.74
39.34,7.74
39.74,7.75
40.14,7.75
40.54,7.76
40.94,7.76
41.35,7.77
41.76,7.77
42.18,7.77
42.60,7.77
43.03,7.76
43.46,7.76
43.90,7.75
44.33,7.74
44.78,7.73
45.23,7.73
45.68,7.72
46.13,7.71
46.60,7.71
47.06,7.70
47.53,7.70
48.01,7.69
48.49,7.69
48.97,7.68
49.46,7.68
49.96,7.67
50.46,7.66
50.96,7.65
51.47,7.65
51.99,7.64
52.51,7.63
53.03,7.61
53.56,7.60
54.10,7.59
54.64,7.57
55.18,7.56
55.74,7.55
56.29,7.53
56.86,7.52
57.42,7.51
58.00,7.49
58.58,7.47
59.16,7.45
59.76,7.42
60.35,7.40
60.96,7.38
61.57,7.36
62.18,7.34
62.80,7.33
63.43,7.30
64.07,7.28
64.71,7.26
65.35,7.23
66.01,7.21
66.67,7.19
67.33,7.16
68.01,7.14
68.69,7.11
69.37,7.09
70.07,7.06
70.77,7.04
71.48,7.01
72.19,6.98
72.91,6.95
73.64,6.92
74.38,6.89
75.12,6.86
75.87,6.83
76.63,6.80
77.40,6.77
78.17,6.74
78.95,6.70
79.74,6.67
80.54,6.64
81.35,6.61
82.16,6.57
82.98,6.54
83.81,6.50
84.65,6.47
85.50,6.43
86.35,6.40
87.22,6.37
88.09,6.34
88.97,6.31
89.86,6.27
90.76,6.24
91.66,6.20
92.58,6.16
93.51,6.12
94.44,6.08
95.39,6.04
96.34,6.01
97.30,5.97
98.28,5.93
99.26,5.89
100.25,5.85
101.25,5.80
102.27,5.76
103.29,5.72
104.32,5.69
105.37,5.65
106.42,5.61
107.48,5.57
108.56,5.53
109.64,5.49
110.74,5.44
111.85,5.40
112.97,5.34
114.10,5.29
115.24,5.24
116.39,5.19
117.55,5.14
118.73,5.09
119.92,5.05
121.12,5.00
122.33,4.96
123.55,4.91
124.79,4.87
126.03,4.82
127.29,4.78
128.57,4.73
129.85,4.68
131.15,4.63
132.46,4.58
133.79,4.53
135.12,4.48
136.48,4.43
137.84,4.39
139.22,4.34
140.61,4.29
142.02,4.24
143.44,4.19
144.87,4.14
146.32,4.09
147.78,4.04
149.26,3.99
150.75,3.94
152.26,3.89
153.78,3.84
155.32,3.79
156.88,3.74
158.44,3.69
160.03,3.64
161.63,3.59
163.24,3.54
164.88,3.49
166.53,3.44
168.19,3.39
169.87,3.34
171.57,3.28
173.29,3.23
175.02,3.18
176.77,3.13
178.54,3.07
180.32,3.02
182.13,2.97
183.95,2.91
185.79,2.86
187.65,2.81
189.52,2.75
191.42,2.70
193.33,2.64
195.27,2.59
197.22,2.54
199.19,2.49
201.18,2.44
203.19,2.40
205.23,2.36
207.28,2.32
209.35,2.29
211.44,2.26
213.56,2.22
215.69,2.18
217.85,2.14
220.03,2.10
222.23,2.05
224.45,2.01
226.70,1.96
228.96,1.91
231.25,1.86
233.57,1.81
235.90,1.77
238.26,1.72
240.64,1.67
243.05,1.62
245.48,1.58
247.93,1.53
250.41,1.48
252.92,1.44
255.45,1.39
258.00,1.34
260.58,1.30
263.19,1.25
265.82,1.20
268.48,1.16
271.16,1.11
273.87,1.07
276.61,1.02
279.38,0.97
282.17,0.93
284.99,0.89
287.84,0.84
290.72,0.80
293.63,0.75
296.57,0.71
299.53,0.67
302.53,0.63
305.55,0.58
308.61,0.54
311.69,0.50
314.81,0.46
317.96,0.42
321.14,0.38
324.35,0.34
327.59,0.30
330.87,0.26
334.18,0.22
337.52,0.18
340.90,0.14
344.30,0.10
347.75,0.06
351.23,0.02
354.74,-0.01
358.28,-0.05
361.87,-0.09
365.49,-0.12
369.14,-0.16
372.83,-0.19
376.56,-0.23
380.33,-0.26
384.13,-0.29
387.97,-0.33
391.85,-0.36
395.77,-0.39
399.73,-0.42
403.72,-0.45
407.76,-0.48
411.84,-0.51
415.96,-0.54
420.12,-0.57
424.32,-0.60
428.56,-0.63
432.85,-0.66
437.18,-0.69
441.55,-0.71
445.96,-0.74
450.42,-0.77
454.93,-0.79
459.48,-0.82
464.07,-0.84
468.71,-0.87
473.40,-0.89
478.13,-0.92
482.91,-0.94
487.74,-0.96
492.62,-0.98
497.55,-1.00
502.52,-1.03
507.55,-1.05
512.62,-1.07
517.75,-1.09
522.93,-1.11
528.16,-1.13
533.44,-1.14
538.77,-1.16
544.16,-1.18
549.60,-1.19
555.10,-1.21
560.65,-1.22
566.25,-1.23
571.92,-1.25
577.64,-1.26
583.41,-1.27
589.25,-1.28
595.14,-1.29
601.09,-1.30
607.10,-1.31
613.17,-1.32
619.30,-1.33
625.50,-1.34
631.75,-1.34
638.07,-1.35
644.45,-1.35
650.89,-1.36
657.40,-1.36
663.98,-1.36
670.62,-1.36
677.32,-1.36
684.10,-1.36
690.94,-1.36
697.85,-1.35
704.83,-1.35
711.87,-1.34
718.99,-1.33
726.18,-1.32
733.44,-1.31
740.78,-1.30
748.19,-1.29
755.67,-1.27
763.23,-1.25
770.86,-1.24
778.57,-1.22
786.35,-1.19
794.22,-1.17
802.16,-1.15
810.18,-1.12
818.28,-1.09
826.46,-1.06
834.73,-1.02
843.08,-0.99
851.51,-0.95
860.02,-0.91
868.62,-0.87
877.31,-0.82
886.08,-0.77
894.94,-0.73
903.89,-0.67
912.93,-0.62
922.06,-0.56
931.28,-0.50
940.59,-0.44
950.00,-0.37
959.50,-0.30
969.09,-0.24
978.78,-0.16
988.57,-0.09
998.46,-0.01
1008.44,0.07
1018.53,0.15
1028.71,0.23
1039.00,0.32
1049.39,0.40
1059.88,0.49
1070.48,0.58
1081.19,0.67
1092.00,0.76
1102.92,0.86
1113.95,0.95
1125.09,1.04
1136.34,1.14
1147.70,1.23
1159.18,1.33
1170.77,1.43
1182.48,1.52
1194.30,1.62
1206.25,1.72
1218.31,1.81
1230.49,1.91
1242.80,2.01
1255.22,2.10
1267.78,2.20
1280.45,2.30
1293.26,2.39
1306.19,2.49
1319.25,2.59
1332.45,2.68
1345.77,2.78
1359.23,2.88
1372.82,2.97
1386.55,3.07
1400.41,3.16
1414.42,3.26
1428.56,3.35
1442.85,3.44
1457.28,3.54
1471.85,3.63
1486.57,3.72
1501.43,3.82
1516.45,3.91
1531.61,4.00
1546.93,4.10
1562.40,4.19
1578.02,4.28
1593.80,4.38
1609.74,4.47
1625.84,4.57
1642.10,4.66
1658.52,4.76
1675.10,4.85
1691.85,4.95
1708.77,5.05
1725.86,5.14
1743.12,5.24
1760.55,5.33
1778.15,5.42
1795.94,5.51
1813.90,5.60
1832.03,5.69
1850.36,5.77
1868.86,5.85
1887.55,5.94
1906.42,6.02
1925.49,6.09
1944.74,6.17
1964.19,6.23
1983.83,6.29
2003.67,6.35
2023.71,6.38
2043.94,6.41
2064.38,6.44
2085.03,6.45
2105.88,6.46
2126.94,6.46
2148.20,6.45
2169.69,6.44
2191.38,6.43
2213.30,6.42
2235.43,6.41
2257.78,6.40
2280.36,6.39
2303.17,6.38
2326.20,6.37
2349.46,6.36
2372.95,6.34
2396.68,6.32
2420.65,6.29
2444.86,6.25
2469.31,6.19
2494.00,6.12
2518.94,6.01
2544.13,5.88
2569.57,5.75
2595.27,5.58
2621.22,5.38
2647.43,5.19
2673.90,5.00
2700.64,4.81
2727.65,4.66
2754.93,4.56
2782.48,4.47
2810.30,4.40
2838.40,4.38
2866.79,4.35
2895.46,4.33
2924.41,4.31
2953.65,4.29
2983.19,4.27
3013.02,4.24
3043.15,4.21
3073.58,4.18
3104.32,4.14
3135.36,4.10
3166.72,4.05
3198.38,4.00
3230.37,3.95
3262.67,3.89
3295.30,3.83
3328.25,3.76
3361.53,3.70
3395.15,3.63
3429.10,3.57
3463.39,3.51
3498.03,3.45
3533.01,3.40
3568.34,3.36
3604.02,3.33
3640.06,3.31
3676.46,3.31
3713.22,3.32
3750.36,3.32
3787.86,3.33
3825.74,3.34
3864.00,3.34
3902.64,3.31
3941.66,3.28
3981.08,3.24
4020.89,3.22
4061.10,3.20
4101.71,3.19
4142.73,3.22
4184.15,3.27
4226.00,3.33
4268.26,3.39
4310.94,3.46
4354.05,3.53
4397.59,3.57
4441.56,3.61
4485.98,3.64
4530.84,3.67
4576.15,3.69
4621.91,3.71
4668.13,3.77
4714.81,3.83
4761.96,3.90
4809.58,3.99
4857.67,4.09
4906.25,4.20
4955.31,4.32
5004.87,4.44
5054.91,4.58
5105.46,4.73
5156.52,4.87
5208.08,5.00
5260.16,5.14
5312.77,5.26
5365.89,5.34
5419.55,5.41
5473.75,5.45
5528.49,5.45
5583.77,5.44
5639.61,5.38
5696.00,5.31
5752.96,5.24
5810.49,5.17
5868.60,5.11
5927.28,5.04
5986.56,4.98
6046.42,4.93
6106.89,4.87
6167.96,4.83
6229.64,4.79
6291.93,4.75
6354.85,4.76
6418.40,4.77
6482.58,4.77
6547.41,4.80
6612.88,4.84
6679.01,4.87
6745.80,4.91
6813.26,4.95
6881.39,5.00
6950.21,5.05
7019.71,5.10
7089.91,5.16
7160.81,5.22
7232.41,5.28
7304.74,5.33
7377.79,5.37
7451.56,5.40
7526.08,5.42
7601.34,5.40
7677.35,5.38
7754.13,5.37
7831.67,5.34
7909.98,5.31
7989.08,5.29
