frequency,raw
20.00,4.44
20.20,4.52
20.40,4.60
20.61,4.68
20.81,4.76
21.02,4.85
21.23,4.93
21.44,5.02
21.66,5.10
21.87,5.19
22.09,5.28
22.31,5.36
22.54,5.45
22.76,5.53
22.99,5.61
23.22,5.69
23.45,5.77
23.69,5.85
23.92,5.93
24.16,6.01
24.40,6.09
24.65,6.16
24.89,6.24
25.14,6.31
25.39,6.39
25.65,6.46
25.91,6.53
26.16,6.60
26.43,6.67
26.69,6.74
26.96,6.81
27.23,6.88
27.50,6.95
27.77,7.01
28.05,7.08
28.33,7.14
28.62,7.20
28.90,7.27
29.19,7.33
29.48,7.39
29.78,7.45
30.08,7.51
30.38,7.57
30.68,7.62
30.99,7.68
31.30,7.74
31.61,7.79
31.93,7.84
32.24,7.90
32.57,7.95
32.89,8.00
33.22,8.05
33.55,8.10
33.89,8.15
34.23,8.20
34.57,8.25
34.92,8.29
35.27,8.34
35.62,8.38
35.97,8.43
36.33,8.47
36.70,8.51
37.06,8.55
37.43,8.59
37.81,8.63
38.19,8.67
38.57,8.71
38.95,8.75
39.34,8.79
39.74,8.83
40.14,8.86
40.54,8.90
40.94,8.93
41.35,8.97
41.76,9.00
42.18,9.03
42.60,9.06
43.03,9.09
43.46,9.12
43.90,9.15
44.33,9.18
44.78,9.21
45.23,9.23
45.68,9.26
46.13,9.28
46.60,9.31
47.06,9.33
47.53,9.36
48.01,9.38
48.49,9.40
48.97,9.42
49.46,9.44
49.96,9.46
50.46,9.48
50.96,9.49
51.47,9.51
51.99,9.53
52.51,9.54
53.03,9.56
53.56,9.57
54.10,9.59
54.64,9.60
55.18,9.61
55.74,9.63
56.29,9.64
56.86,9.65
57.42,9.66
58.00,9.67
58.58,9.68
59.16,9.68
59.76,9.69
60.35,9.70
60.96,9.71
61.57,9.71
62.18,9.72
62.80,9.72
63.43,9.72
64.07,9.73
64.71,9.73
65.35,9.73
66.01,9.73
66.67,9.73
67.33,9.73
68.01,9.73
68.69,9.73
69.37,9.73
70.07,9.72
70.77,9.72
71.48,9.72
72.19,9.71
72.91,9.71
73.64,9.70
74.38,9.69
75.12,9.69
75.87,9.68
76.63,9.67
77.40,9.66
78.17,9.65
78.95,9.64
