frequency,raw
20.00,4.78
20.20,4.84
20.40,4.91
20.61,4.97
20.81,5.03
21.02,5.10
21.23,5.16
21.44,5.23
21.66,5.30
21.87,5.38
22.09,5.45
22.31,5.52
22.54,5.59
22.76,5.66
22.99,5.73
23.22,5.79
23.45,5.85
23.69,5.92
23.92,5.98
24.16,6.03
24.40,6.09
24.65,6.15
24.89,6.21
25.14,6.27
25.39,6.33
25.65,6.39
25.91,6.44
26.16,6.50
26.43,6.55
26.69,6.61
26.96,6.66
27.23,6.71
27.50,6.76
27.77,6.81
28.05,6.86
28.33,6.91
28.62,6.96
28.90,7.00
29.19,7.05
29.48,7.09
29.78,7.14
30.08,7.18
30.38,7.22
30.68,7.26
30.99,7.30
31.30,7.34
31.61,7.37
31.93,7.41
32.24,7.45
32.57,7.48
32.89,7.52
33.22,7.55
33.55,7.58
33.89,7.62
34.23,7.65
34.57,7.68
34.92,7.71
35.27,7.74
35.62,7.78
35.97,7.80
36.33,7.83
36.70,7.86
37.06,7.89
37.43,7.91
37.81,7.93
38.19,7.96
38.57,7.98
38.95,8.00
39.34,8.03
39.74,8.05
40.14,8.07
40.54,8.09
40.94,8.11
41.35,8.13
41.76,8.15
42.18,8.16
42.60,8.18
43.03,8.20
43.46,8.22
43.90,8.23
44.33,8.24
44.78,8.26
45.23,8.27
45.68,8.28
46.13,8.29
46.60,8.30
47.06,8.30
47.53,8.31
48.01,8.32
48.49,8.33
48.97,8.34
49.46,8.35
49.96,8.36
50.46,8.36
50.96,8.36
51.47,8.37
51.99,8.37
52.51,8.38
53.03,8.38
53.56,8.38
54.10,8.38
54.64,8.39
55.18,8.38
55.74,8.38
56.29,8.38
56.86,8.38
57.42,8.38
58.00,8.38
58.58,8.37
59.16,8.37
59.76,8.37
60.35,8.36
60.96,8.36
61.57,8.35
62.18,8.34
62.80,8.34
63.43,8.33
64.07,8.32
64.71,8.31
65.35,8.30
66.01,8.29
66.67,8.28
67.33,8.27
68.01,8.26
68.69,8.24
69.37,8.23
70.07,8.22
70.77,8.21
71.48,8.19
72.19,8.18
72.91,8.17
73.64,8.15
74.38,8.14
75.12,8.12
75.87,8.10
76.63,8.08
77.40,8.07
78.17,8.05
78.95,8.03
79.74,8.01
80.54,7.99
81.35,7.97
82.16,7.94
82.98,7.92
83.81,7.90
84.65,7.88
85.50,7.85
86.35,7.83
87.22,7.81
88.09,7.78
88.97,7.76
89.86,7.73
90.76,7.71
91.66,7.68
92.58,7.65
93.51,7.63
94.44,7.60
95.39,7.57
96.34,7.54
97.30,7.51
98.28,7.48
99.26,7.44
100.25,7.41
101.25,7.38
102.27,7.35
103.29,7.32
104.32,7.29
105.37,7.25
106.42,7.22
107.48,7.19
108.56,7.15
109.64,7.12
110.74,7.08
111.85,7.05
112.97,7.01
114.10,6.97
115.24,6.94
116.39,6.90
117.55,6.86
118.73,6.82
119.92,6.78
121.12,6.74
122.33,6.70
123.55,6.66
124.79,6.62
126.03,6.58
127.29,6.54
128.57,6.50
129.85,6.45
131.15,6.41
132.46,6.37
133.79,6.33
135.12,6.28
136.48,6.24
137.84,6.20
139.22,6.15
140.61,6.11
142.02,6.06
143.44,6.02
144.87,5.98
146.32,5.93
147.78,5.88
149.26,5.84
150.75,5.79
152.26,5.74
153.78,5.70
155.32,5.65
156.88,5.60
158.44,5.56
160.03,5.51
161.63,5.47
163.24,5.42
164.88,5.38
166.53,5.34
168.19,5.29
169.87,5.25
171.57,5.21
173.29,5.16
175.02,5.12
176.77,5.07
178.54,5.02
180.32,4.97
182.13,4.92
183.95,4.88
185.79,4.83
187.65,4.78
189.52,4.73
191.42,4.68
193.33,4.62
195.27,4.57
197.22,4.52
199.19,4.47
201.18,4.42
203.19,4.37
205.23,4.32
207.28,4.27
209.35,4.21
211.44,4.16
213.56,4.11
215.69,4.06
217.85,4.00
220.03,3.95
222.23,3.90
224.45,3.84
226.70,3.79
228.96,3.74
231.25,3.69
233.57,3.64
235.90,3.59
238.26,3.55
240.64,3.50
243.05,3.45
245.48,3.41
247.93,3.36
250.41,3.31
252.92,3.26
255.45,3.21
258.00,3.16
260.58,3.10
263.19,3.05
265.82,3.00
268.48,2.95
271.16,2.89
273.87,2.84
276.61,2.79
279.38,2.74
282.17,2.68
284.99,2.63
287.84,2.58
290.72,2.53
293.63,2.47
296.57,2.42
299.53,2.37
302.53,2.32
305.55,2.26
308.61,2.21
311.69,2.16
314.81,2.11
317.96,2.06
321.14,2.01
324.35,1.96
327.59,1.90
330.87,1.85
334.18,1.80
337.52,1.75
340.90,1.70
344.30,1.65
347.75,1.61
351.23,1.56
354.74,1.51
358.28,1.46
361.87,1.41
365.49,1.36
369.14,1.31
372.83,1.26
376.56,1.22
380.33,1.17
384.13,1.12
387.97,1.07
391.85,1.03
395.77,0.98
399.73,0.93
403.72,0.89
407.76,0.84
411.84,0.80
415.96,0.75
420.12,0.71
424.32,0.66
428.56,0.62
432.85,0.57
437.18,0.53
441.55,0.49
445.96,0.45
450.42,0.40
454.93,0.36
459.48,0.32
464.07,0.28
468.71,0.24
473.40,0.20
478.13,0.16
482.91,0.12
487.74,0.08
492.62,0.04
497.55,0.01
502.52,-0.03
507.55,-0.06
512.62,-0.09
517.75,-0.12
522.93,-0.15
528.16,-0.18
533.44,-0.21
538.77,-0.24
544.16,-0.27
549.60,-0.30
555.10,-0.33
560.65,-0.36
566.25,-0.38
571.92,-0.41
577.64,-0.44
583.41,-0.47
589.25,-0.49
595.14,-0.52
601.09,-0.55
607.10,-0.57
613.17,-0.59
619.30,-0.62
625.50,-0.64
631.75,-0.66
638.07,-0.68
644.45,-0.70
650.89,-0.72
657.40,-0.73
663.98,-0.75
670.62,-0.77
677.32,-0.78
684.10,-0.80
690.94,-0.81
697.85,-0.82
704.83,-0.83
711.87,-0.84
718.99,-0.84
726.18,-0.85
733.44,-0.85
740.78,-0.85
748.19,-0.85
755.67,-0.85
763.23,-0.85
770.86,-0.84
778.57,-0.84
786.35,-0.83
794.22,-0.82
802.16,-0.81
810.18,-0.79
818.28,-0.77
826.46,-0.75
834.73,-0.73
843.08,-0.70
851.51,-0.68
860.02,-0.65
868.62,-0.61
877.31,-0.58
886.08,-0.54
894.94,-0.50
903.89,-0.45
912.93,-0.41
922.06,-0.36
931.28,-0.31
940.59,-0.26
950.00,-0.21
959.50,-0.16
969.09,-0.12
978.78,-0.08
988.57,-0.04
998.46,-0.01
1008.44,0.04
1018.53,0.10
1028.71,0.15
1039.00,0.22
1049.39,0.29
1059.88,0.37
1070.48,0.44
1081.19,0.51
1092.00,0.59
1102.92,0.66
1113.95,0.74
1125.09,0.81
1136.34,0.89
1147.70,0.97
1159.18,1.05
1170.77,1.13
1182.48,1.21
1194.30,1.29
1206.25,1.37
1218.31,1.45
1230.49,1.53
1242.80,1.60
1255.22,1.68
1267.78,1.76
1280.45,1.84
1293.26,1.91
1306.19,1.99
1319.25,2.06
1332.45,2.14
1345.77,2.22
1359.23,2.29
1372.82,2.37
1386.55,2.45
1400.41,2.52
1414.42,2.60
1428.56,2.68
1442.85,2.76
1457.28,2.83
1471.85,2.91
1486.57,2.99
1501.43,3.07
1516.45,3.16
1531.61,3.24
1546.93,3.32
1562.40,3.41
1578.02,3.49
1593.80,3.58
1609.74,3.67
1625.84,3.76
1642.10,3.85
1658.52,3.94
1675.10,4.04
1691.85,4.13
1708.77,4.24
1725.86,4.36
1743.12,4.48
1760.55,4.63
1778.15,4.80
1795.94,4.97
1813.90,5.21
1832.03,5.47
1850.36,5.74
1868.86,6.08
1887.55,6.42
1906.42,6.75
1925.49,7.06
1944.74,7.38
1964.19,7.63
1983.83,7.86
2003.67,8.07
2023.71,8.24
2043.94,8.40
2064.38,8.56
2085.03,8.70
2105.88,8.85
2126.94,8.99
2148.20,9.14
2169.69,9.30
2191.38,9.45
2213.30,9.61
2235.43,9.77
2257.78,9.93
2280.36,10.09
2303.17,10.25
2326.20,10.41
2349.46,10.57
2372.95,10.73
2396.68,10.88
2420.65,11.03
2444.86,11.16
2469.31,11.29
2494.00,11.41
2518.94,11.51
2544.13,11.61
2569.57,11.70
2595.27,11.76
2621.22,11.81
2647.43,11.86
2673.90,11.87
2700.64,11.88
2727.65,11.87
2754.93,11.83
2782.48,11.79
2810.30,11.74
2838.40,11.66
2866.79,11.57
2895.46,11.49
2924.41,11.38
2953.65,11.26
2983.19,11.14
3013.02,11.01
3043.15,10.88
3073.58,10.74
3104.32,10.61
3135.36,10.47
3166.72,10.34
3198.38,10.21
3230.37,10.08
3262.67,9.95
3295.30,9.84
3328.25,9.72
3361.53,9.61
3395.15,9.51
3429.10,9.41
3463.39,9.32
3498.03,9.23
3533.01,9.15
3568.34,9.07
3604.02,9.01
3640.06,8.95
3676.46,8.90
3713.22,8.87
3750.36,8.83
3787.86,8.82
3825.74,8.81
3864.00,8.79
3902.64,8.81
3941.66,8.84
3981.08,8.87
4020.89,8.91
4061.10,8.97
4101.71,9.04
4142.73,9.12
4184.15,9.22
4226.00,9.32
4268.26,9.43
4310.94,9.56
4354.05,9.70
4397.59,9.86
4441.56,10.03
4485.98,10.20
4530.84,10.39
4576.15,10.59
4621.91,10.79
4668.13,11.01
4714.81,11.22
4761.96,11.42
4809.58,11.61
4857.67,11.79
4906.25,11.91
4955.31,12.01
5004.87,12.10
5054.91,12.05
5105.46,12.00
5156.52,11.92
5208.08,11.67
5260.16,11.42
5312.77,11.13
5365.89,10.70
5419.55,10.28
5473.75,9.79
5528.49,9.24
5583.77,8.68
5639.61,8.09
5696.00,7.47
5752.96,6.86
5810.49,6.28
5868.60,5.85
5927.28,5.41
5986.56,4.98
6046.42,5.00
6106.89,5.14
6167.96,5.40
6229.64,5.93
6291.93,6.47
6354.85,6.91
6418.40,7.34
6482.58,7.76
6547.41,7.96
6612.88,8.08
6679.01,8.20
6745.80,8.24
6813.26,8.24
6881.39,8.23
6950.21,8.27
7019.71,8.33
7089.91,8.39
7160.81,8.57
7232.41,8.76
7304.74,8.97
7377.79,9.33
7451.56,9.69
7526.08,10.09
7601.34,10.54
7677.35,10.99
7754.13,11.44
7831.67,11.71
7909.98,11.98
7989.08,12.25
8068.98,12.07
8149.67,11.81
8231.16,11.56
8313.47,10.91
8396.61,10.14
8480.57,9.37
8565.38,8.43
8651.03,7.45
8737.54,6.46
8824.92,5.52
8913.17,4.58
9002.30,3.65
9092.32,2.87
9183.25,2.10
9275.08,1.36
9367.83,0.74
9461.51,0.12
9556.12,-0.41
9651.68,-0.88
9748.20,-1.36
9845.68,-1.71
9944.14,-2.06
10043.58,-2.36
10144.02,-2.58
10245.46,-2.80
10347.91,-2.95
10451.39,-3.03
10555.91,-3.10
10661.46,-3.09
10768.08,-3.00
10875.76,-2.92
10984.52,-2.69
11094.36,-2.41
11205.31,-2.12
11317.36,-1.61
11430.53,-1.09
11544.84,-0.48
11660.29,0.28
11776.89,1.04
11894.66,1.82
12013.60,2.61
12133.74,3.41
12255.08,3.99
12377.63,4.30
12501.41,4.62
12626.42,4.25
12752.68,3.89
12880.21,3.17
13009.01,2.24
13139.10,1.31
13270.49,0.34
13403.20,-0.65
13537.23,-1.65
13672.60,-2.48
13809.33,-3.15
13947.42,-3.83
14086.90,-4.20
14227.77,-4.38
14370.04,-4.57
14513.74,-4.70
14658.88,-4.30
14805.47,-3.91
14953.52,-3.52
15103.06,-2.98
15254.09,-2.37
15406.63,-1.77
15560.70,-1.41
15716.30,-1.43
15873.47,-1.45
16032.20,-1.65
16192.52,-2.53
