frequency,raw
20.00,3.99
20.20,4.04
20.40,4.09
20.61,4.14
20.81,4.20
21.02,4.25
21.23,4.30
21.44,4.35
21.66,4.39
21.87,4.44
22.09,4.48
22.31,4.52
22.54,4.55
22.76,4.58
22.99,4.61
23.22,4.63
23.45,4.65
23.69,4.68
23.92,4.70
24.16,4.73
24.40,4.76
24.65,4.81
24.89,4.85
25.14,4.89
25.39,4.92
25.65,4.95
25.91,4.98
26.16,4.99
26.43,5.00
26.69,5.02
26.96,5.03
27.23,5.05
27.50,5.07
27.77,5.09
28.05,5.11
28.33,5.12
28.62,5.14
28.90,5.15
29.19,5.16
29.48,5.16
29.78,5.17
30.08,5.18
30.38,5.18
30.68,5.19
30.99,5.19
31.30,5.20
31.61,5.21
31.93,5.21
32.24,5.22
32.57,5.23
32.89,5.23
33.22,5.23
33.55,5.23
33.89,5.22
34.23,5.21
34.57,5.20
34.92,5.20
35.27,5.20
35.62,5.19
35.97,5.20
36.33,5.20
36.70,5.19
37.06,5.19
37.43,5.18
37.81,5.17
38.19,5.15
38.57,5.14
38.95,5.14
39.34,5.14
39.74,5.13
40.14,5.13
40.54,5.11
40.94,5.09
41.35,5.07
41.76,5.05
42.18,5.02
42.60,5.00
43.03,4.98
43.46,4.97
43.90,4.95
44.33,4.93
44.78,4.91
45.23,4.89
45.68,4.87
46.13,4.84
46.60,4.81
47.06,4.78
47.53,4.75
48.01,4.72
48.49,4.69
48.97,4.67
49.46,4.65
49.96,4.62
50.46,4.60
50.96,4.58
51.47,4.56
51.99,4.54
52.51,4.52
53.03,4.49
53.56,4.46
54.10,4.43
54.64,4.40
55.18,4.36
55.74,4.32
56.29,4.29
56.86,4.26
57.42,4.23
58.00,4.19
58.58,4.16
59.16,4.13
59.76,4.10
60.35,4.06
60.96,4.03
61.57,3.99
62.18,3.95
62.80,3.90
63.43,3.86
64.07,3.82
64.71,3.78
65.35,3.74
66.01,3.70
66.67,3.66
67.33,3.62
68.01,3.58
68.69,3.55
69.37,3.51
70.07,3.46
70.77,3.42
71.48,3.38
72.19,3.33
72.91,3.29
73.64,3.24
74.38,3.20
75.12,3.16
75.87,3.11
76.63,3.07
77.40,3.03
78.17,2.99
78.95,2.94
79.74,2.90
80.54,2.86
81.35,2.81
82.16,2.77
82.98,2.72
83.81,2.68
84.65,2.63
85.50,2.59
86.35,2.54
87.22,2.50
88.09,2.45
88.97,2.41
89.86,2.36
90.76,2.31
91.66,2.27
92.58,2.22
93.51,2.17
94.44,2.13
95.39,2.08
96.34,2.04
97.30,1.99
98.28,1.95
99.26,1.91
100.25,1.86
101.25,1.82
102.27,1.77
103.29,1.73
104.32,1.68
105.37,1.64
106.42,1.59
107.48,1.55
108.56,1.51
109.64,1.46
110.74,1.42
111.85,1.37
112.97,1.33
114.10,1.29
115.24,1.25
116.39,1.21
117.55,1.17
118.73,1.13
119.92,1.09
121.12,1.05
122.33,1.00
123.55,0.96
124.79,0.92
126.03,0.88
127.29,0.83
128.57,0.79
129.85,0.75
131.15,0.71
132.46,0.67
133.79,0.62
135.12,0.58
136.48,0.54
137.84,0.50
139.22,0.45
140.61,0.41
142.02,0.38
143.44,0.34
144.87,0.30
146.32,0.26
147.78,0.23
149.26,0.19
150.75,0.16
152.26,0.12
153.78,0.09
155.32,0.05
156.88,0.02
158.44,-0.01
160.03,-0.04
161.63,-0.08
163.24,-0.11
164.88,-0.15
166.53,-0.18
168.19,-0.21
169.87,-0.25
171.57,-0.28
173.29,-0.31
175.02,-0.34
176.77,-0.37
178.54,-0.40
180.32,-0.43
182.13,-0.46
183.95,-0.49
185.79,-0.52
187.65,-0.55
189.52,-0.58
191.42,-0.60
193.33,-0.63
195.27,-0.66
197.22,-0.69
199.19,-0.72
201.18,-0.75
203.19,-0.77
205.23,-0.80
207.28,-0.83
209.35,-0.85
211.44,-0.88
213.56,-0.90
215.69,-0.93
217.85,-0.95
220.03,-0.98
222.23,-1.00
224.45,-1.02
226.70,-1.04
228.96,-1.06
231.25,-1.09
233.57,-1.11
235.90,-1.13
238.26,-1.15
240.64,-1.17
243.05,-1.19
245.48,-1.21
247.93,-1.23
250.41,-1.25
252.92,-1.27
255.45,-1.29
258.00,-1.30
260.58,-1.32
263.19,-1.34
265.82,-1.35
268.48,-1.37
271.16,-1.39
273.87,-1.41
276.61,-1.42
279.38,-1.44
282.17,-1.45
284.99,-1.47
287.84,-1.48
290.72,-1.50
293.63,-1.51
296.57,-1.53
299.53,-1.54
302.53,-1.55
305.55,-1.57
308.61,-1.58
311.69,-1.59
314.81,-1.60
317.96,-1.61
321.14,-1.63
324.35,-1.64
327.59,-1.65
330.87,-1.66
334.18,-1.67
337.52,-1.68
340.90,-1.69
344.30,-1.70
347.75,-1.71
351.23,-1.72
354.74,-1.73
358.28,-1.74
361.87,-1.75
365.49,-1.75
369.14,-1.76
372.83,-1.77
376.56,-1.78
380.33,-1.79
384.13,-1.79
387.97,-1.80
391.85,-1.81
395.77,-1.82
399.73,-1.83
403.72,-1.83
407.76,-1.84
411.84,-1.85
415.96,-1.85
420.12,-1.86
424.32,-1.87
428.56,-1.87
432.85,-1.88
437.18,-1.88
441.55,-1.88
445.96,-1.89
450.42,-1.89
454.93,-1.89
459.48,-1.89
464.07,-1.89
468.71,-1.90
473.40,-1.90
478.13,-1.90
482.91,-1.90
487.74,-1.90
492.62,-1.90
497.55,-1.90
502.52,-1.90
507.55,-1.90
512.62,-1.90
517.75,-1.90
522.93,-1.90
528.16,-1.90
533.44,-1.89
538.77,-1.89
544.16,-1.89
549.60,-1.89
555.10,-1.89
560.65,-1.89
566.25,-1.88
571.92,-1.88
577.64,-1.87
583.41,-1.87
589.25,-1.86
595.14,-1.85
601.09,-1.85
607.10,-1.84
613.17,-1.83
619.30,-1.83
625.50,-1.82
631.75,-1.81
638.07,-1.80
644.45,-1.80
650.89,-1.79
657.40,-1.78
663.98,-1.77
670.62,-1.76
677.32,-1.75
684.10,-1.74
690.94,-1.72
697.85,-1.71
704.83,-1.69
711.87,-1.68
718.99,-1.66
726.18,-1.64
733.44,-1.62
740.78,-1.60
748.19,-1.58
755.67,-1.56
763.23,-1.53
770.86,-1.51
778.57,-1.48
786.35,-1.45
794.22,-1.43
802.16,-1.40
810.18,-1.36
818.28,-1.33
826.46,-1.30
834.73,-1.25
843.08,-1.21
851.51,-1.17
860.02,-1.12
868.62,-1.06
877.31,-1.01
886.08,-0.95
894.94,-0.89
903.89,-0.83
912.93,-0.76
922.06,-0.69
931.28,-0.61
940.59,-0.53
950.00,-0.45
959.50,-0.37
969.09,-0.28
978.78,-0.19
988.57,-0.10
998.46,-0.01
1008.44,0.08
1018.53,0.17
1028.71,0.27
1039.00,0.37
1049.39,0.46
1059.88,0.56
1070.48,0.66
1081.19,0.76
1092.00,0.87
1102.92,0.97
1113.95,1.07
1125.09,1.17
1136.34,1.27
1147.70,1.37
1159.18,1.47
1170.77,1.57
1182.48,1.67
1194.30,1.76
1206.25,1.86
1218.31,1.96
1230.49,2.05
1242.80,2.15
1255.22,2.24
1267.78,2.33
1280.45,2.42
1293.26,2.51
1306.19,2.59
1319.25,2.68
1332.45,2.76
1345.77,2.85
1359.23,2.93
1372.82,3.02
1386.55,3.10
1400.41,3.18
1414.42,3.26
1428.56,3.34
1442.85,3.42
1457.28,3.50
1471.85,3.58
1486.57,3.66
1501.43,3.73
1516.45,3.81
1531.61,3.89
1546.93,3.96
1562.40,4.04
1578.02,4.12
1593.80,4.20
1609.74,4.28
1625.84,4.36
1642.10,4.44
1658.52,4.52
1675.10,4.60
1691.85,4.68
1708.77,4.76
1725.86,4.84
1743.12,4.92
1760.55,5.01
1778.15,5.09
1795.94,5.18
1813.90,5.27
1832.03,5.35
1850.36,5.44
1868.86,5.52
1887.55,5.61
1906.42,5.69
1925.49,5.78
1944.74,5.87
1964.19,5.96
1983.83,6.05
2003.67,6.14
2023.71,6.22
