frequency,raw
20.00,13.04
20.20,13.07
20.40,13.10
20.61,13.13
20.81,13.15
21.02,13.18
21.23,13.21
21.44,13.23
21.66,13.26
21.87,13.29
22.09,13.32
22.31,13.35
22.54,13.38
22.76,13.41
22.99,13.44
23.22,13.47
23.45,13.49
23.69,13.52
23.92,13.55
24.16,13.57
24.40,13.59
24.65,13.61
24.89,13.63
25.14,13.65
25.39,13.67
25.65,13.68
25.91,13.70
26.16,13.71
26.43,13.72
26.69,13.73
26.96,13.74
27.23,13.76
27.50,13.77
27.77,13.78
28.05,13.80
28.33,13.81
28.62,13.83
28.90,13.85
29.19,13.86
29.48,13.87
29.78,13.88
30.08,13.89
30.38,13.89
30.68,13.89
30.99,13.89
31.30,13.90
31.61,13.90
31.93,13.91
32.24,13.91
32.57,13.92
32.89,13.92
33.22,13.92
33.55,13.93
33.89,13.92
34.23,13.92
34.57,13.92
34.92,13.91
35.27,13.91
35.62,13.91
35.97,13.90
36.33,13.90
36.70,13.90
37.06,13.89
37.43,13.89
37.81,13.88
38.19,13.87
38.57,13.86
38.95,13.85
39.34,13.84
39.74,13.83
40.14,13.82
40.54,13.81
40.94,13.80
41.35,13.78
41.76,13.77
42.18,13.76
42.60,13.75
43.03,13.73
43.46,13.72
43.90,13.70
44.33,13.68
44.78,13.66
45.23,13.64
45.68,13.62
46.13,13.60
46.60,13.59
47.06,13.57
47.53,13.55
48.01,13.52
48.49,13.50
48.97,13.48
49.46,13.45
49.96,13.43
50.46,13.40
50.96,13.38
51.47,13.36
51.99,13.33
52.51,13.31
53.03,13.28
53.56,13.25
54.10,13.23
54.64,13.20
55.18,13.17
55.74,13.15
56.29,13.12
56.86,13.08
57.42,13.05
58.00,13.02
58.58,12.99
59.16,12.95
59.76,12.92
60.35,12.89
60.96,12.85
61.57,12.81
62.18,12.78
62.80,12.74
63.43,12.71
64.07,12.67
64.71,12.63
65.35,12.60
66.01,12.56
66.67,12.52
67.33,12.48
68.01,12.45
68.69,12.41
69.37,12.37
70.07,12.33
70.77,12.28
71.48,12.24
72.19,12.20
72.91,12.16
73.64,12.11
74.38,12.07
75.12,12.02
75.87,11.98
76.63,11.93
77.40,11.89
78.17,11.84
78.95,11.80
79.74,11.75
80.54,11.71
81.35,11.66
82.16,11.61
82.98,11.56
83.81,11.52
84.65,11.47
85.50,11.42
86.35,11.37
87.22,11.32
88.09,11.27
88.97,11.22
89.86,11.17
90.76,11.12
91.66,11.07
92.58,11.02
93.51,10.97
94.44,10.92
95.39,10.86
96.34,10.81
97.30,10.76
98.28,10.70
99.26,10.65
100.25,10.60
101.25,10.54
102.27,10.49
103.29,10.44
104.32,10.38
105.37,10.33
106.42,10.27
107.48,10.21
108.56,10.16
109.64,10.10
110.74,10.04
111.85,9.99
112.97,9.93
114.10,9.87
115.24,9.81
116.39,9.75
117.55,9.70
118.73,9.64
119.92,9.58
121.12,9.52
122.33,9.46
123.55,9.40
124.79,9.34
126.03,9.28
127.29,9.22
128.57,9.16
129.85,9.09
131.15,9.03
132.46,8.97
133.79,8.91
135.12,8.85
136.48,8.79
137.84,8.72
139.22,8.66
140.61,8.60
142.02,8.54
143.44,8.47
144.87,8.41
146.32,8.34
147.78,8.28
149.26,8.22
150.75,8.15
152.26,8.09
153.78,8.02
155.32,7.96
156.88,7.89
158.44,7.83
160.03,7.76
161.63,7.69
163.24,7.62
164.88,7.56
166.53,7.49
168.19,7.42
169.87,7.35
171.57,7.28
173.29,7.21
175.02,7.14
176.77,7.06
178.54,6.99
180.32,6.92
182.13,6.86
183.95,6.79
185.79,6.73
187.65,6.68
189.52,6.62
191.42,6.58
193.33,6.53
195.27,6.49
197.22,6.44
199.19,6.39
201.18,6.34
203.19,6.29
205.23,6.24
207.28,6.19
209.35,6.13
211.44,6.08
213.56,6.02
215.69,5.96
217.85,5.90
220.03,5.83
222.23,5.77
224.45,5.71
226.70,5.64
228.96,5.58
231.25,5.51
233.57,5.45
235.90,5.39
238.26,5.32
240.64,5.26
243.05,5.19
245.48,5.13
247.93,5.06
250.41,5.00
252.92,4.93
255.45,4.86
258.00,4.80
260.58,4.73
263.19,4.66
265.82,4.60
268.48,4.53
271.16,4.46
273.87,4.40
276.61,4.33
279.38,4.27
282.17,4.20
284.99,4.13
287.84,4.07
290.72,4.00
293.63,3.94
296.57,3.87
299.53,3.81
302.53,3.74
305.55,3.68
308.61,3.62
311.69,3.55
314.81,3.49
317.96,3.43
321.14,3.37
324.35,3.31
327.59,3.26
330.87,3.20
334.18,3.14
337.52,3.09
340.90,3.03
344.30,2.97
347.75,2.91
351.23,2.86
354.74,2.80
358.28,2.74
361.87,2.68
365.49,2.62
369.14,2.56
372.83,2.50
376.56,2.45
380.33,2.39
384.13,2.33
387.97,2.27
391.85,2.21
395.77,2.16
399.73,2.10
403.72,2.04
407.76,1.99
411.84,1.93
415.96,1.88
420.12,1.82
424.32,1.77
428.56,1.71
432.85,1.66
437.18,1.60
441.55,1.55
445.96,1.50
450.42,1.45
454.93,1.39
459.48,1.34
464.07,1.29
468.71,1.24
473.40,1.19
478.13,1.14
482.91,1.09
487.74,1.05
492.62,1.00
497.55,0.95
502.52,0.90
507.55,0.86
512.62,0.81
517.75,0.77
522.93,0.72
528.16,0.68
533.44,0.63
538.77,0.59
544.16,0.54
549.60,0.50
555.10,0.46
560.65,0.42
566.25,0.38
571.92,0.34
577.64,0.30
583.41,0.26
589.25,0.22
595.14,0.18
601.09,0.14
607.10,0.11
613.17,0.07
619.30,0.03
625.50,-0.00
631.75,-0.03
638.07,-0.07
644.45,-0.10
650.89,-0.13
657.40,-0.16
663.98,-0.19
670.62,-0.22
677.32,-0.25
684.10,-0.27
690.94,-0.30
697.85,-0.32
