frequency,raw
20.00,8.81
20.20,8.81
20.40,8.82
20.61,8.82
20.81,8.82
21.02,8.82
21.23,8.82
21.44,8.82
21.66,8.83
21.87,8.83
22.09,8.83
22.31,8.83
22.54,8.82
22.76,8.82
22.99,8.82
23.22,8.82
23.45,8.81
23.69,8.81
23.92,8.81
24.16,8.80
24.40,8.80
24.65,8.79
24.89,8.79
25.14,8.78
25.39,8.78
25.65,8.77
25.91,8.76
26.16,8.76
26.43,8.75
26.69,8.74
26.96,8.74
27.23,8.73
27.50,8.72
27.77,8.71
28.05,8.70
28.33,8.69
28.62,8.68
28.90,8.67
29.19,8.66
29.48,8.65
29.78,8.63
30.08,8.62
30.38,8.61
30.68,8.59
30.99,8.58
31.30,8.56
31.61,8.55
31.93,8.53
32.24,8.52
32.57,8.50
32.89,8.48
33.22,8.47
33.55,8.45
33.89,8.44
34.23,8.42
34.57,8.40
34.92,8.38
35.27,8.36
35.62,8.35
35.97,8.32
36.33,8.30
36.70,8.28
37.06,8.26
37.43,8.24
37.81,8.21
38.19,8.19
38.57,8.17
38.95,8.15
39.34,8.13
39.74,8.10
40.14,8.08
40.54,8.05
40.94,8.03
41.35,8.00
41.76,7.97
42.18,7.95
42.60,7.92
43.03,7.89
43.46,7.86
43.90,7.83
44.33,7.81
44.78,7.78
45.23,7.75
45.68,7.72
46.13,7.69
46.60,7.66
47.06,7.63
47.53,7.60
48.01,7.57
48.49,7.54
48.97,7.51
49.46,7.48
49.96,7.44
50.46,7.41
50.96,7.38
51.47,7.34
51.99,7.31
52.51,7.27
53.03,7.24
53.56,7.20
54.10,7.17
54.64,7.13
55.18,7.09
55.74,7.06
56.29,7.02
56.86,6.98
57.42,6.95
58.00,6.91
58.58,6.87
59.16,6.83
59.76,6.79
60.35,6.75
60.96,6.71
61.57,6.67
62.18,6.63
62.80,6.59
63.43,6.55
64.07,6.51
64.71,6.47
65.35,6.43
66.01,6.39
66.67,6.35
67.33,6.30
68.01,6.26
68.69,6.22
69.37,6.18
70.07,6.13
70.77,6.09
71.48,6.04
72.19,5.99
72.91,5.94
73.64,5.89
74.38,5.83
75.12,5.78
75.87,5.72
76.63,5.67
77.40,5.62
78.17,5.58
78.95,5.54
79.74,5.51
80.54,5.47
81.35,5.42
82.16,5.38
82.98,5.33
83.81,5.29
84.65,5.24
85.50,5.20
86.35,5.15
87.22,5.11
88.09,5.06
88.97,5.02
89.86,4.97
90.76,4.92
91.66,4.86
92.58,4.81
93.51,4.75
94.44,4.70
95.39,4.64
96.34,4.59
97.30,4.54
98.28,4.48
99.26,4.43
100.25,4.38
101.25,4.33
102.27,4.27
103.29,4.22
104.32,4.17
