frequency,raw
20.00,-1.32
20.20,-1.26
20.40,-1.21
20.61,-1.16
20.81,-1.11
21.02,-1.06
21.23,-1.01
21.44,-0.95
21.66,-0.90
21.87,-0.85
22.09,-0.80
22.31,-0.75
22.54,-0.70
22.76,-0.65
22.99,-0.60
23.22,-0.55
23.45,-0.51
23.69,-0.46
23.92,-0.41
24.16,-0.36
24.40,-0.31
24.65,-0.26
24.89,-0.22
25.14,-0.17
25.39,-0.12
25.65,-0.08
25.91,-0.03
26.16,0.01
26.43,0.06
26.69,0.10
26.96,0.15
27.23,0.19
27.50,0.23
27.77,0.27
28.05,0.32
28.33,0.36
28.62,0.40
28.90,0.44
29.19,0.48
29.48,0.52
29.78,0.56
30.08,0.60
30.38,0.64
30.68,0.68
30.99,0.72
31.30,0.75
31.61,0.79
31.93,0.83
32.24,0.87
32.57,0.90
32.89,0.94
33.22,0.98
33.55,1.01
33.89,1.05
34.23,1.08
34.57,1.12
34.92,1.15
35.27,1.19
35.62,1.22
35.97,1.25
36.33,1.29
36.70,1.32
37.06,1.35
37.43,1.39
37.81,1.42
38.19,1.45
38.57,1.48
38.95,1.52
39.34,1.55
39.74,1.58
40.14,1.61
40.54,1.64
40.94,1.67
41.35,1.70
41.76,1.73
42.18,1.76
42.60,1.79
43.03,1.82
43.46,1.84
43.90,1.87
44.33,1.90
44.78,1.93
45.23,1.96
45.68,1.99
46.13,2.01
46.60,2.04
47.06,2.07
47.53,2.10
48.01,2.13
48.49,2.15
48.97,2.18
49.46,2.21
49.96,2.23
50.46,2.26
50.96,2.29
51.47,2.31
51.99,2.34
52.51,2.36
53.03,2.39
53.56,2.41
54.10,2.44
54.64,2.46
55.18,2.49
55.74,2.51
56.29,2.53
56.86,2.56
57.42,2.58
58.00,2.60
58.58,2.62
59.16,2.64
59.76,2.66
60.35,2.69
60.96,2.71
61.57,2.74
62.18,2.77
62.80,2.79
63.43,2.81
64.07,2.84
64.71,2.86
65.35,2.88
66.01,2.90
66.67,2.93
67.33,2.95
68.01,2.97
68.69,2.99
69.37,3.01
70.07,3.03
70.77,3.05
71.48,3.07
72.19,3.10
72.91,3.12
73.64,3.14
74.38,3.16
75.12,3.18
75.87,3.20
76.63,3.22
77.40,3.23
78.17,3.25
78.95,3.27
79.74,3.29
80.54,3.31
81.35,3.33
82.16,3.35
82.98,3.37
83.81,3.38
84.65,3.40
85.50,3.42
86.35,3.43
87.22,3.45
88.09,3.47
88.97,3.48
89.86,3.50
90.76,3.51
91.66,3.53
92.58,3.54
93.51,3.56
94.44,3.57
95.39,3.58
96.34,3.60
97.30,3.61
98.28,3.63
99.26,3.64
100.25,3.65
101.25,3.67
102.27,3.68
103.29,3.69
104.32,3.70
105.37,3.71
106.42,3.72
107.48,3.73
108.56,3.74
109.64,3.75
110.74,3.76
111.85,3.77
112.97,3.77
114.10,3.78
115.24,3.78
116.39,3.78
117.55,3.78
118.73,3.78
119.92,3.79
121.12,3.79
122.33,3.79
123.55,3.80
124.79,3.81
126.03,3.81
127.29,3.81
128.57,3.81
129.85,3.80
131.15,3.80
132.46,3.80
133.79,3.79
135.12,3.78
136.48,3.78
137.84,3.77
139.22,3.76
140.61,3.75
142.02,3.74
143.44,3.73
144.87,3.73
146.32,3.72
147.78,3.72
149.26,3.72
150.75,3.72
152.26,3.73
153.78,3.73
155.32,3.74
156.88,3.74
158.44,3.74
160.03,3.74
161.63,3.73
163.24,3.72
164.88,3.70
166.53,3.68
168.19,3.66
169.87,3.64
171.57,3.62
173.29,3.59
175.02,3.56
176.77,3.54
178.54,3.51
180.32,3.48
182.13,3.45
183.95,3.42
185.79,3.39
187.65,3.36
189.52,3.33
191.42,3.30
193.33,3.27
195.27,3.24
197.22,3.21
199.19,3.17
201.18,3.14
203.19,3.10
205.23,3.06
207.28,3.02
209.35,2.98
211.44,2.94
213.56,2.89
215.69,2.85
217.85,2.80
220.03,2.75
222.23,2.70
224.45,2.65
226.70,2.60
228.96,2.55
231.25,2.50
233.57,2.45
235.90,2.40
238.26,2.34
240.64,2.29
243.05,2.23
245.48,2.18
247.93,2.12
250.41,2.07
252.92,2.01
255.45,1.96
258.00,1.90
260.58,1.84
