frequency,raw
20.00,4.03
20.20,4.08
20.40,4.13
20.61,4.17
20.81,4.22
21.02,4.27
21.23,4.32
21.44,4.37
21.66,4.41
21.87,4.46
22.09,4.51
22.31,4.56
22.54,4.60
22.76,4.65
22.99,4.69
23.22,4.74
23.45,4.78
23.69,4.83
23.92,4.87
24.16,4.92
24.40,4.96
24.65,5.00
24.89,5.04
25.14,5.08
25.39,5.12
25.65,5.16
25.91,5.21
26.16,5.25
26.43,5.29
26.69,5.33
26.96,5.37
27.23,5.41
27.50,5.44
27.77,5.48
28.05,5.51
28.33,5.55
28.62,5.58
28.90,5.62
29.19,5.65
29.48,5.69
29.78,5.72
30.08,5.75
30.38,5.79
30.68,5.82
30.99,5.85
31.30,5.88
31.61,5.91
31.93,5.94
32.24,5.97
32.57,5.99
32.89,6.02
33.22,6.05
33.55,6.08
33.89,6.10
34.23,6.13
34.57,6.16
34.92,6.18
35.27,6.21
35.62,6.23
35.97,6.26
36.33,6.28
36.70,6.31
37.06,6.33
37.43,6.35
37.81,6.37
38.19,6.39
38.57,6.41
38.95,6.43
39.34,6.45
39.74,6.47
40.14,6.49
40.54,6.51
40.94,6.53
41.35,6.55
41.76,6.57
42.18,6.58
42.60,6.60
43.03,6.62
43.46,6.63
43.90,6.65
44.33,6.66
44.78,6.68
45.23,6.69
45.68,6.70
46.13,6.72
46.60,6.73
47.06,6.74
47.53,6.76
48.01,6.77
48.49,6.78
48.97,6.79
49.46,6.80
49.96,6.81
50.46,6.82
50.96,6.83
51.47,6.84
51.99,6.84
52.51,6.85
53.03,6.86
53.56,6.87
54.10,6.87
54.64,6.88
55.18,6.89
55.74,6.89
56.29,6.90
56.86,6.90
57.42,6.90
58.00,6.91
58.58,6.91
59.16,6.91
59.76,6.91
60.35,6.92
60.96,6.92
61.57,6.92
62.18,6.92
62.80,6.92
63.43,6.92
64.07,6.92
64.71,6.92
65.35,6.92
66.01,6.91
66.67,6.91
67.33,6.91
68.01,6.91
68.69,6.90
69.37,6.90
70.07,6.89
70.77,6.89
71.48,6.88
72.19,6.88
72.91,6.87
73.64,6.86
74.38,6.86
75.12,6.85
75.87,6.84
76.63,6.83
77.40,6.82
78.17,6.81
78.95,6.80
79.74,6.79
80.54,6.78
81.35,6.77
82.16,6.76
82.98,6.75
83.81,6.73
84.65,6.72
85.50,6.70
86.35,6.69
87.22,6.67
88.09,6.66
88.97,6.64
89.86,6.62
90.76,6.61
91.66,6.59
92.58,6.57
93.51,6.55
94.44,6.53
95.39,6.51
96.34,6.49
97.30,6.47
98.28,6.44
99.26,6.42
100.25,6.40
101.25,6.37
102.27,6.35
103.29,6.32
104.32,6.29
105.37,6.27
106.42,6.24
107.48,6.21
108.56,6.18
109.64,6.15
110.74,6.12
111.85,6.09
112.97,6.05
114.10,6.02
115.24,5.99
116.39,5.95
117.55,5.91
118.73,5.87
119.92,5.84
121.12,5.80
122.33,5.76
123.55,5.72
124.79,5.68
126.03,5.64
127.29,5.60
128.57,5.56
129.85,5.51
131.15,5.47
132.46,5.42
133.79,5.37
135.12,5.32
136.48,5.28
137.84,5.23
139.22,5.18
140.61,5.13
142.02,5.09
143.44,5.04
144.87,4.99
146.32,4.95
147.78,4.90
149.26,4.86
150.75,4.81
152.26,4.77
153.78,4.72
155.32,4.67
156.88,4.61
158.44,4.56
160.03,4.51
161.63,4.44
163.24,4.38
164.88,4.32
166.53,4.26
168.19,4.19
169.87,4.12
171.57,4.05
173.29,3.98
175.02,3.92
176.77,3.85
178.54,3.78
180.32,3.71
182.13,3.64
183.95,3.57
185.79,3.50
187.65,3.44
189.52,3.37
191.42,3.30
193.33,3.23
195.27,3.15
197.22,3.08
199.19,3.00
201.18,2.92
203.19,2.84
205.23,2.76
207.28,2.67
209.35,2.59
211.44,2.51
213.56,2.42
215.69,2.33
217.85,2.25
220.03,2.16
222.23,2.08
224.45,1.99
226.70,1.90
228.96,1.81
231.25,1.73
233.57,1.64
235.90,1.55
238.26,1.47
240.64,1.38
243.05,1.30
245.48,1.21
247.93,1.13
250.41,1.04
252.92,0.96
255.45,0.88
258.00,0.79
260.58,0.71
263.19,0.64
265.82,0.56
268.48,0.48
271.16,0.40
273.87,0.33
276.61,0.25
279.38,0.18
282.17,0.11
284.99,0.04
287.84,-0.02
290.72,-0.09
293.63,-0.15
296.57,-0.21
299.53,-0.27
302.53,-0.33
305.55,-0.38
308.61,-0.43
311.69,-0.48
314.81,-0.53
317.96,-0.58
321.14,-0.62
324.35,-0.67
327.59,-0.70
330.87,-0.74
334.18,-0.78
337.52,-0.81
340.90,-0.84
344.30,-0.87
347.75,-0.89
351.23,-0.92
354.74,-0.94
358.28,-0.96
361.87,-0.98
365.49,-0.99
369.14,-1.01
372.83,-1.02
376.56,-1.03
380.33,-1.04
384.13,-1.04
387.97,-1.05
391.85,-1.05
395.77,-1.06
399.73,-1.06
403.72,-1.06
407.76,-1.06
411.84,-1.06
415.96,-1.06
420.12,-1.06
424.32,-1.05
428.56,-1.05
432.85,-1.05
437.18,-1.04
441.55,-1.04
445.96,-1.03
450.42,-1.02
454.93,-1.02
459.48,-1.01
464.07,-1.01
468.71,-1.00
473.40,-0.99
478.13,-0.99
482.91,-0.98
487.74,-0.98
492.62,-0.97
497.55,-0.97
502.52,-0.96
507.55,-0.95
512.62,-0.95
517.75,-0.94
522.93,-0.94
528.16,-0.93
533.44,-0.93
538.77,-0.92
544.16,-0.92
549.60,-0.91
555.10,-0.91
560.65,-0.91
566.25,-0.90
571.92,-0.90
577.64,-0.90
583.41,-0.89
589.25,-0.89
595.14,-0.89
601.09,-0.89
607.10,-0.89
613.17,-0.88
619.30,-0.88
625.50,-0.88
631.75,-0.88
638.07,-0.88
644.45,-0.88
650.89,-0.88
657.40,-0.88
663.98,-0.87
670.62,-0.87
677.32,-0.87
684.10,-0.87
