frequency,raw
20.00,-4.09
20.20,-4.03
20.40,-3.96
20.61,-3.89
20.81,-3.81
21.02,-3.72
21.23,-3.64
21.44,-3.55
21.66,-3.46
21.87,-3.38
22.09,-3.31
22.31,-3.24
22.54,-3.16
22.76,-3.10
22.99,-3.03
23.22,-2.95
23.45,-2.88
23.69,-2.80
23.92,-2.72
24.16,-2.64
24.40,-2.57
24.65,-2.50
24.89,-2.43
25.14,-2.37
25.39,-2.31
25.65,-2.25
25.91,-2.20
26.16,-2.14
26.43,-2.09
26.69,-2.04
26.96,-1.98
27.23,-1.93
27.50,-1.88
27.77,-1.82
28.05,-1.77
28.33,-1.71
28.62,-1.65
28.90,-1.60
29.19,-1.53
29.48,-1.47
29.78,-1.41
30.08,-1.34
30.38,-1.28
30.68,-1.22
30.99,-1.17
31.30,-1.12
31.61,-1.07
31.93,-1.04
32.24,-1.00
32.57,-0.95
32.89,-0.90
33.22,-0.84
33.55,-0.78
33.89,-0.71
34.23,-0.65
34.57,-0.59
34.92,-0.54
35.27,-0.50
35.62,-0.45
35.97,-0.40
36.33,-0.35
36.70,-0.31
37.06,-0.26
37.43,-0.21
37.81,-0.17
38.19,-0.12
38.57,-0.08
38.95,-0.03
39.34,0.01
39.74,0.06
40.14,0.11
40.54,0.16
40.94,0.21
41.35,0.26
41.76,0.30
42.18,0.35
42.60,0.39
43.03,0.42
43.46,0.46
43.90,0.49
44.33,0.52
44.78,0.55
45.23,0.58
45.68,0.62
46.13,0.65
46.60,0.68
47.06,0.72
47.53,0.76
48.01,0.79
48.49,0.82
48.97,0.85
49.46,0.88
49.96,0.92
50.46,0.94
50.96,0.97
51.47,0.99
51.99,1.01
52.51,1.02
53.03,1.04
53.56,1.05
54.10,1.07
54.64,1.08
55.18,1.11
55.74,1.14
56.29,1.17
56.86,1.20
57.42,1.23
58.00,1.26
58.58,1.28
59.16,1.30
59.76,1.31
60.35,1.33
60.96,1.35
61.57,1.37
62.18,1.38
62.80,1.40
63.43,1.40
64.07,1.40
64.71,1.40
65.35,1.41
66.01,1.41
66.67,1.41
67.33,1.42
68.01,1.43
68.69,1.45
69.37,1.46
70.07,1.47
70.77,1.48
71.48,1.49
72.19,1.50
72.91,1.50
73.64,1.51
74.38,1.51
75.12,1.51
75.87,1.51
76.63,1.51
77.40,1.52
78.17,1.51
78.95,1.51
79.74,1.51
80.54,1.51
81.35,1.50
82.16,1.49
82.98,1.48
83.81,1.48
84.65,1.47
85.50,1.46
86.35,1.46
87.22,1.45
88.09,1.44
88.97,1.43
89.86,1.42
90.76,1.40
91.66,1.39
92.58,1.38
93.51,1.37
94.44,1.36
95.39,1.35
96.34,1.34
97.30,1.33
98.28,1.31
99.26,1.30
100.25,1.28
101.25,1.27
102.27,1.25
103.29,1.23
104.32,1.21
105.37,1.19
106.42,1.17
107.48,1.15
108.56,1.12
109.64,1.10
110.74,1.08
111.85,1.05
112.97,1.03
114.10,1.00
115.24,0.98
116.39,0.95
117.55,0.93
118.73,0.90
119.92,0.87
121.12,0.85
122.33,0.82
123.55,0.79
124.79,0.77
126.03,0.74
127.29,0.72
128.57,0.69
129.85,0.66
131.15,0.64
132.46,0.61
133.79,0.57
135.12,0.54
136.48,0.51
137.84,0.48
139.22,0.44
140.61,0.41
142.02,0.37
143.44,0.33
144.87,0.30
146.32,0.26
147.78,0.22
149.26,0.18
150.75,0.14
152.26,0.10
153.78,0.07
155.32,0.03
156.88,-0.00
158.44,-0.04
160.03,-0.07
161.63,-0.09
163.24,-0.10
164.88,-0.12
166.53,-0.14
168.19,-0.15
169.87,-0.17
171.57,-0.20
173.29,-0.22
175.02,-0.25
