frequency,raw
20.00,-0.41
20.20,-0.35
20.40,-0.28
20.61,-0.22
20.81,-0.15
21.02,-0.08
21.23,-0.02
21.44,0.05
21.66,0.12
21.87,0.18
22.09,0.24
22.31,0.30
22.54,0.36
22.76,0.41
22.99,0.47
23.22,0.52
23.45,0.57
23.69,0.62
23.92,0.68
24.16,0.73
24.40,0.79
24.65,0.85
24.89,0.90
25.14,0.96
25.39,1.02
25.65,1.08
25.91,1.14
26.16,1.20
26.43,1.25
26.69,1.29
26.96,1.34
27.23,1.38
27.50,1.42
27.77,1.46
28.05,1.50
28.33,1.54
28.62,1.58
28.90,1.62
29.19,1.66
29.48,1.70
29.78,1.74
30.08,1.78
30.38,1.81
30.68,1.85
30.99,1.89
31.30,1.93
31.61,1.98
31.93,2.01
32.24,2.05
32.57,2.09
32.89,2.13
33.22,2.16
33.55,2.20
33.89,2.23
34.23,2.26
34.57,2.30
34.92,2.33
35.27,2.35
35.62,2.38
35.97,2.42
36.33,2.45
36.70,2.48
37.06,2.52
37.43,2.55
37.81,2.57
38.19,2.60
38.57,2.62
38.95,2.64
39.34,2.66
39.74,2.69
40.14,2.71
40.54,2.74
40.94,2.76
41.35,2.79
41.76,2.81
42.18,2.83
42.60,2.86
43.03,2.87
43.46,2.89
43.90,2.91
44.33,2.92
44.78,2.94
45.23,2.95
45.68,2.97
46.13,2.98
46.60,3.00
47.06,3.01
47.53,3.02
48.01,3.04
48.49,3.05
48.97,3.06
49.46,3.07
49.96,3.09
50.46,3.10
50.96,3.11
51.47,3.12
51.99,3.13
52.51,3.13
53.03,3.14
53.56,3.15
54.10,3.15
54.64,3.15
55.18,3.16
55.74,3.16
56.29,3.16
56.86,3.16
57.42,3.17
58.00,3.17
58.58,3.17
59.16,3.17
59.76,3.17
60.35,3.17
60.96,3.17
61.57,3.17
62.18,3.17
62.80,3.16
63.43,3.16
64.07,3.16
64.71,3.15
65.35,3.15
66.01,3.14
66.67,3.13
67.33,3.12
68.01,3.11
68.69,3.10
69.37,3.09
70.07,3.08
70.77,3.07
71.48,3.06
72.19,3.05
72.91,3.04
73.64,3.03
74.38,3.03
75.12,3.02
75.87,3.00
76.63,2.98
77.40,2.97
78.17,2.95
78.95,2.93
79.74,2.91
80.54,2.90
81.35,2.88
82.16,2.86
82.98,2.85
83.81,2.83
84.65,2.81
85.50,2.79
86.35,2.77
87.22,2.75
88.09,2.73
88.97,2.71
89.86,2.68
90.76,2.66
91.66,2.64
92.58,2.61
93.51,2.59
94.44,2.57
95.39,2.54
96.34,2.52
97.30,2.49
98.28,2.46
99.26,2.44
100.25,2.41
101.25,2.38
102.27,2.35
103.29,2.32
104.32,2.29
105.37,2.26
106.42,2.23
107.48,2.20
108.56,2.17
109.64,2.14
110.74,2.11
111.85,2.08
112.97,2.05
114.10,2.01
115.24,1.98
116.39,1.94
117.55,1.91
118.73,1.87
119.92,1.83
121.12,1.80
122.33,1.76
123.55,1.73
124.79,1.70
126.03,1.66
127.29,1.62
128.57,1.58
129.85,1.54
131.15,1.50
132.46,1.46
133.79,1.42
135.12,1.38
136.48,1.34
137.84,1.29
139.22,1.25
140.61,1.21
142.02,1.17
143.44,1.13
144.87,1.09
146.32,1.06
147.78,1.03
149.26,1.00
150.75,0.98
152.26,0.95
153.78,0.93
155.32,0.91
156.88,0.88
158.44,0.85
160.03,0.82
161.63,0.78
163.24,0.74
164.88,0.71
166.53,0.67
168.19,0.63
169.87,0.59
171.57,0.55
173.29,0.51
175.02,0.47
176.77,0.43
178.54,0.39
180.32,0.34
182.13,0.31
183.95,0.27
185.79,0.23
187.65,0.19
189.52,0.15
191.42,0.12
193.33,0.08
195.27,0.04
197.22,0.00
199.19,-0.03
201.18,-0.07
203.19,-0.11
205.23,-0.14
207.28,-0.18
209.35,-0.22
211.44,-0.26
213.56,-0.30
215.69,-0.34
217.85,-0.38
220.03,-0.42
222.23,-0.46
224.45,-0.50
226.70,-0.54
228.96,-0.58
231.25,-0.62
233.57,-0.67
235.90,-0.71
238.26,-0.75
240.64,-0.79
243.05,-0.83
245.48,-0.87
247.93,-0.90
250.41,-0.94
252.92,-0.98
255.45,-1.02
258.00,-1.06
260.58,-1.10
263.19,-1.14
265.82,-1.17
268.48,-1.21
271.16,-1.24
273.87,-1.28
276.61,-1.31
279.38,-1.35
282.17,-1.38
284.99,-1.41
287.84,-1.45
290.72,-1.48
293.63,-1.51
296.57,-1.54
299.53,-1.57
302.53,-1.60
305.55,-1.63
308.61,-1.66
311.69,-1.69
314.81,-1.72
317.96,-1.75
321.14,-1.78
324.35,-1.81
327.59,-1.84
330.87,-1.87
334.18,-1.89
337.52,-1.92
340.90,-1.95
344.30,-1.97
347.75,-2.00
351.23,-2.03
354.74,-2.05
358.28,-2.07
361.87,-2.10
365.49,-2.12
369.14,-2.14
372.83,-2.16
376.56,-2.18
380.33,-2.20
384.13,-2.22
387.97,-2.24
391.85,-2.26
395.77,-2.28
399.73,-2.30
403.72,-2.32
407.76,-2.33
411.84,-2.35
415.96,-2.37
420.12,-2.38
424.32,-2.40
428.56,-2.41
432.85,-2.42
437.18,-2.43
441.55,-2.45
445.96,-2.46
450.42,-2.47
454.93,-2.48
459.48,-2.49
464.07,-2.50
468.71,-2.51
473.40,-2.52
478.13,-2.52
482.91,-2.53
487.74,-2.54
492.62,-2.54
497.55,-2.55
502.52,-2.55
507.55,-2.55
512.62,-2.56
517.75,-2.56
522.93,-2.56
528.16,-2.56
533.44,-2.56
538.77,-2.56
544.16,-2.56
549.60,-2.56
555.10,-2.55
560.65,-2.55
566.25,-2.54
571.92,-2.54
577.64,-2.53
583.41,-2.53
589.25,-2.52
595.14,-2.51
601.09,-2.50
607.10,-2.49
613.17,-2.48
619.30,-2.46
625.50,-2.45
631.75,-2.43
638.07,-2.42
644.45,-2.40
650.89,-2.39
657.40,-2.37
663.98,-2.35
670.62,-2.33
677.32,-2.31
684.10,-2.29
690.94,-2.27
697.85,-2.24
704.83,-2.22
711.87,-2.19
718.99,-2.16
726.18,-2.12
733.44,-2.09
740.78,-2.05
748.19,-2.02
755.67,-1.98
763.23,-1.94
770.86,-1.90
778.57,-1.85
786.35,-1.81
794.22,-1.76
802.16,-1.72
810.18,-1.66
818.28,-1.61
826.46,-1.56
834.73,-1.50
843.08,-1.44
851.51,-1.38
860.02,-1.31
868.62,-1.24
877.31,-1.17
886.08,-1.10
894.94,-1.02
903.89,-0.94
912.93,-0.86
922.06,-0.78
931.28,-0.69
940.59,-0.60
950.00,-0.51
959.50,-0.42
969.09,-0.32
978.78,-0.22
988.57,-0.12
998.46,-0.02
1008.44,0.09
1018.53,0.20
1028.71,0.31
1039.00,0.42
1049.39,0.53
1059.88,0.65
1070.48,0.76
1081.19,0.88
1092.00,1.00
1102.92,1.12
1113.95,1.25
