frequency,raw
20.00,8.43
20.20,8.45
20.40,8.48
20.61,8.50
20.81,8.52
21.02,8.53
21.23,8.55
21.44,8.57
21.66,8.58
21.87,8.59
22.09,8.60
22.31,8.61
22.54,8.62
22.76,8.63
22.99,8.64
23.22,8.65
23.45,8.65
23.69,8.66
23.92,8.67
24.16,8.68
24.40,8.68
24.65,8.69
24.89,8.70
25.14,8.72
25.39,8.73
25.65,8.74
25.91,8.75
26.16,8.76
26.43,8.77
26.69,8.78
26.96,8.79
27.23,8.80
27.50,8.81
27.77,8.81
28.05,8.82
28.33,8.82
28.62,8.82
28.90,8.82
29.19,8.82
29.48,8.82
29.78,8.82
30.08,8.82
30.38,8.82
30.68,8.82
30.99,8.82
31.30,8.82
31.61,8.81
31.93,8.81
32.24,8.80
32.57,8.79
32.89,8.79
33.22,8.78
33.55,8.77
33.89,8.76
34.23,8.75
34.57,8.74
34.92,8.73
35.27,8.72
35.62,8.71
35.97,8.70
36.33,8.69
36.70,8.68
37.06,8.67
37.43,8.66
37.81,8.65
38.19,8.64
38.57,8.63
38.95,8.62
39.34,8.61
39.74,8.60
40.14,8.59
40.54,8.57
40.94,8.56
41.35,8.55
41.76,8.53
42.18,8.52
42.60,8.50
43.03,8.49
43.46,8.47
43.90,8.45
44.33,8.43
44.78,8.41
45.23,8.39
45.68,8.37
46.13,8.35
46.60,8.33
47.06,8.31
47.53,8.29
48.01,8.27
48.49,8.25
48.97,8.23
49.46,8.20
49.96,8.18
50.46,8.16
50.96,8.14
51.47,8.12
51.99,8.10
52.51,8.07
53.03,8.05
53.56,8.02
54.10,7.99
54.64,7.96
55.18,7.94
55.74,7.91
56.29,7.88
56.86,7.85
57.42,7.82
58.00,7.79
58.58,7.76
59.16,7.73
59.76,7.71
60.35,7.68
60.96,7.65
61.57,7.62
62.18,7.59
62.80,7.55
63.43,7.52
64.07,7.49
64.71,7.45
65.35,7.42
66.01,7.39
66.67,7.35
67.33,7.32
68.01,7.29
68.69,7.25
69.37,7.22
70.07,7.18
70.77,7.15
71.48,7.11
72.19,7.07
72.91,7.04
73.64,7.00
74.38,6.96
75.12,6.92
75.87,6.88
76.63,6.84
77.40,6.80
78.17,6.76
78.95,6.72
79.74,6.68
80.54,6.64
81.35,6.60
82.16,6.56
82.98,6.52
83.81,6.47
84.65,6.43
85.50,6.39
86.35,6.35
87.22,6.31
88.09,6.27
88.97,6.23
89.86,6.18
90.76,6.14
91.66,6.10
92.58,6.05
93.51,6.01
94.44,5.96
95.39,5.92
96.34,5.87
97.30,5.83
98.28,5.78
99.26,5.74
100.25,5.69
101.25,5.64
102.27,5.60
103.29,5.55
104.32,5.50
105.37,5.46
106.42,5.41
107.48,5.37
108.56,5.32
109.64,5.27
110.74,5.23
111.85,5.18
112.97,5.13
114.10,5.08
115.24,5.04
116.39,4.99
117.55,4.94
118.73,4.89
119.92,4.84
121.12,4.80
122.33,4.75
123.55,4.69
124.79,4.64
126.03,4.59
127.29,4.54
128.57,4.49
129.85,4.43
131.15,4.38
132.46,4.33
133.79,4.28
135.12,4.22
136.48,4.17
137.84,4.12
139.22,4.07
140.61,4.02
142.02,3.97
143.44,3.92
144.87,3.87
146.32,3.82
147.78,3.77
149.26,3.72
150.75,3.66
152.26,3.61
153.78,3.56
155.32,3.51
156.88,3.45
158.44,3.40
160.03,3.35
161.63,3.29
163.24,3.24
164.88,3.19
166.53,3.14
168.19,3.08
169.87,3.03
171.57,2.98
173.29,2.92
175.02,2.87
176.77,2.82
178.54,2.76
180.32,2.71
182.13,2.66
183.95,2.61
185.79,2.56
187.65,2.52
189.52,2.48
191.42,2.44
193.33,2.40
195.27,2.37
197.22,2.33
199.19,2.29
201.18,2.24
203.19,2.20
205.23,2.15
207.28,2.11
209.35,2.06
211.44,2.02
213.56,1.98
215.69,1.94
217.85,1.89
220.03,1.85
222.23,1.82
224.45,1.78
226.70,1.74
228.96,1.70
231.25,1.66
233.57,1.62
235.90,1.58
238.26,1.54
240.64,1.50
243.05,1.46
245.48,1.42
247.93,1.37
250.41,1.33
252.92,1.28
255.45,1.23
258.00,1.19
260.58,1.14
263.19,1.10
265.82,1.05
268.48,1.01
271.16,0.97
273.87,0.93
276.61,0.89
279.38,0.84
282.17,0.80
284.99,0.76
287.84,0.72
290.72,0.68
293.63,0.64
296.57,0.60
299.53,0.56
302.53,0.53
305.55,0.49
308.61,0.45
311.69,0.41
314.81,0.38
317.96,0.34
321.14,0.30
324.35,0.27
