frequency,raw
20.00,6.63
20.20,6.67
20.40,6.71
20.61,6.75
20.81,6.79
21.02,6.84
21.23,6.88
21.44,6.93
21.66,6.97
21.87,7.02
22.09,7.07
22.31,7.11
22.54,7.15
22.76,7.19
22.99,7.23
23.22,7.27
23.45,7.31
23.69,7.34
23.92,7.38
24.16,7.41
24.40,7.45
24.65,7.48
24.89,7.51
25.14,7.55
25.39,7.58
25.65,7.61
25.91,7.64
26.16,7.66
26.43,7.69
26.69,7.72
26.96,7.75
27.23,7.77
27.50,7.79
27.77,7.82
28.05,7.84
28.33,7.86
28.62,7.88
28.90,7.90
29.19,7.92
29.48,7.93
29.78,7.95
30.08,7.97
30.38,7.99
30.68,8.00
30.99,8.02
31.30,8.03
31.61,8.04
31.93,8.05
32.24,8.06
32.57,8.08
32.89,8.09
33.22,8.09
33.55,8.10
33.89,8.11
34.23,8.12
34.57,8.12
34.92,8.12
35.27,8.13
35.62,8.13
35.97,8.13
36.33,8.13
36.70,8.13
37.06,8.13
37.43,8.13
37.81,8.13
38.19,8.13
38.57,8.13
38.95,8.13
39.34,8.12
39.74,8.12
40.14,8.12
40.54,8.11
40.94,8.10
41.35,8.10
41.76,8.09
42.18,8.08
42.60,8.07
43.03,8.06
43.46,8.05
43.90,8.03
44.33,8.02
44.78,8.01
45.23,8.00
45.68,7.98
46.13,7.97
46.60,7.95
47.06,7.93
47.53,7.92
48.01,7.90
48.49,7.89
48.97,7.87
49.46,7.85
49.96,7.83
50.46,7.81
50.96,7.79
51.47,7.77
51.99,7.74
52.51,7.72
53.03,7.70
53.56,7.67
54.10,7.65
54.64,7.62
55.18,7.60
55.74,7.57
56.29,7.55
56.86,7.52
57.42,7.50
58.00,7.47
58.58,7.44
59.16,7.41
59.76,7.38
60.35,7.35
60.96,7.32
61.57,7.29
62.18,7.26
62.80,7.23
63.43,7.19
64.07,7.16
64.71,7.13
65.35,7.09
66.01,7.06
66.67,7.02
67.33,6.98
68.01,6.95
68.69,6.91
69.37,6.88
70.07,6.84
70.77,6.81
71.48,6.77
72.19,6.73
72.91,6.70
73.64,6.66
74.38,6.62
75.12,6.58
75.87,6.54
76.63,6.50
77.40,6.46
78.17,6.42
78.95,6.38
79.74,6.34
80.54,6.29
81.35,6.25
82.16,6.21
82.98,6.16
83.81,6.12
84.65,6.08
85.50,6.03
86.35,5.99
87.22,5.94
88.09,5.90
88.97,5.85
89.86,5.81
90.76,5.76
91.66,5.71
92.58,5.67
93.51,5.62
94.44,5.57
95.39,5.53
96.34,5.48
97.30,5.43
98.28,5.38
99.26,5.33
100.25,5.28
101.25,5.24
