frequency,raw
20.00,11.88
20.20,11.91
20.40,11.93
20.61,11.96
20.81,11.99
21.02,12.02
21.23,12.05
21.44,12.07
21.66,12.09
21.87,12.12
22.09,12.14
22.31,12.16
22.54,12.19
22.76,12.21
22.99,12.23
23.22,12.26
23.45,12.28
23.69,12.30
23.92,12.32
24.16,12.34
24.40,12.36
24.65,12.37
24.89,12.38
25.14,12.39
25.39,12.40
25.65,12.40
25.91,12.41
26.16,12.42
26.43,12.43
26.69,12.43
26.96,12.44
27.23,12.45
27.50,12.45
27.77,12.46
28.05,12.46
28.33,12.47
28.62,12.47
28.90,12.47
29.19,12.47
29.48,12.47
29.78,12.47
30.08,12.47
30.38,12.47
30.68,12.47
30.99,12.46
31.30,12.46
31.61,12.46
31.93,12.45
32.24,12.44
32.57,12.44
32.89,12.43
33.22,12.42
33.55,12.41
33.89,12.41
34.23,12.40
34.57,12.39
34.92,12.37
35.27,12.36
35.62,12.35
35.97,12.33
36.33,12.32
36.70,12.31
37.06,12.30
37.43,12.29
37.81,12.28
38.19,12.27
38.57,12.26
38.95,12.25
39.34,12.23
39.74,12.21
40.14,12.19
40.54,12.16
40.94,12.13
41.35,12.10
41.76,12.06
42.18,12.03
42.60,11.99
43.03,11.96
43.46,11.93
43.90,11.90
44.33,11.87
44.78,11.83
45.23,11.80
45.68,11.77
46.13,11.73
46.60,11.70
47.06,11.66
47.53,11.62
48.01,11.59
48.49,11.55
48.97,11.51
49.46,11.47
49.96,11.44
50.46,11.40
50.96,11.36
51.47,11.32
51.99,11.28
52.51,11.24
53.03,11.20
53.56,11.15
54.10,11.11
54.64,11.06
55.18,11.01
55.74,10.97
56.29,10.92
56.86,10.87
57.42,10.82
58.00,10.77
58.58,10.73
59.16,10.68
59.76,10.63
60.35,10.58
60.96,10.53
61.57,10.48
62.18,10.43
62.80,10.37
63.43,10.32
64.07,10.26
64.71,10.21
65.35,10.15
66.01,10.09
66.67,10.03
67.33,9.98
68.01,9.92
68.69,9.86
69.37,9.80
70.07,9.74
70.77,9.68
71.48,9.62
72.19,9.56
72.91,9.49
73.64,9.43
74.38,9.36
75.12,9.29
75.87,9.23
76.63,9.16
77.40,9.10
78.17,9.03
78.95,8.96
79.74,8.89
80.54,8.82
81.35,8.75
82.16,8.68
82.98,8.61
83.81,8.54
84.65,8.48
85.50,8.41
86.35,8.34
87.22,8.27
88.09,8.19
88.97,8.11
89.86,8.04
90.76,7.96
91.66,7.88
92.58,7.81
93.51,7.73
94.44,7.66
95.39,7.59
96.34,7.51
97.30,7.43
98.28,7.36
99.26,7.28
100.25,7.20
101.25,7.13
102.27,7.05
103.29,6.97
104.32,6.89
105.37,6.81
106.42,6.73
107.48,6.65
108.56,6.57
109.64,6.49
110.74,6.42
111.85,6.34
112.97,6.25
114.10,6.17
115.24,6.09
116.39,6.00
117.55,5.92
118.73,5.84
119.92,5.76
121.12,5.68
122.33,5.59
123.55,5.51
124.79,5.43
126.03,5.35
127.29,5.27
128.57,5.19
129.85,5.11
131.15,5.03
132.46,4.95
133.79,4.87
135.12,4.79
136.48,4.71
137.84,4.62
139.22,4.54
140.61,4.46
142.02,4.37
143.44,4.29
144.87,4.21
146.32,4.13
147.78,4.04
149.26,3.96
150.75,3.88
152.26,3.80
153.78,3.72
155.32,3.64
156.88,3.56
158.44,3.48
160.03,3.40
161.63,3.32
163.24,3.24
164.88,3.16
166.53,3.09
168.19,3.01
169.87,2.93
171.57,2.87
173.29,2.80
175.02,2.74
176.77,2.69
178.54,2.64
180.32,2.59
182.13,2.56
183.95,2.52
185.79,2.49
187.65,2.45
189.52,2.41
191.42,2.36
193.33,2.30
195.27,2.25
197.22,2.19
199.19,2.14
201.18,2.08
203.19,2.03
205.23,1.97
207.28,1.92
209.35,1.87
211.44,1.82
213.56,1.78
215.69,1.73
217.85,1.68
220.03,1.64
222.23,1.60
224.45,1.55
226.70,1.52
228.96,1.48
231.25,1.44
233.57,1.39
235.90,1.35
238.26,1.31
240.64,1.27
243.05,1.23
245.48,1.19
247.93,1.16
250.41,1.12
252.92,1.09
255.45,1.06
258.00,1.02
260.58,0.99
263.19,0.96
265.82,0.93
268.48,0.91
271.16,0.88
273.87,0.85
276.61,0.83
279.38,0.80
282.17,0.78
284.99,0.75
287.84,0.73
290.72,0.71
293.63,0.68
296.57,0.66
299.53,0.64
302.53,0.62
305.55,0.60
308.61,0.58
311.69,0.56
314.81,0.54
317.96,0.52
321.14,0.50
324.35,0.49
327.59,0.47
330.87,0.45
334.18,0.43
337.52,0.42
340.90,0.40
344.30,0.39
347.75,0.37
351.23,0.36
354.74,0.34
358.28,0.32
361.87,0.31
365.49,0.29
369.14,0.28
372.83,0.26
376.56,0.25
380.33,0.23
384.13,0.22
387.97,0.21
391.85,0.19
395.77,0.18
399.73,0.16
403.72,0.15
407.76,0.13
411.84,0.12
415.96,0.10
420.12,0.09
424.32,0.08
428.56,0.06
432.85,0.05
437.18,0.04
441.55,0.02
445.96,0.01
450.42,-0.00
454.93,-0.01
459.48,-0.02
464.07,-0.04
468.71,-0.05
473.40,-0.06
478.13,-0.07
482.91,-0.08
487.74,-0.09
492.62,-0.10
497.55,-0.12
502.52,-0.13
507.55,-0.15
512.62,-0.16
517.75,-0.17
522.93,-0.19
528.16,-0.20
533.44,-0.22
538.77,-0.24
544.16,-0.25
549.60,-0.27
555.10,-0.28
560.65,-0.30
566.25,-0.32
571.92,-0.33
577.64,-0.35
583.41,-0.36
589.25,-0.38
595.14,-0.39
601.09,-0.41
607.10,-0.42
613.17,-0.44
619.30,-0.45
625.50,-0.46
631.75,-0.48
638.07,-0.49
644.45,-0.50
650.89,-0.51
657.40,-0.52
663.98,-0.53
670.62,-0.54
677.32,-0.55
684.10,-0.56
690.94,-0.57
697.85,-0.57
704.83,-0.58
711.87,-0.58
718.99,-0.59
726.18,-0.59
733.44,-0.59
740.78,-0.59
748.19,-0.59
755.67,-0.59
763.23,-0.59
770.86,-0.59
778.57,-0.58
786.35,-0.58
794.22,-0.57
802.16,-0.57
810.18,-0.56
818.28,-0.54
826.46,-0.53
834.73,-0.52
843.08,-0.50
851.51,-0.48
860.02,-0.46
868.62,-0.44
877.31,-0.42
886.08,-0.40
894.94,-0.38
903.89,-0.35
912.93,-0.33
922.06,-0.30
931.28,-0.27
940.59,-0.24
950.00,-0.20
959.50,-0.17
969.09,-0.13
978.78,-0.09
988.57,-0.05
998.46,-0.01
1008.44,0.04
1018.53,0.08
1028.71,0.12
1039.00,0.17
1049.39,0.21
1059.88,0.26
1070.48,0.30
1081.19,0.35
1092.00,0.39
1102.92,0.44
1113.95,0.48
1125.09,0.53
1136.34,0.57
1147.70,0.62
1159.18,0.66
1170.77,0.70
1182.48,0.74
1194.30,0.77
1206.25,0.81
1218.31,0.84
1230.49,0.88
1242.80,0.91
1255.22,0.94
1267.78,0.97
1280.45,1.00
1293.26,1.03
1306.19,1.06
1319.25,1.08
1332.45,1.11
1345.77,1.13
1359.23,1.15
1372.82,1.17
1386.55,1.20
1400.41,1.22
1414.42,1.23
1428.56,1.25
1442.85,1.27
1457.28,1.29
1471.85,1.31
1486.57,1.33
1501.43,1.34
1516.45,1.37
1531.61,1.39
1546.93,1.41
1562.40,1.43
1578.02,1.46
1593.80,1.49
1609.74,1.51
1625.84,1.54
1642.10,1.58
1658.52,1.61
1675.10,1.64
1691.85,1.68
1708.77,1.72
1725.86,1.76
1743.12,1.80
1760.55,1.85
1778.15,1.90
1795.94,1.95
1813.90,2.00
1832.03,2.06
1850.36,2.11
1868.86,2.18
1887.55,2.24
1906.42,2.30
1925.49,2.38
1944.74,2.45
1964.19,2.52
1983.83,2.60
2003.67,2.69
2023.71,2.78
2043.94,2.87
2064.38,2.96
2085.03,3.06
2105.88,3.16
2126.94,3.27
2148.20,3.38
2169.69,3.49
2191.38,3.60
2213.30,3.72
2235.43,3.84
2257.78,3.97
2280.36,4.10
2303.17,4.23
2326.20,4.37
2349.46,4.51
2372.95,4.65
2396.68,4.80
2420.65,4.94
2444.86,5.09
2469.31,5.24
2494.00,5.38
2518.94,5.53
2544.13,5.68
2569.57,5.83
2595.27,5.97
2621.22,6.11
2647.43,6.25
2673.90,6.37
2700.64,6.49
2727.65,6.60
2754.93,6.69
2782.48,6.78
2810.30,6.86
2838.40,6.91
2866.79,6.96
2895.46,7.01
2924.41,7.02
2953.65,7.02
2983.19,7.02
3013.02,7.01
3043.15,6.98
3073.58,6.95
3104.32,6.89
3135.36,6.83
3166.72,6.75
3198.38,6.66
3230.37,6.57
3262.67,6.47
3295.30,6.36
3328.25,6.24
3361.53,6.13
3395.15,6.01
3429.10,5.89
3463.39,5.78
3498.03,5.67
3533.01,5.56
3568.34,5.47
3604.02,5.39
3640.06,5.30
3676.46,5.24
3713.22,5.18
3750.36,5.12
3787.86,5.09
3825.74,5.05
3864.00,5.02
3902.64,5.01
3941.66,4.99
3981.08,4.98
4020.89,4.96
4061.10,4.95
4101.71,4.94
4142.73,4.92
4184.15,4.89
4226.00,4.87
4268.26,4.83
4310.94,4.78
4354.05,4.73
4397.59,4.67
4441.56,4.59
4485.98,4.52
4530.84,4.44
4576.15,4.35
4621.91,4.27
4668.13,4.18
4714.81,4.09
4761.96,4.01
4809.58,3.95
4857.67,3.88
4906.25,3.85
4955.31,3.84
5004.87,3.83
5054.91,3.88
5105.46,3.93
5156.52,3.99
5208.08,4.09
5260.16,4.19
5312.77,4.27
5365.89,4.34
5419.55,4.41
5473.75,4.43
5528.49,4.41
5583.77,4.38
5639.61,4.26
5696.00,4.11
5752.96,3.96
5810.49,3.79
5868.60,3.55
5927.28,3.30
5986.56,3.06
6046.42,2.82
6106.89,2.56
6167.96,2.32
6229.64,2.10
6291.93,1.88
6354.85,1.71
6418.40,1.54
6482.58,1.38
6547.41,1.28
6612.88,1.20
6679.01,1.13
6745.80,1.12
6813.26,1.15
6881.39,1.18
6950.21,1.32
7019.71,1.50
7089.91,1.69
7160.81,1.99
7232.41,2.31
7304.74,2.63
7377.79,3.03
7451.56,3.44
7526.08,3.84
7601.34,4.25
7677.35,4.66
7754.13,5.06
7831.67,5.22
7909.98,5.38
7989.08,5.54
8068.98,5.29
8149.67,4.98
8231.16,4.67
8313.47,4.07
8396.61,3.39
8480.57,2.71
8565.38,1.96
8651.03,1.19
8737.54,0.42
8824.92,-0.25
8913.17,-0.90
9002.30,-1.55
9092.32,-2.03
9183.25,-2.50
9275.08,-2.92
9367.83,-3.20
9461.51,-3.49
9556.12,-3.67
9651.68,-3.79
9748.20,-3.91
9845.68,-3.89
9944.14,-3.86
10043.58,-3.78
10144.02,-3.62
10245.46,-3.47
10347.91,-3.27
10451.39,-3.02
10555.91,-2.77
10661.46,-2.48
10768.08,-2.16
10875.76,-1.83
10984.52,-1.51
11094.36,-1.18
11205.31,-0.86
11317.36,-0.63
11430.53,-0.40
11544.84,-0.23
11660.29,-0.14
11776.89,-0.05
11894.66,-0.09
12013.60,-0.16
12133.74,-0.22
12255.08,-0.38
12377.63,-0.64
12501.41,-0.90
12626.42,-1.33
12752.68,-1.77
12880.21,-2.28
13009.01,-2.84
13139.10,-3.41
13270.49,-3.96
13403.20,-4.52
13537.23,-5.07
13672.60,-5.53
13809.33,-5.91
13947.42,-6.30
14086.90,-6.46
14227.77,-6.48
14370.04,-6.51
14513.74,-6.48
14658.88,-5.97
14805.47,-5.46
14953.52,-4.95
15103.06,-4.31
15254.09,-3.60
15406.63,-2.89
15560.70,-2.39
15716.30,-2.21
15873.47,-2.04
16032.20,-1.99
16192.52,-2.41
16354.45,-2.84
16517.99,-3.28
16683.17,-3.76
16850.01,-4.24
17018.51,-4.69
17188.69,-4.97
17360.58,-5.24
17534.18,-5.47
17709.53,-5.54
17886.62,-5.61
18065.49,-5.67
18246.14,-5.69
18428.60,-5.71
18612.89,-5.79
18799.02,-5.92
18987.01,-6.04
19176.88,-6.37
19368.65,-6.72
19562.33,-7.08
19757.96,-7.49
19955.54,-7.89
