frequency,raw
20.00,4.36
20.20,4.39
20.40,4.42
20.61,4.45
20.81,4.49
21.02,4.52
21.23,4.55
21.44,4.58
21.66,4.61
21.87,4.65
22.09,4.68
22.31,4.71
22.54,4.74
22.76,4.77
22.99,4.80
23.22,4.83
23.45,4.86
23.69,4.89
23.92,4.92
24.16,4.95
24.40,4.98
24.65,5.01
24.89,5.03
25.14,5.06
25.39,5.08
25.65,5.10
25.91,5.13
26.16,5.15
26.43,5.17
26.69,5.19
26.96,5.21
27.23,5.23
27.50,5.24
27.77,5.26
28.05,5.28
28.33,5.30
28.62,5.31
28.90,5.33
29.19,5.34
29.48,5.36
29.78,5.37
30.08,5.38
30.38,5.39
30.68,5.41
30.99,5.42
31.30,5.43
31.61,5.44
31.93,5.45
32.24,5.45
32.57,5.46
32.89,5.47
33.22,5.48
33.55,5.48
33.89,5.49
34.23,5.49
34.57,5.50
34.92,5.50
35.27,5.50
35.62,5.51
35.97,5.51
36.33,5.51
36.70,5.51
37.06,5.51
37.43,5.51
37.81,5.51
38.19,5.51
38.57,5.51
38.95,5.50
39.34,5.50
39.74,5.50
40.14,5.49
40.54,5.49
40.94,5.48
41.35,5.47
41.76,5.47
42.18,5.46
42.60,5.46
43.03,5.45
43.46,5.44
43.90,5.43
44.33,5.43
44.78,5.42
45.23,5.41
45.68,5.39
46.13,5.38
46.60,5.37
47.06,5.36
47.53,5.35
48.01,5.33
48.49,5.32
48.97,5.30
49.46,5.29
49.96,5.27
50.46,5.26
50.96,5.24
51.47,5.23
51.99,5.21
52.51,5.19
53.03,5.18
53.56,5.16
54.10,5.14
54.64,5.12
55.18,5.10
55.74,5.08
56.29,5.06
56.86,5.04
57.42,5.02
58.00,5.00
58.58,4.98
59.16,4.95
59.76,4.93
60.35,4.91
60.96,4.89
61.57,4.86
62.18,4.84
62.80,4.81
63.43,4.79
64.07,4.76
64.71,4.74
65.35,4.71
66.01,4.69
66.67,4.66
67.33,4.63
68.01,4.61
68.69,4.58
69.37,4.55
70.07,4.52
70.77,4.49
71.48,4.47
72.19,4.44
72.91,4.41
73.64,4.38
74.38,4.35
75.12,4.32
75.87,4.29
76.63,4.26
77.40,4.23
78.17,4.20
78.95,4.17
79.74,4.13
80.54,4.10
81.35,4.07
82.16,4.04
82.98,4.00
83.81,3.97
84.65,3.94
85.50,3.91
86.35,3.87
87.22,3.84
88.09,3.80
88.97,3.77
89.86,3.74
90.76,3.70
91.66,3.67
92.58,3.63
93.51,3.60
94.44,3.56
95.39,3.53
96.34,3.49
97.30,3.46
98.28,3.42
99.26,3.38
100.25,3.35
101.25,3.31
102.27,3.28
103.29,3.24
104.32,3.20
105.37,3.16
106.42,3.13
107.48,3.09
108.56,3.05
109.64,3.02
110.74,2.98
111.85,2.94
112.97,2.90
114.10,2.86
115.24,2.83
116.39,2.79
117.55,2.75
118.73,2.71
119.92,2.68
121.12,2.64
122.33,2.60
123.55,2.56
124.79,2.52
126.03,2.49
127.29,2.45
128.57,2.41
129.85,2.37
131.15,2.33
132.46,2.29
133.79,2.26
135.12,2.22
136.48,2.18
137.84,2.14
139.22,2.10
140.61,2.06
142.02,2.02
143.44,1.99
144.87,1.95
146.32,1.91
147.78,1.87
149.26,1.83
150.75,1.79
152.26,1.75
153.78,1.71
155.32,1.68
156.88,1.64
158.44,1.60
160.03,1.56
161.63,1.52
163.24,1.48
164.88,1.44
166.53,1.40
168.19,1.36
169.87,1.32
171.57,1.28
173.29,1.24
175.02,1.20
176.77,1.16
178.54,1.12
180.32,1.08
182.13,1.04
183.95,1.00
185.79,0.96
187.65,0.93
189.52,0.90
191.42,0.87
193.33,0.84
195.27,0.81
197.22,0.79
199.19,0.76
201.18,0.74
203.19,0.72
205.23,0.70
207.28,0.68
209.35,0.66
211.44,0.64
213.56,0.61
215.69,0.59
217.85,0.56
220.03,0.53
222.23,0.50
224.45,0.47
226.70,0.44
228.96,0.41
231.25,0.38
233.57,0.35
235.90,0.31
238.26,0.28
240.64,0.25
243.05,0.22
245.48,0.19
247.93,0.16
250.41,0.12
252.92,0.09
255.45,0.06
258.00,0.03
260.58,0.00
263.19,-0.03
265.82,-0.06
268.48,-0.08
271.16,-0.11
273.87,-0.14
276.61,-0.17
279.38,-0.20
282.17,-0.22
284.99,-0.25
287.84,-0.28
290.72,-0.30
293.63,-0.33
296.57,-0.35
299.53,-0.38
302.53,-0.40
305.55,-0.43
308.61,-0.45
311.69,-0.48
314.81,-0.50
317.96,-0.53
321.14,-0.55
324.35,-0.57
327.59,-0.60
330.87,-0.62
334.18,-0.64
337.52,-0.66
340.90,-0.68
344.30,-0.71
347.75,-0.73
351.23,-0.75
354.74,-0.77
358.28,-0.79
361.87,-0.81
365.49,-0.83
369.14,-0.85
372.83,-0.87
376.56,-0.89
380.33,-0.91
384.13,-0.93
387.97,-0.95
391.85,-0.97
395.77,-0.98
399.73,-1.00
403.72,-1.02
407.76,-1.04
411.84,-1.06
415.96,-1.07
420.12,-1.09
424.32,-1.11
428.56,-1.13
432.85,-1.14
437.18,-1.16
441.55,-1.18
445.96,-1.19
450.42,-1.21
454.93,-1.23
459.48,-1.25
464.07,-1.27
468.71,-1.28
473.40,-1.30
478.13,-1.32
482.91,-1.33
487.74,-1.35
492.62,-1.36
497.55,-1.38
502.52,-1.39
507.55,-1.40
512.62,-1.41
517.75,-1.43
522.93,-1.44
528.16,-1.45
533.44,-1.46
538.77,-1.47
544.16,-1.48
549.60,-1.50
555.10,-1.51
560.65,-1.52
566.25,-1.53
571.92,-1.55
577.64,-1.56
583.41,-1.57
589.25,-1.59
595.14,-1.60
601.09,-1.62
607.10,-1.63
613.17,-1.65
619.30,-1.67
625.50,-1.69
631.75,-1.70
638.07,-1.72
644.45,-1.74
650.89,-1.75
657.40,-1.77
663.98,-1.78
670.62,-1.80
677.32,-1.81
684.10,-1.82
690.94,-1.83
697.85,-1.83
704.83,-1.84
711.87,-1.84
718.99,-1.83
726.18,-1.83
733.44,-1.81
740.78,-1.80
748.19,-1.78
755.67,-1.75
763.23,-1.72
770.86,-1.69
778.57,-1.66
786.35,-1.61
794.22,-1.57
802.16,-1.52
810.18,-1.47
818.28,-1.42
826.46,-1.37
834.73,-1.31
843.08,-1.25
851.51,-1.19
860.02,-1.13
868.62,-1.07
877.31,-1.00
886.08,-0.93
894.94,-0.87
903.89,-0.80
912.93,-0.73
922.06,-0.65
931.28,-0.58
940.59,-0.50
950.00,-0.43
959.50,-0.35
969.09,-0.27
978.78,-0.18
988.57,-0.10
998.46,-0.01
1008.44,0.07
1018.53,0.16
1028.71,0.25
1039.00,0.34
1049.39,0.43
1059.88,0.52
1070.48,0.62
1081.19,0.71
1092.00,0.80
1102.92,0.89
1113.95,0.99
1125.09,1.08
1136.34,1.17
1147.70,1.27
1159.18,1.36
1170.77,1.45
1182.48,1.54
1194.30,1.63
1206.25,1.71
1218.31,1.80
1230.49,1.89
1242.80,1.97
1255.22,2.06
1267.78,2.14
1280.45,2.22
1293.26,2.30
1306.19,2.38
1319.25,2.46
1332.45,2.54
1345.77,2.62
1359.23,2.70
1372.82,2.78
1386.55,2.85
1400.41,2.93
1414.42,3.01
1428.56,3.08
1442.85,3.16
1457.28,3.24
1471.85,3.32
1486.57,3.40
1501.43,3.48
1516.45,3.56
1531.61,3.64
1546.93,3.72
1562.40,3.80
1578.02,3.89
1593.80,3.97
1609.74,4.06
1625.84,4.15
1642.10,4.24
1658.52,4.33
1675.10,4.43
1691.85,4.52
1708.77,4.62
1725.86,4.72
1743.12,4.82
1760.55,4.93
1778.15,5.03
1795.94,5.14
1813.90,5.25
1832.03,5.37
1850.36,5.48
1868.86,5.60
1887.55,5.72
1906.42,5.84
1925.49,5.97
1944.74,6.09
1964.19,6.22
1983.83,6.36
2003.67,6.49
2023.71,6.63
2043.94,6.77
2064.38,6.91
2085.03,7.05
2105.88,7.20
2126.94,7.35
2148.20,7.50
2169.69,7.65
2191.38,7.79
2213.30,7.93
2235.43,8.07
2257.78,8.20
2280.36,8.32
2303.17,8.44
2326.20,8.54
2349.46,8.64
2372.95,8.73
2396.68,8.80
2420.65,8.88
2444.86,8.93
2469.31,8.97
2494.00,9.01
2518.94,9.03
2544.13,9.03
2569.57,9.03
2595.27,9.01
2621.22,8.98
2647.43,8.94
2673.90,8.88
2700.64,8.81
2727.65,8.74
2754.93,8.65
2782.48,8.56
2810.30,8.47
2838.40,8.36
2866.79,8.25
2895.46,8.14
2924.41,8.02
2953.65,7.90
2983.19,7.78
3013.02,7.67
3043.15,7.55
3073.58,7.44
3104.32,7.34
3135.36,7.23
3166.72,7.14
3198.38,7.06
3230.37,6.98
3262.67,6.91
3295.30,6.85
3328.25,6.80
3361.53,6.75
3395.15,6.71
3429.10,6.68
3463.39,6.65
3498.03,6.64
3533.01,6.63
3568.34,6.63
3604.02,6.65
3640.06,6.67
3676.46,6.72
3713.22,6.77
3750.36,6.83
3787.86,6.93
3825.74,7.02
3864.00,7.12
3902.64,7.24
3941.66,7.36
3981.08,7.48
4020.89,7.59
4061.10,7.70
4101.71,7.81
4142.73,7.89
4184.15,7.94
4226.00,7.99
4268.26,8.01
4310.94,7.96
4354.05,7.92
4397.59,7.79
4441.56,7.62
4485.98,7.45
4530.84,7.19
4576.15,6.88
4621.91,6.58
4668.13,6.18
4714.81,5.77
4761.96,5.36
4809.58,4.91
4857.67,4.46
4906.25,4.01
4955.31,3.56
5004.87,3.12
5054.91,2.74
5105.46,2.36
5156.52,1.99
5208.08,1.74
5260.16,1.49
5312.77,1.28
5365.89,1.20
5419.55,1.11
5473.75,1.10
5528.49,1.19
5583.77,1.28
5639.61,1.45
5696.00,1.67
5752.96,1.88
5810.49,2.10
5868.60,2.33
5927.28,2.56
5986.56,2.79
6046.42,2.98
6106.89,3.14
6167.96,3.29
6229.64,3.39
6291.93,3.49
6354.85,3.54
6418.40,3.59
6482.58,3.64
6547.41,3.70
6612.88,3.76
6679.01,3.81
6745.80,3.92
6813.26,4.05
6881.39,4.18
6950.21,4.40
7019.71,4.65
7089.91,4.90
7160.81,5.27
7232.41,5.65
7304.74,6.05
7377.79,6.53
7451.56,7.01
7526.08,7.48
7601.34,7.91
7677.35,8.34
7754.13,8.75
7831.67,8.82
7909.98,8.89
7989.08,8.96
8068.98,8.61
8149.67,8.18
8231.16,7.76
8313.47,7.13
8396.61,6.44
8480.57,5.75
8565.38,5.08
8651.03,4.42
8737.54,3.76
8824.92,3.27
8913.17,2.79
9002.30,2.33
9092.32,2.06
9183.25,1.79
9275.08,1.56
9367.83,1.43
9461.51,1.29
9556.12,1.14
9651.68,0.98
9748.20,0.82
9845.68,0.53
9944.14,0.22
10043.58,-0.14
