frequency,raw
20.00,3.50
20.20,3.53
20.40,3.56
20.61,3.58
20.81,3.61
21.02,3.63
21.23,3.66
21.44,3.68
21.66,3.70
21.87,3.73
22.09,3.75
22.31,3.77
22.54,3.79
22.76,3.81
22.99,3.83
23.22,3.84
23.45,3.86
23.69,3.88
23.92,3.89
24.16,3.91
24.40,3.92
24.65,3.94
24.89,3.95
25.14,3.97
25.39,3.98
25.65,3.99
25.91,4.00
26.16,4.01
26.43,4.02
26.69,4.03
26.96,4.04
27.23,4.05
27.50,4.06
27.77,4.06
28.05,4.07
28.33,4.07
28.62,4.08
28.90,4.08
29.19,4.09
29.48,4.09
29.78,4.09
30.08,4.10
30.38,4.10
30.68,4.10
30.99,4.10
31.30,4.10
31.61,4.10
31.93,4.10
32.24,4.10
32.57,4.10
32.89,4.09
33.22,4.09
33.55,4.09
33.89,4.08
34.23,4.08
34.57,4.07
34.92,4.07
35.27,4.06
35.62,4.06
35.97,4.05
36.33,4.04
36.70,4.03
37.06,4.03
37.43,4.02
37.81,4.01
38.19,4.00
38.57,3.99
38.95,3.98
39.34,3.97
39.74,3.95
40.14,3.94
40.54,3.93
40.94,3.91
41.35,3.90
41.76,3.88
42.18,3.86
42.60,3.84
43.03,3.83
43.46,3.81
43.90,3.79
44.33,3.77
44.78,3.75
45.23,3.74
45.68,3.72
46.13,3.70
46.60,3.68
47.06,3.66
47.53,3.64
48.01,3.62
48.49,3.59
48.97,3.57
49.46,3.55
49.96,3.53
50.46,3.50
50.96,3.48
51.47,3.46
51.99,3.43
52.51,3.41
53.03,3.38
53.56,3.36
54.10,3.33
54.64,3.30
55.18,3.28
55.74,3.25
56.29,3.22
56.86,3.20
57.42,3.17
58.00,3.14
58.58,3.11
59.16,3.08
59.76,3.05
60.35,3.02
60.96,2.99
61.57,2.96
62.18,2.93
62.80,2.90
63.43,2.87
64.07,2.84
64.71,2.81
65.35,2.78
66.01,2.74
66.67,2.71
67.33,2.68
68.01,2.65
68.69,2.61
69.37,2.58
70.07,2.55
70.77,2.51
71.48,2.48
72.19,2.44
72.91,2.41
73.64,2.38
74.38,2.34
75.12,2.31
75.87,2.27
76.63,2.24
77.40,2.20
78.17,2.16
78.95,2.13
79.74,2.09
80.54,2.06
81.35,2.02
82.16,1.98
82.98,1.95
83.81,1.91
84.65,1.87
85.50,1.84
86.35,1.80
87.22,1.76
88.09,1.73
88.97,1.69
89.86,1.66
90.76,1.62
91.66,1.59
92.58,1.55
93.51,1.51
94.44,1.48
95.39,1.44
96.34,1.40
97.30,1.37
98.28,1.33
99.26,1.29
100.25,1.25
101.25,1.21
102.27,1.17
103.29,1.14
104.32,1.10
105.37,1.06
106.42,1.02
107.48,0.98
108.56,0.94
109.64,0.91
110.74,0.87
111.85,0.83
112.97,0.79
114.10,0.75
115.24,0.71
116.39,0.67
117.55,0.63
118.73,0.59
119.92,0.55
121.12,0.51
122.33,0.46
123.55,0.42
124.79,0.37
126.03,0.32
127.29,0.28
128.57,0.23
129.85,0.18
131.15,0.13
132.46,0.07
133.79,0.02
135.12,-0.03
136.48,-0.08
137.84,-0.11
139.22,-0.14
140.61,-0.14
142.02,-0.12
143.44,-0.09
144.87,-0.07
146.32,-0.04
147.78,-0.01
149.26,0.02
150.75,0.03
152.26,0.02
153.78,0.02
155.32,0.01
156.88,-0.02
158.44,-0.05
160.03,-0.07
161.63,-0.11
163.24,-0.14
164.88,-0.17
166.53,-0.20
168.19,-0.24
169.87,-0.27
171.57,-0.30
173.29,-0.33
175.02,-0.36
176.77,-0.39
178.54,-0.42
