frequency,raw
20.00,9.66
20.20,9.70
20.40,9.74
20.61,9.78
20.81,9.82
21.02,9.86
21.23,9.90
21.44,9.94
21.66,9.98
21.87,10.02
22.09,10.06
22.31,10.10
22.54,10.14
22.76,10.18
22.99,10.21
23.22,10.25
23.45,10.28
23.69,10.32
23.92,10.35
24.16,10.38
24.40,10.42
24.65,10.45
24.89,10.48
25.14,10.51
25.39,10.53
25.65,10.56
25.91,10.59
26.16,10.62
26.43,10.64
26.69,10.67
26.96,10.69
27.23,10.71
27.50,10.74
27.77,10.76
28.05,10.78
28.33,10.80
28.62,10.82
28.90,10.84
29.19,10.86
29.48,10.88
29.78,10.89
30.08,10.91
30.38,10.92
30.68,10.94
30.99,10.95
31.30,10.97
31.61,10.98
31.93,10.99
32.24,11.00
32.57,11.01
32.89,11.02
33.22,11.03
33.55,11.04
33.89,11.05
34.23,11.06
34.57,11.06
34.92,11.07
35.27,11.07
35.62,11.08
35.97,11.08
36.33,11.08
36.70,11.09
37.06,11.09
37.43,11.09
37.81,11.09
38.19,11.09
38.57,11.09
38.95,11.08
39.34,11.08
39.74,11.08
40.14,11.07
40.54,11.07
40.94,11.06
41.35,11.06
41.76,11.05
42.18,11.04
42.60,11.04
43.03,11.03
43.46,11.02
43.90,11.01
44.33,11.00
44.78,10.98
45.23,10.97
45.68,10.96
46.13,10.95
46.60,10.93
47.06,10.92
47.53,10.90
48.01,10.88
48.49,10.87
48.97,10.85
49.46,10.83
49.96,10.81
50.46,10.79
50.96,10.77
51.47,10.75
51.99,10.73
52.51,10.71
53.03,10.68
53.56,10.66
54.10,10.64
54.64,10.61
55.18,10.58
55.74,10.56
56.29,10.53
56.86,10.50
57.42,10.47
58.00,10.45
58.58,10.41
59.16,10.38
59.76,10.35
60.35,10.32
60.96,10.29
61.57,10.25
62.18,10.22
62.80,10.19
63.43,10.15
64.07,10.11
64.71,10.08
65.35,10.04
66.01,10.00
66.67,9.96
67.33,9.92
68.01,9.88
68.69,9.84
69.37,9.80
70.07,9.76
70.77,9.72
71.48,9.67
72.19,9.63
72.91,9.58
73.64,9.54
74.38,9.49
75.12,9.45
75.87,9.40
76.63,9.35
77.40,9.30
78.17,9.25
78.95,9.20
79.74,9.15
80.54,9.10
81.35,9.05
82.16,8.99
82.98,8.94
83.81,8.89
84.65,8.83
85.50,8.78
86.35,8.72
87.22,8.67
88.09,8.61
88.97,8.55
89.86,8.49
90.76,8.43
91.66,8.37
92.58,8.31
93.51,8.25
94.44,8.19
95.39,8.13
96.34,8.07
97.30,8.01
98.28,7.94
99.26,7.88
