frequency,raw
20.00,10.44
20.20,10.48
20.40,10.52
20.61,10.56
20.81,10.60
21.02,10.64
21.23,10.68
21.44,10.73
21.66,10.77
21.87,10.81
22.09,10.85
22.31,10.89
22.54,10.93
22.76,10.97
22.99,11.00
23.22,11.04
23.45,11.08
23.69,11.11
23.92,11.14
24.16,11.18
24.40,11.21
24.65,11.24
24.89,11.27
25.14,11.30
25.39,11.33
25.65,11.36
25.91,11.38
26.16,11.41
26.43,11.44
26.69,11.46
26.96,11.49
27.23,11.51
27.50,11.53
27.77,11.56
28.05,11.58
28.33,11.60
28.62,11.62
28.90,11.64
29.19,11.66
29.48,11.68
29.78,11.70
30.08,11.71
30.38,11.73
30.68,11.74
30.99,11.76
31.30,11.77
31.61,11.79
31.93,11.80
32.24,11.81
32.57,11.82
32.89,11.83
33.22,11.84
33.55,11.85
33.89,11.86
34.23,11.87
34.57,11.87
34.92,11.88
35.27,11.89
35.62,11.89
35.97,11.90
36.33,11.90
36.70,11.91
37.06,11.91
37.43,11.91
37.81,11.91
38.19,11.91
38.57,11.91
38.95,11.91
39.34,11.91
39.74,11.90
40.14,11.90
40.54,11.90
40.94,11.89
41.35,11.89
41.76,11.88
42.18,11.87
42.60,11.87
43.03,11.86
43.46,11.85
43.90,11.84
44.33,11.83
44.78,11.82
45.23,11.81
45.68,11.80
46.13,11.79
46.60,11.78
47.06,11.76
47.53,11.75
48.01,11.74
48.49,11.72
48.97,11.70
49.46,11.69
49.96,11.67
50.46,11.65
50.96,11.63
51.47,11.61
51.99,11.59
52.51,11.57
53.03,11.55
53.56,11.53
54.10,11.51
54.64,11.48
55.18,11.46
55.74,11.43
56.29,11.41
56.86,11.38
57.42,11.35
58.00,11.33
58.58,11.30
59.16,11.27
59.76,11.24
60.35,11.21
60.96,11.18
61.57,11.15
62.18,11.12
62.80,11.09
63.43,11.05
64.07,11.02
64.71,10.98
65.35,10.95
66.01,10.91
66.67,10.87
67.33,10.84
68.01,10.80
68.69,10.76
69.37,10.72
70.07,10.68
70.77,10.64
71.48,10.60
72.19,10.55
72.91,10.51
73.64,10.47
74.38,10.43
75.12,10.38
75.87,10.34
76.63,10.29
77.40,10.25
78.17,10.20
78.95,10.15
79.74,10.10
80.54,10.05
81.35,10.00
82.16,9.95
82.98,9.90
83.81,9.85
84.65,9.80
85.50,9.75
86.35,9.69
87.22,9.64
88.09,9.58
88.97,9.53
89.86,9.47
90.76,9.42
91.66,9.36
92.58,9.30
93.51,9.25
94.44,9.19
95.39,9.13
96.34,9.07
97.30,9.01
98.28,8.95
99.26,8.89
100.25,8.82
101.25,8.76
102.27,8.70
103.29,8.63
104.32,8.57
105.37,8.50
106.42,8.44
107.48,8.37
108.56,8.31
109.64,8.24
110.74,8.17
111.85,8.10
112.97,8.03
114.10,7.96
115.24,7.89
116.39,7.82
117.55,7.75
118.73,7.68
119.92,7.61
121.12,7.53
122.33,7.46
123.55,7.39
124.79,7.31
126.03,7.24
127.29,7.16
128.57,7.08
129.85,7.01
131.15,6.93
132.46,6.86
133.79,6.78
135.12,6.71
136.48,6.63
137.84,6.56
139.22,6.48
140.61,6.41
142.02,6.33
143.44,6.26
144.87,6.18
146.32,6.11
147.78,6.03
149.26,5.95
150.75,5.87
152.26,5.80
153.78,5.72
155.32,5.64
156.88,5.55
158.44,5.47
160.03,5.39
161.63,5.31
163.24,5.23
164.88,5.15
166.53,5.07
168.19,5.00
169.87,4.92
171.57,4.85
173.29,4.79
175.02,4.72
176.77,4.65
178.54,4.58
180.32,4.52
182.13,4.45
183.95,4.38
185.79,4.31
187.65,4.23
189.52,4.16
191.42,4.09
193.33,4.01
195.27,3.93
197.22,3.85
199.19,3.77
201.18,3.69
203.19,3.61
205.23,3.53
207.28,3.44
209.35,3.36
211.44,3.28
213.56,3.19
215.69,3.11
217.85,3.03
220.03,2.95
222.23,2.86
224.45,2.78
226.70,2.70
228.96,2.62
231.25,2.54
233.57,2.46
235.90,2.38
238.26,2.30
240.64,2.23
243.05,2.15
245.48,2.07
247.93,1.99
250.41,1.91
252.92,1.84
255.45,1.76
258.00,1.68
260.58,1.61
263.19,1.53
265.82,1.45
268.48,1.38
271.16,1.31
273.87,1.23
276.61,1.16
279.38,1.09
282.17,1.02
284.99,0.94
287.84,0.87
290.72,0.80
293.63,0.73
296.57,0.67
299.53,0.60
302.53,0.53
305.55,0.46
308.61,0.40
311.69,0.33
314.81,0.27
317.96,0.21
321.14,0.14
324.35,0.08
327.59,0.02
330.87,-0.04
334.18,-0.10
337.52,-0.16
340.90,-0.21
344.30,-0.27
347.75,-0.33
351.23,-0.38
354.74,-0.44
358.28,-0.49
361.87,-0.54
365.49,-0.60
369.14,-0.65
372.83,-0.70
376.56,-0.75
380.33,-0.79
384.13,-0.84
387.97,-0.89
391.85,-0.93
395.77,-0.98
399.73,-1.02
403.72,-1.06
407.76,-1.10
411.84,-1.15
415.96,-1.19
420.12,-1.22
424.32,-1.26
428.56,-1.30
432.85,-1.34
437.18,-1.37
441.55,-1.40
445.96,-1.44
450.42,-1.47
454.93,-1.50
459.48,-1.53
464.07,-1.56
468.71,-1.59
473.40,-1.61
478.13,-1.63
482.91,-1.66
487.74,-1.68
492.62,-1.69
497.55,-1.71
502.52,-1.73
507.55,-1.74
512.62,-1.76
517.75,-1.77
522.93,-1.77
528.16,-1.78
