frequency,raw
20.00,8.44
20.20,8.48
20.40,8.51
20.61,8.54
20.81,8.58
21.02,8.61
21.23,8.65
21.44,8.68
21.66,8.72
21.87,8.76
22.09,8.79
22.31,8.82
22.54,8.86
22.76,8.89
22.99,8.92
23.22,8.95
23.45,8.98
23.69,9.00
23.92,9.03
24.16,9.06
24.40,9.08
24.65,9.10
24.89,9.13
25.14,9.15
25.39,9.17
25.65,9.19
25.91,9.21
26.16,9.23
26.43,9.25
26.69,9.27
26.96,9.29
27.23,9.31
27.50,9.32
27.77,9.34
28.05,9.35
28.33,9.36
28.62,9.38
28.90,9.39
29.19,9.40
29.48,9.41
29.78,9.42
30.08,9.43
30.38,9.44
30.68,9.45
30.99,9.46
31.30,9.46
31.61,9.47
31.93,9.48
32.24,9.48
32.57,9.49
32.89,9.49
33.22,9.49
33.55,9.49
33.89,9.49
34.23,9.49
34.57,9.49
34.92,9.49
35.27,9.49
35.62,9.49
35.97,9.48
36.33,9.48
36.70,9.47
37.06,9.47
37.43,9.46
37.81,9.46
38.19,9.45
38.57,9.44
38.95,9.43
39.34,9.42
39.74,9.41
40.14,9.40
40.54,9.39
40.94,9.38
41.35,9.36
41.76,9.35
42.18,9.34
42.60,9.32
43.03,9.30
43.46,9.29
43.90,9.27
44.33,9.25
44.78,9.23
45.23,9.22
45.68,9.20
46.13,9.18
46.60,9.15
47.06,9.13
47.53,9.11
48.01,9.08
48.49,9.06
48.97,9.04
49.46,9.01
49.96,8.98
50.46,8.96
50.96,8.93
51.47,8.90
51.99,8.87
52.51,8.84
53.03,8.81
53.56,8.78
54.10,8.75
54.64,8.71
55.18,8.68
55.74,8.65
56.29,8.61
56.86,8.58
57.42,8.54
58.00,8.50
58.58,8.47
59.16,8.43
59.76,8.39
60.35,8.35
60.96,8.31
61.57,8.27
62.18,8.23
62.80,8.18
63.43,8.14
64.07,8.10
64.71,8.05
65.35,8.01
66.01,7.96
66.67,7.92
67.33,7.87
68.01,7.82
68.69,7.77
69.37,7.72
70.07,7.67
70.77,7.62
71.48,7.57
72.19,7.52
72.91,7.47
73.64,7.41
74.38,7.36
75.12,7.30
75.87,7.25
76.63,7.19
77.40,7.14
78.17,7.08
78.95,7.02
79.74,6.97
80.54,6.91
81.35,6.85
82.16,6.79
82.98,6.73
83.81,6.67
84.65,6.60
85.50,6.54
86.35,6.48
87.22,6.42
88.09,6.35
88.97,6.29
89.86,6.22
90.76,6.16
91.66,6.09
92.58,6.02
93.51,5.96
94.44,5.89
95.39,5.82
96.34,5.75
