frequency,raw
20.00,6.25
20.20,6.32
20.40,6.39
20.61,6.46
20.81,6.53
21.02,6.60
21.23,6.67
21.44,6.72
21.66,6.77
21.87,6.81
22.09,6.85
22.31,6.88
22.54,6.92
22.76,6.95
22.99,6.99
23.22,7.03
23.45,7.07
23.69,7.11
23.92,7.16
24.16,7.20
24.40,7.24
24.65,7.28
24.89,7.31
25.14,7.35
25.39,7.39
25.65,7.43
25.91,7.46
26.16,7.50
26.43,7.54
26.69,7.57
26.96,7.60
27.23,7.64
27.50,7.66
27.77,7.69
28.05,7.72
28.33,7.75
28.62,7.77
28.90,7.80
29.19,7.83
29.48,7.85
29.78,7.88
30.08,7.90
30.38,7.92
30.68,7.94
30.99,7.96
31.30,7.98
31.61,8.01
31.93,8.03
32.24,8.05
32.57,8.07
32.89,8.09
33.22,8.11
33.55,8.13
33.89,8.15
34.23,8.16
34.57,8.17
34.92,8.18
35.27,8.19
35.62,8.20
35.97,8.21
36.33,8.23
36.70,8.24
37.06,8.25
37.43,8.26
37.81,8.27
38.19,8.27
38.57,8.27
38.95,8.27
39.34,8.27
39.74,8.26
40.14,8.26
40.54,8.26
40.94,8.26
41.35,8.26
41.76,8.26
42.18,8.26
42.60,8.25
43.03,8.25
43.46,8.25
43.90,8.25
44.33,8.24
44.78,8.22
45.23,8.21
45.68,8.20
46.13,8.19
46.60,8.18
47.06,8.17
47.53,8.16
48.01,8.15
48.49,8.13
48.97,8.13
49.46,8.12
49.96,8.12
50.46,8.11
50.96,8.11
51.47,8.10
51.99,8.08
52.51,8.07
53.03,8.05
53.56,8.04
54.10,8.02
54.64,8.00
55.18,7.98
55.74,7.95
56.29,7.93
56.86,7.90
57.42,7.87
58.00,7.84
58.58,7.81
59.16,7.79
59.76,7.76
60.35,7.74
60.96,7.72
61.57,7.70
62.18,7.68
62.80,7.65
63.43,7.62
64.07,7.59
64.71,7.56
65.35,7.53
66.01,7.50
66.67,7.47
67.33,7.44
68.01,7.41
68.69,7.38
69.37,7.36
70.07,7.33
70.77,7.30
71.48,7.26
72.19,7.23
72.91,7.19
73.64,7.13
74.38,7.07
75.12,7.01
75.87,6.97
76.63,6.93
77.40,6.89
78.17,6.87
78.95,6.86
79.74,6.85
80.54,6.81
81.35,6.77
82.16,6.73
82.98,6.69
83.81,6.65
84.65,6.61
85.50,6.57
86.35,6.53
87.22,6.48
88.09,6.44
88.97,6.40
89.86,6.35
90.76,6.31
91.66,6.26
92.58,6.22
93.51,6.18
94.44,6.13
95.39,6.09
96.34,6.04
97.30,5.99
98.28,5.95
99.26,5.90
100.25,5.85
101.25,5.81
102.27,5.76
103.29,5.71
104.32,5.66
105.37,5.61
106.42,5.56
107.48,5.51
108.56,5.46
109.64,5.41
110.74,5.36
111.85,5.30
112.97,5.25
114.10,5.20
115.24,5.16
116.39,5.11
117.55,5.07
118.73,5.02
119.92,4.97
121.12,4.92
122.33,4.87
123.55,4.81
124.79,4.75
126.03,4.70
127.29,4.64
128.57,4.59
129.85,4.53
131.15,4.48
132.46,4.42
133.79,4.37
135.12,4.31
136.48,4.26
137.84,4.20
139.22,4.14
140.61,4.09
142.02,4.03
143.44,3.97
144.87,3.92
146.32,3.86
147.78,3.81
149.26,3.75
150.75,3.70
152.26,3.65
153.78,3.59
155.32,3.54
156.88,3.48
158.44,3.42
160.03,3.37
161.63,3.31
163.24,3.25
164.88,3.19
166.53,3.13
168.19,3.07
169.87,3.01
171.57,2.96
173.29,2.90
175.02,2.84
176.77,2.79
178.54,2.74
180.32,2.69
182.13,2.66
183.95,2.63
185.79,2.60
187.65,2.57
189.52,2.55
191.42,2.52
193.33,2.48
195.27,2.44
197.22,2.40
199.19,2.35
201.18,2.30
203.19,2.25
205.23,2.19
207.28,2.14
209.35,2.08
211.44,2.03
213.56,1.98
215.69,1.92
217.85,1.87
220.03,1.82
222.23,1.77
224.45,1.71
226.70,1.66
228.96,1.61
231.25,1.56
233.57,1.50
235.90,1.45
238.26,1.40
240.64,1.35
243.05,1.30
245.48,1.25
247.93,1.20
250.41,1.15
252.92,1.10
255.45,1.05
258.00,1.00
260.58,0.95
263.19,0.90
265.82,0.86
268.48,0.81
271.16,0.76
273.87,0.72
276.61,0.67
279.38,0.62
282.17,0.57
284.99,0.53
287.84,0.48
290.72,0.44
293.63,0.39
296.57,0.35
299.53,0.31
302.53,0.27
305.55,0.22
308.61,0.18
311.69,0.14
314.81,0.10
317.96,0.06
321.14,0.02
324.35,-0.03
327.59,-0.07
330.87,-0.11
334.18,-0.15
337.52,-0.19
340.90,-0.23
344.30,-0.27
347.75,-0.31
351.23,-0.35
354.74,-0.38
358.28,-0.42
361.87,-0.46
365.49,-0.49
369.14,-0.53
372.83,-0.56
376.56,-0.60
380.33,-0.63
384.13,-0.67
387.97,-0.70
391.85,-0.73
395.77,-0.76
399.73,-0.79
403.72,-0.82
407.76,-0.86
411.84,-0.89
415.96,-0.92
420.12,-0.95
424.32,-0.98
428.56,-1.01
432.85,-1.04
437.18,-1.07
441.55,-1.09
445.96,-1.12
450.42,-1.15
454.93,-1.17
459.48,-1.20
464.07,-1.23
468.71,-1.25
473.40,-1.27
478.13,-1.30
482.91,-1.32
487.74,-1.34
492.62,-1.36
497.55,-1.37
502.52,-1.39
507.55,-1.41
512.62,-1.42
517.75,-1.43
522.93,-1.44
528.16,-1.45
533.44,-1.46
538.77,-1.47
544.16,-1.48
549.60,-1.49
555.10,-1.50
560.65,-1.51
566.25,-1.52
571.92,-1.53
577.64,-1.54
583.41,-1.55
589.25,-1.56
595.14,-1.57
601.09,-1.58
607.10,-1.58
613.17,-1.59
619.30,-1.60
625.50,-1.61
631.75,-1.62
638.07,-1.62
644.45,-1.63
650.89,-1.64
657.40,-1.65
663.98,-1.65
670.62,-1.66
677.32,-1.66
684.10,-1.65
690.94,-1.64
697.85,-1.61
704.83,-1.58
711.87,-1.54
718.99,-1.51
726.18,-1.47
733.44,-1.45
740.78,-1.43
748.19,-1.41
755.67,-1.40
763.23,-1.38
770.86,-1.37
778.57,-1.35
786.35,-1.33
