frequency,raw
20.00,2.50
20.20,2.52
20.40,2.55
20.61,2.58
20.81,2.60
21.02,2.63
21.23,2.66
21.44,2.69
21.66,2.71
21.87,2.74
22.09,2.77
22.31,2.80
22.54,2.82
22.76,2.84
22.99,2.87
23.22,2.89
23.45,2.91
23.69,2.93
23.92,2.95
24.16,2.97
24.40,2.99
24.65,3.01
24.89,3.03
25.14,3.05
25.39,3.06
25.65,3.08
25.91,3.09
26.16,3.11
26.43,3.12
26.69,3.13
26.96,3.14
27.23,3.16
27.50,3.16
27.77,3.17
28.05,3.18
28.33,3.19
28.62,3.20
28.90,3.21
29.19,3.21
29.48,3.22
29.78,3.22
30.08,3.23
30.38,3.23
30.68,3.23
30.99,3.23
31.30,3.24
31.61,3.24
31.93,3.24
32.24,3.24
32.57,3.24
32.89,3.23
33.22,3.23
33.55,3.23
33.89,3.22
34.23,3.22
34.57,3.21
34.92,3.21
35.27,3.20
35.62,3.19
35.97,3.18
36.33,3.18
36.70,3.17
37.06,3.16
37.43,3.15
37.81,3.14
38.19,3.12
38.57,3.11
38.95,3.10
39.34,3.09
39.74,3.07
40.14,3.06
40.54,3.04
40.94,3.03
41.35,3.01
41.76,2.99
42.18,2.97
42.60,2.96
43.03,2.94
43.46,2.92
43.90,2.90
44.33,2.88
44.78,2.86
45.23,2.83
45.68,2.81
46.13,2.79
46.60,2.77
47.06,2.74
47.53,2.72
48.01,2.69
48.49,2.67
48.97,2.64
49.46,2.62
49.96,2.59
50.46,2.56
50.96,2.53
51.47,2.50
51.99,2.47
52.51,2.45
53.03,2.42
53.56,2.38
54.10,2.35
54.64,2.32
55.18,2.29
55.74,2.26
56.29,2.23
56.86,2.19
57.42,2.16
58.00,2.12
58.58,2.09
59.16,2.06
59.76,2.02
60.35,1.98
60.96,1.95
61.57,1.91
62.18,1.87
62.80,1.84
63.43,1.80
64.07,1.76
64.71,1.72
65.35,1.68
66.01,1.64
66.67,1.60
67.33,1.56
68.01,1.52
68.69,1.48
69.37,1.44
70.07,1.40
70.77,1.36
71.48,1.31
72.19,1.27
72.91,1.23
73.64,1.19
74.38,1.14
75.12,1.10
75.87,1.06
76.63,1.01
77.40,0.97
78.17,0.92
78.95,0.88
79.74,0.83
80.54,0.79
81.35,0.74
82.16,0.69
82.98,0.65
83.81,0.60
84.65,0.56
85.50,0.51
86.35,0.46
87.22,0.42
88.09,0.37
88.97,0.32
89.86,0.27
90.76,0.22
91.66,0.18
92.58,0.13
93.51,0.08
94.44,0.03
95.39,-0.02
96.34,-0.06
97.30,-0.11
98.28,-0.16
99.26,-0.21
100.25,-0.26
101.25,-0.31
102.27,-0.36
103.29,-0.41
104.32,-0.46
105.37,-0.50
106.42,-0.55
107.48,-0.60
108.56,-0.65
109.64,-0.70
110.74,-0.75
111.85,-0.80
112.97,-0.85
114.10,-0.90
115.24,-0.95
116.39,-1.00
117.55,-1.05
118.73,-1.09
119.92,-1.14
121.12,-1.19
122.33,-1.24
123.55,-1.29
124.79,-1.34
126.03,-1.39
127.29,-1.43
128.57,-1.48
129.85,-1.53
131.15,-1.58
132.46,-1.63
133.79,-1.67
135.12,-1.72
136.48,-1.77
137.84,-1.81
139.22,-1.86
140.61,-1.91
142.02,-1.95
143.44,-2.00
144.87,-2.05
146.32,-2.09
147.78,-2.14
149.26,-2.18
150.75,-2.23
152.26,-2.27
153.78,-2.32
155.32,-2.36
156.88,-2.40
158.44,-2.45
160.03,-2.49
161.63,-2.53
163.24,-2.58
164.88,-2.62
166.53,-2.66
168.19,-2.70
169.87,-2.75
171.57,-2.79
173.29,-2.83
175.02,-2.87
176.77,-2.91
178.54,-2.95
180.32,-2.98
182.13,-3.02
183.95,-3.06
185.79,-3.09
187.65,-3.13
189.52,-3.16
191.42,-3.19
193.33,-3.22
195.27,-3.25
197.22,-3.28
199.19,-3.31
201.18,-3.34
203.19,-3.36
205.23,-3.39
207.28,-3.42
209.35,-3.45
211.44,-3.47
213.56,-3.50
215.69,-3.52
217.85,-3.55
220.03,-3.57
222.23,-3.60
224.45,-3.62
226.70,-3.65
228.96,-3.67
231.25,-3.69
233.57,-3.72
235.90,-3.74
238.26,-3.76
240.64,-3.78
243.05,-3.80
245.48,-3.82
247.93,-3.84
250.41,-3.86
252.92,-3.88
255.45,-3.89
258.00,-3.91
260.58,-3.92
263.19,-3.94
265.82,-3.95
268.48,-3.96
271.16,-3.97
273.87,-3.98
276.61,-3.99
279.38,-4.00
282.17,-4.01
284.99,-4.01
287.84,-4.02
290.72,-4.03
293.63,-4.03
296.57,-4.03
299.53,-4.04
302.53,-4.04
305.55,-4.04
308.61,-4.04
311.69,-4.04
314.81,-4.03
317.96,-4.03
321.14,-4.03
324.35,-4.02
327.59,-4.01
330.87,-4.01
334.18,-4.00
337.52,-3.99
340.90,-3.98
344.30,-3.97
347.75,-3.96
351.23,-3.94
354.74,-3.93
358.28,-3.92
361.87,-3.90
365.49,-3.88
369.14,-3.87
372.83,-3.85
376.56,-3.83
380.33,-3.81
384.13,-3.79
387.97,-3.77
391.85,-3.74
395.77,-3.72
399.73,-3.70
403.72,-3.67
407.76,-3.64
411.84,-3.62
415.96,-3.59
420.12,-3.56
424.32,-3.53
428.56,-3.50
432.85,-3.47
437.18,-3.44
441.55,-3.40
445.96,-3.37
450.42,-3.34
454.93,-3.30
459.48,-3.27
464.07,-3.23
468.71,-3.19
473.40,-3.16
478.13,-3.12
482.91,-3.08
487.74,-3.04
492.62,-3.00
497.55,-2.96
502.52,-2.92
507.55,-2.88
512.62,-2.84
517.75,-2.80
522.93,-2.76
528.16,-2.72
533.44,-2.67
538.77,-2.63
544.16,-2.59
549.60,-2.54
555.10,-2.50
560.65,-2.45
566.25,-2.41
571.92,-2.37
577.64,-2.32
583.41,-2.28
589.25,-2.23
595.14,-2.19
601.09,-2.15
607.10,-2.10
613.17,-2.06
619.30,-2.02
625.50,-1.97
631.75,-1.93
638.07,-1.89
644.45,-1.85
650.89,-1.81
657.40,-1.77
663.98,-1.73
670.62,-1.69
677.32,-1.66
684.10,-1.62
690.94,-1.58
697.85,-1.55
704.83,-1.51
711.87,-1.47
718.99,-1.43
726.18,-1.38
733.44,-1.34
740.78,-1.30
748.19,-1.26
755.67,-1.22
763.23,-1.19
770.86,-1.15
778.57,-1.11
786.35,-1.08
794.22,-1.04
802.16,-1.01
810.18,-0.97
818.28,-0.93
826.46,-0.89
834.73,-0.85
843.08,-0.81
851.51,-0.77
860.02,-0.72
868.62,-0.68
877.31,-0.64
886.08,-0.59
894.94,-0.54
903.89,-0.50
912.93,-0.45
922.06,-0.41
931.28,-0.36
940.59,-0.31
950.00,-0.26
959.50,-0.21
969.09,-0.16
978.78,-0.11
988.57,-0.06
998.46,-0.01
1008.44,0.05
1018.53,0.10
1028.71,0.15
1039.00,0.21
1049.39,0.26
1059.88,0.31
1070.48,0.37
1081.19,0.42
1092.00,0.48
1102.92,0.53
1113.95,0.58
1125.09,0.63
1136.34,0.68
1147.70,0.73
