frequency,raw
20.00,2.34
20.20,2.38
20.40,2.41
20.61,2.45
20.81,2.48
21.02,2.52
21.23,2.55
21.44,2.58
21.66,2.61
21.87,2.64
22.09,2.66
22.31,2.69
22.54,2.71
22.76,2.74
22.99,2.76
23.22,2.78
23.45,2.80
23.69,2.82
23.92,2.84
24.16,2.86
24.40,2.88
24.65,2.90
24.89,2.91
25.14,2.93
25.39,2.94
25.65,2.96
25.91,2.97
26.16,2.98
26.43,2.99
26.69,3.00
26.96,3.01
27.23,3.02
27.50,3.02
27.77,3.03
28.05,3.04
28.33,3.04
28.62,3.05
28.90,3.05
29.19,3.06
29.48,3.06
29.78,3.06
30.08,3.06
30.38,3.06
30.68,3.06
30.99,3.06
31.30,3.06
31.61,3.06
31.93,3.06
32.24,3.06
32.57,3.05
32.89,3.05
33.22,3.04
33.55,3.04
33.89,3.03
34.23,3.03
34.57,3.02
34.92,3.01
35.27,3.00
35.62,2.99
35.97,2.98
36.33,2.97
36.70,2.96
37.06,2.94
37.43,2.93
37.81,2.91
38.19,2.89
38.57,2.87
38.95,2.86
39.34,2.85
39.74,2.84
40.14,2.83
40.54,2.81
40.94,2.80
41.35,2.78
41.76,2.77
42.18,2.75
42.60,2.73
43.03,2.71
43.46,2.70
43.90,2.68
44.33,2.66
44.78,2.64
45.23,2.62
45.68,2.60
46.13,2.57
46.60,2.55
47.06,2.53
47.53,2.50
48.01,2.48
48.49,2.46
48.97,2.44
49.46,2.41
49.96,2.39
50.46,2.37
50.96,2.34
51.47,2.32
51.99,2.29
52.51,2.27
53.03,2.24
53.56,2.21
54.10,2.19
54.64,2.16
55.18,2.13
55.74,2.11
56.29,2.08
56.86,2.05
57.42,2.03
58.00,2.00
58.58,1.97
59.16,1.94
59.76,1.91
60.35,1.88
60.96,1.86
61.57,1.83
62.18,1.80
62.80,1.77
63.43,1.74
64.07,1.71
64.71,1.68
65.35,1.66
66.01,1.63
66.67,1.60
67.33,1.56
68.01,1.53
68.69,1.50
69.37,1.47
70.07,1.44
70.77,1.41
71.48,1.38
72.19,1.35
72.91,1.32
73.64,1.30
74.38,1.27
75.12,1.24
75.87,1.21
76.63,1.17
77.40,1.14
78.17,1.10
78.95,1.06
79.74,1.02
80.54,0.99
81.35,0.97
82.16,0.94
82.98,0.91
83.81,0.88
84.65,0.86
85.50,0.83
86.35,0.80
87.22,0.77
88.09,0.75
88.97,0.72
89.86,0.69
90.76,0.66
91.66,0.63
92.58,0.60
93.51,0.57
94.44,0.54
95.39,0.51
96.34,0.48
97.30,0.45
98.28,0.42
99.26,0.39
100.25,0.36
101.25,0.33
102.27,0.30
103.29,0.27
104.32,0.25
105.37,0.22
106.42,0.19
107.48,0.16
108.56,0.13
109.64,0.10
110.74,0.08
111.85,0.05
112.97,0.02
114.10,-0.01
115.24,-0.04
116.39,-0.07
117.55,-0.09
118.73,-0.12
119.92,-0.15
121.12,-0.18
122.33,-0.21
123.55,-0.24
124.79,-0.26
126.03,-0.29
127.29,-0.32
128.57,-0.35
129.85,-0.38
131.15,-0.40
132.46,-0.43
133.79,-0.45
135.12,-0.47
136.48,-0.50
137.84,-0.52
139.22,-0.55
140.61,-0.58
142.02,-0.60
143.44,-0.63
144.87,-0.66
146.32,-0.69
147.78,-0.72
149.26,-0.75
150.75,-0.77
152.26,-0.80
153.78,-0.83
155.32,-0.86
156.88,-0.87
158.44,-0.89
160.03,-0.90
161.63,-0.89
163.24,-0.88
164.88,-0.86
166.53,-0.85
168.19,-0.83
169.87,-0.81
171.57,-0.81
173.29,-0.81
175.02,-0.81
176.77,-0.82
178.54,-0.84
180.32,-0.86
182.13,-0.88
183.95,-0.90
185.79,-0.92
187.65,-0.95
189.52,-0.97
191.42,-0.99
193.33,-1.01
195.27,-1.03
197.22,-1.05
199.19,-1.07
201.18,-1.09
203.19,-1.10
205.23,-1.12
207.28,-1.13
209.35,-1.15
211.44,-1.17
213.56,-1.18
215.69,-1.20
217.85,-1.22
220.03,-1.23
222.23,-1.25
224.45,-1.27
226.70,-1.28
228.96,-1.30
231.25,-1.31
233.57,-1.33
235.90,-1.34
238.26,-1.36
240.64,-1.38
243.05,-1.39
245.48,-1.40
247.93,-1.42
250.41,-1.43
252.92,-1.44
255.45,-1.46
258.00,-1.47
260.58,-1.48
263.19,-1.49
265.82,-1.50
268.48,-1.51
271.16,-1.52
273.87,-1.53
276.61,-1.53
279.38,-1.54
282.17,-1.54
284.99,-1.55
287.84,-1.55
290.72,-1.56
293.63,-1.57
296.57,-1.57
299.53,-1.58
302.53,-1.59
305.55,-1.60
308.61,-1.60
311.69,-1.61
314.81,-1.62
317.96,-1.63
321.14,-1.64
324.35,-1.65
327.59,-1.66
330.87,-1.67
334.18,-1.67
337.52,-1.68
340.90,-1.69
344.30,-1.70
347.75,-1.70
351.23,-1.71
354.74,-1.72
358.28,-1.72
361.87,-1.73
365.49,-1.73
369.14,-1.74
372.83,-1.75
376.56,-1.75
380.33,-1.76
384.13,-1.76
387.97,-1.77
