frequency,raw
20.00,2.20
20.20,2.26
20.40,2.33
20.61,2.39
20.81,2.46
21.02,2.52
21.23,2.59
21.44,2.66
21.66,2.73
21.87,2.80
22.09,2.86
22.31,2.93
22.54,2.99
22.76,3.05
22.99,3.11
23.22,3.17
23.45,3.22
23.69,3.28
23.92,3.34
24.16,3.40
24.40,3.46
24.65,3.52
24.89,3.57
25.14,3.63
25.39,3.68
25.65,3.74
25.91,3.79
26.16,3.84
26.43,3.89
26.69,3.93
26.96,3.98
27.23,4.02
27.50,4.07
27.77,4.11
28.05,4.16
28.33,4.20
28.62,4.24
28.90,4.28
29.19,4.33
29.48,4.37
29.78,4.41
30.08,4.45
30.38,4.49
30.68,4.53
30.99,4.56
31.30,4.60
31.61,4.63
31.93,4.66
32.24,4.69
32.57,4.72
32.89,4.75
33.22,4.78
33.55,4.81
33.89,4.84
34.23,4.87
34.57,4.90
34.92,4.92
35.27,4.95
35.62,4.98
35.97,5.00
36.33,5.02
36.70,5.04
37.06,5.06
37.43,5.08
37.81,5.10
38.19,5.12
38.57,5.14
38.95,5.16
39.34,5.17
39.74,5.19
40.14,5.21
40.54,5.22
40.94,5.23
41.35,5.25
41.76,5.26
42.18,5.27
42.60,5.28
43.03,5.29
43.46,5.30
43.90,5.31
44.33,5.32
44.78,5.33
45.23,5.33
45.68,5.34
46.13,5.34
46.60,5.35
47.06,5.35
47.53,5.35
48.01,5.36
48.49,5.36
48.97,5.36
49.46,5.36
49.96,5.36
50.46,5.36
50.96,5.36
51.47,5.36
51.99,5.36
52.51,5.35
53.03,5.35
53.56,5.34
54.10,5.34
54.64,5.33
55.18,5.33
55.74,5.32
56.29,5.31
56.86,5.30
57.42,5.29
58.00,5.29
58.58,5.28
59.16,5.27
59.76,5.26
60.35,5.25
60.96,5.23
61.57,5.22
62.18,5.21
62.80,5.19
63.43,5.18
64.07,5.16
64.71,5.15
65.35,5.13
66.01,5.11
66.67,5.09
67.33,5.08
68.01,5.06
68.69,5.04
69.37,5.02
