frequency,raw
20.00,5.49
20.20,5.53
20.40,5.57
20.61,5.61
20.81,5.65
21.02,5.69
21.23,5.73
21.44,5.78
21.66,5.82
21.87,5.86
22.09,5.90
22.31,5.94
22.54,5.98
22.76,6.02
22.99,6.06
23.22,6.09
23.45,6.13
23.69,6.16
23.92,6.19
24.16,6.22
24.40,6.25
24.65,6.28
24.89,6.32
25.14,6.35
25.39,6.38
25.65,6.41
25.91,6.44
26.16,6.46
26.43,6.49
26.69,6.51
26.96,6.53
27.23,6.55
27.50,6.57
27.77,6.59
28.05,6.62
28.33,6.64
28.62,6.67
28.90,6.70
29.19,6.72
29.48,6.74
29.78,6.77
30.08,6.79
30.38,6.80
30.68,6.82
30.99,6.83
31.30,6.84
31.61,6.85
31.93,6.86
32.24,6.87
32.57,6.88
32.89,6.88
33.22,6.89
33.55,6.90
33.89,6.91
34.23,6.92
34.57,6.92
34.92,6.93
35.27,6.94
35.62,6.94
35.97,6.95
36.33,6.95
36.70,6.95
37.06,6.95
37.43,6.95
37.81,6.94
38.19,6.94
38.57,6.93
38.95,6.93
39.34,6.93
39.74,6.93
40.14,6.93
40.54,6.93
40.94,6.93
41.35,6.92
41.76,6.91
42.18,6.90
42.60,6.89
43.03,6.88
43.46,6.88
43.90,6.87
44.33,6.86
44.78,6.85
45.23,6.83
45.68,6.82
46.13,6.81
46.60,6.79
47.06,6.78
47.53,6.77
48.01,6.75
48.49,6.74
48.97,6.72
49.46,6.70
49.96,6.68
50.46,6.66
50.96,6.65
51.47,6.63
51.99,6.61
52.51,6.59
53.03,6.57
53.56,6.55
54.10,6.53
54.64,6.51
55.18,6.49
55.74,6.47
56.29,6.45
56.86,6.42
57.42,6.40
58.00,6.37
58.58,6.34
59.16,6.32
59.76,6.29
60.35,6.26
60.96,6.23
61.57,6.20
62.18,6.17
62.80,6.14
63.43,6.11
64.07,6.08
64.71,6.05
65.35,6.01
66.01,5.98
66.67,5.95
67.33,5.91
68.01,5.88
68.69,5.85
69.37,5.81
70.07,5.78
70.77,5.74
71.48,5.71
72.19,5.67
72.91,5.64
73.64,5.60
74.38,5.57
75.12,5.53
75.87,5.49
76.63,5.45
77.40,5.41
78.17,5.37
78.95,5.33
79.74,5.29
80.54,5.25
81.35,5.21
82.16,5.17
82.98,5.13
83.81,5.08
84.65,5.04
85.50,5.00
86.35,4.96
87.22,4.92
88.09,4.87
88.97,4.83
89.86,4.78
90.76,4.74
91.66,4.70
92.58,4.66
93.51,4.61
94.44,4.57
95.39,4.52
