frequency,raw
20.00,6.47
20.20,6.51
20.40,6.55
20.61,6.60
20.81,6.64
21.02,6.68
21.23,6.72
21.44,6.76
21.66,6.80
21.87,6.84
22.09,6.88
22.31,6.92
22.54,6.96
22.76,7.00
22.99,7.04
23.22,7.07
23.45,7.11
23.69,7.14
23.92,7.17
24.16,7.21
24.40,7.24
24.65,7.27
24.89,7.30
25.14,7.33
25.39,7.36
25.65,7.38
25.91,7.41
26.16,7.44
26.43,7.46
26.69,7.49
26.96,7.51
27.23,7.53
27.50,7.55
27.77,7.57
28.05,7.60
28.33,7.61
28.62,7.63
28.90,7.65
29.19,7.67
29.48,7.68
29.78,7.70
30.08,7.72
30.38,7.73
30.68,7.74
30.99,7.76
31.30,7.77
31.61,7.78
31.93,7.79
32.24,7.80
32.57,7.81
32.89,7.82
33.22,7.83
33.55,7.84
33.89,7.84
34.23,7.85
34.57,7.85
34.92,7.85
35.27,7.86
35.62,7.86
35.97,7.86
36.33,7.86
36.70,7.86
37.06,7.86
37.43,7.86
37.81,7.86
38.19,7.86
38.57,7.85
38.95,7.85
39.34,7.85
39.74,7.84
40.14,7.83
40.54,7.83
40.94,7.82
41.35,7.81
41.76,7.80
42.18,7.79
42.60,7.78
43.03,7.77
43.46,7.76
43.90,7.75
44.33,7.73
44.78,7.72
45.23,7.71
45.68,7.69
46.13,7.68
46.60,7.66
47.06,7.64
47.53,7.62
48.01,7.60
48.49,7.58
48.97,7.56
49.46,7.54
49.96,7.52
50.46,7.50
50.96,7.47
51.47,7.45
51.99,7.42
52.51,7.40
53.03,7.37
53.56,7.34
54.10,7.32
54.64,7.29
55.18,7.26
55.74,7.23
56.29,7.20
56.86,7.17
57.42,7.14
58.00,7.10
58.58,7.07
59.16,7.04
59.76,7.00
60.35,6.97
60.96,6.93
61.57,6.90
62.18,6.86
62.80,6.82
63.43,6.78
64.07,6.74
64.71,6.70
65.35,6.66
66.01,6.62
66.67,6.58
67.33,6.54
68.01,6.50
68.69,6.45
69.37,6.41
70.07,6.37
70.77,6.32
71.48,6.28
72.19,6.23
72.91,6.18
73.64,6.14
74.38,6.09
75.12,6.04
