frequency,raw
20.00,-0.43
20.20,-0.38
20.40,-0.33
20.61,-0.28
20.81,-0.24
21.02,-0.19
21.23,-0.15
21.44,-0.10
21.66,-0.06
21.87,-0.02
22.09,0.02
22.31,0.06
22.54,0.11
22.76,0.15
22.99,0.19
23.22,0.23
23.45,0.27
23.69,0.31
23.92,0.35
24.16,0.38
24.40,0.42
24.65,0.46
24.89,0.50
25.14,0.53
25.39,0.57
25.65,0.60
25.91,0.64
26.16,0.67
26.43,0.71
26.69,0.74
26.96,0.78
27.23,0.81
27.50,0.84
27.77,0.87
28.05,0.90
28.33,0.93
28.62,0.96
28.90,0.99
29.19,1.02
29.48,1.05
29.78,1.08
30.08,1.11
30.38,1.13
30.68,1.16
30.99,1.19
31.30,1.22
31.61,1.24
31.93,1.27
32.24,1.29
32.57,1.32
32.89,1.35
33.22,1.37
33.55,1.40
33.89,1.42
34.23,1.44
34.57,1.47
34.92,1.49
35.27,1.52
35.62,1.54
35.97,1.56
36.33,1.58
36.70,1.60
37.06,1.62
37.43,1.64
37.81,1.66
38.19,1.68
38.57,1.70
38.95,1.72
39.34,1.74
39.74,1.76
40.14,1.78
40.54,1.80
40.94,1.81
41.35,1.83
41.76,1.85
42.18,1.87
42.60,1.88
43.03,1.90
43.46,1.92
43.90,1.93
44.33,1.95
44.78,1.96
45.23,1.98
45.68,1.99
46.13,2.01
46.60,2.02
47.06,2.04
47.53,2.05
48.01,2.06
48.49,2.08
48.97,2.09
49.46,2.10
49.96,2.11
50.46,2.13
50.96,2.14
51.47,2.15
51.99,2.16
52.51,2.17
53.03,2.18
53.56,2.20
54.10,2.21
54.64,2.22
55.18,2.23
55.74,2.24
56.29,2.25
56.86,2.26
57.42,2.27
58.00,2.28
58.58,2.29
59.16,2.29
59.76,2.30
60.35,2.31
60.96,2.32
61.57,2.33
62.18,2.33
62.80,2.34
63.43,2.35
64.07,2.35
64.71,2.36
65.35,2.36
66.01,2.37
66.67,2.38
67.33,2.38
68.01,2.39
68.69,2.40
69.37,2.40
70.07,2.41
70.77,2.42
71.48,2.43
72.19,2.43
72.91,2.44
73.64,2.44
74.38,2.45
75.12,2.45
75.87,2.45
76.63,2.46
77.40,2.46
78.17,2.46
78.95,2.47
79.74,2.47
80.54,2.47
81.35,2.48
82.16,2.48
82.98,2.49
83.81,2.49
84.65,2.49
85.50,2.49
86.35,2.49
87.22,2.50
88.09,2.50
88.97,2.50
89.86,2.50
90.76,2.51
91.66,2.51
92.58,2.51
93.51,2.51
94.44,2.51
95.39,2.51
96.34,2.51
97.30,2.51
98.28,2.51
99.26,2.51
100.25,2.51
101.25,2.51
102.27,2.51
103.29,2.51
104.32,2.51
105.37,2.51
106.42,2.51
107.48,2.51
108.56,2.51
109.64,2.51
110.74,2.50
111.85,2.50
112.97,2.50
