frequency,raw
20.00,0.58
20.20,0.64
20.40,0.70
20.61,0.76
20.81,0.82
21.02,0.87
21.23,0.93
21.44,0.99
21.66,1.05
21.87,1.11
22.09,1.16
22.31,1.21
22.54,1.26
22.76,1.31
22.99,1.35
23.22,1.41
23.45,1.46
23.69,1.51
23.92,1.57
24.16,1.62
24.40,1.67
24.65,1.71
24.89,1.76
25.14,1.81
25.39,1.86
25.65,1.90
25.91,1.95
26.16,2.00
26.43,2.05
26.69,2.10
26.96,2.14
27.23,2.18
27.50,2.22
27.77,2.25
28.05,2.29
28.33,2.33
28.62,2.37
28.90,2.41
29.19,2.45
29.48,2.48
29.78,2.51
30.08,2.55
30.38,2.58
30.68,2.61
30.99,2.64
31.30,2.67
31.61,2.70
31.93,2.74
32.24,2.77
32.57,2.81
32.89,2.84
33.22,2.87
33.55,2.90
33.89,2.92
34.23,2.95
34.57,2.97
34.92,3.00
35.27,3.03
35.62,3.06
35.97,3.09
36.33,3.13
36.70,3.16
37.06,3.19
37.43,3.22
37.81,3.24
38.19,3.25
38.57,3.27
38.95,3.29
39.34,3.31
39.74,3.34
40.14,3.36
40.54,3.37
40.94,3.39
41.35,3.40
41.76,3.42
42.18,3.44
42.60,3.46
43.03,3.48
43.46,3.50
43.90,3.52
44.33,3.54
44.78,3.56
45.23,3.58
45.68,3.60
46.13,3.62
46.60,3.65
47.06,3.67
47.53,3.69
48.01,3.71
48.49,3.72
48.97,3.74
49.46,3.75
49.96,3.76
50.46,3.77
50.96,3.79
51.47,3.80
51.99,3.82
52.51,3.83
53.03,3.85
53.56,3.86
54.10,3.87
54.64,3.88
55.18,3.89
55.74,3.90
56.29,3.91
56.86,3.92
57.42,3.93
58.00,3.95
58.58,3.95
59.16,3.96
59.76,3.97
60.35,3.98
60.96,3.99
61.57,3.99
62.18,4.00
62.80,4.01
63.43,4.01
64.07,4.02
64.71,4.02
65.35,4.03
66.01,4.03
66.67,4.04
67.33,4.04
68.01,4.05
68.69,4.05
69.37,4.06
70.07,4.06
70.77,4.06
71.48,4.07
72.19,4.07
72.91,4.07
73.64,4.08
74.38,4.08
75.12,4.08
75.87,4.08
76.63,4.09
77.40,4.09
78.17,4.09
78.95,4.09
79.74,4.09
80.54,4.09
81.35,4.09
82.16,4.09
82.98,4.09
83.81,4.09
84.65,4.09
85.50,4.09
86.35,4.09
87.22,4.08
88.09,4.08
88.97,4.08
89.86,4.08
90.76,4.07
91.66,4.07
92.58,4.07
93.51,4.06
94.44,4.06
95.39,4.06
96.34,4.05
97.30,4.05
98.28,4.04
99.26,4.04
100.25,4.03
101.25,4.03
102.27,4.02
103.29,4.01
104.32,4.01
105.37,4.00
106.42,4.00
107.48,3.99
108.56,3.98
109.64,3.97
110.74,3.96
111.85,3.95
112.97,3.94
114.10,3.93
115.24,3.93
116.39,3.92
117.55,3.91
118.73,3.90
119.92,3.88
121.12,3.87
122.33,3.86
123.55,3.85
124.79,3.84
126.03,3.82
127.29,3.81
128.57,3.79
129.85,3.78
131.15,3.76
132.46,3.75
133.79,3.73
135.12,3.71
136.48,3.70
137.84,3.68
139.22,3.66
140.61,3.65
142.02,3.63
143.44,3.61
144.87,3.60
146.32,3.58
147.78,3.56
149.26,3.54
150.75,3.52
152.26,3.50
153.78,3.48
155.32,3.46
156.88,3.45
158.44,3.43
160.03,3.41
161.63,3.40
163.24,3.39
164.88,3.37
166.53,3.36
168.19,3.35
169.87,3.33
171.57,3.32
173.29,3.31
175.02,3.30
176.77,3.28
178.54,3.27
180.32,3.26
182.13,3.24
183.95,3.23
185.79,3.22
187.65,3.20
189.52,3.19
191.42,3.17
193.33,3.16
195.27,3.14
197.22,3.12
199.19,3.10
201.18,3.09
203.19,3.07
205.23,3.05
207.28,3.03
209.35,3.01
211.44,2.99
213.56,2.97
215.69,2.95
