frequency,raw
20.00,1.07
20.20,1.12
20.40,1.17
20.61,1.22
20.81,1.27
21.02,1.32
21.23,1.37
21.44,1.42
21.66,1.47
21.87,1.52
22.09,1.58
22.31,1.63
22.54,1.68
22.76,1.73
22.99,1.78
23.22,1.83
23.45,1.88
23.69,1.93
23.92,1.97
24.16,2.01
24.40,2.06
24.65,2.10
24.89,2.14
25.14,2.19
25.39,2.23
25.65,2.27
25.91,2.32
26.16,2.36
26.43,2.40
26.69,2.44
26.96,2.47
27.23,2.51
27.50,2.55
27.77,2.58
28.05,2.62
28.33,2.65
28.62,2.69
28.90,2.72
29.19,2.75
29.48,2.78
29.78,2.81
30.08,2.84
30.38,2.87
30.68,2.90
30.99,2.93
31.30,2.96
31.61,3.00
31.93,3.02
32.24,3.05
32.57,3.08
32.89,3.11
33.22,3.13
33.55,3.16
33.89,3.18
34.23,3.21
34.57,3.23
34.92,3.26
35.27,3.28
35.62,3.30
35.97,3.32
36.33,3.34
36.70,3.37
37.06,3.39
37.43,3.41
37.81,3.43
38.19,3.45
38.57,3.47
38.95,3.49
39.34,3.50
39.74,3.52
40.14,3.54
40.54,3.55
40.94,3.57
41.35,3.58
41.76,3.60
42.18,3.62
42.60,3.64
43.03,3.65
43.46,3.66
43.90,3.67
44.33,3.68
44.78,3.69
45.23,3.70
45.68,3.71
46.13,3.72
46.60,3.73
47.06,3.73
47.53,3.74
48.01,3.75
48.49,3.75
48.97,3.76
49.46,3.77
49.96,3.77
50.46,3.78
50.96,3.78
51.47,3.79
51.99,3.80
52.51,3.80
53.03,3.81
53.56,3.81
54.10,3.82
54.64,3.82
55.18,3.82
55.74,3.83
56.29,3.83
56.86,3.83
57.42,3.83
58.00,3.84
58.58,3.84
59.16,3.84
59.76,3.84
60.35,3.84
60.96,3.83
61.57,3.83
62.18,3.82
62.80,3.82
63.43,3.81
64.07,3.81
64.71,3.80
65.35,3.80
66.01,3.79
66.67,3.79
67.33,3.78
68.01,3.78
68.69,3.77
69.37,3.77
70.07,3.76
70.77,3.75
71.48,3.75
72.19,3.74
72.91,3.73
73.64,3.72
74.38,3.71
75.12,3.70
75.87,3.69
76.63,3.67
77.40,3.66
78.17,3.65
78.95,3.64
79.74,3.62
80.54,3.61
81.35,3.60
82.16,3.58
82.98,3.57
83.81,3.55
84.65,3.54
85.50,3.52
86.35,3.51
87.22,3.49
88.09,3.47
88.97,3.46
89.86,3.44
90.76,3.42
91.66,3.41
92.58,3.39
93.51,3.37
94.44,3.35
95.39,3.33
96.34,3.31
97.30,3.29
98.28,3.27
99.26,3.25
100.25,3.23
101.25,3.21
102.27,3.19
103.29,3.17
104.32,3.15
105.37,3.12
106.42,3.10
107.48,3.08
108.56,3.06
109.64,3.03
110.74,3.01
111.85,2.98
112.97,2.96
114.10,2.93
115.24,2.91
116.39,2.88
117.55,2.85
118.73,2.83
119.92,2.80
121.12,2.77
122.33,2.75
123.55,2.72
124.79,2.69
126.03,2.66
127.29,2.63
128.57,2.60
129.85,2.57
131.15,2.54
132.46,2.52
133.79,2.48
135.12,2.45
136.48,2.42
137.84,2.39
139.22,2.36
140.61,2.33
142.02,2.30
143.44,2.27
144.87,2.24
146.32,2.20
147.78,2.17
149.26,2.14
150.75,2.11
152.26,2.07
153.78,2.04
155.32,2.01
156.88,1.97
158.44,1.94
160.03,1.91
161.63,1.87
163.24,1.84
164.88,1.80
166.53,1.77
168.19,1.73
169.87,1.70
171.57,1.66
173.29,1.63
175.02,1.59
176.77,1.56
178.54,1.52
180.32,1.49
182.13,1.45
183.95,1.41
185.79,1.38
187.65,1.34
189.52,1.30
191.42,1.27
193.33,1.23
195.27,1.19
197.22,1.15
199.19,1.12
201.18,1.08
203.19,1.04
205.23,1.00
207.28,0.97
209.35,0.94
211.44,0.91
213.56,0.88
215.69,0.85
217.85,0.82
220.03,0.80
222.23,0.77
224.45,0.74
226.70,0.71
228.96,0.68
231.25,0.65
233.57,0.62
235.90,0.59
238.26,0.57
240.64,0.54
243.05,0.52
245.48,0.50
247.93,0.47
250.41,0.45
252.92,0.42
255.45,0.39
258.00,0.37
260.58,0.34
263.19,0.31
265.82,0.28
268.48,0.25
271.16,0.22
273.87,0.19
276.61,0.17
279.38,0.14
282.17,0.11
284.99,0.08
287.84,0.06
290.72,0.03
293.63,0.00
296.57,-0.02
299.53,-0.05
302.53,-0.07
305.55,-0.10
308.61,-0.12
311.69,-0.15
314.81,-0.17
317.96,-0.20
321.14,-0.22
324.35,-0.24
327.59,-0.26
330.87,-0.28
334.18,-0.31
337.52,-0.33
340.90,-0.35
344.30,-0.37
347.75,-0.38
351.23,-0.40
354.74,-0.42
358.28,-0.44
361.87,-0.46
365.49,-0.47
369.14,-0.49
372.83,-0.51
376.56,-0.52
380.33,-0.54
384.13,-0.55
387.97,-0.57
391.85,-0.58
395.77,-0.59
399.73,-0.61
403.72,-0.62
407.76,-0.63
411.84,-0.65
415.96,-0.66
420.12,-0.67
424.32,-0.69
428.56,-0.70
432.85,-0.71
437.18,-0.72
441.55,-0.74
445.96,-0.75
450.42,-0.76
454.93,-0.78
459.48,-0.79
464.07,-0.80
468.71,-0.81
473.40,-0.83
478.13,-0.84
482.91,-0.85
487.74,-0.86
492.62,-0.88
497.55,-0.89
502.52,-0.90
507.55,-0.91
512.62,-0.92
517.75,-0.93
522.93,-0.95
528.16,-0.96
533.44,-0.97
538.77,-0.99
544.16,-1.00
549.60,-1.01
555.10,-1.03
560.65,-1.04
566.25,-1.06
571.92,-1.07
577.64,-1.08
583.41,-1.09
589.25,-1.11
595.14,-1.12
601.09,-1.13
607.10,-1.14
613.17,-1.15
619.30,-1.16
625.50,-1.16
631.75,-1.17
638.07,-1.18
644.45,-1.19
650.89,-1.20
657.40,-1.20
663.98,-1.21
670.62,-1.22
677.32,-1.22
684.10,-1.23
690.94,-1.23
697.85,-1.23
704.83,-1.24
711.87,-1.24
718.99,-1.24
726.18,-1.24
733.44,-1.24
740.78,-1.23
748.19,-1.23
755.67,-1.22
763.23,-1.21
770.86,-1.20
778.57,-1.19
786.35,-1.17
794.22,-1.16
802.16,-1.14
810.18,-1.12
818.28,-1.09
826.46,-1.07
834.73,-1.04
843.08,-1.01
851.51,-0.97
860.02,-0.94
868.62,-0.90
877.31,-0.85
886.08,-0.81
894.94,-0.76
903.89,-0.71
912.93,-0.65
922.06,-0.59
931.28,-0.53
940.59,-0.47
950.00,-0.40
959.50,-0.33
969.09,-0.25
978.78,-0.18
988.57,-0.09
998.46,-0.01
1008.44,0.07
1018.53,0.16
1028.71,0.25
1039.00,0.34
1049.39,0.43
1059.88,0.52
1070.48,0.62
1081.19,0.71
1092.00,0.81
1102.92,0.90
1113.95,0.99
1125.09,1.09
1136.34,1.18
1147.70,1.27
1159.18,1.36
1170.77,1.45
1182.48,1.53
1194.30,1.61
1206.25,1.70
1218.31,1.78
1230.49,1.85
1242.80,1.92
1255.22,2.00
1267.78,2.06
1280.45,2.13
1293.26,2.19
1306.19,2.26
1319.25,2.32
1332.45,2.38
1345.77,2.43
1359.23,2.48
1372.82,2.53
1386.55,2.57
1400.41,2.62
1414.42,2.66
1428.56,2.70
1442.85,2.73
1457.28,2.77
1471.85,2.81
1486.57,2.85
1501.43,2.89
1516.45,2.93
1531.61,2.97
1546.93,3.01
1562.40,3.05
1578.02,3.09
1593.80,3.13
1609.74,3.17
1625.84,3.21
1642.10,3.26
1658.52,3.30
1675.10,3.35
1691.85,3.39
1708.77,3.44
1725.86,3.49
1743.12,3.54
1760.55,3.59
1778.15,3.65
1795.94,3.70
1813.90,3.76
1832.03,3.82
1850.36,3.88
1868.86,3.95
1887.55,4.02
1906.42,4.09
1925.49,4.16
1944.74,4.24
1964.19,4.32
1983.83,4.40
2003.67,4.48
2023.71,4.57
2043.94,4.66
2064.38,4.75
2085.03,4.85
2105.88,4.95
2126.94,5.05
2148.20,5.16
2169.69,5.27
2191.38,5.38
2213.30,5.49
2235.43,5.61
2257.78,5.73
2280.36,5.85
2303.17,5.98
2326.20,6.10
2349.46,6.23
2372.95,6.36
2396.68,6.49
2420.65,6.62
2444.86,6.75
2469.31,6.88
2494.00,7.01
2518.94,7.14
2544.13,7.26
2569.57,7.39
2595.27,7.50
2621.22,7.61
2647.43,7.72
2673.90,7.81
2700.64,7.89
2727.65,7.97
2754.93,8.03
2782.48,8.08
2810.30,8.12
2838.40,8.13
2866.79,8.14
2895.46,8.15
2924.41,8.12
2953.65,8.07
2983.19,8.02
3013.02,7.96
3043.15,7.87
3073.58,7.77
3104.32,7.65
3135.36,7.52
3166.72,7.38
3198.38,7.22
3230.37,7.07
3262.67,6.90
3295.30,6.72
3328.25,6.54
3361.53,6.36
3395.15,6.17
3429.10,5.98
3463.39,5.79
3498.03,5.60
3533.01,5.42
3568.34,5.23
3604.02,5.05
3640.06,4.87
3676.46,4.70
3713.22,4.53
3750.36,4.37
3787.86,4.22
3825.74,4.07
3864.00,3.92
3902.64,3.79
3941.66,3.66
3981.08,3.53
4020.89,3.42
4061.10,3.32
4101.71,3.22
4142.73,3.13
4184.15,3.05
4226.00,2.98
4268.26,2.91
4310.94,2.86
4354.05,2.82
4397.59,2.78
4441.56,2.76
4485.98,2.73
4530.84,2.72
4576.15,2.71
4621.91,2.70
4668.13,2.70
4714.81,2.70
4761.96,2.70
4809.58,2.69
4857.67,2.68
4906.25,2.65
4955.31,2.61
5004.87,2.57
5054.91,2.49
5105.46,2.40
5156.52,2.31
5208.08,2.16
5260.16,2.01
5312.77,1.84
5365.89,1.62
5419.55,1.41
5473.75,1.17
5528.49,0.90
5583.77,0.63
5639.61,0.34
5696.00,0.04
5752.96,-0.26
5810.49,-0.57
5868.60,-0.87
5927.28,-1.17
5986.56,-1.48
6046.42,-1.76
6106.89,-2.03
6167.96,-2.29
6229.64,-2.52
6291.93,-2.74
6354.85,-2.90
6418.40,-3.05
6482.58,-3.19
6547.41,-3.26
6612.88,-3.29
6679.01,-3.32
6745.80,-3.27
6813.26,-3.17
6881.39,-3.07
6950.21,-2.88
7019.71,-2.65
7089.91,-2.42
7160.81,-2.10
7232.41,-1.76
7304.74,-1.41
7377.79,-1.02
7451.56,-0.62
7526.08,-0.24
7601.34,0.11
7677.35,0.47
7754.13,0.81
7831.67,1.01
7909.98,1.22
7989.08,1.42
8068.98,1.47
8149.67,1.49
8231.16,1.51
8313.47,1.44
8396.61,1.33
8480.57,1.23
8565.38,1.08
8651.03,0.93
8737.54,0.77
8824.92,0.62
8913.17,0.47
9002.30,0.32
9092.32,0.20
9183.25,0.08
9275.08,-0.05
9367.83,-0.19
9461.51,-0.34
9556.12,-0.54
9651.68,-0.78
9748.20,-1.02
9845.68,-1.37
9944.14,-1.73
10043.58,-2.11
10144.02,-2.55
10245.46,-2.98
10347.91,-3.40
10451.39,-3.82
10555.91,-4.24
10661.46,-4.61
10768.08,-4.94
10875.76,-5.27
10984.52,-5.50
11094.36,-5.70
11205.31,-5.90
11317.36,-5.96
11430.53,-6.03
11544.84,-6.04
11660.29,-5.97
11776.89,-5.90
11894.66,-5.75
12013.60,-5.59
12133.74,-5.42
12255.08,-5.27
12377.63,-5.13
12501.41,-5.00
12626.42,-5.00
12752.68,-5.01
12880.21,-5.14
13009.01,-5.36
13139.10,-5.58
13270.49,-5.90
13403.20,-6.31
13537.23,-6.72
13672.60,-7.16
13809.33,-7.63
13947.42,-8.10
14086.90,-8.52
14227.77,-8.93
14370.04,-9.33
14513.74,-9.72
14658.88,-10.01
14805.47,-10.29
14953.52,-10.58
15103.06,-10.87
15254.09,-11.17
15406.63,-11.46
15560.70,-11.78
15716.30,-12.14
15873.47,-12.49
16032.20,-12.80
16192.52,-12.94
16354.45,-13.08
16517.99,-13.19
16683.17,-12.98
16850.01,-12.77
17018.51,-12.57
17188.69,-12.41
17360.58,-12.25
17534.18,-12.18
17709.53,-12.49
17886.62,-12.80
18065.49,-13.18
18246.14,-13.68
18428.60,-14.17
18612.89,-14.44
18799.02,-14.57
18987.01,-14.70
19176.88,-15.02
19368.65,-15.36
19562.33,-15.73
19757.96,-16.17
19955.54,-16.62
