frequency,raw
20.00,2.66
20.20,2.74
20.40,2.82
20.61,2.90
20.81,2.97
21.02,3.05
21.23,3.12
21.44,3.20
21.66,3.27
21.87,3.34
22.09,3.40
22.31,3.47
22.54,3.53
22.76,3.58
22.99,3.64
23.22,3.68
23.45,3.72
23.69,3.76
23.92,3.79
24.16,3.83
24.40,3.87
24.65,3.91
24.89,3.95
25.14,4.00
25.39,4.05
25.65,4.10
25.91,4.15
26.16,4.19
26.43,4.24
26.69,4.28
26.96,4.32
27.23,4.36
27.50,4.40
27.77,4.45
28.05,4.49
28.33,4.53
28.62,4.58
28.90,4.62
29.19,4.66
29.48,4.69
29.78,4.72
30.08,4.76
30.38,4.78
30.68,4.81
30.99,4.84
31.30,4.86
31.61,4.89
31.93,4.91
32.24,4.93
32.57,4.95
32.89,4.98
33.22,5.01
33.55,5.04
33.89,5.07
34.23,5.11
34.57,5.14
34.92,5.17
35.27,5.19
35.62,5.21
35.97,5.22
36.33,5.24
36.70,5.25
37.06,5.26
37.43,5.27
37.81,5.27
38.19,5.28
38.57,5.29
38.95,5.30
39.34,5.32
39.74,5.33
40.14,5.35
40.54,5.36
40.94,5.37
41.35,5.38
41.76,5.38
42.18,5.38
42.60,5.38
43.03,5.38
43.46,5.38
43.90,5.39
44.33,5.39
44.78,5.39
45.23,5.39
45.68,5.39
46.13,5.40
46.60,5.40
47.06,5.40
47.53,5.40
48.01,5.40
48.49,5.40
48.97,5.39
49.46,5.38
49.96,5.38
50.46,5.37
50.96,5.36
51.47,5.36
51.99,5.35
52.51,5.34
53.03,5.33
53.56,5.32
54.10,5.31
54.64,5.30
55.18,5.28
55.74,5.27
56.29,5.26
56.86,5.24
57.42,5.22
58.00,5.21
58.58,5.19
59.16,5.17
59.76,5.15
60.35,5.13
60.96,5.12
61.57,5.10
62.18,5.09
62.80,5.07
63.43,5.05
64.07,5.03
64.71,5.00
65.35,4.98
66.01,4.95
66.67,4.93
67.33,4.90
68.01,4.88
68.69,4.85
69.37,4.83
70.07,4.81
70.77,4.79
71.48,4.77
72.19,4.73
72.91,4.70
73.64,4.64
74.38,4.58
75.12,4.51
75.87,4.45
76.63,4.38
77.40,4.32
78.17,4.32
78.95,4.33
79.74,4.35
80.54,4.34
81.35,4.32
82.16,4.30
82.98,4.28
83.81,4.26
84.65,4.23
85.50,4.20
86.35,4.17
87.22,4.14
88.09,4.10
88.97,4.07
89.86,4.03
90.76,3.99
91.66,3.96
92.58,3.92
93.51,3.88
94.44,3.84
95.39,3.81
96.34,3.77
97.30,3.73
98.28,3.69
99.26,3.65
100.25,3.61
101.25,3.57
102.27,3.53
103.29,3.49
104.32,3.45
105.37,3.41
106.42,3.37
107.48,3.33
108.56,3.29
109.64,3.25
110.74,3.20
111.85,3.16
112.97,3.11
114.10,3.06
115.24,3.02
116.39,2.98
117.55,2.93
118.73,2.89
119.92,2.85
121.12,2.81
122.33,2.77
123.55,2.73
124.79,2.69
126.03,2.65
127.29,2.60
128.57,2.55
129.85,2.50
131.15,2.45
132.46,2.41
133.79,2.36
135.12,2.32
136.48,2.27
137.84,2.23
139.22,2.18
140.61,2.14
142.02,2.09
143.44,2.05
144.87,2.00
146.32,1.95
147.78,1.91
149.26,1.86
150.75,1.81
152.26,1.77
153.78,1.72
155.32,1.67
156.88,1.63
158.44,1.58
160.03,1.53
161.63,1.49
163.24,1.44
164.88,1.40
166.53,1.35
168.19,1.30
169.87,1.26
171.57,1.21
173.29,1.17
175.02,1.12
176.77,1.08
178.54,1.04
180.32,1.00
182.13,0.97
183.95,0.94
185.79,0.92
187.65,0.89
189.52,0.87
191.42,0.84
193.33,0.82
195.27,0.80
197.22,0.77
199.19,0.74
201.18,0.71
203.19,0.67
205.23,0.64
207.28,0.60
209.35,0.56
211.44,0.52
213.56,0.48
215.69,0.44
217.85,0.40
220.03,0.35
222.23,0.31
224.45,0.27
226.70,0.23
228.96,0.19
231.25,0.15
233.57,0.11
235.90,0.07
238.26,0.03
240.64,-0.01
243.05,-0.04
245.48,-0.08
247.93,-0.12
250.41,-0.16
252.92,-0.19
255.45,-0.23
258.00,-0.27
260.58,-0.30
263.19,-0.34
265.82,-0.37
268.48,-0.41
271.16,-0.44
273.87,-0.48
276.61,-0.51
279.38,-0.54
282.17,-0.58
284.99,-0.61
287.84,-0.64
290.72,-0.67
293.63,-0.70
296.57,-0.74
299.53,-0.77
302.53,-0.80
305.55,-0.83
308.61,-0.86
311.69,-0.89
314.81,-0.92
317.96,-0.95
321.14,-0.98
324.35,-1.01
327.59,-1.03
330.87,-1.06
334.18,-1.08
337.52,-1.11
340.90,-1.13
344.30,-1.16
347.75,-1.18
351.23,-1.21
354.74,-1.23
358.28,-1.26
361.87,-1.28
365.49,-1.31
369.14,-1.33
372.83,-1.35
376.56,-1.38
380.33,-1.40
384.13,-1.42
387.97,-1.44
391.85,-1.46
395.77,-1.48
399.73,-1.50
403.72,-1.52
407.76,-1.54
411.84,-1.56
415.96,-1.58
420.12,-1.60
424.32,-1.62
428.56,-1.64
432.85,-1.65
437.18,-1.67
441.55,-1.69
445.96,-1.70
450.42,-1.72
454.93,-1.74
459.48,-1.75
464.07,-1.77
468.71,-1.78
473.40,-1.79
478.13,-1.81
482.91,-1.82
487.74,-1.83
492.62,-1.85
497.55,-1.86
502.52,-1.87
507.55,-1.88
512.62,-1.89
517.75,-1.91
522.93,-1.92
528.16,-1.93
533.44,-1.94
538.77,-1.95
544.16,-1.96
549.60,-1.97
555.10,-1.98
560.65,-1.99
566.25,-2.00
571.92,-2.01
577.64,-2.03
583.41,-2.04
589.25,-2.05
595.14,-2.06
601.09,-2.07
607.10,-2.08
613.17,-2.08
619.30,-2.07
625.50,-2.06
631.75,-2.04
638.07,-2.01
644.45,-1.98
650.89,-1.95
657.40,-1.92
663.98,-1.89
670.62,-1.86
677.32,-1.84
684.10,-1.82
690.94,-1.79
697.85,-1.77
704.83,-1.75
711.87,-1.73
718.99,-1.71
726.18,-1.69
733.44,-1.67
740.78,-1.64
748.19,-1.62
755.67,-1.59
763.23,-1.57
770.86,-1.54
778.57,-1.51
786.35,-1.47
794.22,-1.44
802.16,-1.40
810.18,-1.36
818.28,-1.32
826.46,-1.28
834.73,-1.23
843.08,-1.18
851.51,-1.14
860.02,-1.08
868.62,-1.03
877.31,-0.97
886.08,-0.91
894.94,-0.85
903.89,-0.78
912.93,-0.72
922.06,-0.65
931.28,-0.58
940.59,-0.50
950.00,-0.43
959.50,-0.35
