frequency,raw
20.00,2.93
20.20,2.99
20.40,3.04
20.61,3.09
20.81,3.14
21.02,3.19
21.23,3.24
21.44,3.29
21.66,3.34
21.87,3.39
22.09,3.43
22.31,3.48
22.54,3.53
22.76,3.57
22.99,3.62
23.22,3.66
23.45,3.70
23.69,3.74
23.92,3.78
24.16,3.82
24.40,3.86
24.65,3.90
24.89,3.94
25.14,3.98
25.39,4.01
25.65,4.05
25.91,4.09
26.16,4.12
26.43,4.15
26.69,4.19
26.96,4.22
27.23,4.25
27.50,4.28
27.77,4.31
28.05,4.34
28.33,4.37
28.62,4.39
28.90,4.42
29.19,4.45
29.48,4.47
29.78,4.49
30.08,4.52
30.38,4.54
30.68,4.56
30.99,4.59
31.30,4.61
31.61,4.63
31.93,4.65
32.24,4.67
32.57,4.69
32.89,4.71
33.22,4.73
33.55,4.74
33.89,4.76
34.23,4.78
34.57,4.79
34.92,4.81
35.27,4.82
35.62,4.84
35.97,4.85
36.33,4.86
36.70,4.87
37.06,4.88
37.43,4.89
37.81,4.90
38.19,4.91
38.57,4.91
38.95,4.92
39.34,4.93
39.74,4.94
40.14,4.95
40.54,4.95
40.94,4.96
41.35,4.96
41.76,4.96
42.18,4.96
42.60,4.97
43.03,4.97
43.46,4.97
43.90,4.97
44.33,4.97
44.78,4.97
45.23,4.97
45.68,4.97
46.13,4.97
46.60,4.97
47.06,4.97
47.53,4.96
48.01,4.96
48.49,4.95
48.97,4.94
49.46,4.93
49.96,4.93
50.46,4.92
50.96,4.91
51.47,4.90
51.99,4.89
52.51,4.88
53.03,4.87
53.56,4.86
54.10,4.85
54.64,4.84
55.18,4.83
55.74,4.82
56.29,4.80
56.86,4.79
57.42,4.77
58.00,4.76
58.58,4.74
59.16,4.73
59.76,4.71
60.35,4.70
60.96,4.68
61.57,4.66
62.18,4.65
62.80,4.63
63.43,4.61
64.07,4.59
64.71,4.57
65.35,4.55
66.01,4.53
66.67,4.51
67.33,4.49
68.01,4.46
68.69,4.44
69.37,4.42
70.07,4.40
70.77,4.37
71.48,4.35
72.19,4.32
72.91,4.30
73.64,4.28
74.38,4.25
75.12,4.22
75.87,4.20
76.63,4.17
77.40,4.14
78.17,4.12
78.95,4.09
79.74,4.06
80.54,4.03
81.35,4.00
82.16,3.97
82.98,3.94
83.81,3.91
84.65,3.88
85.50,3.85
86.35,3.82
87.22,3.79
88.09,3.76
88.97,3.72
89.86,3.69
90.76,3.66
91.66,3.62
92.58,3.59
93.51,3.56
94.44,3.52
95.39,3.49
96.34,3.46
97.30,3.42
98.28,3.38
99.26,3.35
100.25,3.31
101.25,3.28
102.27,3.24
103.29,3.20
104.32,3.17
105.37,3.13
106.42,3.09
107.48,3.05
108.56,3.02
109.64,2.98
110.74,2.94
111.85,2.90
112.97,2.87
114.10,2.83
115.24,2.79
116.39,2.75
117.55,2.71
118.73,2.67
119.92,2.63
121.12,2.59
122.33,2.55
123.55,2.51
124.79,2.47
126.03,2.43
127.29,2.39
128.57,2.35
129.85,2.31
131.15,2.27
132.46,2.23
133.79,2.19
135.12,2.15
136.48,2.11
137.84,2.07
139.22,2.02
140.61,1.98
142.02,1.94
143.44,1.90
144.87,1.86
146.32,1.82
147.78,1.77
149.26,1.73
150.75,1.69
152.26,1.65
153.78,1.60
155.32,1.56
156.88,1.52
158.44,1.48
160.03,1.44
161.63,1.39
163.24,1.35
164.88,1.31
166.53,1.27
168.19,1.23
169.87,1.19
171.57,1.14
173.29,1.10
175.02,1.06
176.77,1.02
178.54,0.98
180.32,0.94
182.13,0.90
183.95,0.85
185.79,0.81
187.65,0.77
189.52,0.73
191.42,0.69
193.33,0.65
195.27,0.61
197.22,0.58
199.19,0.54
201.18,0.50
203.19,0.47
205.23,0.44
207.28,0.40
209.35,0.37
211.44,0.34
213.56,0.31
215.69,0.28
217.85,0.26
220.03,0.23
222.23,0.20
224.45,0.17
226.70,0.14
228.96,0.10
231.25,0.07
