frequency,raw
20.00,4.95
20.20,4.95
20.40,4.95
20.61,4.95
20.81,4.97
21.02,4.98
21.23,4.99
21.44,5.00
21.66,5.01
21.87,5.02
22.09,5.03
22.31,5.03
22.54,5.04
22.76,5.04
22.99,5.04
23.22,5.05
23.45,5.05
23.69,5.05
23.92,5.06
24.16,5.06
24.40,5.06
24.65,5.06
24.89,5.07
25.14,5.07
25.39,5.08
25.65,5.09
25.91,5.10
26.16,5.11
26.43,5.12
26.69,5.13
26.96,5.14
27.23,5.14
27.50,5.15
27.77,5.15
28.05,5.15
28.33,5.15
28.62,5.16
28.90,5.16
29.19,5.16
29.48,5.16
29.78,5.16
30.08,5.16
30.38,5.16
30.68,5.16
30.99,5.16
31.30,5.16
31.61,5.16
31.93,5.16
32.24,5.16
32.57,5.16
32.89,5.16
33.22,5.16
33.55,5.16
33.89,5.16
34.23,5.16
34.57,5.17
34.92,5.17
35.27,5.18
35.62,5.18
35.97,5.18
36.33,5.19
36.70,5.19
37.06,5.19
37.43,5.19
37.81,5.19
38.19,5.19
38.57,5.18
38.95,5.19
39.34,5.19
39.74,5.19
40.14,5.20
40.54,5.20
40.94,5.20
41.35,5.19
41.76,5.19
42.18,5.18
42.60,5.17
43.03,5.16
43.46,5.16
43.90,5.15
44.33,5.14
44.78,5.13
45.23,5.13
45.68,5.13
46.13,5.13
46.60,5.14
47.06,5.14
47.53,5.14
48.01,5.14
48.49,5.13
48.97,5.12
49.46,5.11
49.96,5.10
50.46,5.09
50.96,5.09
51.47,5.09
51.99,5.08
52.51,5.07
53.03,5.06
53.56,5.05
54.10,5.04
54.64,5.03
55.18,5.03
55.74,5.02
56.29,5.02
56.86,5.01
57.42,5.01
58.00,5.00
58.58,4.99
59.16,4.98
59.76,4.97
60.35,4.97
60.96,4.96
61.57,4.96
62.18,4.95
62.80,4.94
63.43,4.93
64.07,4.92
64.71,4.91
65.35,4.90
66.01,4.89
66.67,4.87
67.33,4.86
68.01,4.85
68.69,4.84
69.37,4.83
70.07,4.83
70.77,4.82
71.48,4.81
72.19,4.80
72.91,4.79
73.64,4.77
74.38,4.76
75.12,4.75
75.87,4.74
76.63,4.72
77.40,4.71
78.17,4.70
78.95,4.68
79.74,4.67
80.54,4.66
81.35,4.64
82.16,4.63
82.98,4.62
83.81,4.60
84.65,4.59
85.50,4.57
86.35,4.56
87.22,4.54
88.09,4.53
88.97,4.51
89.86,4.50
90.76,4.48
91.66,4.46
92.58,4.45
93.51,4.43
94.44,4.41
95.39,4.40
96.34,4.38
97.30,4.36
98.28,4.34
99.26,4.33
100.25,4.31
101.25,4.29
102.27,4.27
103.29,4.25
104.32,4.23
105.37,4.21
106.42,4.19
107.48,4.17
108.56,4.15
109.64,4.13
110.74,4.10
111.85,4.08
112.97,4.06
114.10,4.03
115.24,4.00
116.39,3.98
117.55,3.95
118.73,3.92
119.92,3.90
121.12,3.88
122.33,3.86
123.55,3.84
124.79,3.82
126.03,3.80
127.29,3.78
128.57,3.76
