frequency,raw
20.00,4.35
20.20,4.36
20.40,4.37
20.61,4.39
20.81,4.40
21.02,4.42
21.23,4.43
21.44,4.46
21.66,4.49
21.87,4.53
22.09,4.57
22.31,4.61
22.54,4.64
22.76,4.67
22.99,4.70
23.22,4.73
23.45,4.76
23.69,4.79
23.92,4.83
24.16,4.88
24.40,4.92
24.65,4.97
24.89,5.02
25.14,5.06
25.39,5.09
25.65,5.12
25.91,5.14
26.16,5.15
26.43,5.17
26.69,5.19
26.96,5.22
27.23,5.24
27.50,5.27
27.77,5.29
28.05,5.31
28.33,5.33
28.62,5.34
28.90,5.35
29.19,5.37
29.48,5.40
29.78,5.43
30.08,5.46
30.38,5.49
30.68,5.52
30.99,5.54
31.30,5.55
31.61,5.57
31.93,5.58
32.24,5.60
32.57,5.61
32.89,5.62
33.22,5.63
33.55,5.64
33.89,5.65
34.23,5.66
34.57,5.67
34.92,5.68
35.27,5.69
35.62,5.70
35.97,5.70
36.33,5.70
36.70,5.70
37.06,5.69
37.43,5.68
37.81,5.67
38.19,5.67
38.57,5.67
38.95,5.68
39.34,5.68
39.74,5.69
40.14,5.69
40.54,5.69
40.94,5.68
41.35,5.68
41.76,5.68
42.18,5.68
42.60,5.67
43.03,5.67
43.46,5.67
43.90,5.67
44.33,5.66
44.78,5.65
45.23,5.64
45.68,5.64
46.13,5.63
46.60,5.62
47.06,5.61
47.53,5.59
48.01,5.57
48.49,5.56
48.97,5.54
49.46,5.52
49.96,5.50
50.46,5.48
50.96,5.46
51.47,5.44
51.99,5.43
52.51,5.42
53.03,5.41
53.56,5.40
54.10,5.39
54.64,5.37
55.18,5.35
55.74,5.33
56.29,5.31
56.86,5.29
57.42,5.27
58.00,5.24
58.58,5.22
59.16,5.19
59.76,5.16
60.35,5.13
60.96,5.10
61.57,5.06
62.18,5.03
62.80,5.00
63.43,4.97
64.07,4.94
64.71,4.91
65.35,4.88
66.01,4.84
66.67,4.80
67.33,4.76
68.01,4.72
68.69,4.68
69.37,4.64
70.07,4.59
70.77,4.55
71.48,4.51
72.19,4.47
72.91,4.42
73.64,4.38
74.38,4.33
75.12,4.28
75.87,4.24
76.63,4.20
77.40,4.15
78.17,4.11
78.95,4.07
79.74,4.02
80.54,3.98
81.35,3.93
82.16,3.88
82.98,3.83
83.81,3.78
84.65,3.72
85.50,3.67
86.35,3.61
87.22,3.56
88.09,3.50
88.97,3.45
89.86,3.39
90.76,3.34
91.66,3.28
92.58,3.22
93.51,3.16
94.44,3.10
95.39,3.05
96.34,2.99
97.30,2.93
98.28,2.87
99.26,2.81
100.25,2.75
101.25,2.69
102.27,2.62
103.29,2.56
104.32,2.50
105.37,2.43
106.42,2.37
107.48,2.30
108.56,2.24
109.64,2.17
110.74,2.11
111.85,2.04
112.97,1.97
114.10,1.90
115.24,1.84
116.39,1.77
117.55,1.70
118.73,1.63
119.92,1.57
121.12,1.50
122.33,1.43
123.55,1.37
124.79,1.31
126.03,1.25
127.29,1.19
128.57,1.13
129.85,1.07
131.15,1.01
132.46,0.94
133.79,0.88
135.12,0.82
136.48,0.76
137.84,0.70
139.22,0.64
140.61,0.58
142.02,0.52
143.44,0.46
144.87,0.40
146.32,0.35
147.78,0.29
149.26,0.23
150.75,0.18
152.26,0.12
153.78,0.07
155.32,0.01
156.88,-0.04
158.44,-0.09
160.03,-0.15
161.63,-0.20
163.24,-0.25
164.88,-0.30
166.53,-0.34
168.19,-0.38
169.87,-0.43
171.57,-0.47
173.29,-0.51
175.02,-0.55
176.77,-0.58
178.54,-0.61
180.32,-0.65
182.13,-0.68
183.95,-0.71
185.79,-0.73
187.65,-0.76
189.52,-0.79
191.42,-0.82
193.33,-0.84
195.27,-0.87
197.22,-0.89
199.19,-0.91
201.18,-0.93
203.19,-0.95
205.23,-0.96
207.28,-0.98
209.35,-0.99
211.44,-1.01
213.56,-1.01
215.69,-1.02
217.85,-1.03
220.03,-1.03
222.23,-1.04
224.45,-1.04
226.70,-1.04
228.96,-1.04
231.25,-1.04
233.57,-1.04
235.90,-1.04
238.26,-1.04
240.64,-1.03
243.05,-1.03
245.48,-1.02
247.93,-1.01
250.41,-1.01
252.92,-1.00
255.45,-0.99
258.00,-0.98
260.58,-0.98
263.19,-0.97
265.82,-0.96
268.48,-0.95
271.16,-0.94
273.87,-0.93
276.61,-0.91
279.38,-0.90
282.17,-0.89
284.99,-0.88
287.84,-0.87
290.72,-0.86
293.63,-0.85
296.57,-0.84
299.53,-0.83
302.53,-0.82
305.55,-0.81
308.61,-0.81
311.69,-0.80
314.81,-0.79
317.96,-0.78
321.14,-0.77
324.35,-0.77
327.59,-0.76
330.87,-0.75
334.18,-0.74
337.52,-0.73
340.90,-0.72
344.30,-0.71
347.75,-0.71
351.23,-0.70
354.74,-0.69
358.28,-0.69
361.87,-0.68
365.49,-0.67
369.14,-0.66
372.83,-0.65
376.56,-0.64
380.33,-0.63
384.13,-0.63
387.97,-0.62
391.85,-0.62
395.77,-0.61
399.73,-0.61
403.72,-0.61
407.76,-0.61
411.84,-0.60
415.96,-0.60
420.12,-0.60
424.32,-0.60
428.56,-0.60
432.85,-0.60
437.18,-0.60
441.55,-0.59
445.96,-0.59
450.42,-0.59
454.93,-0.59
459.48,-0.58
464.07,-0.58
468.71,-0.59
473.40,-0.59
478.13,-0.60
482.91,-0.61
487.74,-0.63
492.62,-0.64
497.55,-0.65
502.52,-0.66
507.55,-0.66
512.62,-0.67
517.75,-0.67
522.93,-0.67
528.16,-0.68
533.44,-0.68
538.77,-0.69
544.16,-0.70
549.60,-0.71
555.10,-0.71
560.65,-0.72
566.25,-0.72
571.92,-0.72
577.64,-0.72
583.41,-0.72
589.25,-0.72
595.14,-0.73
601.09,-0.73
607.10,-0.73
613.17,-0.73
619.30,-0.72
625.50,-0.72
631.75,-0.72
638.07,-0.72
644.45,-0.72
650.89,-0.72
657.40,-0.72
663.98,-0.72
670.62,-0.72
677.32,-0.72
684.10,-0.73
690.94,-0.73
697.85,-0.73
704.83,-0.73
711.87,-0.73
718.99,-0.72
726.18,-0.72
733.44,-0.71
740.78,-0.71
748.19,-0.71
755.67,-0.70
763.23,-0.70
770.86,-0.70
778.57,-0.69
786.35,-0.68
794.22,-0.67
802.16,-0.65
810.18,-0.63
818.28,-0.61
826.46,-0.59
834.73,-0.58
843.08,-0.56
851.51,-0.54
860.02,-0.52
868.62,-0.50
877.31,-0.48
886.08,-0.46
894.94,-0.43
903.89,-0.40
912.93,-0.37
922.06,-0.34
931.28,-0.31
940.59,-0.28
950.00,-0.24
959.50,-0.20
969.09,-0.16
978.78,-0.11
988.57,-0.06
998.46,-0.01
1008.44,0.04
1018.53,0.10
1028.71,0.15
1039.00,0.21
1049.39,0.26
1059.88,0.32
1070.48,0.38
1081.19,0.44
1092.00,0.50
1102.92,0.56
1113.95,0.63
1125.09,0.69
1136.34,0.75
1147.70,0.82
1159.18,0.88
1170.77,0.93
1182.48,0.99
1194.30,1.05
1206.25,1.10
1218.31,1.16
1230.49,1.21
1242.80,1.26
1255.22,1.31
1267.78,1.35
1280.45,1.40
1293.26,1.44
1306.19,1.48
1319.25,1.51
1332.45,1.55
1345.77,1.58
1359.23,1.61
1372.82,1.64
1386.55,1.67
1400.41,1.69
1414.42,1.72
1428.56,1.74
1442.85,1.77
1457.28,1.79
1471.85,1.81
1486.57,1.84
1501.43,1.86
1516.45,1.88
1531.61,1.90
1546.93,1.92
1562.40,1.93
1578.02,1.94
1593.80,1.95
1609.74,1.97
1625.84,1.98
1642.10,2.00
1658.52,2.02
1675.10,2.04
1691.85,2.07
1708.77,2.10
1725.86,2.13
1743.12,2.17
1760.55,2.21
1778.15,2.26
1795.94,2.31
1813.90,2.37
1832.03,2.43
1850.36,2.49
1868.86,2.55
1887.55,2.62
1906.42,2.68
1925.49,2.75
1944.74,2.82
1964.19,2.90
1983.83,2.97
2003.67,3.05
2023.71,3.13
2043.94,3.22
2064.38,3.30
2085.03,3.40
2105.88,3.49
2126.94,3.58
2148.20,3.68
2169.69,3.77
2191.38,3.87
2213.30,3.98
2235.43,4.08
2257.78,4.19
2280.36,4.30
2303.17,4.41
2326.20,4.53
2349.46,4.64
2372.95,4.76
2396.68,4.87
2420.65,4.99
2444.86,5.11
2469.31,5.23
2494.00,5.35
2518.94,5.46
2544.13,5.58
2569.57,5.69
2595.27,5.80
2621.22,5.89
2647.43,5.99
2673.90,6.06
2700.64,6.13
2727.65,6.19
2754.93,6.24
2782.48,6.28
2810.30,6.31
2838.40,6.32
2866.79,6.33
2895.46,6.34
2924.41,6.33
2953.65,6.32
2983.19,6.31
3013.02,6.30
3043.15,6.28
3073.58,6.25
3104.32,6.22
3135.36,6.19
3166.72,6.14
3198.38,6.09
3230.37,6.04
3262.67,5.98
3295.30,5.92
3328.25,5.85
3361.53,5.78
3395.15,5.71
3429.10,5.63
3463.39,5.55
3498.03,5.47
3533.01,5.39
3568.34,5.31
3604.02,5.23
3640.06,5.15
3676.46,5.08
3713.22,5.02
3750.36,4.95
3787.86,4.91
3825.74,4.86
3864.00,4.81
3902.64,4.77
3941.66,4.73
3981.08,4.69
4020.89,4.66
4061.10,4.62
4101.71,4.59
4142.73,4.56
4184.15,4.53
4226.00,4.51
4268.26,4.48
4310.94,4.45
4354.05,4.43
4397.59,4.40
4441.56,4.38
4485.98,4.35
4530.84,4.33
4576.15,4.31
4621.91,4.29
4668.13,4.26
4714.81,4.24
4761.96,4.21
4809.58,4.16
4857.67,4.12
4906.25,4.06
4955.31,4.00
5004.87,3.94
5054.91,3.87
5105.46,3.79
5156.52,3.71
5208.08,3.62
5260.16,3.52
5312.77,3.43
5365.89,3.32
5419.55,3.21
5473.75,3.10
5528.49,2.99
5583.77,2.87
5639.61,2.76
5696.00,2.64
5752.96,2.53
5810.49,2.41
5868.60,2.30
5927.28,2.19
5986.56,2.08
6046.42,1.98
6106.89,1.87
6167.96,1.77
6229.64,1.69
6291.93,1.60
6354.85,1.54
6418.40,1.48
6482.58,1.42
6547.41,1.38
6612.88,1.36
6679.01,1.34
6745.80,1.34
6813.26,1.37
6881.39,1.39
6950.21,1.45
7019.71,1.52
7089.91,1.59
7160.81,1.70
7232.41,1.82
7304.74,1.93
7377.79,2.07
7451.56,2.21
7526.08,2.35
7601.34,2.49
7677.35,2.62
7754.13,2.75
7831.67,2.82
7909.98,2.89
7989.08,2.97
8068.98,2.95
8149.67,2.91
8231.16,2.88
8313.47,2.77
8396.61,2.65
8480.57,2.53
8565.38,2.39
8651.03,2.25
8737.54,2.10
8824.92,1.97
8913.17,1.84
9002.30,1.71
9092.32,1.56
9183.25,1.42
9275.08,1.25
9367.83,1.02
9461.51,0.78
9556.12,0.47
9651.68,0.10
9748.20,-0.27
9845.68,-0.78
9944.14,-1.29
10043.58,-1.84
10144.02,-2.42
10245.46,-3.00
10347.91,-3.52
10451.39,-3.98
10555.91,-4.43
10661.46,-4.71
10768.08,-4.87
10875.76,-5.03
10984.52,-4.94
11094.36,-4.77
11205.31,-4.59
11317.36,-4.20
11430.53,-3.81
11544.84,-3.41
11660.29,-3.00
11776.89,-2.58
11894.66,-2.33
12013.60,-2.12
12133.74,-1.92
12255.08,-1.84
12377.63,-1.94
12501.41,-2.04
12626.42,-2.31
12752.68,-2.58
12880.21,-2.86
13009.01,-3.15
13139.10,-3.44
13270.49,-3.65
13403.20,-3.79
13537.23,-3.94
13672.60,-3.98
13809.33,-3.93
13947.42,-3.88
14086.90,-3.75
14227.77,-3.56
14370.04,-3.38
14513.74,-3.20
14658.88,-3.04
14805.47,-2.89
14953.52,-2.73
15103.06,-2.67
15254.09,-2.64
15406.63,-2.61
15560.70,-2.59
15716.30,-2.57
15873.47,-2.56
16032.20,-2.49
16192.52,-2.26
16354.45,-2.03
16517.99,-1.87
16683.17,-2.25
16850.01,-2.63
17018.51,-3.17
17188.69,-4.94
17360.58,-6.72
17534.18,-8.62
17709.53,-10.99
17886.62,-13.37
18065.49,-15.74
18246.14,-18.08
18428.60,-20.42
18612.89,-22.32
18799.02,-23.94
18987.01,-25.55
19176.88,-26.25
19368.65,-26.88
19562.33,-27.44
19757.96,-27.84
19955.54,-28.24
