frequency,raw
20.00,4.06
20.20,4.11
20.40,4.15
20.61,4.19
20.81,4.24
21.02,4.28
21.23,4.32
21.44,4.34
21.66,4.37
21.87,4.40
22.09,4.43
22.31,4.46
22.54,4.50
22.76,4.54
22.99,4.58
23.22,4.62
23.45,4.66
23.69,4.70
23.92,4.73
24.16,4.76
24.40,4.79
24.65,4.82
24.89,4.85
25.14,4.89
25.39,4.92
25.65,4.95
25.91,4.98
26.16,5.01
26.43,5.03
26.69,5.05
26.96,5.07
27.23,5.09
27.50,5.11
27.77,5.12
28.05,5.14
28.33,5.15
28.62,5.16
28.90,5.16
29.19,5.18
29.48,5.20
29.78,5.22
30.08,5.25
30.38,5.28
30.68,5.32
30.99,5.34
31.30,5.36
31.61,5.38
31.93,5.39
32.24,5.39
32.57,5.40
32.89,5.41
33.22,5.43
33.55,5.44
33.89,5.45
34.23,5.47
34.57,5.48
34.92,5.50
35.27,5.52
35.62,5.53
35.97,5.55
36.33,5.57
36.70,5.57
37.06,5.56
37.43,5.56
37.81,5.56
38.19,5.56
38.57,5.57
38.95,5.58
39.34,5.59
39.74,5.61
40.14,5.62
40.54,5.62
40.94,5.62
41.35,5.63
41.76,5.64
42.18,5.65
42.60,5.65
43.03,5.63
43.46,5.61
43.90,5.59
44.33,5.59
44.78,5.58
45.23,5.58
45.68,5.59
46.13,5.59
46.60,5.59
47.06,5.58
47.53,5.58
48.01,5.57
48.49,5.55
48.97,5.53
49.46,5.50
49.96,5.47
50.46,5.45
50.96,5.42
51.47,5.40
51.99,5.40
52.51,5.41
53.03,5.41
53.56,5.40
54.10,5.39
54.64,5.39
55.18,5.37
55.74,5.36
56.29,5.34
56.86,5.32
57.42,5.30
58.00,5.28
58.58,5.25
59.16,5.22
59.76,5.19
60.35,5.16
60.96,5.13
61.57,5.11
62.18,5.08
62.80,5.06
63.43,5.03
64.07,5.01
64.71,4.98
65.35,4.96
66.01,4.93
66.67,4.91
67.33,4.88
68.01,4.85
68.69,4.82
69.37,4.79
70.07,4.74
70.77,4.70
71.48,4.67
72.19,4.64
72.91,4.60
73.64,4.58
74.38,4.55
75.12,4.52
75.87,4.48
76.63,4.44
77.40,4.41
78.17,4.37
78.95,4.32
79.74,4.28
80.54,4.24
81.35,4.20
82.16,4.16
82.98,4.12
83.81,4.08
84.65,4.03
85.50,3.99
86.35,3.94
87.22,3.89
88.09,3.85
88.97,3.80
89.86,3.76
90.76,3.71
91.66,3.66
92.58,3.61
93.51,3.56
94.44,3.51
95.39,3.46
96.34,3.42
97.30,3.37
98.28,3.32
99.26,3.27
100.25,3.23
101.25,3.18
102.27,3.14
103.29,3.10
104.32,3.06
105.37,3.01
106.42,2.97
107.48,2.92
108.56,2.87
109.64,2.83
110.74,2.78
111.85,2.74
112.97,2.70
114.10,2.65
115.24,2.61
116.39,2.56
117.55,2.51
118.73,2.46
119.92,2.41
121.12,2.36
122.33,2.31
123.55,2.26
124.79,2.21
126.03,2.15
127.29,2.10
128.57,2.05
129.85,1.99
131.15,1.93
132.46,1.88
133.79,1.82
135.12,1.77
136.48,1.72
137.84,1.66
139.22,1.61
140.61,1.56
142.02,1.50
143.44,1.45
144.87,1.40
146.32,1.35
147.78,1.30
149.26,1.26
150.75,1.21
152.26,1.17
153.78,1.13
155.32,1.09
156.88,1.05
158.44,1.01
