frequency,raw
20.00,4.16
20.20,4.20
20.40,4.23
20.61,4.26
20.81,4.30
21.02,4.33
21.23,4.37
21.44,4.41
21.66,4.45
21.87,4.50
22.09,4.55
22.31,4.61
22.54,4.66
22.76,4.72
22.99,4.77
23.22,4.81
23.45,4.84
23.69,4.86
23.92,4.87
24.16,4.88
24.40,4.90
24.65,4.92
24.89,4.94
25.14,4.97
25.39,5.01
25.65,5.05
25.91,5.09
26.16,5.12
26.43,5.15
26.69,5.19
26.96,5.22
27.23,5.25
27.50,5.27
27.77,5.30
28.05,5.33
28.33,5.35
28.62,5.37
28.90,5.39
29.19,5.41
29.48,5.44
29.78,5.47
30.08,5.49
30.38,5.50
30.68,5.52
30.99,5.53
31.30,5.53
31.61,5.55
31.93,5.58
32.24,5.62
32.57,5.65
32.89,5.66
33.22,5.68
33.55,5.69
33.89,5.69
34.23,5.69
34.57,5.69
34.92,5.71
35.27,5.72
35.62,5.74
35.97,5.75
36.33,5.76
36.70,5.77
37.06,5.77
37.43,5.78
37.81,5.78
38.19,5.79
38.57,5.79
38.95,5.80
39.34,5.80
39.74,5.81
40.14,5.81
40.54,5.82
40.94,5.82
41.35,5.82
41.76,5.80
42.18,5.78
42.60,5.77
43.03,5.78
43.46,5.79
43.90,5.80
44.33,5.82
44.78,5.83
45.23,5.84
45.68,5.83
46.13,5.82
46.60,5.80
47.06,5.78
47.53,5.76
48.01,5.74
48.49,5.71
48.97,5.70
49.46,5.68
49.96,5.67
50.46,5.66
50.96,5.66
51.47,5.66
51.99,5.65
52.51,5.64
53.03,5.63
53.56,5.61
54.10,5.60
54.64,5.59
55.18,5.57
55.74,5.55
56.29,5.53
56.86,5.51
57.42,5.48
58.00,5.46
58.58,5.44
59.16,5.43
59.76,5.42
60.35,5.40
60.96,5.39
61.57,5.38
62.18,5.36
62.80,5.34
63.43,5.32
64.07,5.30
64.71,5.28
65.35,5.25
66.01,5.22
66.67,5.19
67.33,5.15
68.01,5.12
68.69,5.09
69.37,5.06
70.07,5.04
70.77,5.01
71.48,4.98
72.19,4.96
72.91,4.94
73.64,4.92
74.38,4.89
75.12,4.86
75.87,4.83
76.63,4.80
77.40,4.77
78.17,4.74
78.95,4.71
79.74,4.68
80.54,4.65
81.35,4.62
82.16,4.58
82.98,4.54
83.81,4.51
84.65,4.47
85.50,4.43
86.35,4.40
87.22,4.36
88.09,4.33
88.97,4.29
89.86,4.25
90.76,4.21
91.66,4.18
92.58,4.14
93.51,4.10
94.44,4.07
95.39,4.03
96.34,3.99
97.30,3.94
98.28,3.90
99.26,3.85
100.25,3.81
101.25,3.77
102.27,3.74
103.29,3.70
104.32,3.66
105.37,3.62
106.42,3.58
107.48,3.54
108.56,3.49
109.64,3.45
110.74,3.41
111.85,3.36
112.97,3.32
114.10,3.28
115.24,3.23
116.39,3.19
117.55,3.14
118.73,3.09
119.92,3.04
121.12,2.99
122.33,2.94
123.55,2.90
124.79,2.85
126.03,2.80
127.29,2.75
128.57,2.70
129.85,2.66
131.15,2.61
132.46,2.57
133.79,2.53
135.12,2.48
136.48,2.44
137.84,2.39
139.22,2.34
140.61,2.29
142.02,2.24
143.44,2.20
144.87,2.15
146.32,2.10
147.78,2.05
149.26,2.00
150.75,1.96
152.26,1.91
153.78,1.87
155.32,1.82
156.88,1.77
158.44,1.73
160.03,1.68
161.63,1.64
163.24,1.59
164.88,1.55
166.53,1.51
168.19,1.47
169.87,1.43
171.57,1.38
173.29,1.34
175.02,1.29
176.77,1.25
178.54,1.20
180.32,1.16
182.13,1.11
183.95,1.06
185.79,1.02
187.65,0.97
189.52,0.93
191.42,0.89
193.33,0.85
195.27,0.81
197.22,0.77
199.19,0.73
201.18,0.69
203.19,0.65
205.23,0.61
207.28,0.57
209.35,0.53
211.44,0.49
213.56,0.45
215.69,0.41
217.85,0.37
220.03,0.33
222.23,0.29
224.45,0.25
226.70,0.21
228.96,0.17
231.25,0.13
233.57,0.09
235.90,0.05
238.26,0.01
240.64,-0.04
243.05,-0.08
245.48,-0.12
247.93,-0.16
250.41,-0.20
252.92,-0.24
255.45,-0.28
258.00,-0.32
260.58,-0.36
263.19,-0.40
265.82,-0.44
268.48,-0.47
271.16,-0.51
273.87,-0.55
276.61,-0.59
279.38,-0.63
282.17,-0.67
284.99,-0.70
287.84,-0.74
290.72,-0.77
293.63,-0.81
296.57,-0.84
299.53,-0.88
302.53,-0.91
305.55,-0.94
308.61,-0.97
311.69,-1.00
314.81,-1.04
317.96,-1.07
321.14,-1.10
324.35,-1.13
327.59,-1.16
330.87,-1.19
334.18,-1.22
337.52,-1.25
340.90,-1.27
344.30,-1.30
347.75,-1.32
351.23,-1.34
354.74,-1.36
358.28,-1.39
361.87,-1.41
365.49,-1.44
369.14,-1.46
372.83,-1.49
376.56,-1.51
380.33,-1.54
384.13,-1.56
387.97,-1.58
391.85,-1.60
395.77,-1.62
399.73,-1.64
403.72,-1.66
407.76,-1.68
411.84,-1.70
415.96,-1.72
420.12,-1.73
424.32,-1.75
428.56,-1.77
432.85,-1.79
437.18,-1.80
441.55,-1.82
445.96,-1.83
450.42,-1.85
454.93,-1.86
459.48,-1.87
464.07,-1.89
468.71,-1.90
473.40,-1.91
478.13,-1.92
482.91,-1.93
487.74,-1.94
492.62,-1.95
497.55,-1.96
502.52,-1.97
507.55,-1.98
512.62,-1.98
517.75,-1.99
522.93,-2.00
528.16,-2.00
533.44,-2.01
538.77,-2.02
544.16,-2.02
549.60,-2.03
555.10,-2.03
560.65,-2.04
566.25,-2.04
571.92,-2.04
577.64,-2.04
583.41,-2.03
589.25,-2.03
595.14,-2.03
601.09,-2.03
607.10,-2.02
613.17,-2.02
619.30,-2.01
625.50,-2.00
631.75,-1.99
638.07,-1.98
644.45,-1.96
650.89,-1.95
657.40,-1.94
663.98,-1.93
670.62,-1.91
677.32,-1.90
684.10,-1.88
690.94,-1.86
